word	form
abad	
abı	
abırlı	
abırsız	
ac	apac
acgöz	
aciz	
acı	apacı
acımsov	
acınacaqlı	
adamaoxşamaz	
adamoynadan	
adamsatan	
adaxlı	
adda-budda	
adi	
adla	
adlı-sanlı	
adsız	
ahıl	
ailədaxili	
ailəvi	
akademik	
akrobatik	
al	
al-əlvan	
ala	
ala-bula	
ala-yarımçıq	
alagöz	
ali	
alicənab	
almandilli	
alovlu	
alt	
aludə	
alçaldıcı	
alçaq	
alıcı	
alınma	
alınmaz	
amansız	
amerikalı	
amm	
anadangəlmə	
anlamaz	
anormal	
anqutboğaz	
aparıcı	
aqlütinativ	
ardıcıl	
arif	
armudu	
arsız	
artıq	
arxa	
arxaik	
arxalı	
arxayın	
arzuolunmaz	
arıq	
asan	
asma	
asmani	
asmanrəng	
asta	
asudə	
asılı	
atlı	
atılmış	
avam	
avand	
avtomat	
avtomatik	
axmaq	
axta	
axıcı	
axırıncı	
axşamkı	
ayaqyalın	
ayaz	
aydın	apaydın
aydınlıq	
aylıq	
ayrı	
ayrılmaz	
aysız	
ayıq	
az	
azad	
azarlı	
azdanışan	
azişlənən	
azman	
aztapılan	
aztutumlu	
azuşaqlı	
azyaşlı	
azğın	
azərbaycandilli	
azərbaycanlı	
açma	
açılmaz	
açıq	apaçıq
ağ	ağappaq
ağa	
ağardıcı	
ağciyər	ağciyərlər
ağciyər	ağciyəri
ağciyər	ağciyərləri
ağciyər	ağciyərə
ağciyər	ağciyərlərə
ağciyər	ağciyərdə
ağciyər	ağciyərlərdə
ağciyər	ağciyərdən
ağciyər	ağciyərlərdən
ağciyər	ağciyərin
ağciyər	ağciyərlərin
ağciyər	ağciyərim
ağciyər	ağciyərlərim
ağciyər	ağciyərimiz
ağciyər	ağciyərlərimiz
ağciyər	ağciyəriniz
ağciyər	ağciyərləriniz
ağciyər	ağciyərimi
ağciyər	ağciyərlərimi
ağciyər	ağciyərini
ağciyər	ağciyərlərini
ağciyər	ağciyərimizi
ağciyər	ağciyərlərimizi
ağciyər	ağciyərinizi
ağciyər	ağciyərlərinizi
ağciyər	ağciyərimə
ağciyər	ağciyərlərimə
ağciyər	ağciyərinə
ağciyər	ağciyərlərinə
ağciyər	ağciyərimizə
ağciyər	ağciyərlərimizə
ağciyər	ağciyərinizə
ağciyər	ağciyərlərinizə
ağciyər	ağciyərimdə
ağciyər	ağciyərlərimdə
ağciyər	ağciyərində
ağciyər	ağciyərlərində
ağciyər	ağciyərimizdə
ağciyər	ağciyərlərimizdə
ağciyər	ağciyərinizdə
ağciyər	ağciyərlərinizdə
ağciyər	ağciyərimdən
ağciyər	ağciyərlərimdən
ağciyər	ağciyərindən
ağciyər	ağciyərlərindən
ağciyər	ağciyərimizdən
ağciyər	ağciyərlərimizdən
ağciyər	ağciyərinizdən
ağciyər	ağciyərlərinizdən
ağciyər	ağciyərimin
ağciyər	ağciyərlərimin
ağciyər	ağciyərinin
ağciyər	ağciyərlərinin
ağciyər	ağciyərimizin
ağciyər	ağciyərlərimizin
ağciyər	ağciyərinizin
ağciyər	ağciyərlərinizin
ağdərili	
ağlabatmaz	
ağlasığmaz	
ağlağan	
ağrıkəsici	
ağrısız	
ağuz	
ağıllı	
ağılsız	
ağılı	
ağır	
ağırtərpənən	
ağızəmməz	
aşağı	
aşiq	
aşkar	apaşkar
aşılmaz	
babadanqalma	az
babat	
badamı	
badamşəkilli	
badımcanburun	
badəpərəst	
baha	
bahalı	
bakir	
bakirə	
bakılı	
balaca	bapbalaca
baltakəsməz	
bariz	
basılmaz	
bayat	
bayağı	
bayğın	
bağlı	
bağırdələn	
bağıryaran	
bağışlanmaz	
bağışlanılmaz	
başağrıdıcı	
başdansovdu	
başlanğıc	
başlıca	
başqa	bambaşqa
başıqapazlı	
başıörtülü	
beynəlmiləl	
beynəlmiləlçi	
beynəlxalq	
bezmiş	
biabır	
biabırçı	
bic	
biganə	
bihuş	
bilavasitə	
bilici	
bilinməz	
binamus	
binəzir	
bioloji	
birhüceyrəli	
birləşdirici	
birləşmiş	
birmənalı	
birrəqəmli	
birtərəfli	
bisavad	
bitişik	
bitərəf	
bivec	
bivəfa	
biçarə	
bişmiş	
bol	bombol
bomba	
borclu	
boylu	
boz	bomboz
bozumtul	
boğanaq	
boğaz	
boş	bomboş
boşbeyin	
bugünkü	
bulanıq	
buludlu	
buruq	
buynuzvari	
buyurtma	
buzlu	
buğur	
böyük	
bülül	
bürüşük	
bütöv	
bədbəxt	
bədii	
bədnal	
bədnam	
bədrəng	
bədxah	
bədxərc	
bəlağətli	
bəlli	bəsbəlli
bəlğəmgətirici	
bələd	
bənd	
bənzər	
bənzərsiz	
bənövüş	
bənövşəyi	
bərabər	
bərabərtərəfli	
bərabəryanlı	
bərbad	
bərk	bəmbərk
bəs	
bəsit	
bəxtiyar	
bəxtli	
bəxtəvər	
bəzəkli	bərbəzəkli
cabəca	
cahanşümul	
calaq	
canfəşan	
canlı	
cansıxıcı	
cari	
cavabdeh	
cavan	
cazibədar	
ciddi	
