word	pos_values
a	character,intj,noun
ab	noun
ab-hava	noun
aba	noun
abacı	noun
abad	adj
abadlaşdırmaq	verb
abadlıq	noun
abajur	noun
abbas	name
abbaslı	name
abdal	noun
abdulla	name
abduq	noun
abdəst	noun
abgərdən	noun
abi-həyat	noun
abi-kövsər	noun
abid	noun
abidə	noun
abnus	noun
abonent	noun
abordaj	noun
abqora	noun
absis	noun
absurdluq	noun
abunə	noun
abunəçi	noun
abxaziya	name
abzas	noun
abı	adj
abır	noun
abırlı	adj
abırsız	adj,noun
abırsızcasına	adv
abş	name
ac	adj
acgöz	adj,noun
aciz	adj
acizlik	noun
aclıq	noun
acmaq	verb
acı	adj,noun
acımsov	adj
acınacaqlı	adj
acıq	noun
acıqlandırmaq	verb
acıqmaq	verb
ad	noun
ad-san	noun
ada	noun
adam	noun,pron
adamaoxşamaz	adj
adamoynadan	adj,noun
adamsatan	adj
adamyeyən	noun
adana	name
adax	noun
adaxlanmaq	verb
adaxlı	adj,noun
adaş	noun
adbaad	adv
adda-budda	adj,adv
adda-buddalıq	noun
addiksiya	noun
addım	noun
addım-addım	adv
addımbaşı	adv
addımlamaq	verb
addımölçən	noun
adi	adj
adil	name
adilanə	adv
adla	adj
adlandırmaq	verb
adlanmaq	verb
adlı-sanlı	adj
adsız	adj
advokat	noun
adına	postp
adınə	noun
adıyaman	name
adəm	name
adət	noun
adət-ənənə	noun
adətən	adv
afina	name
aftab	noun
aftafa	noun
afyonqarahisar	name
afərin	intj
afət	noun
agahlıq	noun
agent	noun
agentlik	noun
ahıl	adj
ahəng	noun
aid	postp
aidiyyət	noun
ailə	noun
ailədaxili	adj
ailəvi	adj
aişə	name
akademik	adj,noun
akademiya	noun
akkord	noun
akkordeon	noun
akrobatik	adj
akrobatika	noun
aktivləşdirmək	verb
aktrisa	noun
aktyor	noun
akvarel	noun
akvarium	noun
al	adj
al-əlvan	adj
ala	adj,intj,noun
ala-bula	adj
ala-toran	noun
ala-yarımçıq	adj
alabaş	name
alacadimdik	noun
alaf	noun
alagöz	adj
alaq	noun
alay	noun
alaçıq	noun
albalı	noun
alban	noun
albaniya	name
albatros	noun
albert	name
aldanmaq	verb
aldanış	noun
aldatma	noun
aldatmaq	verb
aleksandr	name
aleksandriya	name
alfred	name
ali	adj
alicənab	adj
alilik	noun
alim	noun
alkoqolizm	noun
allah	name,noun
allah-təala	name
allahqulu	name
allahverdi	name
allergiya	noun
alma	noun
almama	noun
almamadır	noun
almamın	noun
almamındır	noun
alman	noun
almanca	adv
almandilli	adj,noun
almaniya	name
almanpərəst	noun
almanıza	noun
almanızadır	noun
almanızın	noun
almanızındır	noun
almaq	verb
almaz	noun
alov	noun
alovlu	adj
alqoritm	noun
alqı-satqı	noun
alqış	intj,noun
alqışlamaq	verb
alt	adj,noun
altay	name
altlıq	noun
altmış	num
altmışıncı	num
altun	noun
altyazı	noun
altı	num
altına	noun,postp
altıncı	num
altında	postp
aludə	adj
alupka	name
alver	noun
alverçi	noun
alça	noun
alçaldıcı	adj
alçaltmaq	verb
alçaq	adj,noun
alçaqlıq	noun
alıcı	adj,noun
alın	noun
alınma	adj
alınmaz	adj
alır	verb
alıram	verb
alırlar	verb
alırsan	verb
alırsınız	verb
alırıq	verb
alış	noun
alış-veriş	noun
alış-verişçi	noun
alışmaq	verb
alışqan	noun
aləm	noun
alət	noun
am	noun
amal	noun
aman	intj,noun
amansız	adj
amcıq	noun
amerika	name
amerikalı	adj,noun
amerikan	noun
amfiteatr	noun
amil	noun
aminə	name
amir	noun
amm	adj
amma	conj
amplua	noun
amsterdam	name
an	noun
ana	noun
ana-bacı	noun
anadangəlmə	adj
anadolu	name
analıq	noun
ananas	noun
anar	name
anarxizm	noun
anatoli	name
anayasa	noun
ancaq	adv,conj
and	noun
andorra	name
andrey	name
andız	noun
ankara	name
anlam	noun
anlamaq	verb
anlamaz	adj
anlaq	noun
anlayış	noun
anlaşılmazlıq	noun
anmaq	verb
anons	noun
anormal	adj
anqut	noun
anqutboğaz	adj
anqırmaq	verb
anqırtı	noun
ansambl	noun
antarktida	name
anticisim	noun
antigen	noun
antioxiya	name
antisiklon	noun
antrakt	noun
anım	noun
aparmaq	verb
aparıcı	adj,noun
aplikat	noun
apostrof	noun
apr	noun
aprel	noun
aptek	noun
aptekçə	noun
aq	intj
aqartala	name
aqibət	adv,noun
aqibətsizlik	noun
aqlütinasiya	noun
aqlütinativ	adj
aqçaduzd	noun
ar	noun
ara	noun
araba	noun
arabir	adv
arada	adv
arakəsmə	noun
aralamaq	verb
aralaşdırmaq	verb
aralıq	noun
aram	noun
aramaq	verb
aramgah	noun
arami	noun
aran	noun
araq	noun
arasında	postp
aravuran	noun
arayıb-axtarmaq	verb
arayış	noun
araşdırmaq	verb
arbitraj	noun
ard	noun
ardıc	noun
ardıcıl	adj,noun
ardıcıllıq	noun
arfa	noun
argentinalı	noun
arif	adj,name
arifə	name
aristotel	name
arkadi	name
arlanmaq	verb
armağan	noun
armud	noun
armudu	adj
arpa	noun
arpacıq	noun
arsax	name
arsız	adj
arteriya	noun
artikl	noun
artilleriya	noun
artist	noun
artistlik	noun
artişok	noun
artmaq	verb
artım	noun
artıq	adj,adv,noun
artırmaq	verb
arvad	noun
arvadbaz	noun
arx	noun
arxa	adj,noun
arxac	noun
arxaik	adj
arxaikləşdirmək	verb
arxaikləşmək	verb
arxalanmaq	verb
arxalı	adj
arxalıq	noun
arxasında	postp
arxayın	adj,adv
arxayınlıq	noun
arxeologiya	noun
arxipelaq	noun
arxiv	noun
arxivləşdirmək	verb
arxiyepiskop	noun
arzu	noun
arzulamaq	verb
arzuolunmaz	adj
arğac	noun
arı	noun
arıq	adj
arıqlamaq	verb
arıquşu	noun
arıqıran	noun
arıxana	noun
arıçı	noun
arıçılıq	noun
asan	adj
asanlıq	noun
asayiş	noun
asfalt	noun
asi	noun
asif	name
asim	name
asiman	noun
asiya	name
aslan	noun
asma	adj
asmani	adj
asmanrəng	adj
asmaq	verb
asqırmaq	verb
asqırıq	noun
assimilyasiya	noun
asta	adj,adv
astana	noun
astanasında	postp
astara	name
astrofizika	noun
astronavt	noun
asudə	adj,adv
asılı	adj
asılılıq	noun
asırqal	noun
at	noun
ata	noun
ata-baba	noun
atalıq	noun
atanşik	noun
atatürkçü	noun
atatürkçülük	noun
atdı	verb
ateist	noun
ateizm	noun
atelye	noun
atif	name
atlanbac	noun
atlanmaq	verb
atlı	adj,noun
atmaca	noun
atmaq	verb
atmosfer	noun
atqı	noun
atrofiya	noun
atropatena	name
attaşe	noun
atıcı	noun
atılmış	adj
atım	noun
atış	noun
atışdırmalıq	noun
atışma	noun
atışmaq	verb
atət	noun
atəş	noun
atəşfəşanlıq	noun
atəşkəs	noun
atəşpərəst	noun
atəşpərəstlik	noun
auditoriya	noun
autizm	noun
avadanlıq	noun
avam	adj
avand	adj,noun
avans	noun
avar	noun
avara	noun
avarçı	noun
avarçəkən	noun
avaz	noun
avq	noun
avqust	noun
avro	noun
avropa	name
avroviziya	name
avstraliya	name
avstriya	name
avtobus	noun
avtokar	noun
avtomat	adj,noun
avtomatik	adj
avtomobil	noun
avtoportret	noun
avtoqraf	noun
avtorizasiya	noun
avtoxuliqan	noun
avtoxuliqanlıq	noun
axar-baxar	noun
axirət	noun
axmaq	adj,noun,verb
axsamaq	verb
