# Czech diacritic-fold table (D-450) - base letter -> every real accented variant, so a token typed without
# its diacritic still reaches the correctly-spelled word. hints.tsv (same folder) picks one representative
# symbol per key for the AltGr long-press hint; this file keeps the complete set per base letter - e and u
# each host two real, distinct Czech letters (é/ě and ú/ů respectively, not alternate spellings of each
# other - ě and ů in particular mark genuinely different sounds from é/ú).
a	á
c	č
d	ď
e	é,ě
i	í
n	ň
o	ó
r	ř
s	š
t	ť
u	ú,ů
y	ý
z	ž
