word	pos_values
a	abbrev,conj,noun,particle,symbol
aachenský	adj
aak	noun
aam	noun
ab	abbrev,noun
abadon	noun
abak	noun
abaka	noun
abakový	adj
abakus	noun
abandon	noun
abandonování	noun
abas	noun
abaton	noun
abatyše	noun
abatyšský	adj
abaxiální	adj
abazština	noun
abbozzo	noun
abbé	noun
abbéovský	adj
abc	abbrev
abchazsko	noun
abchazský	adj
abchazština	noun
abcházie	noun
abcházsky	adv
abcházština	noun
abdikace	noun
abdikovat	verb
abdikovati	verb
abdominální	adj
abdukce	noun
abdérita	noun
abdérský	adj
abeceda	noun
abecední	adj
abecedně	adv
abel	noun
abelův	adj
aberace	noun
aberdeen	noun
aberdeenský	adj
abertamský	adj
abertamy	noun
abidžan	noun
abigail	noun
abigailin	adj
abilita	noun
abilympiáda	noun
abiogeneze	noun
abionymum	noun
abiotický	adj
abiturient	noun
abiturientka	noun
abiturientův	adj
abiturienťák	noun
abjurace	noun
ablace	noun
ablaktace	noun
ablativ	noun
ablativní	adj
ablaut	noun
ablautovat	verb
ablegát	noun
ablegátův	adj
abnormalita	noun
abnormálnost	noun
abnormální	adj
abolice	noun
abolicionismus	noun
abolicionista	noun
abolicionizmus	noun
abominace	noun
abonent	noun
abonentka	noun
abonentský	adj
abonentův	adj
abonovat	verb
abort	noun
abortace	noun
abortivní	adj
abortus	noun
abradovat	verb
abrahamita	noun
abrahamitský	adj
abrahám	noun
abrahámoviny	noun
abrahámová	noun
abrakadabra	intj
abrase	noun
abraze	noun
abrazivní	adj
abrazivum	noun
abreakce	noun
abreviace	noun
absces	noun
absence	noun
absentismus	noun
absentizmus	noun
absentér	noun
absint	noun
absintismus	noun
absintizmus	noun
absolutismus	noun
absolutizmus	noun
absolutní	adj
absolutorium	noun
absolvent	noun
absolventský	adj
absolventův	adj
absolvenťák	noun
absolvovat	verb
absolvovati	verb
absolón	noun
absorbovat	verb
absorpce	noun
absorpční	adj
abstence	noun
abstinence	noun
abstinent	noun
abstinentismus	noun
abstinentizmus	noun
abstinentka	noun
abstinentský	adj
abstinentův	adj
abstrakce	noun
abstrakcionismus	noun
abstrakcionizmus	noun
abstrakt	noun
abstraktivismus	noun
abstraktivizmus	noun
abstraktní	adj
abstraktně	adv
abstrusní	adj
absurdita	noun
absurdní	adj
absťák	noun
abwehr	noun
aby	conj,particle
abych	verb
