word	form
ablativ	ablative
abnorm	abnormt
abnorm	abnorme
abrikosfarvet	abrikosfarvede
absolut	absolutte
abstrakt	abstrakte
absurd	absurde
acceptabel	acceptabelt
acceptabel	acceptable
accidentel	
adræt	adrætte
adspredt	adspredte
adstadig	adstadigt
adstadig	adstadige
aerodynamisk	
afatisk	afatiske
afdød	afdødt
afdød	afdøde
affektiv	affektivt
affektiv	affektive
afferent	afferente
affirmativ	affirmative
affolket	affolkede
afgørende	
afholdende	
afholdt	afholdte
afhængig	afhængigt
afhængig	afhængige
afledt	afledte
afmålt	afmålte
afmægtig	afmægtigt
afmægtig	afmægtige
aforistisk	aforistiske
afrikansk	afrikanske
afrocentrisk	afrocentriske
afsindig	afsindigt
afsindig	afsindige
afskyelig	afskyeligt
afskyelig	afskyelige
afslappet	afslappede
aggressiv	aggressivt
aggressiv	aggressive
aggressiv	aggressivere
aggressiv	aggressivest
agil	agile
agnatisk	agnatiske
agter	agtert
agter	agtere
agter	agterere
agter	agterst
agtpågivende	
agtværdig	agtværdigt
agtværdig	agtværdige
agtværdig	agtværdigere
agtværdig	agtværdigst
ahistorisk	ahistoriske
ajour	
akademisk	akademiske
akavet	akavede
aktiv	aktivt
aktiv	aktive
aktiv	aktivere
aktiv	aktivest
aktuel	aktuelle
albansk	albanske
alderssvarende	
alderstegen	alderstegent
alderstegen	alderstegne
alene	
alenlang	alenlange
alfabetisk	
algebraisk	algebraiske
algerisk	algeriske
algoritmisk	algoritmiske
alkalisk	alkaliske
alkoholfri	alkoholfrit
alkoholfri	alkoholfrie
alkoholholdig	alkoholholdigt
alkoholholdig	alkoholholdige
allegorisk	allegoriske
allergifremkaldende	
allergisk	allergiske
almen	alment
almen	almene
almengyldig	almengyldigt
almengyldig	almengyldige
almenkendt	almenkendte
almenmenneskelig	almenmenneskeligt
almenmenneskelig	almenmenneskelige
almennyttig	almennyttigt
almennyttig	almennyttige
almennyttig	almennyttigere
almennyttig	almennyttigst
almensproglig	almensprogligt
almensproglig	almensproglige
almindelig	almindeligt
almindelig	almindelige
almindelig	almindeligere
almindelig	almindeligst
almægtig	almægtigt
almægtig	almægtige
almægtig	almægtigere
almægtig	almægtigst
alsidig	alsidigt
alsidig	alsidige
alskens	
alternativ	alternative
altruistisk	altruistiske
alveolær	alveolære
alverdens	
alvidende	
alvorlig	alvorligt
alvorlig	alvorlige
alvorlig	alvorligere
alvorlig	alvorligst
ambitiøs	ambitiøst
ambitiøs	ambitiøse
amerikansk	amerikanske
amok	
analfabetisk	analfabetiske
analog	analogt
analog	analoge
analogisk	analogiske
analytisk	
anarkistisk	anarkistiske
anatomisk	anatomiske
anderledes	
anderledestænkende	
andersensk	andersenske
