word	pos_values
a	character,noun,prep
a-bombe	noun
a-cappella-kor	noun
a-hus	noun
a-kasse	noun
a-kraft	noun
aabenraa	name
aagaard	name
aage	name
aagesen	name
aalborg	name
aarhus	name
aase	name
ab	prep
abasi	noun
abbed	noun
abbedi	noun
abbedisse	noun
abc	noun
abdicere	verb
abdicering	noun
abdikation	noun
abe	noun,verb
abebestand	noun
abebrødtræ	noun
abehus	noun
abelone	name
abelsen	name
abeløjer	noun
aberration	noun
abetræ	noun
abildgård	name,noun
abkhaser	noun
abkhasien	name
ablation	noun
ablativ	adj,noun
abnorm	adj
abnormitet	noun
abonnement	noun
abonnere	verb
aboriginer	noun
aborre	noun
abort	noun
abrahamsen	name
abrikos	noun
abrikosfarvet	adj
abrikostræ	noun
absalon	name
absence	noun
absint	noun
absolut	adj,adv,noun
absoluthed	noun
absolution	noun
absolutisme	noun
absolutist	noun
absolutkvadrat	noun
absorbere	verb
absorbering	noun
absorption	noun
abstrakt	adj,adv,noun
abstraktionsniveau	noun
absurd	adj,adv
absurditet	noun
abyssinier	noun
acceleration	noun
accelerere	verb
accent	noun
accentuere	verb
acceptabel	adj
acceptere	verb
accidentel	adj
acesulfam-kalium	noun
acetat	noun
acetone	noun
acetylsalicylsyre	noun
achilles	name
achilleus	name
actinium	noun
ad	intj,prep
adam	name
adamsen	name
adamsæble	noun
addere	verb
addition	noun
adel	noun
adelsdame	noun
adelskab	noun
adelskvinde	noun
adelsmand	noun
adfærd	noun
adgang	noun
adgangsbillet	noun
adgangskode	noun
adhd	noun
adjektiv	noun
adjunkt	noun
adjø	intj
adlyde	verb
administration	noun
adolf	name
adolfsen	name
adoptivbarn	noun
adoptivsøn	noun
adr	intj
adresse	noun
adressere	verb
adrian	name
adræt	adj
adræthed	noun
adskille	verb
adskillelse	noun
adsprede	verb
adspredelse	noun
adspredt	adj
adspredthed	noun
adstadig	adj
adstadighed	noun
advare	verb
advarsel	noun
advent	noun
adverbium	noun
advisere	verb
advokado	noun
advokat	noun
advokatfirma	noun
ae	verb
aerodynamik	noun
aerodynamisk	adj
aerofobi	noun
af	adv,prep
afart	noun
afasi	noun
afatiker	noun
afatisk	adj
afbestille	verb
afbestilling	noun
afbetale	verb
afbetaling	noun
afbigt	noun
afbilde	verb
afbildning	noun
afblege	verb
afblegning	noun
afbryde	verb
afbrydelse	noun
afbrænde	verb
afbrænding	noun
afdeling	noun
afdrag	noun
afdrage	verb
afdød	adj
affald	noun
affaldsafgift	noun
affaldsbeholder	noun
affaldsbørs	noun
affaldscontainer	noun
affaldsdeponering	noun
affaldsdeponi	noun
affaldsdepot	noun
affaldsdynge	noun
affaldsforbrænding	noun
affaldsforbrændingsanlæg	noun
affaldsgebyr	noun
affaldskurv	noun
affaldspapir	noun
affaldspose	noun
affaldsskakt	noun
affaldssortering	noun
affaldsstof	noun
affaldssæk	noun
affaldstræ	noun
affekt	noun
affektion	noun
affektiv	adj
afferent	adj
afficere	verb
affinde	verb
affirmation	noun
affirmativ	adj
affolke	verb
affolket	adj
affolkning	noun
affære	noun
afføde	verb
afføre	verb
afføring	noun
afgang	noun
afgangstid	noun
afghaner	noun
afgift	noun
afgive	verb
afgivelse	noun
afgrund	noun
afgrøde	noun
afgud	noun
afguderi	noun
afgudsdyrkelse	noun
afgå	verb
afgøre	verb
afgørelse	noun
afgørende	adj,adv
afhandling	noun
afhente	verb
afhentning	noun
afholde	verb
afholdende	adj,adv
afholdenhed	noun
afholdt	adj
afhænge	verb
afhængig	adj
afhængighed	noun
afisoleringstang	noun
afklassificere	verb
afklæde	verb
afkolonisere	verb
afkolonisering	noun
afkom	noun
afkorte	verb
afkriminalisere	verb
afkriminalisering	noun
afkristning	noun
aflad	noun
aflade	verb
aflaste	verb
aflastning	noun
aflede	verb
afledning	noun
afledt	adj
aflevere	verb
aflevering	noun
aflive	verb
aflyd	noun
aflyse	verb
aflæse	verb
afløb	noun
afløbsrens	noun
aflønne	verb
aflønning	noun
afmagt	noun
afmilitarisere	verb
afmystificere	verb
afmåle	verb
afmåling	noun
afmålt	adj
afmålthed	noun
afmægtig	adj
afmærke	verb
aforisme	noun
aforistiker	noun
aforistisk	adj
afpresning	noun
afprøve	verb
afprøvning	noun
afregne	verb
afregning	noun
afrejse	noun,verb
afrika	name
afrikaaner	noun
afrikaans	noun
afrikaner	noun
afrikansk	adj
afrikanskhed	noun
afrive	verb
afrocentrisk	adj
afrodisiakum	noun
afrodite	name
afruse	verb
afsavn	noun
afsender	noun
afsindig	adj
afsindighed	noun
afskaffe	verb
afskaffelse	noun
afsked	noun
afskedige	verb
afskedigelse	noun
afskedsord	noun
afskovning	noun
afskrift	noun
afskrive	verb
afskriver	noun
afskrække	verb
afskrækkelse	noun
afskrækning	noun
afskrælle	verb
afsky	noun,verb
afskyelig	adj
afskygning	noun
afslapning	noun
afslappe	verb
afslappelse	noun
afslappet	adj
afslappethed	noun
afslutning	noun
afslutte	verb
afslutter	noun
afslå	verb
afsløre	verb
afsløring	noun
afsmitning	noun
afsnit	noun
afsnitsfølge	noun
afsnubbe	verb
afspille	verb
afspænde	verb
afspænding	noun
afstand	noun
afstedkomme	verb
afstemme	verb
afstemning	noun
afstraffe	verb
afstraffelse	noun
afstumpe	verb
afstå	verb
afståelse	noun
afstøde	verb
afsværge	verb
afsværgelse	noun
afsæt	noun
afsætte	verb
aftabuisere	verb
aftage	verb
aftager	noun
aftagerland	noun
aftale	noun,verb
aften	noun
aftenkjole	noun
aftenpragtstjerne	noun
aftensmad	noun
aftenstjerne	noun
aftes	noun
aftrækker	noun
aftægt	noun
afvandingsområde	noun
afveje	verb
afveksle	verb
afvekslende	adv
afveksling	noun
afvente	verb
afventning	noun
afvige	verb
afvigelse	noun
afviger	noun
afvikle	verb
afvise	verb
afvisning	noun
afvænne	verb
afvænning	noun
afværge	verb
afæske	verb
agat	noun
agathe	name
agave	noun
agent	noun
agentur	noun
agerbrug	noun
agerdyrkning	noun
agere	verb
ageren	noun
agerhøne	noun
agerjord	noun
agerland	noun
agern	noun
agglomerat	noun
agglutination	noun
agglutinere	verb
aggregat	noun
aggregere	verb
aggression	noun
aggressiv	adj
aggressivitet	noun
aggressor	noun
agil	adj
agitation	noun
agitator	noun
agitere	verb
agn	noun
agnatisk	adj
agnes	name
agnete	name
agnethe	name
agnostiker	noun
agoni	noun
agora	noun
agorafobi	noun
agronom	noun
agronomi	noun
agt	noun
agte	verb
agtelse	noun
agter	adj,adv
agterstavn	noun
agtpågivende	adj
agtpågivenhed	noun
agtværdig	adj
agurk	noun
agurketid	noun
ah	intj
ahasverus	name
ahistorisk	adj
ahmen	intj
ahorn	noun
ahornsirup	noun
ahorntræ	noun
ai	noun
aids	noun
aidsepidemi	noun
aikido	noun
aircondition	noun
ajle	noun
ajour	adj
akacietræ	noun
akademi	noun
akademiker	noun
akademisk	adj
akavet	adj
akavethed	noun
akilleshæl	noun
akillessene	noun
akklimatisere	verb
akkolade	noun
akkord	noun
akkordeon	noun
akkumulator	noun
akkumulere	verb
akkurat	adv
akkusativ	noun
akrobat	noun
akrofobi	noun
akronym	noun
aks	noun
akse	noun
aksel	name,noun
akselsen	name
aksiom	noun
akt	noun
aktie	noun
aktieselskab	noun
aktindsigt	noun
aktion	noun
aktionere	verb
aktionsforskning	noun
aktionær	noun
aktiv	adj,noun
aktivere	verb
aktivering	noun
aktivisere	verb
aktivist	noun
aktivitet	noun
aktstykke	noun
aktuel	adj
akupunktur	noun
akutbil	noun
akvakultur	noun
akvamarin	noun
akvarel	noun
akvarium	noun
akvavit	noun
akvædukt	noun
al	noun,pron
alabama	name
alabast	noun
alarm	noun
alarmklokke	noun
alaska	name
albaner	noun
albanien	name
albansk	adj,noun
albanskhed	noun
albatros	noun
albert	name
alberte	name
albertsen	name
albino	noun
albue	noun,verb
albuerum	noun
album	noun
albumin	noun
albæk	name
aldehyd	noun
aldeles	adv
alder	noun
alderdom	noun
aldersgruppe	noun
aldersgrænse	noun
alderspension	noun
alderspensionist	noun
alderssvarende	adj
alderstegen	adj
alderstræk	noun
aldrig	adv
aldring	noun
alen	noun
alene	adj,adv
alenefar	noun
alenehed	noun
alenetid	noun
alenlang	adj
alex	name
alexander	name
alexandersen	name
alexandra	name
alexandria	name
alf	name,noun
alfabet	noun
alfabetisk	adj
alfader	name
alfahan	noun
alfahun	noun
alfapartikel	noun
alfons	noun
alfred	name
algebra	noun
algebraisk	adj
algerier	noun
algeriet	name
algerisk	adj
algeriskhed	noun
algoritme	noun
algoritmisk	adj
alibi	noun
alice	name
alk	noun
alkali	noun
alkalimetal	noun
alkalisk	adj
alkan	noun
alkefugl	noun
alkohol	noun
alkoholforbud	noun
alkoholforgiftning	noun
alkoholfri	adj
alkoholholdig	adj
alkoholiker	noun
alkoholisme	noun
alkoholmisbrug	noun
alkoholmisbruger	noun
alkymist	noun
allan	name
allegori	noun
allegorisk	adj,adv
allehelgensdag	noun
allemandsviden	noun
allerede	adv
allergi	noun
allergifremkaldende	adj
allergiker	noun
allergisk	adj
allesammen	pron
alliance	noun
alligator	noun
alligevel	adv
allike	noun
allokering	noun
alma	name
almagt	noun
almen	adj
almeneje	noun
almengyldig	adj
almengyldighed	noun
almengøre	verb
almengørelse	noun
almenhed	noun
almeninteresse	noun
almenkendt	adj
almenmenneskelig	adj
almennyttig	adj
almensprog	noun
almensproglig	adj
almenvel	noun
almenviden	noun
almindelig	adj,adv
almindeliggøre	verb
almindeliggørelse	noun
almindelighed	noun
almindeligvis	adv
almue	noun
almægtig	adj
almægtighed	noun
alp	noun
alpaka	noun
alper	name
alperne	name
alperose	noun
alsidig	adj
alsidighed	noun
alskens	adj
altan	noun
alter	noun
altergang	noun
alternativ	adj,noun
altertavle	noun
altid	adv
altimeter	noun
alting	noun,pron
altmuligmand	noun
altruistisk	adj
altsaxofon	noun
altæder	noun
alufolie	noun
aluminium	noun
aluminiumsfolie	noun
alveolar	noun
alveolær	adj
alverden	name
alverdens	adj
alvidende	adj
alvidenhed	noun
alvilda	name
alvor	noun
alvorlig	adj
alvorlighed	noun
alvorsmand	noun
alvorsord	noun
amager	noun
amalie	name
amanda	name
amanuensis	noun
amatør	noun
amatørornitolog	noun
ambassade	noun
ambassadør	noun
ambition	noun
ambitiøs	adj
ambolt	noun
ambra	noun
ambulance	noun
americium	noun
amerika	name
amerikaner	noun
amerikansk	adj
amerikanskhed	noun
ametyst	noun
amfibium	noun
amfiteater	noun
amin	noun
aminosyre	noun
amme	noun,verb
ammoniak	noun
ammonium	noun
amnesi	noun
amnesti	noun
amning	noun
amok	adj
amsterdam	name
amt	noun
amundsen	name
amøbe	noun
an	adv
anagram	noun
anakonda	noun
analfabet	noun
analfabetisk	adj
analfabetisme	noun
analog	adj
analogi	noun
analogisk	adj
analsex	noun
analyse	noun
analysere	verb
analytiker	noun
analytisk	adj
ananas	noun
anarki	noun
anarkisme	noun
anarkist	noun
anarkistisk	adj
anatolien	name
anatomi	noun
anatomisk	adj
anbefale	verb
anbringe	verb
anciennitet	noun
and	noun
andagt	noun
andalusier	noun
andebestand	noun
andefedt	noun
andel	noun
andelsbolig	noun
andemad	noun
anden	num,pron
andendag	noun
andengenerationsindvandrer	noun
andengradsligning	noun
andenudgave	noun
