lemma	positiv	komparativ	superlativ
abertausend	abertausend		
achtel	achtel		
agamogonisch	agamogonisch		
agender	agender		
allein	allein		
alleine	alleine		
allerhand	allerhand		
apricot	apricot		
aro	aro		
assi	assi		
auszugsweise	auszugsweise		
average	average		
barfuß	barfuß		
bi	bi		
billiardstel	billiardstel		
billionstel	billionstel		
billiontel	billiontel		
billo	billo		
bleu	bleu		
blunzen	blunzen		
bordeaux	bordeaux		
brut	brut		
butch	butch		
cerise	cerise		
champagner	champagner		
charming	charming		
chochem	chochem		
cis	cis		
creme	creme		
cringe	cringe		
dekagrammweise	dekagrammweise		
depri	depri		
derbe	derbe		
designatus	designatus		
detsch	detsch		
down	down		
drehlich	drehlich	drehlicher	
dreißigstel	dreißigstel		
dutzend	dutzend		
easy	easy		
easy-peasy	easy-peasy		
ein	ein		
einerlei	einerlei		
emeritus	emeritus		
entzwei	entzwei		
etepetete	etepetete		
extra	extra		
feind	feind		
flachsen	flachsen		
freund	freund		
futsch	futsch		
futschikato	futschikato		
fünftel	fünftel		
gaga	gaga		
gay	gay		
gefallen	gefallen		
gewahr	gewahr		
gewärtig	gewärtig		
gram	gram		
groggy	groggy		
groovy	groovy		
hacke	hacke		
halal	halal		
happy	happy	happyer	
hetero	hetero		
high	high		
himmelangst	himmelangst		
homemade	homemade		
homo	homo		
hundertpro	hundertpro		
hundertstel	hundertstel		
in	in		
instant	instant		
inter	inter		
jade	jade		
jammerschade	jammerschade		
junior	junior		
kaki	kaki		
kapores	kapores		
klasse	klasse		
klein kariert	kleinkariert	kleinkarierter	
knock-out	knock-out		
knockout	knockout		
knülle	knülle		
korallenrosa	korallenrosa		
krekel	krekel		
kund	kund		
lachs	lachs		
larifari	larifari		
lavendel	lavendel		
lawratutti	lawratutti		
live	live		
los	los		
lost	lost		
maberes	maberes		
machulle	machulle		
mause	mause		
mauve	mauve		
mechulle	mechulle		
medium	medium		
metallic	metallic		
milliardstel	milliardstel		
millionstel	millionstel		
mini	mini		
mint	mint		
mitschuld	mitschuld		
muff	muff		
mutterwindallein	mutterwindallein		
métallisé	métallisé		
nature	nature		
naua	naua		
neger	neger		
net	net		
nice	nice		
not	not		
null	null		
null-acht-fünfzehn	null-acht-fünfzehn		
nullachtfünfzehn	nullachtfünfzehn		
nullkommajosef	nullkommajosef		
ocker	ocker		
offline	offline		
oldschool	oldschool		
oliv	oliv		
online	online		
overdressed	overdressed		
oversized	oversized		
overstyled	overstyled		
passé	passé		
patt	patt		
perdu	perdu		
perennis	perennis		
piccolo	piccolo		
picobello	picobello		
pleite	pleite		
plemplem	plemplem		
porno	porno		
powidl	powidl		
premium	premium		
prima	prima		
quitt	quitt		
random	random		
rosé	rosé		
ruachad	ruachad		
schade	schade		
scheiße	scheiße		
schickimicki	schickimicki		
schmafu	schmafu		
schnuppe	schnuppe		
schnurz	schnurz		
schnurzegal	schnurzegal		
schnurzpiepegal	schnurzpiepegal		
schröcklich	schröcklich	schröcklicher	
schuld	schuld		
sechstel	sechstel		
senior	senior		
serpens	serpens		
siebziger	siebziger		
single	single		
sitt	sitt		
small	small		
smart	smart	smarter	
sondergleichen	sondergleichen		
sophisticated	sophisticated		
spinnefeind	spinnefeind		
stachelicht	stachelicht	stachelichter	
stoned	stoned		
stop-and-go	stop-and-go		
super	super		
supi	supi		
tabu	tabu		
taupe	taupe		
tausendstel	tausendstel		
top	top		
trans	trans		
transgender	transgender		
trendy	trendy		
trillionstel	trillionstel		
umami	umami		
unanbequem	unanbequem		
unbenommen	unbenommen		
undercover	undercover		
underdressed	underdressed		
uneins	uneins		
uni	uni		
unisex	unisex		
vanille	vanille		
varus	varus		
veggie	veggie		
vonnöten	vonnöten		
wumpe	wumpe		
wurscht	wurscht		
zehntel	zehntel		
zimt	zimt		
zubenamt	zubenamt		
zubenannt	zubenannt		
zweiunddreißigstel	zweiunddreißigstel		
öko	öko		
überschlagen	überschlagen		
