wort	genus	genitiv_singular	plural
A-Achse	f	A-Achse	A-Achsen
A-Auswahl	f	A-Auswahl	A-Auswahlen
A-Bombe	f	A-Bombe	A-Bomben
A-Cappella-Band	f	A-Cappella-Band	A-Cappella-Bands
A-Cappella-Chor	m	A-Cappella-Chors	A-Cappella-Chöre
A-Dur	n	A-Dur	
A-Dur-Tonleiter	f	A-Dur-Tonleiter	A-Dur-Tonleitern
A-Jugend	f	A-Jugend	A-Jugenden
A-Jugendliche	f	A-Jugendlicher	A-Jugendliche
A-Kader	m	A-Kaders	A-Kader
A-Klarinette	f	A-Klarinette	A-Klarinetten
A-Mannschaft	f	A-Mannschaft	A-Mannschaften
A-Nationalmannschaft	f	A-Nationalmannschaft	A-Nationalmannschaften
A-Probe	f	A-Probe	A-Proben
A-Saite	f	A-Saite	A-Saiten
A-Säule	f	A-Säule	A-Säulen
A-Ware	f	A-Ware	A-Waren
A-a	n	A-as	
A-cappella-Band	f	A-cappella-Band	A-cappella-Bands
A-cappella-Chor	m	A-cappella-Chors	A-cappella-Chöre
ABC	n	ABC	
ABC-Abwehr	f	ABC-Abwehr	ABC-Abwehren
ABC-Abwehrtruppe	f	ABC-Abwehrtruppe	ABC-Abwehrtruppen
ABC-Alarm	m	ABC-Alarms	ABC-Alarme
ABC-Buch	n	ABC-Buchs	ABC-Bücher
ABC-Gefahr	f	ABC-Gefahr	ABC-Gefahren
ABC-Kampfmittel			ABC-Kampfmittel
ABC-Schutzanzug	m	ABC-Schutzanzuges	ABC-Schutzanzüge
ABC-Schutzmaske	f	ABC-Schutzmaske	ABC-Schutzmasken
ABC-Schüler	m	ABC-Schülers	ABC-Schüler
ABC-Schütze	m	ABC-Schützen	ABC-Schützen
ABC-Staaten			ABC-Staaten
ABC-Tafel	f	ABC-Tafel	ABC-Tafeln
ABC-Trinker	m	ABC-Trinkers	ABC-Trinker
ABC-Waffe	f	ABC-Waffe	ABC-Waffen
ABC-Waffen			ABC-Waffen
ABM-Kraft	f	ABM-Kraft	ABM-Kräfte
ABM-Maßnahme	f	ABM-Maßnahme	ABM-Maßnahmen
ACE-Hemmer	m	ACE-Hemmers	ACE-Hemmer
ADAC	m	ADAC	
ADHS-Kind	n	ADHS-Kinds	ADHS-Kinder
ADV-Vertrag	m	ADV-Vertrages	ADV-Verträge
AHA-Formel	f	AHA-Formel	
AIDS-Konferenz	f	AIDS-Konferenz	AIDS-Konferenzen
AIDS-Krise	f	AIDS-Krise	AIDS-Krisen
AIDS-Toter	m	AIDS-Toten	AIDS-Tote
ALG-II-Leistungsbescheid	m	ALG-II-Leistungsbescheids	ALG-II-Leistungsbescheide
AMOC	f	AMOC	
ANC-Mitglied	n	ANC-Mitgliedes	ANC-Mitglieder
ANC-Politiker	m	ANC-Politikers	ANC-Politiker
AQAP	f	AQAP	
ASCII-Code	m	ASCII-Code	
ASL-Zeichen	n	ASL-Zeichens	ASL-Zeichen
AStA	m	AStA	AStA
ATF	n	ATF	
AU-Plakette	f	AU-Plakette	AU-Plaketten
AUC			AUC
Aa-Lava	f	Aa-Lava	Aa-Laven
Aachener	m	Aacheners	Aachener
Aachener Aphasie-Test	m	Aachener Aphasie-Tests	Aachener Aphasie-Tests
Aachenerin	f	Aachenerin	Aachenerinnen
Aad	f	Aad	Aaden
Aak	n	Aakes	Aake
Aake	f	Aake	Aaken
Aakerbeere	f	Aakerbeere	Aakerbeeren
Aal	m	Aals	Aale
Aalauge	n	Aalauges	Aalaugen
Aalbaum	m	Aalbaumes	Aalbäume
Aalbeere	f	Aalbeere	Aalbeeren
Aalbeerstrauch	m	Aalbeerstrauches	Aalbeersträucher
Aalbestand	m	Aalbestandes	Aalbestände
Aalbricke	f	Aalbricke	Aalbricken
Aalbutt	m	Aalbuttes	Aalbutte
Aaldorsch	m	Aaldorsches	Aaldorsche
Aaleidechse	f	Aaleidechse	Aaleidechsen
Aaleisen	n	Aaleisens	Aaleisen
Aalen	n	Aalens	
Aalener	m	Aaleners	Aalener
Aalenerin	f	Aalenerin	Aalenerinnen
Aalenium	n	Aaleniums	
Aalfang	m	Aalfangs	Aalfänge
Aalfett	n	Aalfetts	Aalfette
Aalfisch	m	Aalfisches	Aalfische
Aalfischer	m	Aalfischers	Aalfischer
Aalfischerei	f	Aalfischerei	Aalfischereien
Aalfischerin	f	Aalfischerin	Aalfischerinnen
Aalfrau	f	Aalfrau	Aalfrauen
Aalgabel	f	Aalgabel	Aalgabeln
Aalhamen	m	Aalhamens	Aalhamen
Aalhaut	f	Aalhaut	Aalhäute
Aalkasten	m	Aalkastens	Aalkästen
Aalkorb	m	Aalkorbes	Aalkörbe
Aalkrähe	f	Aalkrähe	Aalkrähen
Aalleiter	f	Aalleiter	Aalleitern
Aalmolch	m	Aalmolches	Aalmolche
Aalmutter	f	Aalmutter	Aalmuttern
Aalmöwe	f	Aalmöwe	Aalmöwen
