infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
aalen	aale	aalst	aalt	aalen	aalt	aalen	aalte	aaltest	aalte	aalten	aaltet	aalten	geaalt	aal	aalt
aasen	aase	aast	aast	aasen	aast	aasen	aaste	aastest	aaste	aasten	aastet	aasten	geaast	aase	aast
ab sein	bin ab	bist ab	ist ab	sind ab	seid ab	sind ab	war ab	warst ab	war ab	waren ab	wart ab	waren ab	ab gewesen	sei ab	seid ab
abaasen	aase ab	aast ab	aast ab	aasen ab	aast ab	aasen ab	aaste ab	aastest ab	aaste ab	aasten ab	aastet ab	aasten ab	abgeaast	aase ab	aast ab
abacheln	achle ab	achelst ab	achelt ab	acheln ab	achelt ab	acheln ab	achelte ab	acheltest ab	achelte ab	achelten ab	acheltet ab	achelten ab	abgeachelt	achele ab	achelt ab
abachen	ache mich ab	achst dich ab	acht sich ab	achen uns ab	acht euch ab	achen sich ab	achte mich ab	achtest dich ab	achte sich ab	achten uns ab	achtet euch ab	achten sich ab	abgeacht	ach ab	acht ab
abackern	acker ab	ackerst ab	ackert ab	ackern ab	ackert ab	ackern ab	ackerte ab	ackertest ab	ackerte ab	ackerten ab	ackertet ab	ackerten ab	abgeackert	ackere ab	ackert ab
abaissieren	abaissiere	abaissierst	abaissiert	abaissieren	abaissiert	abaissieren	abaissierte	abaissiertest	abaissierte	abaissierten	abaissiertet	abaissierten	abaissiert	abaissiere	abaissiert
abalienieren	abalieniere	abalienierst	abalieniert	abalienieren	abalieniert	abalienieren	abalienierte	abalieniertest	abalienierte	abalienierten	abalieniertet	abalienierten	abalieniert	abalieniere	abalieniert
abandonnieren	abandonniere	abandonnierst	abandonniert	abandonnieren	abandonniert	abandonnieren	abandonnierte	abandonniertest	abandonnierte	abandonnierten	abandonniertet	abandonnierten	abandonniert	abandonniere	abandonniert
abangeln	angle ab	angelst ab	angelt ab	angeln ab	angelt ab	angeln ab	angelte ab	angeltest ab	angelte ab	angelten ab	angeltet ab	angelten ab	abgeangelt	angel ab	angelt ab
abarbeiten	arbeite ab	arbeitest ab	arbeitet ab	arbeiten ab	arbeitet ab	arbeiten ab	arbeitete ab	arbeitetest ab	arbeitete ab	arbeiteten ab	arbeitetet ab	arbeiteten ab	abgearbeitet	arbeite ab	arbeitet ab
abarten	arte ab	artest ab	artet ab	arten ab	artet ab	arten ab	artete ab	artetest ab	artete ab	arteten ab	artetet ab	arteten ab	abgeartet	arte ab	artet ab
abasten													abgeastet	aste ab	astet ab
abatmen	atme ab	atmest ab	atmet ab	atmen ab	atmet ab	atmen ab	atmete ab	atmetest ab	atmete ab	atmeten ab	atmetet ab	atmeten ab	abgeatmet	atme ab	atmet ab
abbacken	backe ab	bäckst ab	bäckt ab	backen ab	backt ab	backen ab	buk ab	bukst ab	buk ab	buken ab	bukt ab	buken ab	abgebacken	back ab	backt ab
abbaden	bade ab	badest ab	badet ab	baden ab	badet ab	baden ab	badete ab	badetest ab	badete ab	badeten ab	badetet ab	badeten ab	abgebadet	bade ab	badet ab
abbaggern	bagger ab	baggerst ab	baggert ab	baggern ab	baggert ab	baggern ab	baggerte ab	baggertest ab	baggerte ab	baggerten ab	baggertet ab	baggerten ab	abgebaggert	bagger ab	baggert ab
abbahren	bahre ab	bahrst ab	bahrt ab	bahren ab	bahrt ab	bahren ab	bahrte ab	bahrtest ab	bahrte ab	bahrten ab	bahrtet ab	bahrten ab	abgebahrt	bahre ab	bahrt ab
abbaken	bake ab	bakst ab	bakt ab	baken ab	bakt ab	baken ab	bakte ab	baktest ab	bakte ab	bakten ab	baktet ab	bakten ab	abgebakt	bake ab	bakt ab
abbalgen	balge ab	balgst ab	balgt ab	balgen ab	balgt ab	balgen ab	balgte ab	balgtest ab	balgte ab	balgten ab	balgtet ab	balgten ab	abgebalgt	balg ab	balgt ab
abballern	baller ab	ballerst ab	ballert ab	ballern ab	ballert ab	ballern ab	ballerte ab	ballertest ab	ballerte ab	ballerten ab	ballertet ab	ballerten ab	abgeballert	ballere ab	ballert ab
abbalzen	balze ab	balzt ab	balzt ab	balzen ab	balzt ab	balzen ab	balzte ab	balztest ab	balzte ab	balzten ab	balztet ab	balzten ab	abgebalzt	balz ab	balzt ab
abbamsen	bamse ab	bamst ab	bamst ab	bamsen ab	bamst ab	bamsen ab	bamste ab	bamstest ab	bamste ab	bamsten ab	bamstet ab	bamsten ab	abgebamst	bams ab	bamst ab
abbangen	bange ab	bangst ab	bangt ab	bangen ab	bangt ab	bangen ab	bangte ab	bangtest ab	bangte ab	bangten ab	bangtet ab	bangten ab	abgebangt	bang ab	bangt ab
abbannen	bann ab	bannst ab	bannt ab	bannen ab	bannt ab	bannen ab	bannte ab	banntest ab	bannte ab	bannten ab	banntet ab	bannten ab	abgebannt	bann ab	bannt ab
