word	form
Ίκαρος	Ίκαροι
Ίκαρος	Ικάρου
Ίκαρος	Ίκαρου
Ίκαρος	Ικάρων
Ίκαρος	Ίκαρο
Ίκαρος	Ικάρους
Ίκαρος	Ίκαρους
Ίκαρος	Ίκαρε
Αγαθονησίτης	Αγαθονησίτες
Αγαθονησίτης	Αγαθονησίτη
Αγαθονησίτης	Αγαθονησιτών
Αγαθονησίτης	Αγαθονησίτισσα
Αγιοδημητριάτης	Αγιοδημητριάτηδες
Αγιοδημητριάτης	Αγιοδημητριάτη
Αγιοδημητριάτης	Αγιοδημητριάτηδων
Αγιονορείτης	Αγιονορείτες
Αγιονορείτης	Αγιονορείτη
Αγιονορείτης	Αγιονορειτών
Αγιοταφίτης	Αγιοταφίτες
Αγιοταφίτης	Αγιοταφίτη
Αγιοταφίτης	Αγιοταφιτών
Αγιοταφίτης	Αγιοταφίτισσα
Αγκολέζος	Αγκολέζοι
Αγκολέζος	Αγκολέζου
Αγκολέζος	Αγκολέζων
Αγκολέζος	Αγκολέζο
Αγκολέζος	Αγκολέζους
Αγκολέζος	Αγκολέζε
Αγκολέζος	Αγκολέζα
Αζερμπαϊτζανός	Αζερμπαϊτζανοί
Αζερμπαϊτζανός	Αζερμπαϊτζανού
Αζερμπαϊτζανός	Αζερμπαϊτζανών
Αζερμπαϊτζανός	Αζερμπαϊτζανό
Αζερμπαϊτζανός	Αζερμπαϊτζανούς
Αζερμπαϊτζανός	Αζερμπαϊτζανέ
Αζερμπαϊτζανός	Αζερμπαϊτζανή
Αιγινήτης	Αιγινήτισσα
Αλβανάκι	Αλβανάκια
Αλβανάκι	Αλβανακιού
Αλβανάκι	Αλβανακιών
Αλεξανδρουπολίτης	Αλεξανδρουπολίτισσα
Αλεξανδρουπολίτης	Αλεξανδρουπολίτες
Αλεξανδρουπολίτης	Αλεξανδρουπολίτη
Αλεξανδρουπολίτης	Αλεξανδρουπολιτών
Αλευροστάφυλο	Αλευροστάφυλα
Αλευροστάφυλο	Αλευροστάφυλου
Αλευροστάφυλο	Αλευροστάφυλων
Αλοννησιώτης	Αλοννησιώτες
Αλοννησιώτης	Αλοννησιώτη
Αλοννησιώτης	Αλοννησιωτών
Αλοννησιώτης	Αλοννησιώτισσα
Αμοργιανή	Αμοργιανές
Αμοργιανή	Αμοργιανής
Αμοργιανή	Αμοργιανών
Αμοργιανός	Αμοργιανοί
Αμοργιανός	Αμοργιανού
Αμοργιανός	Αμοργιανών
Αμοργιανός	Αμοργιανό
Αμοργιανός	Αμοργιανούς
Αμοργιανός	Αμοργιανέ
Αμοργιανός	Αμοργιανή
Αμφιθεάτης	Αμφιθεάτες
Αμφιθεάτης	Αμφιθεάτη
Αμφιθεάτης	Αμφιθεατών
Αμφιθεάτης	Αμφιθεάτισσα
Αναγέννηση	Αναγέννησης
Ανατολικοευρωπαία	Ανατολικοευρωπαίες
Ανατολικοευρωπαία	Ανατολικοευρωπαίας
Ανατολικοευρωπαία	Ανατολικοευρωπαίων
Αναφιώτης	Αναφιώτες
Αναφιώτης	Αναφιώτη
Αναφιώτης	Αναφιωτών
Αναφιώτης	Αναφιώτισσα
Αναφιώτισσα	Αναφιώτισσες
Αναφιώτισσα	Αναφιώτισσας
Αναφιώτισσα	Αναφιωτισσών
Ανθεστήρια	Ανθεστήριων
Ανθεστήρια	Ανθεστηρίων
Ανθουσιώτης	Ανθουσιώτες
Ανθουσιώτης	Ανθουσιώτη
Ανθουσιώτης	Ανθουσιωτών
Ανθουσιώτης	Ανθουσιώτισσα
Απεραθίτης	Απεραθίτες
Απεραθίτης	Απεραθίτη
Απεραθίτης	Απεραθιτών
Απεραθίτης	Απειραθίτης
Απεραθίτης	Απεραθίτισσα
Απεραθίτισσα	Απεραθίτισσες
Απεραθίτισσα	Απεραθίτισσας
Απεραθίτισσα	Απεραθιτισσών
Αργιθεάτης	Αργιθεάτες
Αργιθεάτης	Αργιθεάτη
Αργιθεάτης	Αργιθεατών
Αργιθεάτης	Αργιθεάτισσα
Αριασσός	Αριασσοί
Αριασσός	Αριασσού
Αριασσός	Αριασσών
Αριασσός	Αριασσό
Αριασσός	Αριασσούς
Αριασσός	Αριασσέ
Αρτινός	Αρτινοί
Αρτινός	Αρτινού
Αρτινός	Αρτινών
Αρτινός	Αρτινό
Αρτινός	Αρτινούς
Αρτινός	Αρτινέ
Αρτινός	Αρτινή
Ασπροθαλασσίτισσα	Ασπροθαλασσίτισσες
Ασπροθαλασσίτισσα	Ασπροθαλασσίτισσας
Ασπροθαλασσίτισσα	Ασπροθαλασσιτισσών
Ασπροχωρίτης	Ασπροχωρίτες
Ασπροχωρίτης	Ασπροχωρίτη
Ασπροχωρίτης	Ασπροχωριτών
Ασπροχωρίτης	Ασπροχωρίτισσα
Ασσίτης	Ασσίτες
Ασσίτης	Ασσίτη
Ασσίτης	Ασσιτών
Αστουριανός	Αστουριανοί
Αστουριανός	Αστουριανού
Αστουριανός	Αστουριανών
Αστουριανός	Αστουριανό
Αστουριανός	Αστουριανούς
Αστουριανός	Αστουριανέ
Αστουριανός	Αστουριανή
Αστροπαλίτης	Αστροπαλίτες
Αστροπαλίτης	Αστροπαλίτη
Αστροπαλίτης	Αστροπαλιτών
Αστροπαλίτης	Αστροπαλίτισσα
Αττάβυρος	Αττάβυρου
Αττάβυρος	Αττάβυρο
Αττάβυρος	Αττάβυρε
Βαλαάς	Βαλαάδες
Βαλαάς	Βαλαά
Βαλαάς	Βαλαάδων
Βαλδένσιοι	Ουαλδένσιοι
Βαριώτης	Βαριώτες
Βαριώτης	Βαριώτη
Βαριώτης	Βαριωτών
Βαριώτης	Βαριώτισσα
Βαρκιζιώτης	Βαρκιζιώτες
Βαρκιζιώτης	Βαρκιζιώτη
Βαρκιζιώτης	Βαρκιζιωτών
Βαρκιζιώτης	Βαρκιζιώτισσα
Βαυαροκρατία	Βαυαροκρατίες
Βαυαροκρατία	Βαυαροκρατίας
Βαυαροκρατία	Βαυαροκρατιών
Βενετσάνα	Βενετσάνες
Βενετσάνα	Βενετσάνας
Βιενέζα	Βιενέζες
Βιενέζα	Βιενέζας
Βιενέζος	Βιενέζοι
Βιενέζος	Βιενέζου
Βιενέζος	Βιενέζων
Βιενέζος	Βιενέζο
Βιενέζος	Βιενέζους
Βιενέζος	Βιενέζε
Βιεννέζα	Βιεννέζες
Βιεννέζα	Βιεννέζας
Βογομιλισμός	Βογομιλισμού
Βογομιλισμός	Βογομιλισμό
Βογομιλισμός	Βογομιλισμέ
Βορειοευρωπαία	Βορειοευρωπαίες
Βορειοευρωπαία	Βορειοευρωπαίας
Βορειοευρωπαία	Βορειοευρωπαίων
Βουλιαγμενιώτης	Βουλιαγμενιώτες
Βουλιαγμενιώτης	Βουλιαγμενιώτη
