word	form
άπτομαι	απτόμουν
άπτομαι	απτόμουνα
άπτομαι	άπτεσαι
άπτομαι	απτόσουν
άπτομαι	απτόσουνα
άπτομαι	άπτου
άπτομαι	άπτεται
άπτομαι	απτόταν
άπτομαι	απτότανε
άπτομαι	απτόμαστε
άπτομαι	απτόμασταν
άπτομαι	άπτεστε
άπτομαι	απτόσαστε
άπτομαι	απτόσασταν
άπτομαι	άπτονται
άπτομαι	άπτονταν
άπτομαι	απτόντουσαν
άπτομαι	άφθηκα
άπτομαι	αφθεί
άπτομαι	άφθηκες
άπτομαι	άφθηκε
άπτομαι	αφθήκαμε
άπτομαι	αφθήκατε
άπτομαι	αφθείτε
άπτομαι	άφθηκαν
άπτομαι	αφθήκαν
άπτομαι	αφθήκανε
άρπα	άρπες
άρπα	άρπας
άρπα	αρπών
άρχω	ήρξα
άρχω	άρξω
άρχω	άρχομαι
άρχων	άρχοντας
άρχων	άρχουσα
άρχων	άρχον
άρχων	άρχοντος
άρχων	άρχοντα
άρχων	άρχουσας
άρχων	αρχούσης
άρχων	άρχοντες
άρχων	άρχουσες
άρχων	αρχόντων
άρχων	αρχουσών
έβγα	εβγάτε
έβγα	βγάτε
έγκειται	έγκειτο
έρπω	είρπα
έρπω	έρποντας
έρπω	έρπεις
έρπω	είρπες
έρπω	έρπει
έρπω	είρπε
έρπω	έρπουμε
έρπω	είρπαμε
έρπω	έρπετε
έρπω	είρπατε
έρπω	έρπουν
έρπω	έρπουνε
έρπω	είρπαν
έρπω	είρπανε
έρχομαι εις γάμου κοινωνίαν	έρχομαι
έρχομαι εις γάμου κοινωνίαν	εις
έρχομαι εις γάμου κοινωνίαν	γάμου
έρχομαι εις γάμου κοινωνίαν	κοινωνίαν
έχω	είχα
έχω	έχοντας
έχω	έχεις
έχω	είχες
έχω	έχε
έχω	έχει
έχω	είχε
έχω	έχουμε
έχω	είχαμε
έχω	έχετε
έχω	είχατε
έχω	έχουν
έχω	έχουνε
έχω	είχαν
έχω	είχανε
έχων	έχοντας
έχων	έχουσα
έχων	έχον
έχων	έχοντος
έχων	έχοντα
έχων	έχουσας
έχων	εχούσης
έχων	έχοντες
έχων	έχουσες
έχων	εχόντων
έχων	εχουσών
ήρα	ήρες
ήρα	ήρας
αίρω	ήρα
αίρω	αίροντας
αίρω	αίρεις
αίρω	ήρες
αίρω	αίρε
αίρω	αίρει
αίρω	ήρε
αίρω	αίρουμε
αίρω	αίραμε
αίρω	αίρετε
αίρω	αίρατε
αίρω	αίρουν
αίρω	αίρουνε
αίρω	ήραν
αίρω	αίραν
αίρω	αίρανε
αίρω	άρει
αίρω	άρε
αίρω	άραμε
αίρω	άρατε
αίρω	άρετε
αίρω	άραν
αίρω	άρανε
αβανιάζω	αβάνιασα
αβανιάζω	αβανιάζομαι
αβανιάζω	αβανιασμένος
αβανιάζω	αβάνιαζα
αβανιάζω	αβανιάζοντας
αβανιάζω	αβανιάζεις
αβανιάζω	αβάνιαζες
αβανιάζω	αβάνιαζε
αβανιάζω	αβανιάζει
αβανιάζω	αβανιάζουμε
αβανιάζω	αβανιάζαμε
αβανιάζω	αβανιάζετε
αβανιάζω	αβανιάζατε
αβανιάζω	αβανιάζουν
αβανιάζω	αβανιάζουνε
αβανιάζω	αβάνιαζαν
αβανιάζω	αβανιάζαν
αβανιάζω	αβανιάζανε
αβανιάζω	αβανιάσει
αβανιάζω	αβάνιασες
αβανιάζω	αβάνιασε
αβανιάζω	αβανιάσαμε
αβανιάζω	αβανιάσατε
αβανιάζω	αβανιάστε
αβανιάζω	αβάνιασαν
αβανιάζω	αβανιάσαν
αβανιάζω	αβανιάσανε
αβανιοκαμένος	αβανιοκαμένη
αβανιοκαμένος	αβανιοκαμένο
αβανιοκαμένος	αβανιοκαμένου
αβανιοκαμένος	αβανιοκαμένης
αβανιοκαμένος	αβανιοκαμένε
αβανιοκαμένος	αβανιοκαμένοι
αβανιοκαμένος	αβανιοκαμένες
αβανιοκαμένος	αβανιοκαμένα
αβανιοκαμένος	αβανιοκαμένων
αβανιοκαμένος	αβανιοκαμένους
αβαντάρω	αβαντάρισα
αβαντάρω	αβαντάρομαι
αβαντάρω	αβανταρίστηκα
αβαντάρω	αβανταρισμένος
αβαντζάρω	αβαντζάρισα
αβαράρω	αβαράρισα
αβασκαίνω	αβάσκαινα
αβασκαίνω	αβάσκανα
αβασκαίνω	αβασκαίνομαι
αβασκαίνω	αβασκάθηκα
αβασκαίνω	αβασκαμένος
αβασκαίνω	αβασκαίνοντας
αβασκαίνω	αβασκαίνεις
αβασκαίνω	αβάσκαινες
αβασκαίνω	αβάσκαινε
αβασκαίνω	αβασκαίνει
αβασκαίνω	αβασκαίνουμε
αβασκαίνω	αβασκαίναμε
αβασκαίνω	αβασκαίνετε
αβασκαίνω	αβασκαίνατε
αβασκαίνω	αβασκαίνουν
αβασκαίνω	αβασκαίνουνε
αβασκαίνω	αβάσκαιναν
αβασκαίνω	αβασκαίναν
αβασκαίνω	αβασκαίνανε
αβασκαίνω	αβασκάνει
αβασκαίνω	αβάσκανες
αβασκαίνω	αβάσκανε
αβασκαίνω	αβασκάναμε
αβασκαίνω	αβασκάνατε
αβασκαίνω	αβασκάνετε
αβασκαίνω	αβάσκαναν
αβασκαίνω	αβασκάναν
αβασκαίνω	αβασκάνανε
αβασκαίνω	αβασκαινόμουν
