word	comparative	superlative
Brummie	Brummier	Brummiest
Brummy	Brummier	Brummiest
Christmassy	Christmassier	Christmassiest
DILFy	DILFier	DILFiest
DRY	DRYer	DRYest
Dutch	Dutcher	Dutchest
French	Frencher	Frenchest
Frenchy	Frenchier	Frenchiest
German		Germanest
Greek	Greeker	Greekest
Halloweeny	Halloweenier	Halloweeniest
Hogwartsy	Hogwartsier	Hogwartsiest
Jewish	Jewisher	Jewishest
Lindy	Lindier	Lindiest
Lordly	Lordlier	Lordliest
MILFy	MILFier	MILFiest
Minecrafty	Minecraftier	Minecraftiest
Mormony	Mormonier	Mormoniest
Mussolini	Mussolinier	Mussoliniest
OK	OKer	OKest
SWERFy	SWERFier	SWERFiest
Sloaney	Sloanier	Sloaniest
TERFy	TERFier	TERFiest
Trumpy	Trumpier	Trumpiest
U	Uer	Uest
WAFFy	WAFFier	WAFFiest
WASPy	WASPier	WASPiest
WET	WETter	WETtest
abgeschmackt	abgeschmackter	abgeschmacktest
abject	abjecter	abjectest
able	abler	ablest
abrupt	abrupter	abruptest
absent	absenter	absentest
absolute	absoluter	absolutest
abstract	abstracter	abstractest
abstruse	abstruser	abstrusest
absurd	absurder	absurdest
achey	achier	achiest
achy	achier	achiest
acid	acider	acidest
acrid	acrider	acridest
acute	acuter	acutest
adept	adepter	adeptest
adroit	adroiter	adroitest
adulty	adultier	adultiest
aery	aerier	aeriest
aggy	aggier	aggiest
agile	agiler	agilest
airworthy	airworthier	airworthiest
airy	airier	airiest
almondy	almondier	almondiest
ambitious	ambitiouser	ambitiousest
ample	ampler	amplest
amusing	amusinger	amusingest
ancient	ancienter	ancientest
angry	angrier	angriest
angsty	angstier	angstiest
antient	antienter	antientest
antique	antiquer	antiquest
antly	antlier	antliest
antsy	antsier	antsiest
anxious	anxiouser	anxiousest
apt	apter	aptest
arch	archer	archest
archpriestly	archpriestlier	archpriestliest
arid	arider	aridest
arrant	arranter	arrantest
arsy	arsier	arsiest
artsie	artsier	artsiest
artsy	artsier	artsiest
arty	artier	artiest
ashy	ashier	ashiest
assy	assier	assiest
astute	astuter	astutest
august	auguster	augustest
auncient	auncienter	auncientest
auntient	auntienter	auntientest
auntly	auntlier	auntliest
austere	austerer	austerest
automatic		dubious
avid	avider	avidest
aware	awarer	awarest
awesome	awesomer	awesomest
awful	awfuller	awfullest
awnry	awnrier	awnriest
babbly	babblier	babbliest
baby	babier	babiest
backstabby	backstabbier	backstabbiest
bad	worse	worst
badassy	badassier	badassiest
baggy	baggier	baggiest
bait	baiter	baitest
baity	baitier	baitiest
bald	balder	baldest
balky	balkier	balkiest
balloony	balloonier	ballooniest
ballsy	ballsier	ballsiest
balmy	balmier	balmiest
bammy	bammier	bammiest
banal	banaler	banalest
bandy	bandier	bandiest
bangy	bangier	bangiest
bare	barer	barest
barky	barkier	barkiest
barmy	barmier	barmiest
barny	barnier	barniest
baroque	baroquer	baroquest
barren	barrener	barrenest
base	baser	basest
basementy	basementier	basementiest
bashy	bashier	bashiest
bass	basser	bassest
bassy	bassier	bassiest
batty	battier	battiest
bawdy	bawdier	bawdiest
bay	bayer	bayest
beachy	beachier	beachiest
beady	beadier	beadiest
beaky	beakier	beakiest
beamy	beamier	beamiest
beany	beanier	beaniest
beardy	beardier	beardiest
beary	bearier	beariest
beastly	beastlier	beastliest
beaty	beatier	beatiest
beaut	beauter	beautest
beefy	beefier	beefiest
beeg	beeger	beegest
beepy	beepier	beepiest
beery	beerier	beeriest
beggarly	beggarlier	beggarliest
beige	beiger	beigest
beigey	beigier	beigiest
beigy	beigier	beigiest
beloved	beloveder	belovedest
ben	benner	benmost
bendy	bendier	bendiest
benign	benigner	benignest
bent	benter	bentest
better		best
big	bigger	biggest
bilgy	bilgier	bilgiest
billowy	billowier	billowiest
birsy	birsier	birsiest
bitchin		bitchinest
bitching		bitchingest
bitchly	bitchlier	bitchliest
bitchy	bitchier	bitchiest
bitey	bitier	bitiest
bitsy	bitsier	bitsiest
bitter	bitterer	bitterest
bittie	bittier	bittiest
bitty	bittier	bittiest
bizarre	bizarrer	bizarrest
blabby	blabbier	blabbiest
black	blacker	blackest
blak	blakker	blakkest
blake	blaker	blakest
bland	blander	blandest
blank	blanker	blankest
blashy	blashier	blashiest
blasty	blastier	blastiest
blate	blater	blatest
bleachy	bleachier	bleachiest
bleak	bleaker	bleakest
bleary	blearier	bleariest
bleedy	bleedier	bleediest
bleepy	bleepier	bleepiest
blest	blester	blestest
blimpy	blimpier	blimpiest
blind	blinder	blindest
blingy	blingier	blingiest
blippy	blippier	blippiest
blirty	blirtier	blirtiest
blissy	blissier	blissiest
blithe	blither	blithest
bloaty	bloatier	bloatiest
blobby	blobbier	blobbiest
blocky	blockier	blockiest
bloggy	bloggier	bloggiest
blogworthy	blogworthier	blogworthiest
blokey	blokier	blokiest
blond	blonder	blondest
blonde	blonder	blondest
bloodthirsty	bloodthirstier	bloodthirstiest
bloody	bloodier	bloodiest
bloomly	bloomlier	bloomliest
blossomy	blossomier	blossomiest
blotchy	blotchier	blotchiest
blotty	blottier	blottiest
blousy	blousier	blousiest
blouzy	blouzier	blouziest
blowsey	blowsier	blowsiest
blowsy	blowsier	blowsiest
blowy	blowier	blowiest
blowzy	blowzier	blowziest
blue	bluer	bluest
blueberry	blueberrier	blueberriest
bluesy	bluesier	bluesiest
bluey	bluier	bluiest
bluff	bluffer	bluffest
bluggy	bluggier	bluggiest
blunt	blunter	bluntest
blurry	blurrier	blurriest
blushy	blushier	blushiest
boardy	boardier	boardiest
bobbly	bobblier	bobbliest
boggy	boggier	boggiest
bold	bolder	boldest
bolshie	bolshier	bolshiest
bolshy	bolshier	bolshiest
boney	bonier	boniest
bonnie	bonnier	bonniest
bonny	bonnier	bonniest
bony	bonier	boniest
booby	boobier	boobiest
boofy	boofier	boofiest
bookey	bookier	bookiest
bookly	booklier	bookliest
booky	bookier	bookiest
boomy	boomier	boomiest
boon	booner	boonest
boosy	boosier	boosiest
bootlicky	bootlickier	bootlickiest
boozy	boozier	booziest
boppy	boppier	boppiest
bored	boreder	boredest
boring	boringer	boringest
bosky	boskier	boskiest
bosomy	bosomier	bosomiest
boss	bosser	bossest
bossy	bossier	bossiest
bougie	bougier	bougiest
bould	boulder	bouldest
bouncy	bouncier	bounciest
bowery	bowerier	boweriest
bowsy	bowsier	bowsiest
boxy	boxier	boxiest
boyey	boyier	boyiest
brack	bracker	brackest
brag	bragger	braggest
braggy	braggier	braggiest
brainy	brainier	brainiest
braky	brakier	brakiest
brambly	bramblier	brambliest
branchy	branchier	branchiest
branny	brannier	branniest
brash	brasher	brashest
brassy	brassier	brassiest
bratty	brattier	brattiest
brave	braver	bravest
brawny	brawnier	brawniest
brazen	brazener	brazenest
bready	breadier	breadiest
breaky	breakier	breakiest
breasty	breastier	breastiest
breathly	breathlier	breathliest
breathy	breathier	breathiest
breezey	breezier	breeziest
breezy	breezier	breeziest
bricky	brickier	brickiest
brief	briefer	briefest
bright	brighter	brightest
briny	brinier	briniest
brisk	brisker	briskest
bristly	bristlier	bristliest
brittle	brittler	brittlest
broad	broader	broadest
broey	broier	broiest
broke	broker	brokest
bronzy	bronzier	bronziest
broody	broodier	broodiest
brotherly	brotherlier	brotherliest
brothy	brothier	brothiest
brown	browner	brownest
brushy	brushier	brushiest
brusque	brusquer	brusquest
bubbly	bubblier	bubbliest
buff	buffer	buffest
buffy	buffier	buffiest
buggy	buggier	buggiest
bugly	buglier	bugliest
bugsy	bugsier	bugsiest
buirdly	buirdlier	buirdliest
bulgy	bulgier	bulgiest
bulky	bulkier	bulkiest
bullshitty	bullshittier	bullshittiest
bully	bullier	bulliest
bum	bummer	bummest
bumfuck	bumfucker	bumfuckest
bummy	bummier	bummiest
bumpy	bumpier	bumpiest
bunchy	bunchier	bunchiest
bunny	bunnier	bunniest
burbly	burblier	burbliest
burly	burlier	burliest
burry	burrier	burriest
bursty	burstier	burstiest
bushy	bushier	bushiest
bussy	bussier	bussiest
busty	bustier	bustiest
busy	busier	busiest
butch	butcher	butchest
butchy	butchier	butchiest
buttery	butterier	butteriest
buxom	buxomer	buxomest
buzzy	buzzier	buzziest
cabbagey	cabbagier	cabbagiest
cabbagy	cabbagier	cabbagiest
cacky	cackier	cackiest
cagey	cagier	cagiest
cagy	cagier	cagiest
cakey	cakier	cakiest
caky	cakier	cakiest
callow	callower	callowest
calm	calmer	calmest
camp	camper	campest
campy	campier	campiest
candid	candider	candidest
canny	cannier	canniest
canty	cantier	cantiest
carty	cartier	cartiest
castworthy	castworthier	castworthiest
catchy	catchier	catchiest
