word	pos_values
a	character,noun,prep,symbol
aa	abbrev
aabam	noun
aaban	noun
aacla	noun
aaiba	noun
aaiún	name
aak	noun
aal	noun
aalclim	noun
aalclimo	noun
aalcuabe	noun
aam	noun
aangitch	noun
aar	name
aarhus	name
aaronita	adj
aarón	name,noun
aarónico	adj
aavora	noun
ab	prep
aba	name,noun
ababa	noun
ababangay	noun
ababil	noun
ababillado	verb
ababillando	verb
ababillar	verb
ababillarse	verb
ababillándose	verb
ababilo	noun
ababita	noun
ababo	noun
ababol	noun
ababra	noun
ababuy	noun
ababán	noun
ababúnculo	noun
abaca	name
abacal	adj,noun
abacalero	noun
abacanado	adj
abacanto	noun
abacaro	adj
abacero	noun
abacería	noun
abaceto	noun
abachado	verb
abachando	verb
abachar	verb
abacia	noun
abacial	adj
abacio	noun
abacora	noun
abacorado	verb
abacorando	verb
abacorar	verb
abacteriano	adj
abacá	noun
abacómite	noun
abad	name,noun
abada	noun
abadabina	noun
abadechea	name
abadejo	noun
abadengo	adj
abaderna	noun
abadernado	adj,verb
abadernamiento	noun
abadernando	verb
abadernar	verb
abadesa	noun
abadezanena	name
abadgoitia	name
abadgoitía	name
abadia	name
abadiado	noun
abadiano	name
abadianobeascoa	name
abadianoveazcoa	name
abadiato	noun
abadie	name
abadir	name
abadán	name
abadí	adj
abadía	noun
abaigar	name
abaitua	name
abaiturrioz	name
abajadero	noun
abajado	adj,verb
abajador	noun
abajamiento	noun
abajando	verb
abajar	verb
abajera	noun
abajero	adj
abajeño	adj
abajino	adj
abajo	adv,intj,name
abajor	noun
abakuá	noun
abakán	name
abal	name,noun
abala	name
abalabide	name
abalada	noun
abalado	adj,verb
abalando	verb
abalanzadizo	adj
abalanzado	verb
abalanzamiento	noun
abalanzando	verb
abalanzar	verb
abalanzarse	verb
abalanzándose	verb
abalar	verb
abalaustrado	adj
abalcisqueta	name
abalconado	adj
abalde	name
abaldonadamente	adv
abaldonado	verb
abaldonadísimo	adj
abaldonamiento	noun
abaldonando	verb
abaldonar	verb
abaldonarse	verb
abaldonándose	verb
abalea	noun
abaleable	adj
abaleado	verb
abaleador	noun
abaleadura	noun
abaleando	verb
abalear	verb
abaleo	noun
abalia	name
abalibide	name
abalienación	noun
abalijado	verb
abalijando	verb
abalijar	verb
abaliz	name
abalizado	verb
abalizamiento	noun
abalizando	verb
abalizar	verb
aballado	verb
aballando	verb
aballar	verb
aballay	name
aballestado	verb
aballestando	verb
aballestar	verb
abalorio	noun
abalos	name
abaluartado	verb
abaluartando	verb
abaluartar	verb
abalá	noun
abama	noun
abameo	adj
abanación	noun
abanado	verb
abanador	noun
abanando	verb
abanar	verb
abancalado	verb
abancalando	verb
abancalar	verb
abancay	name
abancayno	adj
abancaíno	adj
abandalizado	verb
abandalizando	verb
abandalizar	verb
abanderado	adj,noun,verb
abanderamiento	noun
abanderando	verb
abanderar	verb
abanderarse	verb
abanderizado	verb
abanderizador	adj
abanderizando	verb
abanderizar	verb
abanderizarse	verb
abanderizándose	verb
abanderándose	verb
abandería	noun
abando	name
abandonado	adj,verb
abandonamiento	noun
abandonando	verb
abandonar	verb
abandonarse	verb
abandonatario	noun
abandonismo	noun
abandonista	adj
abandono	noun
abandonándose	verb
abandónico	adj
abaneado	verb
abaneando	verb
abanear	verb
abanec	noun
abangar	verb
abango	name
abanicado	verb
abanicador	noun
abanicamiento	noun
abanicando	verb
abanicar	verb
abanicarse	verb
abanicazo	noun
abanico	noun
abanicándose	verb
abanilla	noun
abanillero	adj
abanillo	noun
abanino	noun
abaniquear	verb
abaniqueo	noun
abaniquero	noun
abaniquería	noun
abaniquito	noun
abano	noun
abanquino	adj
abantal	noun
abantar	verb
abante	noun
abanto	adj,name,noun
abanz	name
abanzabalegui	name
abanzamiento	noun
abanzas	name
abaptista	noun
abaptisto	adj
abara	name
abarain	name
abarajado	verb
abarajando	verb
abarajar	verb
abaratado	verb
abaratamiento	noun
abaratando	verb
abaratar	verb
abaratarse	verb
abaratándose	verb
abarañado	verb
abarañando	verb
abarañar	verb
abarbado	verb
abarbando	verb
abarbar	verb
abarbechado	verb
abarbechando	verb
abarbechar	verb
abarbetado	verb
abarbetando	verb
abarbetar	verb
abarca	name,noun
abarcable	adj
abarcado	adj,verb
abarcador	adj
abarcadura	noun
abarcamiento	noun
abarcando	verb
abarcar	verb
abarcuzado	verb
abarcuzando	verb
abarcuzar	verb
abarcón	noun
abardilla	noun
abarem	noun
abareque	noun
abargues	name
