word	pos_values
a	character,noun
aa	intj,noun
aabe	noun
aabel	name
aabits	noun
aabitsaeelne	noun
aabraham	name
aada	name
aadam	name
aade	name
aadel	noun
aado	name
aadress	noun
aadressiraamat	noun
aadu	name
aafrika	name
aaker	noun
aale	name
aaloe	noun
aam	noun
aamen	intj
aamissepp	noun
aapo	name
aara	noun
aardelaegas	noun
aardlapalu	name
aare	name,noun
aarma	name
aarne	name
aaron	name
aas	noun
aasa	name
aasia	adj,name
aasialane	noun
aasmaa	name
aasmäe	name
aasta	noun
aastaaeg	noun
aastak	noun
aastapäev	noun
aastasada	noun
aastatuhat	noun
aatelik	adj
aatom	noun
aatomipomm	noun
aav	name
aavik	name
aavo	name
aberratsioon	noun
abi	noun
abielluma	verb
abielu	noun
abielulahutus	noun
abielumees	noun
abielupaar	noun
abieluvaraleping	noun
abikaasa	noun
abil	postp
abiline	noun
abipalve	noun
ablas	adj
ablutofoobia	noun
abort	noun
abruka	name
absint	noun
absoluutne	adj
abt	noun
adamiit	noun
adamson	name
adapter	noun
adeele	name
adekvaatne	adj
ader	noun
adjektiiv	noun
ado	name
adru	noun
adverbi	noun
adverbiline	adj
advokaat	noun
aed	noun
aeg	noun
aeglane	adj
aeglaselt	adv
aegluup	noun
aer	noun
aerofoobia	noun
aet	name
aevastama	verb
afganistan	name
aga	conj
agaate	name
agar	adj
age	name
agne	name
agnes	name
agneta	name
ago	name
agressiivselt	adv
agressioon	noun
agressor	noun
agu	name,noun
agul	noun
ahas	adj
ahel	noun
aher	adj
ahhaat	noun
ahi	noun
ahm	noun
ahmima	verb
ahne	adj
ahnus	noun
ahsoo	intj
ahti	name
ahto	name
ahu	noun
ahv	noun
ahven	noun
ahvenamaa	name
ai	intj
aia	intj
aiamaa	noun
aiapiire	noun
aigar	name
aile	name
aili	name
aim	noun
aime	name
ain	name
aina	adv
aine	noun
ainevahetus	noun
ainjärv	name
aino	name
ainsus	noun
ainu	name
ainult	adv
ainus	adj
aire	name
airi	name
ais	noun
ait	noun
aita	name
aitama	verb
aituma	intj
aitäh	intj
aivar	name
aive	name
aivo	name
ajaja	noun
ajakiri	noun
ajakirjandus	noun
ajakirjanik	noun
ajal	postp
ajaleht	noun
ajaloolane	noun
ajalooline	adj
ajalooliselt	adv
ajalugu	noun
ajama	verb
ajapiirang	noun
ajatolla	noun
aju	noun
ajukasvaja	noun
ajupesu	noun
aken	noun
akrofoobia	noun
akronüüm	noun
aksel	name
akt	noun
aktiinium	noun
aktiivsus	noun
aktinoid	noun
aktiveerima	verb
aktsia	noun
aktsiaturg	noun
aku	noun
akvaarium	noun
akvarell	noun
akvedukt	noun
ala	noun
alaealine	adj,noun
alaküla	name
alaleütlev	adj,noun
alaline	adj
alaltütlev	adj
alalõualuu	noun
alalõug	noun
alalütlev	noun
alam	noun
alamliik	noun
alar	name
alari	name
