word	pos_values
a	character,noun,symbol
a-duuri	noun
a-infinitiivi	noun
a-molli	noun
a-oikeudet	noun
a-olut	noun
a-pilari	noun
a-pylväs	noun
a-vitamiini	noun
aa	intj,noun
aa-liike	noun
aabraham	name
aada	name
aadam	name
aah	intj
aake	name
aakko	name
aakkonen	noun
aakkosellinen	adj
aakkosellisesti	adv
aakkosellisuus	noun
aakkoshakemisto	noun
aakkosisto	noun
aakkosittain	adv
aakkosjärjestelmä	noun
aakkosjärjestys	noun
aakkoskeitto	noun
aakkoskoko	noun
aakkoslaji	noun
aakkosluettelo	noun
aakkoslukko	noun
aakkosnimi	noun
aakkosnumeerinen	adj
aakkosnumeerisesti	adv
aakkostaa	verb
aakkosto	noun
aakkostus	noun
aakula	name
aalloitse	adv
aalloittain	adv
aalloittainen	adj
aalloittaisuus	noun
aallokas	adj
aalloke	noun
aallokemuunnos	noun
aallokko	noun
aallokkoinen	adj
aallonharja	noun
aallonhuippu	noun
aallonjohdin	noun
aallonkorkeus	noun
aallonmerkki	noun
aallonmuodostus	noun
aallonmurtaja	noun
aallonpituus	noun
aallonpituusalue	noun
aallonpohja	noun
aallota	verb
aallotar	noun
aalloton	adj
aallottaa	verb
aallottainen	adj
aallottaminen	noun
aallotus	noun
aallotuskartonki	noun
aaloe	noun
aaltio	name
aalto	name,noun
aalto-hiukkasdualismi	noun
aalto-optiikka	noun
aalto-setälä	name
aaltoallas	noun
aaltoalue	noun
aaltoenergia	noun
aaltofunktio	noun
aaltoileva	adj
aaltoilevasti	adv
aaltoilevuus	noun
aaltoilla	verb
aaltoilu	noun
aaltoilutila	noun
aaltoimpedanssi	noun
aaltoinen	adj
aaltoisa	adj
aaltojohto	noun
aaltojono	noun
aaltojuotos	noun
aaltojuova	noun
aaltojuovadelfiini	noun
aaltojuovakirppa	noun
aaltokoro	noun
aaltokoroinen	adj
aaltola	name
aaltolevy	noun
aaltoliike	noun
aaltoloukku	noun
aaltoluku	noun
aaltomainen	adj
aaltomaisesti	adv
aaltomaisuus	noun
aaltomekaniikka	noun
aaltomittari	noun
aaltomuoto	noun
aaltonauha	noun
aaltonen	name
aaltoneule	noun
aaltopahvi	noun
aaltopaketti	noun
aaltopelti	noun
aaltopilvi	noun
aaltopinta	noun
aaltoputki	noun
aaltoreuna	noun
aaltorintama	noun
aaltoryhmä	noun
aaltosulje	noun
aaltosulku	noun
aaltosulkumerkki	noun
aaltosäteily	noun
aaltoteoria	noun
aaltotutkimus	noun
aaltovektori	noun
aaltoviiva	noun
aaltovoima	noun
aaltovoimala	noun
aaltoyhtälö	noun
aamen	intj,noun
aami	noun
aamiainen	noun
aamiaisaika	noun
aamiaishetki	noun
aamiaiskaappi	noun
aamiaismajoitus	noun
aamiaismurot	noun
aamiaistaa	verb
aamiaistapaaminen	noun
aamiaistarjoilu	noun
aamiaistunti	noun
aamon	name
aamos	name
aamu	noun
aamu-uninen	adj
aamu-unisuus	noun
aamu-uutiset	noun
aamuaskare	noun
aamuateria	noun
aamuaurinko	noun
aamuerektio	noun
aamuhartaus	noun
aamuhetki	noun
aamuhämärä	noun
aamuihminen	noun
aamuinen	adj
aamuisin	adv
aamujumalanpalvelus	noun
aamujuna	noun
aamukahdeksan	noun
aamukahvi	noun
aamukaksi	noun
aamukampa	noun
aamukaste	noun
aamukirkko	noun
aamukolme	noun
aamukuoro	noun
aamukuusi	noun
aamukylmä	noun
aamukymmenen	noun
aamulehti	name,noun
aamulenkki	noun
aamulepakko	noun
aamulla	adv
aamullinen	adj
aamulounas	noun
aamulypsy	noun
aamulähetys	noun
aamulämpö	noun
aamulämpötila	noun
aamunavaus	noun
aamuneljä	noun
aamunkajo	noun
aamunkoi	noun
aamunkoite	noun
aamunkoitteessa	adv
aamunkoitto	noun
aamunkoittoilmiö	noun
aamunraikas	adj
aamunsarastus	noun
aamuntorkku	noun
aamunvirkku	noun
aamupahoinvointi	noun
aamupala	noun
aamupalvelus	noun
aamupesu	noun
aamupuhde	noun
aamupuku	noun
aamupuoli	noun
aamupuuro	noun
aamupäivisin	adv
aamupäivä	noun
aamupäiväinen	adj
aamupäivätoiminta	noun
aamupäivävahti	noun
aamurukous	noun
aamuruoka	noun
aamurusko	noun
aamuruuhka	noun
aamuseitsemän	noun
aamusella	adv
aamusumu	noun
aamutakki	noun
aamutee	noun
aamutelevisio	noun
aamutohveli	noun
aamutoimi	noun
aamutorkku	noun
aamutossu	noun
aamutuima	noun
aamutuimaan	adv
aamutyö	noun
aamutähti	noun
aamuvahti	noun
aamuvarhain	adv
aamuvarhainen	noun
aamuvarhaisella	adv
aamuvartio	noun
aamuviisi	noun
aamuvirkku	noun
aamuvoimistelu	noun
aamuvuoro	noun
aamuyhdeksän	noun
aamuyksi	noun
aamuyksitoista	noun
aamuyö	noun
aamuöinen	adj
aapa	noun
aapasara	noun
aapasuo	noun
aapeli	name
aapinen	noun
aapiskirja	noun
aapiskukko	noun
aapo	name
aappo	name
aapro	name
aaprotti	noun
aaprottimaruna	noun
aari	noun
aaria	noun
aarikka	name
aarne	name
aarni	name
aarnialue	noun
aarnihauta	noun
aarnihokko	noun
aarnihonka	noun
aarnikotka	noun
aarnikuusi	noun
aarniluppo	noun
aarnio	name,noun
aarniohauta	noun
aarniohonka	noun
aarniokuusi	noun
aarniometsä	noun
aarniopuu	noun
aarnipuu	noun
aarnitoko	noun
aarnituli	noun
aarnivalkea	noun
aarno	name
aaro	name
aaron	name
aaroninparta	noun
aaroninsauva	noun
aarpora	noun
aarporata	verb
aarre	name,noun
aarreaitta	noun
aarrearkku	noun
aarrehauta	noun
aarrekammio	noun
aarrekartta	noun
aarrekätkö	noun
aarrelöytö	noun
aarresaari	noun
aarretuli	noun
aarteenetsijä	noun
aarteenetsintä	noun
aarteenkaivaja	noun
aarteenmetsästys	noun
aarteisto	noun
aarto	name
aartolahti	name
aasa	noun
aasainusko	noun
aasainuskoinen	noun
aasi	noun
aasia	name
aasialainen	adj,noun
aasialaisuus	noun
aasianharlekiini	noun
aasianhaukkanen	noun
aasianherhiläinen	noun
aasianiibis	noun
aasianiibishaikara	noun
aasianjokipääsky	noun
aasiankalliokyyhky	noun
aasiankalliopääsky	noun
aasiankeisarikalastaja	noun
aasiankiitäjä	noun
aasiankilpikierto	noun
aasiankirjotikka	noun
aasiankiuru	noun
aasiankoskikara	noun
aasiankukaali	noun
aasiankultakissa	noun
aasiankultakutoja	noun
aasiankääpiöhaukka	noun
aasiankääpiöorava	noun
aasiankääpiösorsa	noun
aasianleijona	noun
aasianlumivarpunen	noun
aasianlumivarpuset	noun
aasianmangrovemedestäjä	noun
aasianmarmorimurri	noun
aasianmedestäjä	noun
aasianmetsäpyy	noun
aasianmutakala	noun
aasiannakkeli	noun
aasiannorsu	noun
aasianpalmukiitäjä	noun
aasianpalokärki	noun
aasianpensaskiuru	noun
aasianpikkutikka	noun
aasianpyhäiibis	noun
aasianpääskykahlaaja	noun
aasianpöllökehrääjä	noun
aasianrakonokka	noun
aasianrilli	noun
aasianräystäspääsky	noun
aasianrääkkiäinen	noun
aasiansatulahaikara	noun
aasiansieppokerttu	noun
aasiansininärhi	noun
aasiantiikerihyttynen	noun
aasiantoko	noun
aasiantrogoni	noun
aasiantupsupiikikäs	noun
aasianturturikyyhky	noun
aasiantöpökerttunen	noun
aasiantöpökiitäjä	noun
aasiantörmäpääsky	noun
aasiantöyhtötikka	noun
aasianuikkukana	noun
aasianuuttukyyhky	noun
aasianviheltäjä	noun
aasianvihervarpunen	noun
aasianvilliaasi	noun
aasianvillihevonen	noun
aasianvuoripeippo	noun
aasimainen	adj
aasimaisesti	adv
aasimaisuus	noun
aasinajaja	noun
aasinkorva	noun
aasinmaksaruoho	noun
aasinpotku	noun
aasinsilta	noun
aasintamma	noun
aasiori	noun
aasitamma	noun
aatami	noun
aatamila	name
aataminaikainen	adj
aataminomena	noun
aataminpuku	noun
aataminsilta	name
aate	noun
aatehistoria	noun
aatejärjestelmä	noun
aatekilpailu	noun
aateli	noun
aatelinen	adj,noun
aatelisarvo	noun
aatelisherra	noun
aateliskalenteri	noun
aateliskartano	noun
aatelisluokka	noun
aatelismies	noun
aatelisnainen	noun
aatelisneiti	noun
aatelisneito	noun
aatelisnenä	noun
aatelisnimi	noun
aatelisrouva	noun
aatelissuku	noun
aatelissääty	noun
aatelisto	noun
aatelisuus	noun
aatelisvaakuna	noun
aateliton	adj,noun
aateloida	verb
aateloin	verb
aatelointi	noun
aateloitte	verb
aateluus	noun
aatemaailma	noun
aatepiiri	noun
aaterakennelma	noun
aaterikkaus	noun
aatesisar	noun
aatesuunta	noun
aatetoveri	noun
aateveli	noun
aatevirtaus	noun
aatola	name
aatonaatto	noun
aatos	name
aatra	noun
aatsinki	name
aatteellinen	adj
aatteellisesti	adv
aatteellisuus	noun
aatteeton	noun
aatto	name,noun
aattoaika	noun
aattoilta	noun
aattopäivä	noun
aattoyö	noun
aatu	name
aava	adj,name,noun
aavasaksa	name
aave	noun
aavejuna	noun
aavekaupunki	noun
aavekipu	noun
aavekuva	noun
aavelaiva	noun
aavemainen	adj
aavemaisesti	adv
aavemaisuus	noun
aaveraaja	noun
aavesärky	noun
aavikko	name,noun
aavikkoalue	noun
aavikkogundi	noun
aavikkohaukka	noun
aavikkoiguaani	noun
aavikkoilmasto	noun
aavikkoilves	noun
aavikkoinen	adj
aavikkojerbo	noun
aavikkojuoksija	noun
aavikkojäniskenguru	noun
