word	form
a-conflictuel	a-conflictuels
a-conflictuel	a-conflictuelle
a-conflictuel	a-conflictuelles
a-pulsionnel	a-pulsionnels
a-pulsionnel	a-pulsionnelle
a-pulsionnel	a-pulsionnelles
aa	
aalandais	aalandaise
aalandais	aalandaises
aalénien	aaléniens
aalénien	aalénienne
aalénien	aaléniennes
aaronais	aaronaise
aaronais	aaronaises
aastais	aastois
aastais	aastoise
aastais	aastoises
aastois	aastoise
aastois	aastoises
ab	
ababa	
abacate	abacates
abactérien	abactériens
abactérien	abactérienne
abactérien	abactériennes
abactériémique	abactériémiques
abainvillois	abainvilloise
abainvillois	abainvilloises
abaissable	abaissables
abaissant	abaissants
abaissant	abaissante
abaissant	abaissantes
abaisseur	abaisseurs
abaisseur	abaisseuse
abaisseur	abaisseuses
abaissé	abaissés
abaissé	abaissée
abaissé	abaissées
abaknon	abaknons
abancourtois	abancourtoise
abancourtois	abancourtoises
abandonnable	abandonnables
abandonnique	abandonniques
abandonné	abandonnés
abandonné	abandonnée
abandonné	abandonnées
abané	abanés
abané	abanée
abané	abanées
abarticulaire	abarticulaires
abasique	abasiques
abaskokerkètes	
abasourdi	abasourdis
abasourdi	abasourdie
abasourdi	abasourdies
abasourdissable	abasourdissables
abasourdissant	abasourdissants
abasourdissant	abasourdissante
abasourdissant	abasourdissantes
abathudois	abathudoise
abathudois	abathudoises
abattable	abattables
abattant	abattants
abattant	abattante
abattant	abattantes
abattien	abattiens
abattien	abattienne
abattien	abattiennes
abattu	abattus
abattu	abattue
abattu	abattues
abatutois	abatutoise
abatutois	abatutoises
abaucourtois	abaucourtoise
abaucourtois	abaucourtoises
abaxial	abaxiaux
abaxial	abaxiale
abaxial	abaxiales
abaxoïde	abaxoïdes
abbanais	abbanaise
abbanais	abbanaises
abbarois	abbaroise
abbarois	abbaroises
abbasside	abbassides
abbatial	abbatiaux
abbatial	abbatiale
abbatial	abbatiales
abbatien	abbatiens
abbatien	abbatienne
abbatien	abbatiennes
abbecourtois	abbecourtoise
abbecourtois	abbecourtoises
abbenanais	abbenanaise
abbenanais	abbenanaises
abbevillois	abbevilloise
abbevillois	abbevilloises
abbécourtois	abbécourtoise
abbécourtois	abbécourtoises
abbévillois	abbévilloise
abbévillois	abbévilloises
abcédé	abcédés
abcédé	abcédée
abcédé	abcédées
abdicable	abdicables
abdicataire	abdicataires
abdicatif	abdicatifs
abdicatif	abdicative
abdicatif	abdicatives
abdominal	abdominaux
abdominal	abdominale
abdominal	abdominales
abdomino-pelvien	abdomino-pelviens
abdomino-pelvien	abdomino-pelvienne
abdomino-pelvien	abdomino-pelviennes
abducens	
abducteur	abducteurs
abducteur	abductrice
abducteur	abductrices
abductif	abductifs
abductif	abductive
abductif	abductives
abeilhanais	abeilhanaise
abeilhanais	abeilhanaises
abeiller	abeillers
abeiller	abeillère
abeiller	abeillères
abeillé	abeillés
abeillé	abeillée
abeillé	abeillées
abelcourtois	abelcourtoise
abelcourtois	abelcourtoises
abengourois	abengouroise
abengourois	abengouroises
aberdonien	aberdoniens
aberdonien	aberdonienne
aberdonien	aberdoniennes
abergementais	abergementaise
abergementais	abergementaises
abergementier	abergementiers
abergementier	abergementière
abergementier	abergementières
abergeois	abergeoise
abergeois	abergeoises
abergeur	abergeurs
abergeur	abergeuse
abergeur	abergeuses
aberrant	aberrants
aberrant	aberrante
aberrant	aberrantes
aberratif	aberratifs
aberratif	aberrative
aberratif	aberratives
abertzale	abertzales
abgal	
abhorrable	abhorrables
abhorré	abhorrés
abhorré	abhorrée
abhorré	abhorrées
abidjanais	abidjanaise
abidjanais	abidjanaises
abigoti	abigotis
abigoti	abigotie
abigoti	abigoties
abillois	abilloise
abillois	abilloises
abimant	abimants
abimant	abimante
abimant	abimantes
abimé	abimés
abimé	abimée
abimé	abimées
abiotique	abiotiques
abismal	abismaux
abismal	abismale
abismal	abismales
abitainois	abitainoise
abitainois	abitainoises
abitaouais	abitaouaise
abitaouais	abitaouaises
abitibi-témiscamien	abitibi-témiscamiens
abitibi-témiscamien	abitibi-témiscamienne
abitibi-témiscamien	abitibi-témiscamiennes
abitibien	abitibiens
abitibien	abitibienne
abitibien	abitibiennes
abiéticole	abiéticoles
abiétin	abiétins
abiétin	abiétine
abiétin	abiétines
abiétiné	abiétinés
abiétiné	abiétinée
abiétiné	abiétinées
abiétique	abiétiques
abjacois	abjacoise
abjacois	abjacoises
abject	abjects
abject	abjecte
abject	abjectes
abjurable	abjurables
abjurateur	abjurateurs
abjurateur	abjuratrice
abjurateur	abjuratrices
abjuratoire	abjuratoires
abkhase	abkhases
abkhasien	abkhasiens
abkhasien	abkhasienne
abkhasien	abkhasiennes
abkhaze	abkhazes
abkhazien	abkhaziens
abkhazien	abkhazienne
abkhazien	abkhaziennes
ablagé	ablagés
ablagé	ablagée
ablagé	ablagées
ablagé	abané
ablaincourtois	ablaincourtoise
ablaincourtois	ablaincourtoises
ablainois	ablainoise
ablainois	ablainoises
ablainzevellois	ablainzevelloise
ablainzevellois	ablainzevelloises
ablatable	ablatables
ablatif	ablatifs
ablatif	ablative
ablatif	ablatives
ableigeois	ableigeoise
ableigeois	ableigeoises
ablisien	ablisiens
ablisien	ablisienne
ablisien	ablisiennes
ablonais	ablonaise
ablonais	ablonaises
ablonnais	ablonnaise
ablonnais	ablonnaises
ablutien	ablutiens
ablutien	ablutienne
ablutien	ablutiennes
abnégué	abnégués
abnégué	abnéguée
abnégué	abnéguées
aboclé	aboclés
aboclé	aboclée
aboclé	aboclées
abodrite	abodrites
aboli	abolis
aboli	abolie
aboli	abolies
abolitif	abolitifs
abolitif	abolitive
abolitif	abolitives
abolitioniste	abolitionistes
abolitionniste	abolitionnistes
abomasique	abomasiques
abomiffreux	abomiffreuse
abomiffreux	abomiffreuses
abomifreux	abomifreuse
abomifreux	abomifreuses
abominable	abominables
abominaffreux	abominaffreuse
abominaffreux	abominaffreuses
aboncourtois	aboncourtoise
aboncourtois	aboncourtoises
abondable	abondables
abondancien	abondanciens
abondancien	abondancienne
abondancien	abondanciennes
abondancier	abondanciers
abondancier	abondancière
abondancier	abondancières
abondanciste	abondancistes
abondant	abondants
abondant	abondante
abondant	abondantes
abondantais	abondantaise
abondantais	abondantaises
abondantissime	abondantissimes
abondeur	abondeurs
abondeur	abondeuse
abondeur	abondeuses
abonnable	abonnables
abonné	abonnés
abonné	abonnée
