word	pos_values
a	article,character,pron
a-dúr	noun
a-moll	noun
aachen	name
aba	name
abajgat	verb
abajkovics	name
abakteriális	adj
abakusz	noun
abakusza	noun
abakuszai	noun
abakuszaid	noun
abakuszaik	noun
abakuszaim	noun
abakuszaink	noun
abakuszaitok	noun
abakuszod	noun
abakuszom	noun
abakuszotok	noun
abakuszuk	noun
abakuszunk	noun
abaliget	name
abasár	name
abaújlak	name
abaújszántó	name
abbahagy	verb
abbamarad	verb
abbeli	det
abbázia	name
abbé	noun
abda	name
abdominális	adj
abdominálisan	adv
aberdeen	name
aberráció	noun
abesszin	adj,noun
abház	adj,noun
abházia	name
abidjan	name
abigél	name
abiogén	adj
abiotikus	adj
abisszikus	adj
abkarovics	name
ablak	noun
ablaka	noun
ablakai	noun
ablakaid	noun
ablakaik	noun
ablakaim	noun
ablakaink	noun
ablakaitok	noun
ablakdeszka	noun
ablakod	noun
ablakom	noun
ablakos	adj,noun
ablakotok	noun
ablakoz	verb
ablakpárkány	noun
ablakpárkánya	noun
ablakpárkányai	noun
ablakpárkányaid	noun
ablakpárkányaik	noun
ablakpárkányaim	noun
ablakpárkányaink	noun
ablakpárkányaitok	noun
ablakpárkányod	noun
ablakpárkányom	noun
ablakpárkányotok	noun
ablakpárkányuk	noun
ablakpárkányunk	noun
ablakrózsa	noun
ablaktalan	adj
ablaktalanság	noun
ablaktörlő	noun
ablakuk	noun
ablakunk	noun
ablakzár	noun
ablakú	adj
ablaküveg	noun
ablativus	noun
ablaut	noun
abnormális	adj
abodi	name
abonament	noun
abony	name
abortusz	noun
abortuszbizottság	noun
abortuszklinika	noun
abortusztabletta	noun
abortusztörvény	noun
abortál	verb
abortálás	noun
abortív	adj
abortívum	noun
abrak	noun
abriktol	verb
abroncs	noun
abroncsnyomás	noun
abrosz	noun
abrosza	noun
abroszai	noun
abroszaid	noun
abroszaik	noun
abroszaim	noun
abroszaink	noun
abroszaitok	noun
abroszod	noun
abroszom	noun
abroszotok	noun
abroszuk	noun
abroszunk	noun
abszcissza	noun
abszint	noun
abszolutizmus	noun
abszolutórium	noun
abszolút	adj,adv
abszorpció	noun
absztinencia	noun
absztinens	adj,noun
absztrahál	verb
absztrakció	noun
absztrakt	adj,noun
absztraktság	noun
abszurd	adj,noun
abszurditás	noun
abszurdum	noun
abu-dzabi	name
abádszalók	name
abál	verb
acetaldehid	noun
acetil-klorid	noun
