word	form
a-dúr	a-dúrok
a-dúr	a-dúrt
a-dúr	a-dúrokat
a-dúr	a-dúrnak
a-dúr	a-dúroknak
a-dúr	a-dúrral
a-dúr	a-dúrokkal
a-dúr	a-dúrért
a-dúr	a-dúrokért
a-dúr	a-dúrrá
a-dúr	a-dúrokká
a-dúr	a-dúrig
a-dúr	a-dúrokig
a-dúr	a-dúrként
a-dúr	a-dúrokként
a-dúr	a-dúrban
a-dúr	a-dúrokban
a-dúr	a-dúron
a-dúr	a-dúrokon
a-dúr	a-dúrnál
a-dúr	a-dúroknál
a-dúr	a-dúrba
a-dúr	a-dúrokba
a-dúr	a-dúrra
a-dúr	a-dúrokra
a-dúr	a-dúrhoz
a-dúr	a-dúrokhoz
a-dúr	a-dúrból
a-dúr	a-dúrokból
a-dúr	a-dúrról
a-dúr	a-dúrokról
a-dúr	a-dúrtól
a-dúr	a-dúroktól
a-moll	a-mollok
a-moll	a-mollt
a-moll	a-mollokat
a-moll	a-mollnak
a-moll	a-molloknak
a-moll	a-mollal
a-moll	a-mollokkal
a-moll	a-mollért
a-moll	a-mollokért
a-moll	a-mollá
a-moll	a-mollokká
a-moll	a-mollig
a-moll	a-mollokig
a-moll	a-mollként
a-moll	a-mollokként
a-moll	a-mollban
a-moll	a-mollokban
a-moll	a-mollon
a-moll	a-mollokon
a-moll	a-mollnál
a-moll	a-molloknál
a-moll	a-mollba
a-moll	a-mollokba
a-moll	a-mollra
a-moll	a-mollokra
a-moll	a-mollhoz
a-moll	a-mollokhoz
a-moll	a-mollból
a-moll	a-mollokból
a-moll	a-mollról
a-moll	a-mollokról
a-moll	a-molltól
a-moll	a-molloktól
abakusz	abakuszok
abakusz	abakuszt
abakusz	abakuszokat
abakusz	abakusznak
abakusz	abakuszoknak
abakusz	abakusszal
abakusz	abakuszokkal
abakusz	abakuszért
abakusz	abakuszokért
abakusz	abakusszá
abakusz	abakuszokká
abakusz	abakuszig
abakusz	abakuszokig
abakusz	abakuszként
abakusz	abakuszokként
abakusz	abakuszban
abakusz	abakuszokban
abakusz	abakuszon
abakusz	abakuszokon
abakusz	abakusznál
abakusz	abakuszoknál
abakusz	abakuszba
abakusz	abakuszokba
abakusz	abakuszra
abakusz	abakuszokra
