word	form
abajgat	
abbahagy	abbahagyat
abbamarad	
ablakoz	ablakoztat
abortál	abortáltat
abriktol	abriktoltat
absztrahál	
abál	abáltat
ad	adat
adagol	adagoltat
adjalak	
adlak	
adminisztrál	adminisztráltat
adnálak	
adományoz	
adoptál	adoptáltat
adta	
adtalak	
adódik	
adózik	adóztat
aggaszt	
aggodalmaskodik	
aggódik	
agitál	agitáltat
agyal	agyaltat
agyoncsap	agyoncsapat
agyondicsér	agyondicsértet
agyongázol	agyongázoltat
agyonlő	agyonlövet
agyonszúr	agyonszúrat
agyonvág	agyonvágat
agyonüt	agyonüttet
airbnb-zik	
ajz	
ajándékoz	ajándékoztat
ajánl	
ajánllak	
ajánlotta	
akad	
akadozik	
akadályoz	akadályoztat
akar	
akarjalak	
akarlak	
akarnálak	
akartalak	
akaszt	akasztat
akklimatizál	
akklimatizálódik	
akkreditál	akkreditáltat
aknáz	aknáztat
aktivizál	aktivizáltat
aktivál	aktiváltat
aktualizál	aktualizáltat
alakul	
alakít	alakíttat
alakította	
alapoz	alapoztat
alapul	
alapít	alapíttat
alapította	
alijázik	
alkalmatlankodik	
alkalmaz	alkalmaztat
alkalmazkodik	
alkot	alkottat
alkotta	
alkudozik	
alkuszik	
almoz	almoztat
alszik	
alulexponál	alulexponáltat
alulfizet	alulfizettet
alvaszt	
aláaknáz	aláaknáztat
alábbhagy	
alábbszáll	
alábecsül	alábecsültet
aláhúz	aláhúzat
alámerül	alámerít
alátámaszt	alátámasztat
aláás	aláásat
aláír	aláírat
alél	
amputál	amputáltat
andalog	
anginázik	
annektál	annektáltat
anyáskodik	
apad	
apaszt	apasztat
apróz	
aprózódik	
aranyoz	aranyoztat
araszol	
arat	arattat
archivál	archiváltat
artikulál	artikuláltat
asszisztál	
asszociál	asszociáltat
aszal	aszaltat
aszik	
asztaliteniszezik	
atletizál	atletizáltat
atlétizál	
automatizál	automatizáltat
autózik	autóztat
avat	avattat
avul	
azonosul	
azonosít	azonosíttat
azonosította	
babrál	babráltat
bagatellizál	bagatellizáltat
bajlódik	
ballag	ballagtat
bambul	
bandukol	
bandzsít	
barbárosodik	
barkochbázik	barkochbáztat
barnul	
barnállik	
barnít	barníttat
barátkozik	
baszik	
basáskodik	
bazsalyog	bazsalyogtat
bead	beadat
bearanyoz	bearanyoztat
beavat	beavattat
beavatkozik	
bebeszél	bebeszéltet
bebizonyít	bebizonyíttat
beborít	beboríttat
bebugyolál	bebugyoláltat
bebukik	bebuktat
bebörtönöz	bebörtönöztet
bebútoroz	bebútoroztat
becsap	becsapat
becsmérel	becsméreltet
becsuk	becsukat
becsíp	becsípet
becsül	becsültet
bedob	bedobat
befagy	befagyaszt
befecskendez	befecskendeztet
befed	befedet
befejez	befejeztet
befejeződik	
befektet	
befellegzik	
befizet	befizettet
befog	befogat
befogad	befogadtat
befolyik	befolyat
befolyásol	
befon	befonat
befordul	
begyakorol	begyakoroltat
begyepesedik	begyepesít
begyógyít	begyógyíttat
behatol	behatoltat
behatárolta	
behúz	behúzat
beidegez	beidegeztet
beidéz	beidéztet
beiktat	beiktattat
beindul	beindít
beint	beintet
beismer	beismertet
bejegyez	bejegyeztet
bejelent	bejelentet
bejelentkezik	
bejelöl	bejelöltet
bejárat	
bejön	
bekapcsol	bekapcsoltat
bekebelez	bekebeleztet
beken	bekenet
bekerít	bekeríttet
bekerül	
bekukucskál	bekukucskáltat
beköltözik	beköltöztet
beköp	beköpet
bekövetkezik	
beküld	beküldet
belakik	
belead	beleadat
beleavatkozik	
belebeszél	belebeszéltet
belebotlik	belebotlat
belebotlik	belebotlaszt
beleegyezik	
beleesik	
belegondol	belegondoltat
belenyugszik	
belenyúl	
beleszeret	
beleszól	
beletesz	beletetet
beletesz	beletétet
beletörik	
beletörődik	
beleun	
belevág	belevágat
beleért	
beleír	beleírat
beleüvölt	beleüvöltet
belopakodik	
belázasodik	belázasít
belélegzik	belélegeztet
belép	beléptet
bemegy	
bemutat	
bemutatkozik	bemutatkoztat
bencsol	bencsoltat
bendzsózik	bendzsóztat
benyújt	benyújtat
benéz	benézet
beolt	beoltat
bepillant	bepillantat
berak	berakat
berendez	berendeztet
berozsdásodik	berozsdásít
berreg	berregtet
beruház	beruháztat
berzenkedik	
berúg	berúgat
beszed	beszedet
beszerez	beszereztet
beszerezte	
beszáll	
beszámol	beszámoltat
beszél	beszéltet
beszélget	
beszélte	
beszól	
beszüntet	beszüntettet
besúg	besúgat
betakarít	betakaríttat
betegszik	betegít
beteljesül	beteljesít
betesz	betetet
betesz	betétet
betlehemez	
betol	
betonoz	betonoztat
betyárkodik	
betér	betérít
betölt	betöltet
betör	betöret
betűz	betűztet
bevall	
bever	beveret
bevesz	bevetet
bevet	bevettet
bevezet	bevezettet
bevisz	bevitet
bevon	
beválik	
bevált	beváltat
bevándorol	bevándoroltat
bevásárol	bevásároltat
bezár	bezárat
beágyaz	beágyaztat
beáll	beállít
beállít	beállíttat
beárul	beárultat
beás	beásat
beépít	beépíttet
beér	beéret
beérkezik	beérkeztet
beír	beírat
beöltözik	beöltöztet
beúszik	beúszat
beúszik	beúsztat
beütemez	beütemeztet
biccent	
biceg	bicegtet
biciklizik	bicikliztet
biggyeszt	
bilincsel	bilincseltet
billen	
bimbózik	bimbóztat
birkózik	
birtokol	
birtokolta	
bizakodik	
bizonytalankodik	
bizonyul	
bizonyít	bizonyíttat
biztat	
biztosít	biztosíttat
biztosította	
blansíroz	blansíroztat
blogol	blogoltat
blokkol	blokkoltat
bocsássalak	
bocsát	bocsáttat
bocsátalak	
bocsátanálak	
bocsátottalak	
bohóckodik	
bojkottál	bojkottáltat
bokszol	bokszoltat
boldogul	
boldogít	boldogíttat
bolhászkodik	
bolondul	
bolondít	
bolyong	
bombáz	bombáztat
bomlaszt	
bomlik	
boncol	boncoltat
bont	
bonyolít	bonyolíttat
bootol	
bordáz	
borogat	borogattat
borong	
borotvál	borotváltat
borotválkozik	
borul	
borzad	
borzaszt	
borzong	
borít	boríttat
borította	
bosszant	
botladozik	
botlik	botlat
botlik	botlaszt
bowlingozik	
brekeg	brekegtet
brummog	brummogtat
buborékol	buborékoltat
bugyborékol	bugyborékoltat
bugyog	bugyogtat
bujt	
bukik	buktat
bukkan	
buktat	
burjánzik	
burkol	burkoltat
butul	
bágyad	
bágyaszt	
bálványoz	bálványoztat
bálványoztalak	
bámul	bámultat
bán	
bánik	
bánt	
bántalmaz	
bátortalanít	
bátorít	
béget	bégettet
békül	békít
bélel	béleltet
bénít	béníttat
bérel	béreltet
bérmál	bérmáltat
bír	bírat
bírál	bíráltat
bíz	
bízik	
bódul	
bódít	
bóklászik	
bókol	
bólint	
böjtöl	böjtöltet
bök	
bömböl	bömböltet
búcsúzik	búcsúztat
búg	
bújik	bújtat
bútoroz	bútoroztat
búvárkodik	
büntet	büntettet
büszkélkedik	
bütüz	
bődül	bődít
bőg	
bővelkedik	
bővít	bővíttet
bővül	
bűnözik	
bűvöl	bűvöltet
bűzlik	
cammog	cammogtat
cenzúráz	cenzúráztat
cicceg	
cigarettázik	cigarettáztat
cimbalmozik	
cincog	cincogtat
cipel	cipeltet
ciripel	ciripeltet
civakodik	
civilizál	civilizáltat
civódik	
csacsog	csacsogtat
csahol	csaholtat
csal	
csalódik	
csap	
csapkod	
csapol	csapoltat
csapong	
csatlakozik	csatlakoztat
csatlakoztat	
csatol	csatoltat
csattan	
csavar	csavartat
csavarog	
cselekedik	cselekedtet
cselleng	
cselédkedik	
csempész	csempésztet
csempéz	csempéztet
csen	
cseng	
csenget	csengettet
csepeg	csepegtet
cserél	cseréltet
cseveg	csevegtet
csicsereg	csicseregtet
csikorog	
csillapodik	csillapít
csillapul	
csillapít	csillapíttat
csillog	csillogtat
csillog-villog	
csinál	csináltat
csinálta	
csipked	csipkedtet
csipog	csipogtat
csiripel	csiripeltet
csirizel	
csiszol	csiszoltat
csitít	csitíttat
csobban	
csobog	csobogtat
csodál	csodáltat
csodálkozik	csodálkoztat
csomagol	csomagoltat
csoportosul	
csoportosít	csoportosíttat
csorog	
csoszog	
csuk	
csuklik	
csutakol	csutakoltat
csábul	csábít
csábít	csábíttat
csámcsog	csámcsogtat
csépel	csépeltet
csíkoz	csíkoztat
csíp	csíptet
csípte	
csírázik	csíráztat
csókol	csókoltat
csónakázik	csónakáztat
csökken	
csökkent	
csörög	
csúfít	csúfíttat
csúszik	csúsztat
csügged	
csüng	
csűr	
cukroz	cukroztat
cáfol	
céloz	
célszerűsít	
címez	címeztet
dacol	
dadog	dadogtat
dagad	
dagaszt	
dagonyázik	dagonyáztat
dajkál	
dalol	daloltat
darál	daráltat
deaktivál	deaktiváltat
debütál	debütáltat
definiál	definiáltat
degenerál	
delegál	delegáltat
demilitarizál	demilitarizáltat
demokratizál	demokratizáltat
demonstrál	demonstráltat
demoralizál	demoralizáltat
denaturál	denaturáltat
derivál	deriváltat
dermed	
derít	deríttet
derül	
destabilizál	destabilizáltat
desztillál	desztilláltat
determinál	
devalvál	devalváltat
dezertál	
dezinformál	dezinformáltat
dezorganizál	dezorganizáltat
diagnosztizál	diagnosztizáltat
dicsekedik	
dicsér	dicsértet
didereg	dideregtet
differenciál	differenciáltat
digitalizál	digitalizáltat
diktál	diktáltat
diktálta	
dinsztel	dinszteltet
diskurál	
diszkriminál	diszkrimináltat
diszkvalifikál	diszkvalifikáltat
disztingvál	
dob	
dobban	
dobjalak	
doblak	
dobnálak	
dobog	dobogtat
dobogó	
dobol	doboltat
dobtalak	
dobál	
dohányzik	
dokumentál	dokumentáltat
dolgozik	dolgoztat
domesztikál	domesztikáltat
dominál	
dominálta	
dong	
dorgál	dorgáltat
dorombol	doromboltat
dotálta	
doxol	doxoltat
drukkol	
drágul	
drágáll	
dudál	dudáltat
dug	
dulakodik	
dupláz	dupláztat
duzzad	
duzzaszt	
duzzog	duzzogtat
dédelget	
dézsmál	dézsmáltat
díjaz	díjaztat
díszeleg	díszelegtet
díszít	díszíttet
döbben	
döf	
döfköd	döfködtet
döng	
döngicsél	döngicséltet
dönt	
dörren	dörrentet
dörzsöl	dörzsöltet
dörög	
dúcol	dúcoltat
dúl	
dúlta	
dúskál	dúskáltat
dúsít	dúsíttat
dühít	dühíttet
dühöng	
dürög	dürögtet
dől	dönt
ebédel	ebédeltet
ecsetel	ecseteltet
edz	
egalizál	egalizáltat
egerészik	
egybegyűlik	egybegyűjt
egybeköt	egybeköttet
egybevág	egybevágat
egybeír	egybeírat
egyelek	
egyenlít	egyenlíttet
egyesít	egyesíttet
egyesül	
egyetért	
egyezik	
egyezkedik	
egyeztet	
egyszerűsít	egyszerűsíttet
egyszerűsödik	
egyértelműsít	egyértelműsíttet
együttműködik	
együttérez	
ejakulál	ejakuláltat
ejt	
ejtette	
elad	eladat
elajándékoz	
elakad	elakaszt
elalszik	elaltat
elapróz	elapróztat
elavul	
elbagatellizál	elbagatellizáltat
elbarikádoz	elbarikádoztat
elbasz	
elbeszél	elbeszéltet
elbizakodik	
elbizonytalanít	elbizonytalaníttat
elbocsát	elbocsáttat
elbocsátanálak	
elbánik	
elbátortalanít	elbátortalaníttat
elbírál	elbíráltat
elbólint	
elbúcsúzik	elbúcsúztat
elbújik	elbújtat
elbűvöl	elbűvöltet
elcserél	elcseréltet
elcsábul	elcsábít
elcsépel	elcsépeltet
elcsúszik	elcsúsztat
elcsüggeszt	
eldob	eldobat
eldug	eldugat
eldönt	eldöntet
eldől	eldönt
elejt	elejtet
elemez	elemeztet
elenyészik	
elered	
elesik	
elfakul	elfakít
elfehéredik	elfehérít
elfelejt	elfelejtet
elfog	elfogat
elfogad	elfogadtat
elfoglal	elfoglaltat
elfoglalta	
elfogy	elfogyaszt
elfogyaszt	elfogyasztat
elfojt	elfojtat
elfolyik	elfolyat
elfárad	elfáraszt
elfér	
elgázol	elgázoltat
elgépel	elgépeltet
elhagy	elhagyat
elhal	
elhalaszt	elhalasztat
elhalasztódik	
elhallgat	elhallgattat
elhalálozik	
elhamarkodik	
elhamvaszt	elhamvasztat
elhangzik	
elhanyagol	
elhasznál	elhasználtat
elhatárol	elhatároltat
elhatárolódik	
elhatároz	elhatároztat
elhelyez	elhelyeztet
elhelyezkedik	
elherdál	elherdáltat
elhibáz	
elhisz	elhitet
elhitet	
elhomályosít	elhomályosíttat
elhuny	
elhízik	
elhúz	elhúzat
elhúzódik	
elidegenít	elidegeníttet
eligazodik	eligazít
elillan	
eliminál	elimináltat
elindul	elindít
elindít	elindíttat
elintéz	elintéztet
elismer	elismertet
