word	pos_values
a	character
abaran	noun
abuh-abuhan	adj
abuhan	noun
acak-acakan	adj
acatan	noun
acintia	adj
aco-acoan	adj
acoan	noun
acuan	noun
acuhan	noun
acuman	noun
ada-adanya	adv
ada-adanyakah	adv
adakalanya	particle
adap-adapan	noun
adek	noun
adik-beradik	noun
adikanda	noun
adjektif	noun
adonan	noun
adronitis	noun
aduan	noun
aduk-adukan	verb
adunan	noun
agaknya	adv
agirofobia	noun
agunan	noun
ailurofobia	noun
ajakan	noun
ajektiva	noun
ajuan	noun
akad	abbrev
akanan	noun
akanlah	verb
akar-akaran	noun
akhir-akhirnya	adv
akhiran	noun
akhirnya	adv
akuan	noun
alah-mengalahi	verb
alahan	noun
alang-alangan	adj
alangan	noun
alasan	noun
alif-alifan	noun
aliran	noun
alunan	noun
alur-aluran	noun
aluran	noun
amalan	noun
amandemen	noun
amaran	noun
amatan	noun
amatir-amatiran	adj
ambacang	noun
ambaian	noun
ambalan	noun
ambekan	noun
ambil-mengambil	verb
ambilan	noun
ambillah	verb
ambinan	noun
ambring-ambringan	adj
ampaian	noun
ampuan	noun
ampunan	noun
amputan	noun
amukan	noun
anak-anakan	noun
anak-beranak	noun
anakan	noun
ancaman	noun
ancangan	noun
andalan	noun
andaman	noun
andikara	noun
andromeda	noun
anduhan	noun
anggapan	noun
anggaran	noun
anggitan	noun
anggukan	noun
angguran	noun
angin-anginan	adj
angkatan	noun
angkatlah	verb
angkot	abbrev
angkringan	noun
angkutan	noun
angonan	noun
angsuran	noun
anian	noun
anjal	abbrev
anjung-anjungan	noun
anjungan	noun
anjuran	noun
antar-mengantar	verb
antaran	noun
antofobia	noun
antrean	noun
antri	noun,verb
anutan	noun
anyam-menganyam	verb
anyaman	noun
apa-apanya	pron
apitan	noun
apkiran	noun
aplusan	noun
aprit-apritan	adj
arahan	noun
arak-arakan	noun
arakan	noun
araklah	verb
aronan	noun
arsiran	noun
artian	noun
arumba	abbrev
arung-arungan	noun
arungan	noun
asa-asaan	adj
asahan	noun
asal-asalan	adj
asal-usul	noun
asam-asaman	noun
asaman	noun
asian	adj
asinan	adj
aspal	abbrev
astrofobia	noun
asuhan	noun
asungan	noun
asyik-asyiknya	adj
atas-mengatasi	verb
atasan	noun
atma	noun
aturan	noun
aturlah	verb
autofobia	noun
awalan	noun
awan-berawan	noun
awang-gemawang	noun
awangan	noun
awasan	noun
awur-awuran	verb
awuran	noun
awut-awutan	adj
ayakan	noun
ayam-ayaman	noun
ayapan	noun
ayeng-ayengan	verb
ayuman	noun
ayun-temayun	verb
ayunan	noun
ayut-ayutan	noun
azamatlah	verb
b	character
babaran	noun
babel	noun
bacaan	noun
baceman	noun
bacokan	noun
bacut	verb
bagian	noun
baharulah	verb
bahasan	noun
bahasawan	noun
bahu-membahu	verb
baikan	noun
bajakan	noun
bajingan	noun
bakaran	noun
balapan	noun
balas-berbalas	verb
balas-membalas	verb
balasan	noun
balikan	noun
baluhan	noun
baluian	noun
baluran	noun
balutan	noun
bambungan	noun
banaspati	noun
bancakan	noun
bancuhan	noun
bandaran	noun
bandingan	noun
bandulan	noun
bangkitan	noun
bangkitlah	verb
bangkotan	noun
bangunan	noun
bangunlah	verb
banjaran	noun
bantahan	noun
bantaian	noun
bantalan	noun
bantingan	noun
bantuan	noun
banyakan	noun
banyolan	noun
baptisan	noun
baratan	noun
baris-berbaris	noun
barisan	noun
barongan	noun
basahan	noun
basuhan	noun
basungan	noun
batangan	noun
batasan	noun
batikan	noun
batuan	noun
bau-bauan	noun
bauran	noun
bawaan	noun
bawahan	noun
bayangan	noun
bayaran	noun
bayuan	noun
beberan	noun
bebercak	verb
bebuyutan	verb
becermin	verb
bedakan	verb
bederma	verb
bedil-bedilan	noun
bedolan	noun
bedungan	noun
begituan	noun
begitulah	verb
bejermang	verb
bekal-bekalan	noun
bekerja	verb
bekerlapan	verb
bekerlip	verb
bekernyut	verb
bekernyutan	verb
bekersik	verb
bekertak	verb
bekertak-kertak	verb
bekertakan	verb
bekuan	noun
belacak	adj
belagu	verb
belahan	noun
belaian	noun
belajar	verb
belakangan	noun
belalakan	noun
belandongan	noun
belangiran	noun
belanjaan	noun
belasan	noun
belengkok	adj
belengkokan	noun
belengset	verb
belesir	verb
beleter	verb
belian	noun
belimbingan	noun
belingsatan	noun
belokan	noun
belongkotan	noun
belunjur	verb
bemerger	verb
benaman	noun
bendungan	noun
benggolan	noun
bengkahan	noun
benjolan	noun
bentakan	noun
bentangan	noun
bentaran	noun
bentrokan	noun
bentukan	noun
benturan	noun
benuman	noun
bepercikan	verb
bepergian	verb
beperhatian	verb
beperkara	verb
berabad-abad	verb
berabang	verb
berabarkan	verb
berabdas	verb
berabjad	verb
berabonemen	verb
berabu	verb
berabun-rabun	verb
beracah-acah	verb
beracara	verb
beracun	verb
berada	verb
berada-ada	verb
beradab	verb
beradak	verb
beradaptasi	verb
beradat	verb
beradegan	verb
beradeh	verb
beradik	verb
beradik-berkakak	verb
beradu	verb
beradun	verb
beraerobatik	verb
berafiliasi	verb
beraga	verb
beragah	verb
beragah-agah	verb
beragak-agak	verb
beragam	verb
beragam-ragam	verb
beragama	verb
beragan	verb
beragi	verb
beragih	verb
beragitasi	verb
beragogo	verb
berahasia	verb
berair	verb
beraja	verb
beraja-raja	verb
berajojing	verb
berakad	verb
berakal	verb
berakan	verb
berakar	verb
berakhir	verb
berakhirkan	verb
berakibat	verb
berakibatkan	verb
berakidah	verb
berakikah	verb
berakit	verb
berakit-rakit	verb
berakrobat	verb
beraksara	verb
beraksi	verb
beraku	verb
beraku-akuan	verb
berakuk	verb
berakumulasi	verb
beralah	verb
beralam	verb
beralamat	verb
beralang	verb
beralangan	verb
beralas	verb
beralasan	verb
beralaskan	verb
beralat	verb
beraliansi	verb
beralih	verb
beralu-aluan	verb
beralun	verb
beralun-alun	verb
beralur	verb
beramah-ramah	verb
beramah-ramahan	verb
beramai-ramai	verb
beramal	verb
beramanat	verb
berambai	verb
berambau	verb
berambil-ambil	verb
berambin	verb
berambisi	verb
berambut	verb
berampai	verb
berampus	verb
beramuk	verb
beramuk-amukan	verb
beramus	adj
beranak	verb
berancang	verb
berancang-ancang	verb
berandai-andai	verb
berandai-randai	verb
berandam	verb
berandau	verb
beraneh-aneh	verb
beraneka	verb
berangan-angan	verb
berangasan	noun
berangga	verb
beranggapan	verb
beranggar	verb
beranggota	verb
beranggotakan	verb
berangguk	verb
berangguk-angguk	verb
beranggul	verb
beranggut	verb
berangin	verb
berangin-angin	verb
berangka	verb
berangka-angka	verb
berangka-angkaan	verb
berangkai	verb
berangkai-rangkai	verb
berangkap	verb
berangkap-rangkapan	verb
berangkat	verb
berangkulan	verb
berangsang	adj
berangsangan	noun
berangsur	verb
berangsur-angsur	verb
beranja-anja	adj
beranjak	verb
beranjang	verb
beranjangkarya	verb
beranjangsana	verb
beranjung	verb
beranjur	verb
berantai	verb
berantai-rantai	verb
berantakan	adj
berantam	verb
berantar	verb
berantara	verb
beranting	verb
berantisipasi	verb
berantuk	verb
berantukan	verb
berantun	verb
berapat	verb
berapi	verb
berapi-api	adj
berapit	verb
berapresiasi	verb
berapun	verb
berapung-apung	verb
berapungan	verb
berarah	verb
berarak	verb
berarak-arakan	verb
berarakan	verb
berargumen	verb
berargumentasi	verb
beraris	verb
berarisan	verb
berariskan	verb
berarti	verb
berartikulasi	verb
berasa	verb
berasah	verb
berasak	verb
berasak-asak	verb
berasak-asakan	verb
berasal	verb
berasan	verb
berasap	verb
berasap-asap	verb
berasas	verb
berasaskan	verb
beraset	verb
berasian	verb
berasimilasi	verb
berasing	verb
berasing-asingan	verb
berasio	verb
berasmara	verb
berasonansi	verb
berasosiasi	verb
beraspal	verb
beraspirasi	verb
berasrama	verb
berastakona	verb
berasuransi	verb
beratap	verb
beratapkan	verb
beratur	verb
beraturan	verb
beratus-ratus	num
beraudiensi	verb
berawa	verb
berawa-rawa	verb
berawai	verb
berawak	verb
berawal	verb
berawalan	verb
berawan	verb
berawang	verb
berawas	verb
berawas-awas	verb
berayah	verb
berayal-ayalan	verb
berayun	verb
berayun-ayun	verb
berazam	verb
berbabil	verb
