word	form
abaran	
abuhan	
acatan	
acoan	
acuan	
acuhan	
acuman	
adap-adapan	
adek	
adik-beradik	
adikanda	
adjektif	
adonan	adonan-adonan
adronitis	
aduan	
adunan	
agirofobia	
agunan	
ailurofobia	
ajakan	
ajektiva	
ajuan	
akanan	
akar-akaran	
akhiran	
akuan	
alahan	
alangan	
alasan	
alif-alifan	
aliran	aliran-aliran
alunan	
alur-aluran	
aluran	
amalan	
amandemen	
amaran	
amatan	
ambacang	
ambaian	
ambalan	
ambekan	
ambilan	
ambinan	
ampaian	
ampuan	
ampunan	
amputan	
amukan	
anak-anakan	
anak-beranak	
anakan	
ancaman	
ancangan	
andalan	
andaman	
andikara	
andromeda	
anduhan	
anggapan	
anggaran	
anggitan	
anggukan	
angguran	
angkatan	
angkringan	
angkutan	
angonan	
angsuran	
anian	
anjung-anjungan	
anjungan	
anjuran	
antaran	
antofobia	
antrean	
antri	
anutan	
anyaman	
apitan	
apkiran	
aplusan	
arahan	
arak-arakan	
arakan	
aronan	
arsiran	
artian	
arung-arungan	
arungan	
asahan	
asal-usul	
asam-asaman	
asaman	
astrofobia	
asuhan	
asungan	
atasan	
atma	
aturan	aturan-aturan
autofobia	
awalan	
awan-berawan	
awang-gemawang	
awangan	
awasan	
awuran	
ayakan	
ayam-ayaman	
ayapan	
ayuman	
ayunan	
ayut-ayutan	
babaran	
babel	
bacaan	
baceman	
bacokan	
bagian	bagian-bagian
bahasan	
bahasawan	
baikan	
bajakan	
bajingan	
bakaran	
balapan	
balasan	
balikan	
baluhan	
baluian	
baluran	
balutan	
bambungan	
banaspati	
bancakan	
bancuhan	
bandaran	
bandingan	
bandulan	
bangkitan	
bangkotan	
bangunan	bangunan-bangunan
banjaran	
bantahan	
bantaian	
bantalan	
bantingan	
bantuan	
banyakan	
banyolan	
baptisan	
baratan	
baris-berbaris	
barisan	
barongan	
basahan	
basuhan	
basungan	
batangan	
batasan	batasan-batasan
batikan	
batuan	
bau-bauan	
bauran	
bawaan	
bawahan	
bayangan	
bayaran	
bayuan	
beberan	
bedil-bedilan	
bedolan	
bedungan	
begituan	
bekal-bekalan	
bekuan	
belahan	belahan-belahan
belaian	
belakangan	
belalakan	
belandongan	
belangiran	
belanjaan	
belasan	
belengkokan	
belian	
belimbingan	
belingsatan	
belokan	
belongkotan	
benaman	
bendungan	
benggolan	
bengkahan	
benjolan	
bentakan	
bentangan	
bentaran	
bentrokan	
bentukan	
benturan	
benuman	
berangasan	
berangsangan	
berbulan-bulan	
bergajul	menggajulkan
bergajul	digajulkan
bergepok-gepok	
berian	
beringin	
berlinang-linang	
berondongan	
bersitan	
beruntun-runtun	
beruntusan	
beselan	
beslahan	
bestelan	
betulan	
biakan	
bicaraan	
bidasan	
bidikan	
bija	
biji-bijian	
bilangan	
bimbel	
bimbingan	
bimbitan	
bingkahan	
bingkisan	
bini-binian	
bintangan	
bisikan	
blasteran	
bocoran	
bodoran	
bohong-bohongan	
bolu	
boncengan	
bongkaran	
bordiran	
borongan	
borsch	
boyongan	
buah-buahan	
buaian	
bualan	
buangan	
buat-buatan	
buatan	buatan-buatan
bubuhan	
bubukan	
bubungan	
bubutan	
buhulan	
bujangan	
bujukan	
bukaan	
bulakan	
bulan-bulanan	
bulanan	
bulatan	
bulukan	
