word	form
aduk-adukan	
akanlah	akan
alah-mengalahi	
ambil-mengambil	
ambillah	ambil
angkatlah	angkat
antar-mengantar	
antri	
anyam-menganyam	
araklah	arak
atas-mengatasi	
aturlah	atur
awur-awuran	
ayeng-ayengan	
ayun-temayun	
azamatlah	azamat
bacut	
baharulah	baharu
bahu-membahu	
balas-berbalas	
balas-membalas	
bangkitlah	bangkit
bangunlah	bangun
bebercak	membercakkan
bebercak	dibercakkan
bebuyutan	
becermin	mencerminkan
becermin	dicerminkan
bedakan	
bederma	mendermakan
bederma	didermakan
begitulah	begitu
bejermang	
bekerja	mengerjakan
bekerja	dikerjakan
bekerlapan	
bekerlip	mengerlipkan
bekerlip	dikerlipkan
bekernyut	mengernyutkan
bekernyut	dikernyutkan
bekernyutan	
bekersik	mengersikkan
bekersik	dikersikkan
bekertak	mengertakkan
bekertak	dikertakkan
bekertak-kertak	
bekertakan	
belagu	melagukan
belagu	dilagukan
belajar	mengajarkan
belajar	diajarkan
belengset	melengsetkan
belengset	dilengsetkan
belesir	melesirkan
belesir	dilesirkan
beleter	meleterkan
beleter	dileterkan
belunjur	mengunjurkan
belunjur	diunjurkan
bemerger	
bepercikan	
bepergian	
beperhatian	
beperkara	memerkarakan
beperkara	diperkarakan
berabad-abad	
berabang	mengabangkan
berabang	diabangkan
berabarkan	
berabdas	mengabdaskan
berabdas	diabdaskan
berabjad	mengabjadkan
berabjad	diabjadkan
berabonemen	mengabonemenkan
berabonemen	diabonemenkan
berabu	mengakalkan
berabu	diakalkan
berabun-rabun	
beracah-acah	
beracara	mengacarakan
beracara	diacarakan
beracun	meracunkan
beracun	diracunkan
berada	mengadakan
berada	diadakan
berada-ada	
beradab	mengadabkan
beradab	diadabkan
beradak	meradakkan
beradak	diradakkan
beradaptasi	mengadaptasikan
beradaptasi	diadaptasikan
beradat	mengadatkan
beradat	diadatkan
beradegan	mengadegankan
beradegan	diadegankan
beradeh	mengadehkan
beradeh	diadehkan
beradik	mengadikkan
beradik	diadikkan
beradik-berkakak	
beradu	mengadukan
beradu	diadukan
beradun	mengadunkan
beradun	diadunkan
beraerobatik	mengaerobatikkan
beraerobatik	diaerobatikkan
berafiliasi	mengafiliasikan
berafiliasi	diafiliasikan
beraga	mengagakan
beraga	diagakan
beragah	mengagahkan
beragah	diagahkan
beragah-agah	
beragak-agak	
beragam	mengagamkan
beragam	diagamkan
beragam-ragam	
beragama	mengagamakan
beragama	diagamakan
beragan	mengagankan
beragan	diagankan
beragi	meragikan
beragi	diragikan
beragih	mengagihkan
beragih	diagihkan
beragitasi	mengagitasikan
beragitasi	diagitasikan
beragogo	mengagogokan
beragogo	diagogokan
berahasia	merahasiakan
berahasia	dirahasiakan
berair	mengairkan
berair	diairkan
beraja	merajakan
beraja	dirajakan
beraja-raja	
berajojing	mengajojingkan
berajojing	diajojingkan
berakad	mengakadkan
berakad	diakadkan
berakal	mengakalkan
berakal	diakalkan
berakan	mengakankan
berakan	diakankan
berakar	mengakarkan
berakar	diakarkan
berakhir	mengakhirkan
berakhir	diakhirkan
berakhirkan	
berakibat	mengakibatkan
berakibat	diakibatkan
berakibatkan	
berakidah	mengakidahkan
berakidah	diakidahkan
berakikah	mengakikahkan
berakikah	diakikahkan
berakit	merakitkan
berakit	dirakitkan
berakit-rakit	
berakrobat	mengakrobatkan
berakrobat	diakrobatkan
beraksara	mengaksarakan
beraksara	diaksarakan
beraksi	mengaksikan
beraksi	diaksikan
beraku	mengakukan
beraku	diakukan
beraku-akuan	
berakuk	merakukkan
berakuk	dirakukkan
berakumulasi	mengakumulasikan
berakumulasi	diakumulasikan
beralah	mengalahkan
beralah	dialahkan
beralam	mengalamkan
beralam	dialamkan
beralamat	mengalamatkan
beralamat	dialamatkan
beralang	mengalangkan
