word	pos_values
a	character
aa	intj
ab	name
abadai	noun
abadas	noun
abadauskas	name
abakas	name,noun
abakevičienė	name
abakevičius	name
abakevičiūtė	name
abalevičienė	name
abalevičius	name
abalevičiūtė	name
abaravičienė	name
abaravičius	name
abaravičiūtė	name
abatas	noun
abatė	noun
abažūras	noun
abchazas	noun
abchazija	noun
abchazė	noun
abeja	noun
abejaip	adv
abejetas	noun
abeji	adv
abejingai	adv
abejingumas	noun
abejodamas	verb
abejojimas	noun
abejonė	noun
abejos	adv
abejoti	verb
abejur	adv
abejutas	adj
abelnai	adv
abelnysta	noun
abidi	adv
abidžanas	name
abiogenezė	noun
abipus	adv
abipusiai	adv
abipusiškumas	noun
abiturientas	noun
abišala	name
abišalaitė	name
abišalienė	name
abliatyvas	noun
abliautas	noun
abortas	noun
abrakas	noun
abrakuoti	verb
abrakėdedis	noun
abramaitienė	name
abramaitis	name
abramaitytė	name
abramauskaitė	name
abramauskas	name
abramauskienė	name
abramavičienė	name
abramavičius	name
abramavičiūtė	name
abraomas	name
abre	noun
abrikosas	noun
abrinas	noun
abromaitė	name
abromas	name
abromienė	name
abrusai	noun
abrė	noun
absentas	noun
absoliučiai	adv
abstraktus	adj
abu	num
abudu	det
abudža	name
abukavičienė	name
abukavičius	name
abukavičiūtė	name
abuoja	noun
abuojai	adj,adv
abuojas	adj
abuojiškas	adj
abuojumas	noun
abuojybė	noun
abuojėti	verb
abydnykas	noun
abėcėlė	noun
actas	noun
adamas	name
adamauskas	name
adamkevičienė	name
adamkevičius	name
adamkevičiūtė	name
adamoška	noun
adaptacija	noun
adas	name
adata	noun
adauktas	name
adašiūnas	name
adašiūnienė	name
adaška	name
adaškevičius	name
adeodatas	name
adleris	name
administracija	noun
administracinis	adj
administratorius	noun
adolfas	name
adomas	name
adomonienė	name
adomonis	name
adomonytė	name
adomynaitė	name
adomynas	name
adomynienė	name
adopcija	noun
adresas	noun
adriana	name
adrianas	name
adrijus	name
adverija	noun
advernai	adv
advokatas	noun
adyti	verb
adžarija	name
adžgauskas	name
aerodromas	noun
aerouostas	noun
afanasijus	name
afganas	noun
afganistanas	name
afganistanietis	noun
afganistanietė	noun
aforizmas	noun
afrika	name
afrikata	noun
afroamerikietis	noun
afroditė	name
agentūra	noun
agintavičius	name
aglinskas	name
agnius	name
agnostikas	noun
agnus	adj
agnė	name
agota	name
agrastas	noun
agrastauti	verb
agresija	noun
agresyvus	adj
aguona	noun
aguonpienis	noun
agurkas	noun
ai	intj
aibė	noun
aidas	name,noun
aidinti	verb
