word	form
abejodamas	
abejoti	abejoja
abejoti	abejojo
abejoti	abejojąs
abejoti	abejojantis
abejoti	abejojamas
abejoti	abejojęs
abejoti	abejotas
abejoti	abejodavęs
abejoti	abejosiąs
abejoti	abejosiantis
abejoti	abejosimas
abejoti	abejotinas
abejoti	abejodamas
abejoti	abejojant
abejoti	abejojus
abejoti	abejodavus
abejoti	abejosiant
abejoti	abejote
abejoti	abejotinai
abrakuoti	abrakuoja
abrakuoti	abrakavo
abuojėti	abuojėju
abuojėti	abuojėja
adyti	ado
adyti	adė
adyti	adąs
adyti	adantis
adyti	adomas
adyti	adęs
adyti	adytas
adyti	adydavęs
adyti	adysiąs
adyti	adysiantis
adyti	adysimas
adyti	adytinas
adyti	adydamas
adyti	adant
adyti	adžius
adyti	adydavus
adyti	adysiant
adyti	adyte
adyti	adytinai
agrastauti	agrastauja
agrastauti	agrastavo
agrastauti	agrastaująs
agrastauti	agrastaujantis
agrastauti	agrastaujomas
agrastauti	agrastavęs
agrastauti	agrastautas
agrastauti	agrastaudavęs
agrastauti	agrastausiąs
agrastauti	agrastausiantis
agrastauti	agrastausimas
agrastauti	agrastautinas
agrastauti	agrastaudamas
agrastauti	agrastaujant
agrastauti	agrastavus
agrastauti	agrastaudavus
agrastauti	agrastausiant
agrastauti	agrastaute
agrastauti	agrastautinai
aidinti	aidina
aidinti	aidino
aidinti	aidinąs
aidinti	aidinantis
aidinti	aidinamas
aidinti	aidinęs
aidinti	aidintas
aidinti	aidindavęs
aidinti	aidinsiąs
aidinti	aidinsiantis
aidinti	aidinsimas
aidinti	aidintinas
aidinti	aidindamas
aidinti	aidinant
aidinti	aidinus
aidinti	aidindavus
aidinti	aidinsiant
aidinti	aidinte
aidinti	aidintinai
aimanuoti	aimanuoja
aimanuoti	aimanavo
aiškinti	aiškina
aiškinti	aiškino
aiškinti	aiškinąs
aiškinti	aiškinantis
aiškinti	aiškinamas
aiškinti	aiškinęs
aiškinti	aiškintas
aiškinti	aiškindavęs
aiškinti	aiškinsiąs
aiškinti	aiškinsiantis
aiškinti	aiškinsimas
aiškinti	aiškintinas
aiškinti	aiškindamas
aiškinti	aiškinant
aiškinti	aiškinus
aiškinti	aiškindavus
aiškinti	aiškinsiant
aiškinti	aiškinte
aiškinti	aiškintinai
aiškintis	aiškinasi
aiškintis	aiškinosi
aiškintis	aiškinąsis
aiškintis	besiaiškinąs
aiškintis	besiaiškinantis
aiškintis	aiškinęsis
aiškintis	besiaiškinęs
aiškintis	aiškindavęsis
