word	pos_values
a	character,noun
aa	intj
aba	noun
abaks	noun
abatija	noun
abats	noun
abažūrs	noun
abi	adj
abinieks	noun
ablatīvs	noun
abonements	noun
abonents	noun
abonēt	verb
aborts	noun
absolūtists	noun
abstrahēdams	verb
abstrahējam	verb
abstrahējams	verb
abstrahējis	verb
abstrahējot	verb
abstrahējošais	verb
abstrahējošs	verb
abstrahēju	verb
abstrahējušais	verb
abstrahēt	verb
abstrahētais	verb
abstrahēts	verb
abstrakcija	noun
abstrakti	adv
abstrakts	adj
abstraktums	noun
abstraktāk	adv
abstraktāks	adj
acenes	noun
acs	noun
acsābols	noun
aculiecinieks	noun
acumirklis	noun
acīgi	adv
acīgs	adj
acīgāk	adv
acīmredzot	particle
adaptācija	noun
adata	noun
adenīns	noun
adi	verb
adjektīvs	noun
administratore	noun
administrators	noun
admirālis	noun
adot	verb
adošs	verb
adrenalīns	noun
adrese	noun
adrians	name
adriāns	name
adverbs	noun
advokāts	noun
adām	verb
adāms	verb
adīdams	verb
adījis	verb
adīt	verb
adīts	verb
adīšana	noun
afganistāna	name
afgāniete	noun
afgānis	noun
afgānisks	adj
afgāniskāk	adv
afgāniskāks	adj
aforisms	noun
afrihili	noun
afrikands	noun
afrikānietis	noun
afrikānis	noun
afrikāniski	adv
afrikānisks	adj
afrikāniskāk	adv
afrikāniskāks	adj
agate	name
agita	name
agnese	name
agnis	name
agra	name
agresija	noun
agri	adv
agris	name
agrita	name
agrs	adj
agrums	noun
agrāk	adv
agrāks	adj
ai	intj
aicinot	verb
aicinošais	verb
aicinošs	verb
aicinādams	verb
aicinājis	verb
aicinām	verb
aicināms	verb
aicinātais	verb
aicināts	verb
aids	noun
aiga	name
aigars	name
aija	name
aina	name
ainars	name
ainava	noun
ainaži	name
ainis	name
ainārs	name
aira	name
airis	noun
airita	name
aisbergs	noun
aita	noun
aiva	name
aivars	name
aivis	name
aivita	name
aiz	prep
aizaram	verb
aizaramais	verb
aizarams	verb
aizardams	verb
aizaris	verb
aizarot	verb
aizarošais	verb
aizarošs	verb
aizart	verb
aizartais	verb
aizarts	verb
