word	form
a	
aba	gender
aba	abas
aba	abu
aba	abam
aba	abai
aba	abām
aba	abā
aba	abās
abaks	abaki
abaks	abaka
abaks	abaku
abaks	abakam
abaks	abakiem
abaks	abakus
abaks	abakā
abaks	abakos
abaks	abak
abatija	abatijas
abatija	abatiju
abatija	abatijai
abatija	abatijām
abatija	abatijā
abatija	abatijās
abats	abate
abats	abati
abats	abata
abats	abatu
abats	abatam
abats	abatiem
abats	abatus
abats	abatā
abats	abatos
abats	abat
abažūrs	abažūri
abažūrs	abažūra
abažūrs	abažūru
abažūrs	abažūram
abažūrs	abažūriem
abažūrs	abažūrus
abažūrs	abažūrā
abažūrs	abažūros
abažūrs	abažūr
abinieks	abinieki
abinieks	abinieka
abinieks	abinieku
abinieks	abiniekam
abinieks	abiniekiem
abinieks	abiniekus
abinieks	abiniekā
abinieks	abiniekos
abinieks	abiniek
ablatīvs	ablatīvi
ablatīvs	ablatīva
ablatīvs	ablatīvu
ablatīvs	ablatīvam
ablatīvs	ablatīviem
ablatīvs	ablatīvus
ablatīvs	ablatīvā
ablatīvs	ablatīvos
ablatīvs	ablatīv
abonements	abonementi
abonements	abonementa
abonements	abonementu
abonements	abonementam
abonements	abonementiem
abonements	abonementus
abonements	abonementā
abonements	abonementos
abonements	abonement
abonents	abonenti
abonents	abonenta
abonents	abonentu
abonents	abonentam
abonents	abonentiem
abonents	abonentus
abonents	abonentā
abonents	abonentos
abonents	abonent
aborts	aborti
aborts	aborta
aborts	abortu
aborts	abortam
aborts	abortiem
aborts	abortus
aborts	abortā
aborts	abortos
aborts	abort
absolūtists	absolūtiste
absolūtists	absolūtisti
absolūtists	absolūtista
absolūtists	absolūtistu
absolūtists	absolūtistam
absolūtists	absolūtistiem
absolūtists	absolūtistus
absolūtists	absolūtistā
absolūtists	absolūtistos
absolūtists	absolūtist
abstrakcija	abstrakcijas
abstrakcija	abstrakciju
abstrakcija	abstrakcijai
abstrakcija	abstrakcijām
abstrakcija	abstrakcijā
abstrakcija	abstrakcijās
abstraktums	abstraktuma
abstraktums	abstraktumam
abstraktums	abstraktumu
abstraktums	abstraktumā
abstraktums	abstraktum
acenes	aceņu
acenes	acenēm
acenes	acenēs
acs	acis
acs	acu
acs	acij
acs	acīm
acs	aci
acs	acī
acs	acīs
acsābols	acsāboli
