word	form
abadi	
abadiah	
abadiat	
ablatif	
abnormal	abnormal-abnormal
absah	
absorptif	
adil	
adisejuk	
adiwarna	
administrasi	
agung	
ahmak	
ahmar	
aib	
ajab	ajab-ajab
ajaib	
akas	
akhir	
akil	
akliah	
akmal	
akrab	
aktif	
akuatik	
ala	
alami	
alasa	
alim	
alisiklik	
alot	
alpa	alpa-alpa
am	
aman	
ambe	
amfoterik	
amoral	
ampuh	
andal	andal-andal
aneh	
aneka	
angkuh	
ansuran	
antibakteria	
antikerajaan	
anumerta	
asam	
asas	
asetik	
asid	
asing	
atas	
atos	
audiovisual	
automatik	
automotif	
autotrof	
awal	
awam	awam-awam
awanama	
babil	
bacul	
bagaimane	
bagus	
bahagia	
bahagie	
bahagio	
bahari	
baharu	
bahlul	
baik	
baku	
bangang	
bangge	
bangka	
bangor	
bankrap	
banned	
bantut	
barat	
baru	
basah	
bebal	
bebas	
bedengkang	
bejaya	
bekas	
beku	
bela	
belantara	
bengak	
bengkok	
berakal	
berakhlak	
beralas	
beralkali	
beralkohol	
berapi	
berasap	
berasid	
beratap	
berbahaya	
berbaris	
berbatu	
berbatu-batu	
berbelang	
berberas	
berbukit	
berbukit-bukau	
berbulan	
beregu	
beres	
bergaris	
bergelang	
berguna	
bergunung	
bergunung-ganang	
berhadapan	
berhak	
berhantu	
berhari	
berhutan	
beribu	
berida	
berilmu	
berjemaah	
berkaki	
berkala	
berkebulatan	
berkecuali	
berkelompok	
berkemungkinan	
berkuasa	
berkumpulan	
berlawanan	
berlemak	
berlurah	
bermakna	
bermasalah	
berminyak	
bernyawa	
berotak	
berpanjangan	
berpasukan	
berpengalaman	
berpengetahuan	
berperlembagaan	
bersayap	
berseorangan	
berserah	
bersih	
bertagar	
bertahun	
bertentangan	
berterbangan	
besar	
besepai	
besotai	
better	
betuah	
betul	
bezat	
bijak	
bilazim	
binasa	
biotik	
biram	
biri	
birokratik	
bisa	
bising	
bitter	
bobrok	
bodoh	
boghek	
bolong	
bombastik	
bongok	
bongsu	
borong	
bosan	
botak	
boyot	
buas	
buatan	
budaya	
bujal	
bujang	
bujorbuntar	
bulanan	
bulang	
bulat	
bulur	
buncit	
bundar	
buntal	
bunting	
buruk	
busuk	
busy	
cacamarba	
cacamerba	
cacat	
cacil	
cair	
cakna	
canggih	
cantek	
cantik	
cauk	
caung	
cedera	
cekap	
ceking	
cekung	
celaka	
celoreng	
cembung	
cemburu	
cemerlang	
cepat	
cerah	
cerce	
cerdas	
ceria	
ceroboh	
cerun	
cetek	
cilat	
cilet	
claim	
cocok	
colok	
comel	
comot	
conet	
confuse	
congak	
copat	
copek	
cringe	
cuak	
cukup	
curam	
dagang	
dahaga	
dahsyat	
daif	
dakar	
dalaman	
damai	
dara	
dekat	
dilarang	
dinamik	
dingin	
diraja	
dogil	
dokek	
driver	
duka	
dukacita	
dungu	
duniawi	
dwiatom	
dwibahasa	
dwikutub	
dwitahunan	
ekabahasa	
ekadewan	
eksogenik	
ekstrasel	
elektronik	
elir	
elok	
emas	
endogenik	
esa	
eyopos	
fadil	
fakir	
fasih	
fizikal	
fonemik	
fotoelektrik	
free	
full	
furada	
gah	
gajul	
gampang	
ganjil	
garang	
gatal	
gawat	
gelap	
gelisah	
gelojoh	
gembira	
gemerlap	
gemilang	
gempak	
gemuk	
genap	
gendut	
genting	genting-genting
gerigitan	
gering	gering-gering
gersang	
ghaib	
giat	
golak	
gonyek	
gumbira	
habor	
hadir	
halal	
halimunan	
haloba	
hambar	
hamil	
hampa	
hampir	
hanco	
hangat	
hangus	
hapak	
harafiah	
haram	
harian	
haus	
hebat	
hidraulik	
hidro	
hidrofilik	
hidrofobik	
hidup	
hijau	
hina	
hiperaktif	
hodoh	
homoseksual	
hulu	hulu-hulu
idak	
ihram	
ilmiah	
indah	
individu	
ingau	
intermolekul	
internasional	
intramolekul	
intravena	
istimewa	
jadong	
jahat	
jahil	
jalanan	
jalang	
jamak	
jangok	
jantan	
jasmani	
jauh	
jawaz	
jealous	
jelik	
jelita	
jemu	
jernih	
jijik	
jinak	
jitu	
jongang	
kabisat	
kabur	
kabus	
kacak	
kaku	
kalah	
kalis	
kamal	
kamil	
kamjat	
kanan	
kaw	
kayangan	
kebaculan	
kebal	
kebangsaan	
kebilangan	
kecewa	
kecil	
kecoh	
kedah	
kedekut	
kedengaran	
kehaiwanan	
kehitaman	
kejam	
kejang	
kejap	
kekal	
kelabu	
kelak	
kelam	
kemas	
kembung	
kemerdekaan	
kempunan	
kencang	
keputihan	
keras	
kerbing	
kerdil	
kering	
keriting	
keruh	
kesayangan	
keseluruhan	
kesut	
ketam	
ketinggalan	
ketul	
kikis	
kilan	
kiri	
klinikal	
kocik	
komersial	
komplit	
konkrit	
kontang	
kontot	
kontra	
koreh	
kosmetik	
kosong	
koyak	koyak-koyak
kritikal	
kuadratik	
kuajo	
kuantum	
kuat	
kuaterner	
kumpulan	
kuno	
kurus	
lacur	
lain	
laku	
lalai	
lama	
lambak	
lambat	
lame	
lamo	
lampai	
lampau	
lancar	
lancau	
langsi	
lanjiao	
lanjut	
lantang	
lapang	
lapar	
lapuk	
laris	
last	
latar	
lawak	
lawas	
layak	
layu	
lazat	
