word	pos_values
a	unknown
aba	noun
aba-daba	noun
abab	noun,verb
abad	noun
abadi	adj
abadiah	adj
abadiat	adj
abadiyyah	unknown
abadiyyat	unknown
abah	noun
abai	verb
abaikan	unknown
abaimana	noun
abaka	noun
abalone	noun
abar	unknown
abau	noun
abc	noun
abdas	noun
abdi	noun
abdikasi	noun
abdomen	noun
abdul	name
abdullah	name
abese	noun
abet	noun
abiad	noun
abid	noun
abilah	noun
abintara	noun
abiogenesis	noun
abiotik	noun
abis	unknown
abjad	noun
ablasi	noun
ablatif	adj
ablur	unknown
abnormal	adj
abnus	noun
aboi	noun
abok	unknown
abonemen	noun
abrak	noun
abrar	noun
abras	noun
abrit	unknown
absah	adj
absen	verb
abses	noun
absolusi	noun
absolutisme	noun
absorptif	adj
abstrak	unknown
abstraksi	noun
absurd	noun
abtar	noun
abu	noun
abuh	noun
abuk	noun
abun	noun
abus	noun
abuya	noun
abvolt	noun
abyad	noun
acah	verb
acang	noun
acap	unknown
acar	noun
acara	noun
acaram	noun
accident	noun
acuan	noun
acuh	unknown
ada	verb
adab	noun
adad	noun
adagio	unknown
adakah	adv
adalah	unknown
adalat	noun
adan	noun
adaptasi	noun
adas	noun
adat	noun
adawat	noun
adegan	noun
adendum	noun
adhi	noun
adi	noun
adib	noun
adicita	noun
adik	noun
adik-beradik	noun
adikara	noun
adikarya	noun
adikong	noun
adikuasa	noun
adikudrati	noun
adil	adj
adinda	noun
ading	noun
adipati	noun
adipos	noun
adiposuria	noun
adipsia	noun
adiraja	noun
adiratna	noun
adisejuk	adj
adiwangsa	noun
adiwarna	adj
adiwira	noun
adjektif	noun
administrasi	adj
ado	verb
adres	noun
aduan	noun
aduh	intj
aduhai	unknown
aduk	verb
aduk-adukan	verb
adukan	noun
adun	name,verb
adunan	noun
adverba	noun
advertensi	noun
advis	noun
advokat	noun
aerodinamik	noun
aerologi	noun
aeronautik	noun
afford	verb
afghanistan	name
afiun	noun
afrika	unknown
afsun	noun
afwah	noun
agak	noun,verb
agama	noun
agamawan	noun
agar	conj
agensi	noun
agih	verb
agihan	noun
agroekologi	noun
agronomi	noun
agropelancongan	noun
agung	adj
ah	intj
ahad	name
ahli	noun
ahmak	adj
ahmar	adj
aib	adj,noun,verb
aidiladha	name
aidilfitri	name
aikido	noun
air	noun
ais	noun
aisberg	noun
aiskrim	noun
aiwan	noun
ajab	adj
ajaib	adj
ajak	verb
ajakan	noun
ajal	noun
ajar	verb
ajaran	noun
ajuk	verb
akad	noun
akak	noun
akang	noun
akar	noun
akas	adj,noun
akaun	noun
akhbar	noun
akhdar	noun
akhir	adj,noun,verb
akhiran	noun
akhirulkalam	adv
akhlak	noun
akibat	noun
akidah	noun
akik	noun
akikah	noun
akil	adj
akliah	adj
akmal	adj
akrab	adj
akronim	noun
aksam	noun
aksara	noun
akses	noun
aksi	noun
aksiom	noun
