word	form
aba	aba-aba
aba-daba	aba-daba-aba-daba
abab	buah
abad	
abah	abah-abah
abaimana	abaimana-abaimana
abaka	abaka-abaka
abalone	abalone-abalone
abau	abau-abau
abc	abc-abc
abdas	abdas-abdas
abdi	abdi-abdi
abdikasi	abdikasi-abdikasi
abdomen	abdomen-abdomen
abese	abese-abese
abet	abet-abet
abiad	abiad-abiad
abid	abid-abid
abilah	abilah-abilah
abintara	abintara-abintara
abiogenesis	abiogenesis-abiogenesis
abiotik	abiotik-abiotik
abjad	abjad-abjad
ablasi	ablasi-ablasi
abnus	abnus-abnus
aboi	aboi-aboi
abonemen	abonemen-abonemen
abrak	abrak-abrak
abrar	abrar-abrar
abras	abras-abras
abses	abses-abses
absolusi	absolusi-absolusi
absolutisme	absolutisme-absolutisme
abstraksi	
absurd	absurd-absurd
abtar	abtar-abtar
abu	abu-abu
abuh	abuh-abuh
abuk	abuk-abuk
abun	abun-abun
abus	abus-abus
abuya	abuya-abuya
abvolt	abvolt-abvolt
abyad	abyad-abyad
acang	acang-acang
acar	acar-acar
acara	acara-acara
acaram	acaram-acaram
accident	accident-accident
acuan	acuan-acuan
adab	adab-adab
adad	adad-adad
adalat	adalat-adalat
adan	adan-adan
adaptasi	adaptasi-adaptasi
adas	adas-adas
adat	adat-adat
adawat	adawat-adawat
adegan	adegan-adegan
adendum	adendum-adendum
adhi	
adi	adi-adi
adib	adib-adib
adicita	adicita-adicita
adik	adik-adik
adik-beradik	
adikara	adikara-adikara
adikarya	adikarya-adikarya
adikong	adikong-adikong
adikuasa	adikuasa-adikuasa
adikudrati	adikudrati-adikudrati
adinda	adinda-adinda
ading	ading-ading
adipati	adipati-adipati
adipos	adipos-adipos
adiposuria	
adipsia	adipsia-adipsia
adiraja	adiraja-adiraja
adiratna	adiratna-adiratna
adiwangsa	adiwangsa-adiwangsa
adiwira	adiwira-adiwira
adjektif	adjektif-adjektif
adres	adres-adres
aduan	aduan-aduan
adukan	adukan-adukan
adunan	adunan-adunan
adverba	adverba-adverba
advertensi	advertensi-advertensi
advis	advis-advis
advokat	orang
aerodinamik	aerodinamik-aerodinamik
aerologi	
aeronautik	aeronautik-aeronautik
afiun	
afsun	afsun-afsun
afwah	afwah-afwah
agak	agak-agak
agama	agama-agama
agamawan	orang
agensi	agensi-agensi
agihan	agihan-agihan
agroekologi	agroekologi-agroekologi
agronomi	agronomi-agronomi
agropelancongan	
ahli	orang
aib	aib-aib
aikido	aikido-aikido
air	air-air
ais	ais-ais
aisberg	aisberg-aisberg
aiskrim	aiskrim-aiskrim
aiwan	aiwan-aiwan
ajakan	ajakan-ajakan
ajal	ajal-ajal
ajaran	ajaran-ajaran
akad	akad-akad
akak	
akang	akang-akang
akar	akar-akar
akas	akas-akas
akaun	akaun-akaun
akhbar	akhbar-akhbar
akhdar	akhdar-akhdar
akhir	akhir-akhir
akhiran	akhiran-akhiran
akhlak	
akibat	akibat-akibat
akidah	
akik	akik-akik
akikah	akikah-akikah
akronim	akronim-akronim
aksam	aksam-aksam
aksara	aksara-aksara
akses	akses-akses
aksi	aksi-aksi
aksiom	aksiom-aksiom
aktivisme	aktivisme-aktivisme
aktiviti	aktiviti-aktiviti
aktres	aktres-aktres
akuakultur	akuakultur-akuakultur
akumulator	akumulator-akumulator
akustik	akustik-akustik
al-quran	al-quran-al-quran
alaf	alaf-alaf
alahan	alahan-alahan
alakulihal	alakulihal-alakulihal
alam	alam-alam
alamat	alamat-alamat
alamatulhayat	alamatulhayat-alamatulhayat
alamiah	alamiah-alamiah
alas	alas-alas
alat	alat-alat
alatan	alatan-alatan
albinisme	
album	album-album
alergen	alergen-alergen
alergi	
algebra	
algojo	algojo-algojo
alif	alif-alif
aligator	ekor
alimoni	alimoni-alimoni
aliran	aliran-aliran
alkali	alkali-alkali
alkaloid	alkaloid-alkaloid
alkana	alkana-alkana
alkena	alkena-alkena
alkohol	alkohol-alkohol
alkoholisme	
almari	almari-almari
alpaka	ekor
altar	altar-altar
alternatif	alternatif-alternatif
altruisme	
aluminium	aluminium-aluminium
alur	alur-alur
amalan	amalan-amalan
amali	amali-amali
amang	amang-amang
amaran	amaran-amaran
ambang	ambang-ambang
ambilan	ambilan-ambilan
ambuyat	ambuyat-ambuyat
amfibia	amfibia-amfibia
amina	amina-amina
ammonium	ammonium-ammonium
amoi	amoi-amoi
ampiar	ampiar-ampiar
amuk	amuk-amuk
anak	anak-anak
anakanda	anakanda-anakanda
anarki	anarki-anarki
anatomi	anatomi-anatomi
ancala	buah
ancaman	ancaman-ancaman
andaian	andaian-andaian
andong	
anemometer	anemometer-anemometer
angan	angan-angan
anganggohok	
anggaran	anggaran-anggaran
anggerik	anggerik-anggerik
anggur	gugus
angin	angin-angin
angka	angka-angka
angkasa	
angkasawan	orang
angklung	angklung-angklung
angpau	angpau-angpau
angsana	
animasi	animasi-animasi
anion	anion-anion
anjing	ekor
anju	anju-anju
anjung	anjung-anjung
ansah	
antarabangsa	antarabangsa-antarabangsa
antasid	antasid-antasid
antibiotik	antibiotik-antibiotik
antibodi	antibodi-antibodi
antiemetik	antiemetik-antiemetik
antienzim	antienzim-antienzim
antijirim	antijirim-antijirim
antiseptik	antiseptik-antiseptik
antivaksin	antivaksin-antivaksin
antivirus	antivirus-antivirus
antologi	antologi-antologi
antonim	antonim-antonim
antropologi	antropologi-antropologi
anu	anu-anu
anyaman	anyaman-anyaman
aorta	aorta-aorta
api	api-api
apitan	apitan-apitan
aplikasi	aplikasi-aplikasi
apresiasi	apresiasi-apresiasi
apron	apron-apron
arah	arah-arah
arahan	arahan-arahan
arak	arak-arak
aras	aras-aras
arasy	arasy-arasy
arbaa	arbaa-arbaa
arbitrasi	arbitrasi-arbitrasi
ardi	ardi-ardi
ares	ares-ares
aristokrasi	aristokrasi-aristokrasi
arkib	arkib-arkib
arnab	arnab-arnab
arohjiran	arohjiran-arohjiran
arteri	arteri-arteri
artileri	artileri-artileri
artritis	artritis-artritis
arung	
arunika	ekor
asalan	asalan-asalan
asam	asam-asam
asamod	
asap	asap-asap
ase	
asem	
aset	aset-aset
asid	asid-asid
askar	askar-askar
asrama	asrama-asrama
astaka	astaka-astaka
astrobiologi	
astrofizik	astrofizik-astrofizik
astrokimia	astrokimia-astrokimia
astrologi	astrologi-astrologi
asuhan	asuhan-asuhan
aswad	aswad-aswad
atap	atap-atap
atasan	orang
atmosfera	atmosfera-atmosfera
atom	atom-atom
atop	atop-atop
aturan	aturan-aturan
aur	aur-aur
autobiografi	autobiografi-autobiografi
autokrasi	autokrasi-autokrasi
autonomi	autonomi-autonomi
autotrof	autotrof-autotrof
awal	awal-awal
awalan	awalan-awalan
awan	awan-awan
awar	awar-awar
ayah	ayah-ayah
ayam	ayam-ayam
ayan	
ayat	ayat-ayat
azal	
azam	azam-azam
azan	azan-azan
azimut	azimut-azimut
bab	bab-bab
babak	babak-babak
babi	babi-babi
bacaan	bacaan-bacaan
bacang	bacang-bacang
badai	badai-badai
badak	
badam	badam-badam
badan	badan-badan
badang	badang-badang
bagoluik	
bahagian	bahagian-bahagian
bahan	bahan-bahan
bahana	bahana-bahana
bahang	
bahasa	bahasa-bahasa
bahaya	bahaya-bahaya
bahtera	bahtera-bahtera
bahu	bahu-bahu
bahulu	bahulu-bahulu
baiduri	baiduri-baiduri
baja	baja-baja
bajet	bajet-bajet
baju	baju-baju
bak	
baka	baka-baka
bakat	bakat-bakat
bakau	bakau-bakau
baki	baki-baki
bakteria	bakteria-bakteria
bakul	bakul-bakul
balaci	balaci-balaci
balada	balada-balada
balado	balado-balado
balaghah	
balai	balai-balai
balak	balak-balak
balang	balang-balang
balapan	balapan-balapan
balasan	balasan-balasan
balingan	balingan-balingan
balu	orang
balut	balut-balut
balutan	balutan-balutan
bambu	bambu-bambu
banci	banci-banci
bancian	bancian-bancian
bancuhan	bancuhan-bancuhan
bandar	bandar-bandar
bandingan	bandingan-bandingan
banduan	banduan-banduan
bandul	bandul-bandul
bang	bang-bang
bangkai	bangkai-bangkai
bangku	bangku-bangku
banglo	banglo-banglo
bangsal	bangsal-bangsal
bangsat	bangsat-bangsat
bangsawan	orang
bangunan	bangunan-bangunan
banir	banir-banir
banjaran	banjaran-banjaran
banjir	banjir-banjir
bank	bank-bank
bantahan	bantahan-bantahan
bantal	bantal-bantal
bantuan	bantuan-bantuan
banyak	banyak-banyak
bapa	bapa-bapa
bapak	bapak-bapak
bapok	bapok-bapok
baptis	baptis-baptis
bara	bara-bara
baraan	baraan-baraan
barai	barai-barai
barang	barang-barang
barangan	barangan-barangan
barangon	
barat	barat-barat
barli	barli-barli
basikal	basikal-basikal
batang	batang-batang
batasan	batasan-batasan
bateri	butir
batik	batik-batik
batu	batu-batu
batuan	batuan-batuan
baucar	baucar-baucar
baulu	baulu-baulu
bausastera	bausastera-bausastera
bawaan	bawaan-bawaan
bawah	
bawahan	bawahan-bawahan
bawang	bawang-bawang
bayang	bayang-bayang
bayangan	bayangan-bayangan
bayaran	bayaran-bayaran
bayi	bayi-bayi
bayonet	bayonet-bayonet
beban	beban-beban
bebanan	bebanan-bebanan
bebat	
beberape	
bedil	bedil-bedil
bedilan	bedilan-bedilan
beg	beg-beg
begawan	
beguk	
bejana	
bekal	bekal-bekal
bekas	bekas-bekas
bela	bela-bela
belah	belah-belah
belakang	
belalang	belalang-belalang
