word	form
abab	
abai	
absen	
acah	
ada	
ado	
aduk	
aduk-adukan	
adun	
afford	
agak	
agih	
aib	
ajak	
ajar	
ajuk	
akhir	
alam	
amang	
ambang	
ambil	
ampai	
ancam	
andai	
angan	
anggar	
angkat	
anu	
anyam	
apply	
arah	
arak	
argue	
asah	
asuh	
atur	
ayak	
ayun	
ayut	
baca	baca-baca
bahagi	
bajet	bajet-bajet
bakar	
bala	
balas	
balik	
baling	
balut	
ban	
bangkit	
bantah	
bantai	
bantu	
barai	
baring	
batal	
batuk	
bawa	
bayar	
bebas	
becakap	
bedah	
bedil	
begughau	
bekap	
beko	
belah	
belajar	
belanja	
belau	
beli	
belok	
benci	
bentang	
berak	
berakan	
berangkat	
berangsang	
berbalas	
berbuyutan	
bercahaya	
bercakap	
bercinta	
bercium	
berdikari	
berdomisil	
berenang	
beres	
berhenti	
berhitung	
beri	
berikan	
beritahu	
berjalan	
berjalan-jalan	
berjaya	
berkabung	
berkate	
berkecimpung	
berkenaan	
berkuda	
bermadah	
bermalam	
bermastautin	
bermusuh	
bernafas	
berpiknik	
berpuasa	
bersahabat	
bersalin	
bersenam	
bersih	
bersuara	
bersusah	
bertahan	
bertarawih	
bertolak	
berwajah	
berwajib	
berwakil	
berzakat	
betanyo	
betekak	
beyur	
beyur-yur	
biar	
bias	
bikin	
bilang	
bimbit	
bincang	
bisik	
bocor	
bogel	
boikot	
boleh	
bongkar	
bual	
buang	
bubut	
bukti	
buli	
bungkus	
bunuh	
buru	
cabang	
cabar	
cabik	
cabul	
caci	
cadang	
caghi	
call	
campak	
campur	
candek	
capai	
cari	
catat	
catu	
cekik	
cepoh	
cerai	
cerap	cerap-cerap
cerca	
cerita	
ceroboh	
cetus	
check	
cicir	
cipta	
cium	
comeh	
conteng	
convert	
cover	
cuba	
cubo	
cuci	
cucuk	
culik	
curi	
cuti	
daftar	
dagang	
dakwa	
dapat	
darab	
darat	
datang	
dedah	
degup	
delete	
dendangan	
dengar	
denyut	
design	
digelar	
discuss	
dongagh	
dongak	
download	
drive	
duduk	
duga	
duk	
eja	
elak	
elat	
elop	
embus	
faduli	
fikir	fikir-fikir
fokus	
gabung	
gaduh	
gagal	
gam	
ganggum	
gaul	
gegar	
gelak	
gelar	
gelek	
gempa	
gerai	
gesa	
gigil	
gigit	
gilir	
golak	
golong	
goncang	
goreng	
gores	
gosok	
guling	
guna	
hadam	
hala	
halang	
hancur	
hantar	
harap	
hayun	
hebah	hebah-hebah
hempak	
hentak	
hentam	
henti	
hias	
hibur	
hidap	
hidu	
hilang	
himpun	
himpunan	
hina	
hinga	
hirau	
hiris	
hirup	
hisap	
hitung	
hormat	hormat-hormat
hubung	
humban	
ibadah	
ikat	
iktiraf	
imbang	
implement	
ingat	
introduce	
invest	
istighfar	
istihza	
izin	
jaet	
jahit	
jajah	
jalan	
jamu	
jana	
jangka	
jangkah	
jangkang	
jangkau	
jatuh	
jawab	
jawat	
jelajah	jelajah-jelajah
jemur	
jerang	
jerit	
jilat	
joget	
join	
jolok	
jual	
kabung	
kahwin	
kaji	
kalah	
kamil	
kamir	
kandar	
kandung	
karam	
karang	
karok	
kasih	
katok	
kebulur	
kebut	
kebuyutan	
kecek	kecek-kecek
kecut	
kejam	
keji	
kejut	
