i	1000000	PREPOSITION
og	648480	OTHER
av	391939	PREPOSITION
som	344219	PREPOSITION
kategori	334205	NOUN,OTHER
til	280483	PREPOSITION
på	269545	PREPOSITION
for	262618	VERB,PREPOSITION	fare
med	210922	PREPOSITION
ble	208722	VERB	bli
fra	181736	PREPOSITION
var	171367	VERB	va
å	144055	PROPER_NOUN
under	101960	NOUN,PREPOSITION
har	98923	VERB	ha
ved	76115	NOUN,PREPOSITION
referanser	70940	NOUN,OTHER	referanse
også	70398	OTHER
eksterne	65741	ADJECTIVE	ekstern
lenker	65723	NOUN,OTHER	lenke
om	64726	PREPOSITION
etter	64536	PREPOSITION
seg	56275	VERB	sige
men	54974	NOUN,VERB	mene
hadde	53749	VERB	ha
ikke	51092	OTHER
hun	47559	NOUN,OTHER
eller	45559	OTHER
sommer-ol	40363	OTHER
andre	40224	ADJECTIVE,PROPER_NOUN	annen
over	39382	PREPOSITION
kan	37344	NOUN,VERB	kunne
første	37113	ADJECTIVE
født	34382	VERB,ADJECTIVE	føde
hans	33740	PROPER_NOUN
dette	32596	VERB
mot	31594	NOUN,PREPOSITION
år	30918	NOUN,OTHER
norske	30530	ADJECTIVE	norsk
ut	28844	OTHER
fikk	27056	VERB	få
mellom	25973	PREPOSITION
norsk	25952	NOUN,ADJECTIVE
norge	25750	PROPER_NOUN
flere	25135	ADJECTIVE	mange
personer	24853	NOUN,OTHER	person
denne	24643	OTHER
usa	24411	PROPER_NOUN
deltakere	23501	NOUN,OTHER	deltaker
blant	22317	PREPOSITION
opp	21509	OTHER
kom	20933	VERB	komme
hvor	20642	OTHER
blir	20416	VERB	bli
tidligere	20097	ADJECTIVE	tidlig
sammen	19755	OTHER
ligger	19265	VERB	ligge
tallet	18870	NOUN,OTHER	tall
ha	18823	VERB
noen	18772	OTHER
senere	18756	ADJECTIVE	sen
slekten	18662	NOUN,OTHER	slekt
tre	17942	NOUN,VERB
før	17889	VERB,PREPOSITION	fø
kommune	17871	NOUN,OTHER
så	17817	VERB	se
alle	17469	OTHER
mange	17268	ADJECTIVE
være	16946	VERB
man	16918	NOUN,OTHER
siden	16807	NOUN,PREPOSITION	side
oslo	16732	PROPER_NOUN
annet	16716	ADJECTIVE	annen
del	16708	NOUN,VERB	dele
meter	16203	NOUN,OTHER
