word	form
abbedlig	abbedlige
abc	
abdominal	abdominalt
abdominal	abdominale
abelsk	abelske
aberrant	aberrante
abiotisk	abiotiske
abjekt	abjekte
abkhasisk	abkhasiske
ablativ	ablativt
ablativ	ablative
ablativisk	ablativiske
abnorm	abnormt
abnorm	abnorme
abnormal	abnormalt
abnormal	abnormale
abolisjonistisk	abolisjonistiske
aboriginsk	aboriginske
abortiv	abortivt
abortiv	abortive
abortsøkende	
abrupt	abrupte
absolutistisk	absolutistiske
absolutt	absolutte
absorptiv	absorptivt
absorptiv	absorptive
abstinent	abstinente
abstrakt	abstrakte
absurd	absurde
absurdistisk	absurdistiske
adekvat	adekvate
administrativ	administrativt
administrativ	administrative
adstadig	adstadige
adstadig	adstadigere
adstadig	adstadigst
adstadig	adstadigste
aerodynamisk	aerodynamiske
affektiv	affektivt
affektiv	affektive
afghansk	afghanske
afrikansk	afrikanske
aggressiv	aggressivt
aggressiv	aggressive
agnostisk	agnostiske
ajourinnfatta	ajourinnfattet
ajourinnfatta	ajourinnfattete
ajourinnfatta	ajourinnfattede
ajourinnfattet	ajourinnfatta
ajourinnfattet	ajourinnfattete
ajourinnfattet	ajourinnfattede
akademisk	akademiske
akkompagnerende	
akrobatisk	akrobatiske
akselererende	
akseptabel	akseptabelt
akseptabel	akseptable
aksial	aksialt
aksial	aksiale
akta	
aktet	aktede
aktet	aktete
aktiv	aktivt
aktiv	aktive
aktuell	aktuelt
aktuell	aktuelle
aktverdig	aktverdige
akustisk	akustiske
akutt	akutte
akuttmedisinsk	akuttmedisinske
akvatisk	akvatiske
alarmerende	
alaskisk	alaskiske
albansk	albanske
aldersblandet	aldersblandede
aldersblandet	aldersblandete
aldrende	
alfabetisk	alfabetiske
algebraisk	algebraiske
algerisk	algeriske
alkalisk	alkaliske
alkoholfri	alkoholfritt
alkoholfri	alkoholfrie
alkoholholdig	alkoholholdige
allegorisk	allegoriske
allergisk	allergiske
alliert	allierte
allmektig	allmektige
allmenn	allment
allmenn	allmenne
allsidig	allsidige
allvitende	
alminnelig	alminnelige
alternativ	alternativt
alternativ	alternative
altetende	
alvorlig	alvorlige
alvorlig	alvorligere
alvorlig	alvorligst
alvorlig	alvorligste
amatørmessig	amatørmessige
ambisiøs	ambisiøst
ambisiøs	ambisiøse
amerikansk	amerikanske
amorf	amorft
amorf	amorfe
amper	ampert
amper	ampre
amper	amprere
amper	amprest
anaerob	anaerobt
anaerob	anaerobe
analog	analogt
analog	analoge
analytisk	analytiske
anatolisk	anatoliske
anatomisk	anatomiske
andinsk	andinske
andorransk	andorranske
angelsaksisk	angelsaksiske
anglikansk	anglikanske
anglosaksisk	anglosaksiske
angolansk	angolanske
angrende	
angstbitersk	angstbiterske
animalsk	animalske
annen	anna
annen	annet
annen	andre
annenklasses	
annenrangs	
annerledes	
anoksisk	anoksiske
anonym	anonymt
anonym	anonyme
anstendig	anstendige
anstendig	anstendigere
anstendig	anstendigst
anstendig	anstendigste
anstrengende	
anstøtelig	anstøtelige
anstøtende	
ansvarlig	ansvarlige
antarktisk	antarktiske
antibakteriell	antibakterielt
antibakteriell	antibakterielle
antiguansk	antiguanske
antikk	antikt
antikk	antikke
antikvarisk	antikvariske
antiseptisk	antiseptiske
antistatisk	antistatiske
antropologisk	antropologiske
apostolisk	apostoliske
arabisk	arabiske
arameisk	arameiske
arbeidsintensiv	arbeidsintensivt
arbeidsintensiv	arbeidsintensive
arbeidsledig	arbeidsledige
arbeidsløs	arbeidsløst
arbeidsløs	arbeidsløse
argentinsk	argentinske
arisk	ariske
aristokratisk	aristokratiske
arkaisk	arkaiske
arkeisk	arkeiske
arkeologisk	arkeologiske
arkitektonisk	arkitektoniske
arktisk	arktiske
arm	armt
arm	arme
armensk	armenske
aromatisk	aromatiske
arrig	
artig	artige
artig	artigere
artig	artigst
artig	artigste
arvelig	arvelige
aseksuell	aseksuelt
aseksuell	aseksuelle
aserbajdsjansk	aserbajdsjanske
asiatisk	asiatiske
assisterende	
assosiert	assosierte
assyrisk	assyriske
astmatisk	astmatiske
astrologisk	astrologiske
astronomisk	astronomiske
asurblå	asurblått
asurblå	asurblåe
asymmetrisk	asymmetriske
asymptomatisk	asymptomatiske
asynkron	asynkront
asynkron	asynkrone
ateistisk	ateistiske
atlantisk	atlantiske
atmosfærisk	atmosfæriske
attende	
attraktiv	attraktivt
attraktiv	attraktive
audiovisuell	audiovisuelt
audiovisuell	audiovisuelle
australsk	australske
austronesisk	austronesiske
autentisk	autentiske
autokrom	autokromt
autokrom	autokrome
automatisk	automatiske
autonom	autonomt
autonom	autonome
autorisert	autoriserte
autoritativ	autoritativt
autoritativ	autoritative
autoritær	autoritært
autoritær	autoritære
avansert	avanserte
avarisk	avariske
avdelt	avdelte
avdød	avdødt
avdød	avdøde
avgjørende	
avgående	
avgått	avgåtte
avhengig	avhengige
avlang	avlangt
avlang	avlange
avrundet	avrundede
avrundet	avrundete
avskyelig	
