word	pos_values
a	character,intj,noun,prep,symbol
a-bombe	noun
a-dur	noun
a-egg	noun
a-endelse	noun
a-ending	noun
a-form	noun
a-format	noun
a-infinitiv	noun
a-kjendis	noun
a-klinikk	noun
a-lag	noun
a-menneske	noun
a-moll	noun
a-mål	noun
a-våpen	noun
aa	character,name
ab	prep
ab-kjøp	noun
ab-kontrakt	noun
abaca	noun
abakus	noun
abandon	noun
abandonere	verb
abandonering	noun
abandonfrist	noun
abandonrett	noun
abasi	noun
abasi-astasi	noun
abattoir	noun
abaya	noun
abba	noun
abbed	noun
abbedi	noun
abbedisse	noun
abbedissestue	noun
abbedlig	adj
abbedverdighet	noun
abbedvigsel	noun
abbor	noun
abborfamilien	noun
abborfiske	noun
abborfisker	noun
abborruse	noun
abboryngel	noun
abbreviasjon	noun
abbreviator	noun
abbreviatur	noun
abbreviere	verb
abbreviering	noun
abc	adj,noun
abc-barn	noun
abc-bok	noun
abc-krig	noun
abc-krigføring	noun
abc-offiser	noun
abc-område	noun
abc-statene	noun
abc-vern	noun
abc-våpen	noun
abc-øyene	name
abderitt	noun
abdikasjon	noun
abdisere	verb
abdisering	noun
abdomen	noun
abdominal	adj
abduksjon	noun
abdusere	verb
abdusering	noun
abelmoskus	noun
abelmoskusfiber	noun
abelsin	noun
abelsk	adj
aber	noun
aberrant	adj,noun
aberrasjon	noun
abessinia	name
abessinierbrønn	noun
abessiv	noun
abild	name
abiogenese	noun
abiotisk	adj
abitur	noun
abiturient	noun
abjekt	adj
abkhaser	noun
abkhasia	name
abkhasier	noun
abkhasisk	adj,noun
ablasjon	noun
ablativ	adj,noun
ablativform	noun
ablativisk	adj
ablegøye	noun
ablesin	noun
ablusjon	noun
abnorm	adj
abnormal	adj
abnormitet	noun
abolering	noun
abolisjonisme	noun
abolisjonist	noun
abolisjonistisk	adj
abonnement	noun
abonnementsavis	noun
abonnementskonsert	noun
abonnementspris	noun
abonnent	noun
abonnere	verb
abonnering	noun
abordering	noun
aborigin	noun
aboriginer	noun
aboriginsk	adj
abort	noun
abortere	verb
abortering	noun
abortiv	adj,noun
abortlov	noun
abortnemnd	noun
abortpille	noun
abortsøkende	adj
abortsøker	noun
abrakadabra	intj,noun
abrodd	noun
abrupt	adj
abscess	noun
abscisse	noun
abscisseakse	noun
absentere	verb
absentering	noun
absint	noun
absolusjon	noun
absolutisme	noun
absolutist	noun
absolutistisk	adj
