word	form
a	a-en
a	a-er
a	a-ene
a-bombe	a-bomba
a-bombe	a-bomben
a-bombe	a-bomber
a-bombe	a-bombene
a-dur	a-duren
a-dur	a-durer
a-dur	a-durene
a-egg	a-egget
a-egg	a-egga
a-egg	a-eggene
a-endelse	a-endelsen
a-endelse	a-endelser
a-endelse	a-endelsene
a-ending	a-endinga
a-ending	a-endingen
a-ending	a-endinger
a-ending	a-endingene
a-form	a-forma
a-form	a-formen
a-form	a-former
a-form	a-formene
a-format	a-formatet
a-format	a-formater
a-format	a-formata
a-format	a-formatene
a-infinitiv	a-infinitiven
a-infinitiv	a-infinitiver
a-infinitiv	a-infinitivene
a-kjendis	a-kjendisen
a-kjendis	a-kjendiser
a-kjendis	a-kjendisene
a-klinikk	a-klinikken
a-klinikk	a-klinikker
a-klinikk	a-klinikkene
a-lag	a-laget
a-lag	a-laga
a-lag	a-lagene
a-menneske	a-mennesket
a-menneske	a-mennesker
a-menneske	a-menneska
a-menneske	a-menneskene
a-moll	a-mollen
a-moll	a-moller
a-moll	a-mollene
a-mål	a-målet
a-mål	a-måla
a-mål	a-målene
a-våpen	a-våpenet
a-våpen	a-våpna
a-våpen	a-våpnene
ab-kjøp	ab-kjøpet
ab-kjøp	ab-kjøpa
ab-kjøp	ab-kjøpene
ab-kontrakt	ab-kontrakten
ab-kontrakt	ab-kontrakter
ab-kontrakt	ab-kontraktene
abaca	abacaen
abaca	abacaer
abaca	abacaene
abakus	abakusen
abakus	abakuser
abakus	abakusene
abandon	abandonen
abandon	abandoner
abandon	abandonene
abandonering	abandoneringen
abandonering	abandoneringer
abandonering	abandoneringene
abandonfrist	abandonfristen
abandonfrist	abandonfrister
abandonfrist	abandonfristene
abandonrett	abandonretten
abandonrett	abandonretter
abandonrett	abandonrettene
abasi	abasien
abasi	abasier
abasi	abasiene
abasi-astasi	abasi-astasien
abasi-astasi	abasi-astasier
abasi-astasi	abasi-astasiene
abattoir	abattoiret
abattoir	abattoirer
abattoir	abattoira
abattoir	abattoirene
abaya	abayaen
abaya	abayaer
abaya	abayaene
abba	
abbed	abbeden
abbed	abbeder
abbed	abbedene
abbedi	abbediet
abbedi	abbedier
abbedi	abbedia
abbedi	abbediene
abbedisse	abbedissa
abbedisse	abbedissen
abbedisse	abbedisser
abbedisse	abbedissene
abbedissestue	abbedissestua
abbedissestue	abbedissestuen
abbedissestue	abbedissestuer
abbedissestue	abbedissestuene
abbedverdighet	abbedverdigheta
abbedverdighet	abbedverdigheten
abbedverdighet	abbedverdigheter
abbedverdighet	abbedverdighetene
abbedvigsel	abbedvigselen
abbedvigsel	abbedvigsler
abbedvigsel	abbedvigslene
abbor	abboren
abbor	abborer
abbor	abborene
abborfamilien	
abborfiske	abborfisket
abborfisker	abborfiskeren
abborfisker	abborfiskere
abborfisker	abborfiskerne
abborruse	abborrusa
abborruse	abborrusen
abborruse	abborruser
abborruse	abborrusene
abboryngel	abboryngelen
abboryngel	abborynglene
abbreviasjon	abbreviasjonen
abbreviasjon	abbreviasjoner
abbreviasjon	abbreviasjonene
abbreviator	abbreviatoren
abbreviator	abbreviatorer
abbreviator	abbreviatorene
abbreviatur	abbreviaturen
abbreviatur	abbreviaturer
abbreviatur	abbreviaturene
abbreviering	abbrevieringen
abbreviering	abbrevieringer
abbreviering	abbrevieringene
abc	abc-a
abc	abc-en
abc	abc-er
abc	abc-ene
abc-barn	abc-barnet
abc-barn	abc-barna
abc-barn	abc-barnene
abc-bok	abc-boka
abc-bok	abc-boken
abc-bok	abc-bøker
abc-bok	abc-bøkene
abc-krig	abc-krigen
abc-krig	abc-kriger
abc-krig	abc-krigene
abc-krigføring	abc-krigføringa
abc-krigføring	abc-krigføringen
abc-krigføring	abc-krigføringer
abc-krigføring	abc-krigføringene
abc-offiser	abc-offiseren
abc-offiser	abc-offiserer
abc-offiser	abc-offiserene
abc-område	abc-området
abc-område	abc-områder
abc-område	abc-områda
abc-område	abc-områdene
abc-statene	
abc-vern	abc-vernet
abc-vern	abc-verna
abc-vern	abc-vernene
abc-våpen	abc-våpenet
abc-våpen	abc-våpna
abc-våpen	abc-våpnene
abderitt	abderitten
abderitt	abderitter
abderitt	abderittene
abdikasjon	abdikasjonen
abdikasjon	abdikasjoner
abdikasjon	abdikasjonene
abdisering	abdiseringen
abdisering	abdiseringer
abdisering	abdiseringene
abdomen	abdomenet
abdomen	abdomina
abdomen	abdomena
abdomen	abdomenene
abdomen	abdominaene
abduksjon	abduksjonen
abduksjon	abduksjoner
abduksjon	abduksjonene
abdusering	abduseringen
abdusering	abduseringer
abdusering	abduseringene
abelmoskus	abelmoskusen
abelmoskus	abelmoskuser
abelmoskus	abelmoskusene
abelmoskusfiber	abelmoskusfiberen
abelmoskusfiber	abelmoskusfibere
abelmoskusfiber	abelmoskusfibre
abelmoskusfiber	abelmoskusfibrer
abelmoskusfiber	abelmoskusfiberne
abelmoskusfiber	abelmoskusfibrene
abelsin	abelsinen
abelsin	abelsiner
abelsin	abelsinene
aber	aberet
aber	abere
aber	abera
aber	aberne
aberrant	aberranten
aberrant	aberranter
aberrant	aberrantene
aberrasjon	aberrasjonen
aberrasjon	aberrasjoner
aberrasjon	aberrasjonene
abessinierbrønn	abessinierbrønnen
abessinierbrønn	abessinierbrønner
abessinierbrønn	abessinierbrønnene
abessiv	abessiven
abessiv	abessiver
abessiv	abessivene
abiogenese	abiogenesen
abiogenese	abiogeneser
abiogenese	abiogenesene
abitur	abituren
abitur	abiturer
abitur	abiturene
abiturient	abiturienten
abiturient	abiturienter
abiturient	abiturientene
abkhaser	abkhaseren
abkhaser	abkhasere
abkhaser	abkhaserne
abkhasier	abkhasieren
abkhasier	abkhasiere
abkhasier	abkhasierne
