word	pos_values
a	adj,noun,symbol
a-attest	noun
a-biljet	noun
a-bom	noun
a-capellagroep	noun
a-capellakoor	noun
a-capellamuziek	noun
a-capellazang	noun
a-capellazanger	noun
a-frame	noun
a-groot	noun
a-grootakkoord	noun
a-grotetertstoonaard	noun
a-grotetertstoonladder	noun
a-grotetertstoonschaal	noun
a-grotetertstoonsoort	noun
a-kant	noun
a-klein	noun
a-kleinakkoord	noun
a-kleinetertstoonaard	noun
a-kleinetertstoonladder	noun
a-kleinetertstoonschaal	noun
a-majeur	noun
a-majeurakkoord	noun
a-majeursextakkoord	noun
a-majeurtoonaard	noun
a-majeurtoonladder	noun
a-majeurtoonschaal	noun
a-majeurtoonsoort	noun
a-merk	noun
a-mineur	noun
a-mineurakkoord	noun
a-mineursextakkoord	noun
a-mineurtoonaard	noun
a-mineurtoonladder	noun
a-mineurtoonschaal	noun
a-omroep	noun
a-opleiding	noun
a-pion	noun
a-priorikeus	noun
a-priorisch	adj
a-priorisme	noun
a-prioristisch	adj
a-selectie	noun
a-toonladder	noun
a-viertje	noun
a-weg	noun
a-weging	noun
a-ziekte	noun
a-zin	noun
aa	name
aabenraa	name
aacht	noun
aad	name
aadlijk	adj
aadorp	name
aads	name
aafje	name
aafjes	name
aafke	name
aafkes	name
aagje	name,noun
aagt	noun
aagtappel	noun
aah	intj
aai	noun
aaibaar	adj
aaibaarheid	noun
aaibaarheidsfactor	noun
aaien	verb
aaiepoes	intj
aaiing	noun
aaipoes	intj,noun
aaistoot	noun
aak	noun
aakpalpmot	noun
aaks	adj
aakschipper	noun
aakschuit	noun
aakse	noun
aaktjalk	noun
aal	name,noun
aalachtig	adj
aalachtigen	noun
aalbes	noun
aalbesachtig	adj
aalbesachtigen	noun
aalbessenboompje	noun
aalbessendief	noun
aalbessengelei	noun
aalbessenjam	noun
aalbessenjenever	noun
aalbessennat	noun
aalbessenrist	noun
aalbessensap	noun
aalbessenstruik	noun
aalbessentros	noun
aalbessenwesp	noun
aalbessenwijn	noun
aalboer	noun
aalboot	noun
aalbot	noun
aaldobber	noun
aalduiker	noun
aalelger	noun
aalemmer	noun
aalen	name
aalfuik	noun
aalgeer	noun
aalglad	adj
aalgrondel	noun
aalhaak	noun
aalhoekwant	noun
aalhouder	noun
aalijzer	noun
aaljaagnet	noun
aalkaar	noun
aalkorf	noun
aalkub	noun
aalkubbe	noun
aalkuip	noun
aalkwab	noun
aalmoeder	noun
aalmoes	noun
aalmoezenier	noun
aalmoezenierskamer	noun
aalpomp	noun
aalput	noun
aals	name,noun
aalscholver	noun
aalsmeer	name
aalsmeerder	adj,noun
aalsmeers	adj
aalsmeerse	noun
aalst	name
aalstal	noun
aalsteker	noun
aalstenaar	noun
aalsters	adj
aalsterse	noun
aalstreep	noun
aalstreepboommuis	noun
aalstreepgrasmuis	noun
aalstreepwallaby	noun
aalsts	adj
aalsvel	noun
aalt	noun
aaltenaar	noun
aaltens	adj
aaltense	noun
aalventer	noun
aalvisserij	noun
aalvlug	adj
aalvork	noun
aalvormig	adj
aalwaardigheid	noun
aam	noun
aambeeld	noun
aambeeldkapsel	noun
aambeeldsbeentje	noun
aambeeldsblok	noun
aambeeldspikkeldikkopje	noun
aambei	noun
aambeienlikker	noun
aamborstig	adj
aamborstigheid	noun
aamt	noun
aan	adj,adv,prep
aan-en-uitknop	noun
aan-uitknop	noun
aan-uitlockdown	noun
aan-uitschakelaar	noun
aanaarden	verb
aanaarding	noun
aanaardploeg	noun
aanbakken	verb
aanbaksel	noun
aanbalken	verb
aanbedene	noun
aanbeeld	noun
aanbeeldsblok	noun
aanbeet	noun
aanbehoren	verb
aanbelanden	verb
aanbelangen	verb
aanbellen	verb
aanbenen	verb
aanbermen	verb
aanberming	noun
aanbesteden	verb
aanbesteder	noun
aanbesteding	noun
aanbestedingsbeleid	noun
