word	form
a-klasowy	a-klasowa
a-klasowy	a-klasowe
a-klasowy	a-klasowi
a-klasowy	a-klasowego
a-klasowy	a-klasowej
a-klasowy	a-klasowych
a-klasowy	a-klasowemu
a-klasowy	a-klasowym
a-klasowy	a-klasową
a-klasowy	a-klasowymi
aalborski	aalborska
aalborski	aalborskie
aalborski	aalborscy
aalborski	aalborskiego
aalborski	aalborskiej
aalborski	aalborskich
aalborski	aalborskiemu
aalborski	aalborskim
aalborski	aalborską
aalborski	aalborskimi
abadański	abadańska
abadański	abadańskie
abadański	abadańscy
abadański	abadańskiego
abadański	abadańskiej
abadański	abadańskich
abadański	abadańskiemu
abadański	abadańskim
abadański	abadańską
abadański	abadańskimi
abakański	abakańska
abakański	abakańskie
abakański	abakańscy
abakański	abakańskiego
abakański	abakańskiej
abakański	abakańskich
abakański	abakańskiemu
abakański	abakańskim
abakański	abakańską
abakański	abakańskimi
abakusowy	abakusowa
abakusowy	abakusowe
abakusowy	abakusowi
abakusowy	abakusowego
abakusowy	abakusowej
abakusowy	abakusowych
abakusowy	abakusowemu
abakusowy	abakusowym
abakusowy	abakusową
abakusowy	abakusowymi
abazyjski	abazyjska
abazyjski	abazyjskie
abazyjski	abazyjscy
abazyjski	abazyjskiego
abazyjski	abazyjskiej
abazyjski	abazyjskich
abazyjski	abazyjskiemu
abazyjski	abazyjskim
abazyjski	abazyjską
abazyjski	abazyjskimi
abazyński	abazyńska
abazyński	abazyńskie
abazyński	abazyńscy
abazyński	abazyńskiego
abazyński	abazyńskiej
abazyński	abazyńskich
abazyński	abazyńskiemu
abazyński	abazyńskim
abazyński	abazyńską
abazyński	abazyńskimi
abażurkowy	abażurkowa
abażurkowy	abażurkowe
abażurkowy	abażurkowi
abażurkowy	abażurkowego
abażurkowy	abażurkowej
abażurkowy	abażurkowych
abażurkowy	abażurkowemu
abażurkowy	abażurkowym
abażurkowy	abażurkową
abażurkowy	abażurkowymi
abażurowy	abażurowa
abażurowy	abażurowe
abażurowy	abażurowi
abażurowy	abażurowego
abażurowy	abażurowej
abażurowy	abażurowych
abażurowy	abażurowemu
abażurowy	abażurowym
abażurowy	abażurową
abażurowy	abażurowymi
abchaski	abchaska
abchaski	abchaskie
abchaski	abchascy
abchaski	abchaskiego
abchaski	abchaskiej
abchaski	abchaskich
abchaski	abchaskiemu
abchaski	abchaskim
abchaski	abchaską
abchaski	abchaskimi
abchaskojęzyczny	abchaskojęzyczna
abchaskojęzyczny	abchaskojęzyczne
abchaskojęzyczny	abchaskojęzyczni
abchaskojęzyczny	abchaskojęzycznego
abchaskojęzyczny	abchaskojęzycznej
abchaskojęzyczny	abchaskojęzycznych
abchaskojęzyczny	abchaskojęzycznemu
abchaskojęzyczny	abchaskojęzycznym
abchaskojęzyczny	abchaskojęzyczną
abchaskojęzyczny	abchaskojęzycznymi
abderycki	abderycka
abderycki	abderyckie
abderycki	abderyccy
abderycki	abderyckiego
abderycki	abderyckiej
abderycki	abderyckich
abderycki	abderyckiemu
abderycki	abderyckim
abderycki	abderycką
abderycki	abderyckimi
abdominalny	abdominalna
abdominalny	abdominalne
abdominalny	abdominalni
abdominalny	abdominalnego
abdominalny	abdominalnej
abdominalny	abdominalnych
abdominalny	abdominalnemu
abdominalny	abdominalnym
abdominalny	abdominalną
abdominalny	abdominalnymi
abdukcyjny	abdukcyjna
abdukcyjny	abdukcyjne
abdukcyjny	abdukcyjni
abdukcyjny	abdukcyjnego
abdukcyjny	abdukcyjnej
abdukcyjny	abdukcyjnych
abdukcyjny	abdukcyjnemu
abdukcyjny	abdukcyjnym
abdukcyjny	abdukcyjną
abdukcyjny	abdukcyjnymi
abdykacyjny	abdykacyjna
abdykacyjny	abdykacyjne
abdykacyjny	abdykacyjni
abdykacyjny	abdykacyjnego
abdykacyjny	abdykacyjnej
abdykacyjny	abdykacyjnych
abdykacyjny	abdykacyjnemu
abdykacyjny	abdykacyjnym
abdykacyjny	abdykacyjną
abdykacyjny	abdykacyjnymi
abecadłowy	abecadłowa
abecadłowy	abecadłowe
abecadłowy	abecadłowi
abecadłowy	abecadłowego
abecadłowy	abecadłowej
abecadłowy	abecadłowych
abecadłowy	abecadłowemu
abecadłowy	abecadłowym
abecadłowy	abecadłową
abecadłowy	abecadłowymi
abelkowy	abelkowa
abelkowy	abelkowe
abelkowy	abelkowi
abelkowy	abelkowego
abelkowy	abelkowej
abelkowy	abelkowych
abelkowy	abelkowemu
abelkowy	abelkowym
abelkowy	abelkową
abelkowy	abelkowymi
aberdyński	aberdyńska
aberdyński	aberdyńskie
aberdyński	aberdyńscy
aberdyński	aberdyńskiego
aberdyński	aberdyńskiej
aberdyński	aberdyńskich
aberdyński	aberdyńskiemu
aberdyński	aberdyńskim
aberdyński	aberdyńską
aberdyński	aberdyńskimi
aberracyjny	aberracyjna
aberracyjny	aberracyjne
aberracyjny	aberracyjni
aberracyjny	aberracyjnego
aberracyjny	aberracyjnej
aberracyjny	aberracyjnych
aberracyjny	aberracyjnemu
aberracyjny	aberracyjnym
aberracyjny	aberracyjną
aberracyjny	aberracyjnymi
abidżański	abidżańska
abidżański	abidżańskie
abidżański	abidżańscy
abidżański	abidżańskiego
abidżański	abidżańskiej
abidżański	abidżańskich
abidżański	abidżańskiemu
abidżański	abidżańskim
abidżański	abidżańską
abidżański	abidżańskimi
abietynowy	abietynowa
abietynowy	abietynowe
abietynowy	abietynowi
abietynowy	abietynowego
abietynowy	abietynowej
abietynowy	abietynowych
abietynowy	abietynowemu
abietynowy	abietynowym
abietynowy	abietynową
abietynowy	abietynowymi
abiogenny	abiogenna
abiogenny	abiogenne
abiogenny	abiogenni
abiogenny	abiogennego
abiogenny	abiogennej
abiogenny	abiogennych
abiogenny	abiogennemu
abiogenny	abiogennym
abiogenny	abiogenną
abiogenny	abiogennymi
abiotyczny	abiotyczna
abiotyczny	abiotyczne
abiotyczny	abiotyczni
abiotyczny	abiotycznego
abiotyczny	abiotycznej
abiotyczny	abiotycznych
abiotyczny	abiotycznemu
abiotyczny	abiotycznym
abiotyczny	abiotyczną
abiotyczny	abiotycznymi
abisalny	abisalna
abisalny	abisalne
abisalny	abisalni
abisalny	abisalnego
abisalny	abisalnej
abisalny	abisalnych
abisalny	abisalnemu
abisalny	abisalnym
abisalny	abisalną
abisalny	abisalnymi
abisalowy	abisalowa
abisalowy	abisalowe
abisalowy	abisalowi
abisalowy	abisalowego
abisalowy	abisalowej
abisalowy	abisalowych
abisalowy	abisalowemu
abisalowy	abisalowym
abisalowy	abisalową
abisalowy	abisalowymi
abisyński	abisyńska
abisyński	abisyńskie
abisyński	abisyńscy
abisyński	abisyńskiego
abisyński	abisyńskiej
abisyński	abisyńskich
abisyński	abisyńskiemu
abisyński	abisyńskim
