word	pos_values
a	conj,intj,noun,particle
a-a	intj
a-a-a	intj
a-dur	noun
a-klasowy	adj
a-moll	noun
aa	abbrev,intj,name,noun
aaa	intj
aachen	name
aak	noun
aalborg	name
aalborski	adj
aalen	name,noun
aalst	name
aam	noun
aan	noun
aar	name
aare	name
aargau	noun
aarhus	name
aaron	name,noun
aaronek	name
aaronita	noun
ab	abbrev
aba	name,noun
abachum	name
abacja	name
abacki	name
abadan	name
abadanka	noun
abadańczyk	noun
abadański	adj
abadyta	noun
abaja	noun
abak	noun
abaka	noun
abakan	name,noun
abakanka	noun
abakawir	noun
abakańczyk	noun
abakański	adj,noun
abakuk	name
abakus	noun
abakusowy	adj
abalasa	noun
abalienacja	noun
abalone	noun
abana	name
abandon	noun
abandonware	noun
abarognozja	noun
abasiofilia	noun
abass	noun
abassi	noun
abatacept	noun
abaton	noun
abaz	noun
abaza	name,noun
abazi	noun
abazja	noun
abazyjski	adj
abazyński	adj,noun
abażur	noun
abażurek	noun
abażurkowy	adj
abażurowy	adj
abbeville	name
abbreviatura	noun
abbrewiator	noun
abbuś	noun
abc	noun
abcalong	noun
abchaski	adj,noun
abchaskojęzyczny	adj
abchaskość	noun
abchaz	noun
abchazja	name
abchazka	noun
abcybilder	noun
abcybinder	noun
abcyjbilder	noun
abcyksymab	noun
abdankowanie	noun
abdankować	verb
abdera	name
abderycki	adj
abderyta	noun
abderytka	noun
abdest	noun
abdiasz	name
abdomen	noun
abdominalny	adj
abdominoplastyka	noun
abdon	name
abdukcja	noun
abdukcyjny	adj
abduktor	noun
abdul	name
abdykacja	noun
abdykacyjny	adj
abdykowanie	noun
abdykować	verb
abdżad	noun
abecadło	noun
abecadłowo	adv
abecadłowy	adj
abecedariusz	noun
abel	name
abelard	name
abele	name
abelek	noun
abelit	noun
abelizaur	noun
abelkowy	adj
abelsonit	noun
aberdeen	name
aberdynka	noun
aberdyńczyk	noun
aberdyński	adj
abernathyit	noun
aberracja	noun
aberracyjność	noun
aberracyjny	adj
aberrometr	noun
aberroskop	noun
abertam	noun
abetalipoproteinemia	noun
abfal	noun
abi	abbrev
abiasz	name
abiatar	name
abidżan	name
abidżanka	noun
abidżańczyk	noun
abidżański	adj
abietyna	noun
abietynowy	adj
abigail	name
abihu	name
abijjam	name
abiogeneza	noun
abiogenezo	noun
abiogenny	adj
abiologia	noun
abioseston	noun
abiotyczny	adj
abioza	noun
abisal	noun
abisalny	adj
abisalowy	adj
abisobiont	noun
abisofil	noun
abisyn	noun
abisynka	noun
abisyńczyk	noun
abisyński	adj
abitella	noun
abituriencki	adj
abiturientka	noun
abiudykacja	noun
ablacja	noun
ablacyjnie	adv
ablacyjny	adj
ablaktacja	noun
ablaktowanie	noun
ablaktować	verb
ablativus	noun
ablatiwus	noun
ablatyw	noun
ablatywny	adj
ablegat	noun
ableger	noun
ablegier	noun
ablegierek	noun
ablegrowanie	noun
ablegrować	verb
ableizm	noun
ablena	noun
ablucja	noun
ablucyjny	adj
ablutofobia	noun
ablutomania	noun
ablyger	noun
ablyjger	noun
abnegat	noun
abnegatka	noun
abo	conj
abociem	conj
aboim	conj
abolicja	noun
abolicjonista	noun
abolicjonistka	noun
abolicjonistyczny	adj
abolicjonizm	noun
abolicyjny	adj
abonamencik	noun
abonament	noun
abonamentowy	adj
abonencki	adj
abonent	noun
abonentka	noun
abonowanie	noun
abonować	verb
aboralny	adj
aborcja	noun
aborcjonista	noun
aborcjonistka	noun
aborcjonistyczny	adj
abordaż	noun
abordażowanie	noun
abordażować	verb
abordażowy	adj
aborter	noun
aborterka	noun
aborygen	noun
aborygenka	noun
aborygeński	adj
abowiem	conj
abowski	adj
aboś	conj
abp	abbrev,noun
abpstwo	noun
abradowanie	noun
abradować	verb
abraham	name,noun
abrahamek	name
abrahamiczny	adj
abrahamizm	noun
abrahamowiny	noun
abrahamowy	adj
abrakadabra	intj,noun
abram	name
abramek	name
abramowianin	noun
abramowianka	noun
abramowice	name
abramowicki	adj
abramowski	adj
abramów	name
abrazja	noun
abrazyjny	adj
abrenuncjacja	noun
abrewiatura	noun
abrewiologia	noun
abriktozaur	noun
abrogacja	noun
abrogowanie	noun
abrogować	verb
abros	noun
abroseksualizm	noun
abruzja	name
abruzyjczyk	noun
abruzyjka	noun
abruzyjski	adj
abrychta	noun
abrychtmaszina	noun
abrykosa	noun
abs	abbrev
absalom	name
absalon	name
absces	noun
absencja	noun
absencyjny	adj
absenteista	noun
absenteistka	noun
absenteizm	noun
absmaczek	noun
absmak	noun
absolucja	noun
absolut	noun
absolutnie	adv
absolutność	noun
absolutny	adj
absolutorium	noun
absolutoryjny	adj
absolutysta	noun
absolutystka	noun
absolutystyczny	adj
absolutyzacja	noun
absolutyzm	noun
absolutyzowanie	noun
absolutyzować	verb
absolwencki	adj
absolwenckość	noun
absolwent	noun
absolwentka	noun
absolwowanie	noun
absolwować	verb
absorbancja	noun
absorbat	noun
absorbent	noun
absorber	noun
absorbowanie	noun
absorbować	verb
absorpcja	noun
absorpcyjny	adj
absta	noun
abstrahować	verb
abstrakcja	noun
abstrakcjonista	noun
abstrakcjonistka	noun
abstrakcjonistyczny	adj
abstrakcjonizm	noun
abstrakcyjnie	adv
abstrakcyjność	noun
abstrakcyjny	adj
abstrakt	noun
abstraktowy	adj
abstynencja	noun
abstynencki	adj
abstynencyjny	adj
abstynent	noun
abstynentka	noun
absurd	noun
absurdalista	noun
absurdalizacja	noun
absurdalizować	verb
absurdalnie	adv
absurdalność	noun
absurdalny	adj
absurdyzm	noun
absyda	noun
absyncik	noun
absynt	noun
absyntowy	adj
abszicfajer	noun
abszlag	noun
abszmak	noun
abszminka	noun
absznyt	noun
absztychowanie	noun
absztyfikancki	adj
abszyt	noun
abt	abbrev
abucht	noun
abudża	name
abudżanka	noun
abudżańczyk	noun
abudżański	adj
abudżyjczyk	noun
abudżyjka	noun
abudżyjski	adj
abugida	noun
abulia	noun
abuliczka	noun
abuliczny	adj
abulik	noun
abundancja	noun
abundiusz	name
abundyzm	noun
abur	noun
abuz	noun
abuzabijczyk	noun
abuzabijka	noun
abuzabijski	adj
abuzywny	adj
abw	noun
abwehra	name
abwehrowski	adj
abwilczyk	noun
abwilski	adj
aby	conj,particle
aby-aby	adv,particle
abysal	noun
abysalny	adj
abzac	noun
ac	abbrev
acapulco	name
accabadora	noun
accelerando	adj,adv,noun
acciaccatura	noun
accusativus	noun
acedia	noun
acefalia	noun
acenaften	noun
acenokumarol	noun
acerola	noun
acerra	noun
acetal	noun
acetaldehyd	noun
acetalowy	adj
acetamid	noun
acetanilid	noun
acetofenon	noun
acetometr	noun
aceton	noun
acetonemia	noun
acetonowy	adj
acetyl	noun
acetylen	noun
acetylenek	noun
acetylenowy	adj
acetyloceluloza	noun
acetylocholina	noun
acetylocholinoesteraza	noun
acetylowanie	noun
ach	intj
achaj	noun
achaja	name
achajczyk	noun
achajka	noun
achajski	adj
achalazja	noun
achalciche	name
achalcyski	adj
acheiropita	noun
achilles	name
achillesowy	adj
achim	name
achiralny	adj
achitofel	name
achondroplazja	noun
achondryt	noun
achroit	noun
achromat	noun
achromatopsja	noun
achromatoptyk	noun
achromatyczność	noun
achromatyczny	adj
achromatyzacja	noun
achromatyzm	noun
achterdek	noun
achterluk	noun
achterpik	noun
achtersztag	noun
achtliczek	noun
achtlik	noun
achtopol	name
achtuba	name
achwaski	adj,noun
achy	noun
acidhousowy	adj
acidjazzowy	adj
acidrockowy	adj
aciu	intj
aconcagua	name
acro-joga	noun
acth	abbrev
acumen	noun
acydofil	noun
acydofilny	adj
acydofit	noun
