word	form
abdankować	
abdykować	abdykuję
abdykować	abdykujesz
abdykować	abdykuje
abdykować	abdykujemy
abdykować	abdykujecie
abdykować	abdykują
abdykować	abdykowałem
abdykować	abdykowałeś
abdykować	abdykował
abdykować	abdykowaliśmy
abdykować	abdykowaliście
abdykować	abdykowali
abdykować	abdykowałam
abdykować	abdykowałaś
abdykować	abdykowała
abdykować	abdykowałyśmy
abdykować	abdykowałyście
abdykować	abdykowały
abdykować	abdykowało
abdykować	abdykuj
abdykować	abdykujmy
abdykować	abdykujcie
abdykować	abdykowano
abdykować	abdykowałbym
abdykować	abdykowałbyś
abdykować	abdykowałby
abdykować	abdykowalibyśmy
abdykować	abdykowalibyście
abdykować	abdykowaliby
abdykować	abdykowałabym
abdykować	abdykowałabyś
abdykować	abdykowałaby
abdykować	abdykowałybyśmy
abdykować	abdykowałybyście
abdykować	abdykowałyby
abdykować	abdykowałoby
abdykować	abdykujący
abdykować	nieabdykujący
abdykować	abdykująca
abdykować	nieabdykująca
abdykować	abdykujące
abdykować	nieabdykujące
abdykować	abdykując
abdykować	abdykowanie
abdykować	nieabdykowanie
ablaktować	ablaktuję
ablaktować	ablaktujesz
ablaktować	ablaktuje
ablaktować	ablaktujemy
ablaktować	ablaktujecie
ablaktować	ablaktują
ablaktować	ablaktowałem
ablaktować	ablaktowałeś
ablaktować	ablaktował
ablaktować	ablaktowaliśmy
ablaktować	ablaktowaliście
ablaktować	ablaktowali
ablaktować	ablaktowałam
ablaktować	ablaktowałaś
ablaktować	ablaktowała
ablaktować	ablaktowałyśmy
ablaktować	ablaktowałyście
ablaktować	ablaktowały
ablaktować	ablaktowało
ablaktować	ablaktuj
ablaktować	ablaktujmy
ablaktować	ablaktujcie
ablaktować	ablaktowano
ablaktować	ablaktowałbym
ablaktować	ablaktowałbyś
ablaktować	ablaktowałby
ablaktować	ablaktowalibyśmy
ablaktować	ablaktowalibyście
ablaktować	ablaktowaliby
ablaktować	ablaktowałabym
ablaktować	ablaktowałabyś
ablaktować	ablaktowałaby
ablaktować	ablaktowałybyśmy
ablaktować	ablaktowałybyście
ablaktować	ablaktowałyby
ablaktować	ablaktowałoby
ablaktować	ablaktujący
ablaktować	nieablaktujący
ablaktować	ablaktująca
ablaktować	nieablaktująca
ablaktować	ablaktujące
ablaktować	nieablaktujące
ablaktować	ablaktowany
ablaktować	nieablaktowany
ablaktować	ablaktowani
ablaktować	nieablaktowani
ablaktować	ablaktowana
ablaktować	nieablaktowana
ablaktować	ablaktowane
ablaktować	nieablaktowane
ablaktować	ablaktując
ablaktować	ablaktowanie
ablaktować	nieablaktowanie
ablegrować	ablegruję
ablegrować	ablegrujesz
ablegrować	ablegruje
ablegrować	ablegrujemy
ablegrować	ablegrujecie
ablegrować	ablegrują
ablegrować	ablegrowałem
ablegrować	ablegrowałeś
ablegrować	ablegrował
ablegrować	ablegrowaliśmy
ablegrować	ablegrowaliście
ablegrować	ablegrowali
ablegrować	ablegrowałam
ablegrować	ablegrowałaś
ablegrować	ablegrowała
ablegrować	ablegrowałyśmy
ablegrować	ablegrowałyście
ablegrować	ablegrowały
ablegrować	ablegrowało
ablegrować	ablegruj
ablegrować	ablegrujmy
ablegrować	ablegrujcie
ablegrować	ablegrowano
ablegrować	ablegrowałbym
ablegrować	ablegrowałbyś
ablegrować	ablegrowałby
ablegrować	ablegrowalibyśmy
ablegrować	ablegrowalibyście
ablegrować	ablegrowaliby
ablegrować	ablegrowałabym
ablegrować	ablegrowałabyś
ablegrować	ablegrowałaby
ablegrować	ablegrowałybyśmy
ablegrować	ablegrowałybyście
ablegrować	ablegrowałyby
ablegrować	ablegrowałoby
ablegrować	ablegrujący
ablegrować	nieablegrujący
ablegrować	ablegrująca
ablegrować	nieablegrująca
ablegrować	ablegrujące
ablegrować	nieablegrujące
ablegrować	ablegrowany
ablegrować	nieablegrowany
ablegrować	ablegrowani
ablegrować	nieablegrowani
ablegrować	ablegrowana
ablegrować	nieablegrowana
ablegrować	ablegrowane
ablegrować	nieablegrowane
ablegrować	ablegrując
ablegrować	ablegrowanie
ablegrować	nieablegrowanie
abonować	abonuję
abonować	abonujesz
abonować	abonuje
abonować	abonujemy
abonować	abonujecie
abonować	abonują
abonować	abonowałem
abonować	abonowałeś
abonować	abonował
abonować	abonowaliśmy
abonować	abonowaliście
abonować	abonowali
abonować	abonowałam
abonować	abonowałaś
abonować	abonowała
abonować	abonowałyśmy
abonować	abonowałyście
abonować	abonowały
abonować	abonowało
abonować	abonuj
abonować	abonujmy
abonować	abonujcie
abonować	abonowano
abonować	abonowałbym
abonować	abonowałbyś
abonować	abonowałby
abonować	abonowalibyśmy
abonować	abonowalibyście
abonować	abonowaliby
abonować	abonowałabym
abonować	abonowałabyś
abonować	abonowałaby
abonować	abonowałybyśmy
abonować	abonowałybyście
abonować	abonowałyby
abonować	abonowałoby
abonować	abonujący
abonować	nieabonujący
abonować	abonująca
abonować	nieabonująca
abonować	abonujące
abonować	nieabonujące
abonować	abonowany
abonować	nieabonowany
abonować	abonowani
abonować	nieabonowani
abonować	abonowana
abonować	nieabonowana
abonować	abonowane
abonować	nieabonowane
abonować	abonując
abonować	abonowanie
abonować	nieabonowanie
abordażować	abordażuję
abordażować	abordażujesz
abordażować	abordażuje
abordażować	abordażujemy
abordażować	abordażujecie
abordażować	abordażują
abordażować	abordażowałem
abordażować	abordażowałeś
abordażować	abordażował
abordażować	abordażowaliśmy
abordażować	abordażowaliście
abordażować	abordażowali
abordażować	abordażowałam
abordażować	abordażowałaś
abordażować	abordażowała
abordażować	abordażowałyśmy
abordażować	abordażowałyście
abordażować	abordażowały
abordażować	abordażowało
abordażować	abordażuj
abordażować	abordażujmy
abordażować	abordażujcie
abordażować	abordażowano
abordażować	abordażowałbym
abordażować	abordażowałbyś
abordażować	abordażowałby
abordażować	abordażowalibyśmy
abordażować	abordażowalibyście
abordażować	abordażowaliby
abordażować	abordażowałabym
abordażować	abordażowałabyś
abordażować	abordażowałaby
abordażować	abordażowałybyśmy
abordażować	abordażowałybyście
abordażować	abordażowałyby
abordażować	abordażowałoby
abordażować	abordażujący
abordażować	nieabordażujący
abordażować	abordażująca
abordażować	nieabordażująca
abordażować	abordażujące
abordażować	nieabordażujące
abordażować	abordażowany
abordażować	nieabordażowany
abordażować	abordażowani
abordażować	nieabordażowani
abordażować	abordażowana
abordażować	nieabordażowana
abordażować	abordażowane
abordażować	nieabordażowane
abordażować	abordażując
abordażować	abordażowanie
abordażować	nieabordażowanie
abradować	abraduję
abradować	abradujesz
abradować	abraduje
abradować	abradujemy
abradować	abradujecie
abradować	abradują
abradować	abradowałem
abradować	abradowałeś
abradować	abradował
abradować	abradowaliśmy
abradować	abradowaliście
abradować	abradowali
abradować	abradowałam
abradować	abradowałaś
abradować	abradowała
abradować	abradowałyśmy
abradować	abradowałyście
abradować	abradowały
abradować	abradowało
abradować	abraduj
abradować	abradujmy
abradować	abradujcie
abradować	abradowano
abradować	abradowałbym
abradować	abradowałbyś
abradować	abradowałby
abradować	abradowalibyśmy
abradować	abradowalibyście
abradować	abradowaliby
abradować	abradowałabym
abradować	abradowałabyś
abradować	abradowałaby
abradować	abradowałybyśmy
abradować	abradowałybyście
abradować	abradowałyby
abradować	abradowałoby
abradować	abradujący
abradować	nieabradujący
abradować	abradująca
abradować	nieabradująca
