word	form
a	
a-da-gordense	
a-dos-cunhadense	
a-dos-franquense	
aa	
aaa	
aacheniano	
aaleniano	
aaleniense	
aalense	
aalénio	
aalênio	
aarónico	
aarônico	
aarônida	
ab-reativo	
ab-rogado	
ab-rogador	
ab-rogante	
ab-rogativo	
ab-rogatório	
ab-rogável	
ab-rupto	
ababelado	
ababocado	
ababuchado	
abacalhoado	
abacatícola	
abacense	
abacharelado	
abacial	
abacteriano	
abactinal	
abadado	
abadalhocado	
abadense	
abadiense	
abaetado	
abaeteense	
abaetetubense	
abaetê	
abafadiço	
abafado	
abafador	
abafante	
abaianado	
abairense	
abairenses	
abaixado	
abaixador	
abaixante	
abaixável	
abalado	
abalizado	
abalável	
abanador	
abancado	
abandonado	
abandonador	
abandonável	
abanteu	
abar	
abarbado	
abarcado	
abarcante	
abarcável	
abareense	
abareenses	
abaretado	
abaritano	
abarracado	
abarregado	
abarroado	
abarrotado	
abassi	
abastado	
abatatado	
abatido	
abatirá	
abaulado	
abaxi	
abaxial	
abaçanado	
abbacial	
abcásio	
abcázio	
abdominal	
abduzido	
abecedariano	
abegão	
abeirado	
abelardo-luzense	
abelense	
abelheirense	
abelhudo	
abençoado	
aberto	
abespinhado	
abessi	
abessim	
abessino	
abessínio	
abestado	
abestalhado	
abetumado	
abexi	
abexim	
abichornado	
abietíneo	
abilolado	
abiogenista	
abirobado	
abismado	
abismador	
abismante	
abismoso	
abismático	
abissal	
abissim	
abissino	
abissínio	
abitureirense	
abiulense	
abixeiro	
abiótico	
abjecto	
abjeto	
ablativo	
abliteiro	
abnegado	
abnormal	
abnóxio	
aboadelense	
abobado	
abobalhado	
aboinense	
abolachado	
aboletado	
abolicionista	
abolido	
abominador	
abominoso	
abominável	
abonado	
abonecado	
aborinense	
aborrecido	
aborrido	
aborsivo	
abortado	
aborticida	
abortista	
abortivo	
aborígene	
aborígine	
abouxador	
abragonense	
abrancaçado	
abrandado	
abrangente	
abrangido	
abrantino	
abrasado	
abrasador	
abrasileirado	
abrasivo	
abravesense	
abraâmico	
abraâmio	
abraçado	
abraçável	
abreirense	
abreugráfico	
abreviado	
abrigadense	
abrigado	
abrunheirense	
abrunhosense	
abrupto	
absalónico	
absalônico	
abscôndito	
absolutista	
absoluto	
absolvido	
absorto	
absorvedor	
absorvente	
abstinente	
abstraccionista	
abstracionista	
abstractivo	
abstracto	
abstrativo	
abstrato	
abstraído	
abstruso	
abstémio	
abstêmio	
absurdado	
absurdo	
absíntico	
abundante	
aburguesado	
abusado	
abusador	
abusivo	
abysmado	
abysmador	
abysmal	
abysmante	
abysmatico	
abysmoso	
abyssal	
abácida	
abádida	
abássida	
acabado	
acabrunhado	
acaciano	
acadiano	
académico	
acadêmico	
acafajestado	
acaiaquense	
acaju	
acajutibense	
acajutibenses	
acalcanhado	
acalmado	
acalorado	
acamado	
acambetado	
acampado	
acanhado	
acantocéfala	
acantocéfalas	
acantocéfalo	
acantocéfalos	
acantopterígio	
acantáceo	
acanónico	
acanônico	
acariciador	
acaricida	
acarotóxico	
acarídeo	
acastanhado	
acatador	
acateco	
acatingado	
acausto	
acautelável	
acaçapado	
accipitriforme	
acebolado	
aceiro	
aceite	
aceito	
aceitável	
acelerado	
acendido	
acerado	
acerbo	
acertado	
aceráceo	
acerável	
aceríneo	
aceso	
acessível	
acessório	
acetabuliforme	
acetinado	
achaboucado	
achadense	
achadinhense	
achadiço	
achador	
achamboado	
achaninca	
achatado	
achegado	
achteroequês	
acicular	
acidentado	
acidental	
acidógeno	
acimentado	
acintoso	
acinzentado	
acináceo	
acionador	
acionário	
acirrante	
aclamado	
aclive	
acobardado	
acochado	
acocorado	
acolchoado	
acolhedor	
acolhido	
acomodado	
acompanhado	
acompanhante	
aconchegado	
aconchegante	
aconselhável	
acontecedeiro	
acontecido	
acoplado	
acoplável	
acordado	
acorde	
acordeonista	
acordeonístico	
acormóseo	
acostumado	
acostável	
acotiledóneo	
acrata	
acre	
acreano	
acreditável	
acrelandense	
acrense	
acrescentado	
acrescido	
acriano	
acriançado	
acribelado	
acrimonioso	
acrobático	
acroleico	
acromático	
acropetal	
acrílico	
acrítico	
activado	
activante	
activista	
activo	
actual	
actuante	
actuarial	
acuado	
acucado	
acumulador	
acumulável	
acurado	
acusado	
acusador	
acusativo	
acuta	
acutangulado	
acutangular	
acuticórneo	
acutilante	
acutirrostro	
acutângulo	
acutíssimo	
acéfalo	
acérrimo	
acíclico	
acídulo	
acústico	
adamado	
adamantinense	
adamantino	
adanense	
adaptado	
adaptador	
adaptativo	
adaptável	
adaufense	
ademiense	
adentado	
adepto	
adequado	
aderente	
adernado	
adesivo	
adessivo	
adestrado	
adherente	
adiado	
adiantado	
adicense	
adicionado	
adicional	
adicionável	
adicto	
adido	
adietado	
adimplente	
adiposo	
aditivo	
adivinhador	
adivinho	
adjacente	
adjectivado	
adjectivador	
adjectival	
adjectivista	
adjectivo	
adjecto	
adjetivado	
adjetivador	
adjetival	
adjetivista	
adjetivo	
adjeto	
adjudicador	
adjudicante	
adjudicatório	
adjunto	
adligante	
administrado	
administrador	
administrativo	
admirado	
admirador	
admirável	
admissível	
admitido	
admoestado	
admoestador	
admonitório	
adnominal	
adocicado	
adoentado	
adoito	
adolescente	
adorado	
adorador	
adormido	
adornada	
adornado	
adorável	
adoslouquense	
adossado	
adotado	
adotante	
adotivo	
adoçado	
adoçante	
adquirente	
adquirido	
adrenal	
adriático	
adscritício	
adstringente	
adstrito	
aduaneiro	
adubado	
aduloso	
adulterado	
adulto	
adulão	
adunco	
adustinense	
adustinenses	
adusto	
adutor	
adventista	
adventício	adventicíssimo
adverbial	
adversativo	
adverso	
advertido	
advindo	
advocatício	
advogado	
adónio	
adônio	
adúltero	
aerado	
aerodinâmico	
aeroespacial	
aerofone	
aerofónio	
aerofônio	
aeronáutico	
aeroportuário	
aerostático	
aerotransportado	
aeroviário	
aeróbico	
aeróbio	
afadigado	
afamado	
afamilhado	
afanado	
afastado	
afebril	
afectivo	
afecto	
afectuoso	
afegane	
afegânico	
afegão	
afeito	
afeiçoado	
afeminado	
aferente	
afermentado	
aferrado	
aferrolhado	
aferventado	
aferésico	
aferético	
afetado	
afetivo	
afeto	
afetuoso	
afiado	
afiançado	
afiançável	
aficcionado	
aficionado	
afifense	
afigurado	
afilado	
afiliado	
afilo	
afim	
afinado	
afinheiro	
afirmado	
afirmativo	
afixo	
afiável	
afligente	
aflita	
aflitivo	
aflito	
afobado	
afogado	
afogueado	
afoito	
afonsoeirense	
aforismático	
afortunado	
afouto	
afraniense	
africanderoparlante	
africaneroparlante	
africano	
africânder	
africâner	
afro	
afro-brasileiro	
afro-descendente	
afrodisíaco	
afrontado	
afudê	
afuleimado	
afulo	
afunado	
afuradense	
afável	
afónico	
afórico	
afônico	
agachado	
agadanhado	
agaloado	
agardecido	
agareno	
agarimoso	
agarrado	
agasalhado	
agenciador	
agencioso	
agente	
agildense	
agitado	
agitador	
agitadora	
aglomerado	
aglutinógeno	
agnado	
agnatício	
agnotológico	
agnóstico	
agoireiro	
agoirento	
agoniado	
agoniante	
agonista	
agonizante	
agorafóbico	
agoureiro	
agourento	
agraciado	
agradabilíssimo	
agradecido	
agradável	
agramatical	
agrammatical	
agravado	
agravante	
agraz	
agraço	
agre	
agredido	
agregado	
agregrado	
agrelense	
agressivo	
agreste	
agricultural	
agricultável	
agridoce	
agro	
agroalense	
agroexportador	
agronomense	
agronómico	
agronômico	
agropecuário	
agrossocial	
agrotóxico	
agrupado	
agráfico	
agrário	
agrícola	
aguacateco	
aguacento	
aguachado	
aguadeiro	
aguadense	
aguado	
aguaiano	
aguaiense	
agualvense	
aguanilense	
aguateiro	
agudense	
agudense-do-sul	
agudo	
aguedense	
aguentadeiro	
aguentado	
aguentador	
aguentável	
aguerrido	
aguiarense	
aguieirense	
aguinense	
aguista	
aguizalhado	
aguçado	
aguçadourense	
agáteo	
agílimo	
agínico	
aimaroparlante	
aimará	
ainu	
aiquarense	
aiquarenses	
airanense	
airense	
airoense	
aironense	
airosa	
airoso	
aislado	
aiuruoquense	
aivadense	
ajambrado	ajambradíssimo
ajavardado	
ajeitado	
ajoelhado	
ajoujado	
ajudado	
ajudense	
ajuizável	
ajuntado	
ajustado	
ajustável	
akan	
akermanítico	
alado	
alagadiço	
alagado	
alagoano	
alagoense	
alagoinhense	
alambariense	
alambicado	
alambrado	
alambrador	
alambreado	
alandroalense	
alantotóxico	
alar	
alaranjado	
alargado	
alargável	
alaricano	
alarmado	
alarmante	
alarmista	
alarvada	
alarvado	
alarve	
