word	pos_values
a	adj,article,noun,num,prep,pron,symbol
a-bê-cê	noun
a-da-gordense	adj,noun
a-dos-cunhadense	adj,noun
a-dos-franquense	adj,noun
aa	abbrev,adj
aaa	abbrev,adj
aaaf	abbrev
aabora	noun
aacheniano	adj,noun
aacs	abbrev
aadic	abbrev
aaips	abbrev
aal	noun
aalclim	noun
aalcuabe	noun
aalen	noun
aaleniano	adj,noun
aalenianos	noun
aaleniense	adj,noun
aalense	adj,noun
aalénio	adj,noun
aalênio	adj,noun
aardvark	noun
aardwolf	noun
aari	noun
aaru	noun
aarão	noun
aarónico	adj
aarônico	adj
aarônida	adj,noun
aas	abbrev
aavora	noun
ab	noun
ab-reativo	adj
ab-reação	noun
ab-rogado	adj
ab-rogador	adj
ab-rogamento	noun
ab-rogante	adj
ab-rogar	verb
ab-rogativo	adj
ab-rogatório	adj
ab-rogação	noun
ab-rogável	adj
ab-rupto	adj
aba	noun,symbol
ababa	noun
ababadados	noun
ababadar	verb
ababaia	noun
ababalhar	verb
ababalho	noun
ababalhos	noun
ababaloalô	noun
ababangaí	noun
ababe	noun
ababelado	adj
ababelar	verb
ababocado	adj
ababosar	verb
ababuchado	adj
ababás	noun
abacado	noun
abacados	noun
abacalhoado	adj
abacalhoar	verb
abacar	noun
abacatal	noun
abacate	noun
abacate-do-mato	noun
abacateira	noun
abacateiral	noun
abacateiro	noun
abacateiros	noun
abacaterana	noun
abacatícola	adj
abacaxi	noun
abacaxi-branco	noun
abacaxi-de-tingir	noun
abacaxi-silvestre	noun
abacaxibirra	noun
abacaxicultor	noun
abacaxicultura	noun
abacaxizal	noun
abacaxizeiro	noun
abacelamento	noun
abacelar	verb
abacense	adj,noun
abacharelado	adj
abacharelar	verb
abaci	noun
abacial	adj
abacinamento	noun
abacinar	verb
abacinação	noun
abacisco	noun
abacista	noun
abacost	noun
abacote	noun
abacteriano	adj
abactinal	adj
abacto	noun
abactor	noun
abacá	noun
abada	noun
abadado	adj,noun
abadalar	verb
abadalhocado	adj
abadalhocar	verb
abadanar	verb
abadar	verb
abade	noun
abadejo	noun
abadense	adj,noun
abaderna	noun
abadessa	noun
abadessado	noun
abadessar	verb
abadessas	noun
abadia	noun
abadiense	adj,noun
abadiânia	noun
abadá	noun
abadágio	noun
abae	abbrev
abaetado	adj
abaetar	verb
abaeteense	adj,noun
abaetetuba	noun
abaetetubense	adj,noun
abaeté	noun
abaetê	adj,noun
abafadamente	adv
abafadela	noun
abafadiço	adj
abafado	adj
abafador	adj,noun
abafadouro	noun
abafadura	noun
abafalhar	verb
abafalho	noun
abafamento	noun
abafante	adj
abafar	noun,verb
abafarete	noun
abafação	noun
abafo	noun
abafura	noun
abagar	verb
abagaçar	verb
abagoar	verb
abaianado	adj
abaianar	verb
abaiara	noun
abainhar	verb
abaionetar	verb
abairense	adj,noun
abairenses	adj,noun
abairramento	noun
abairrar	verb
abaixa	noun
abaixa-luz	noun
abaixa-pálpebra	noun
abaixa-voz	noun
abaixadela	noun
abaixado	adj
abaixador	adj,noun
abaixados	noun
abaixadura	noun
abaixamento	noun
abaixante	adj
abaixar	verb
abaixo	adv,intj
abaixo-assinado	noun
abaixável	adj
abajoujar	verb
abaju	noun
abajur	noun
abajá	noun
abalada	noun
abalado	adj
abaladura	noun
abalamento	noun
abalançar	verb
abalar	verb
abalaustrar	verb
abalaú	noun
abaleis	verb
abalhoar	verb
abalhão	noun
abalizadamente	adv
abalizado	adj
abalizar	verb
abalo	noun
abalofar	verb
abalone	noun
abalorar	verb
abalorecer	verb
abaloufar	verb
abalroa	noun
abalroamento	noun
abalroar	verb
abalsar	verb
abaluaiê	noun
abaluartar	verb
abalá	noun
abalável	adj
abalão	noun
abampere	noun
abanador	adj,noun
abananar	verb
abanar	verb
abancado	adj,noun
abancar	verb
abandalhamento	noun
abandalhar	verb
abandar	verb
abandeirar	verb
abandejar	verb
abandoar	verb
abandonado	adj,noun
abandonador	adj
abandonar	verb
abandonatário	noun
abandonei	verb
abandono	noun,verb
abandonável	adj
abanear	verb
abaneiro	noun
abanheenga	noun
abanico	noun
abanigar	verb
abano	noun
abantesma	noun
abanteu	adj,noun
abanão	noun
abaporu	noun
abar	adj,noun,verb
abaratar	verb
abarbado	adj
abarbar	verb
abarbarar	verb
abarbatar	verb
abarbelar	verb
abarca	noun
abarcado	adj
abarcamento	noun
abarcante	adj
abarcar	verb
abarcas	noun
abarcável	adj
abareense	adj,noun
abareenses	adj,noun
abaretado	adj
abaritano	adj,noun
abarracado	adj
abarracamento	noun
abarracar	verb
abarrancar	verb
abarregado	adj
abarregar	verb
abarreirar	verb
abarretar	verb
abarrisco	adv
abarroado	adj
abarrotado	adj
abarrotamento	noun
abarrotar	verb
abarruntar	verb
abarticulação	noun
abará	noun
abaré	noun
abarém	noun
abasia	noun
abassi	adj,noun
abassino	noun
abastadamente	adv
abastado	adj
abastamento	noun
abastança	noun
abastar	verb
abastardamento	noun
abastardar	verb
abastecedor	noun
abastecedouro	noun
abastecer	verb
abastecimento	noun
abastimento	noun
abat-jour	noun
abatatado	adj
abatatar	verb
abate	noun
abatedoiro	noun
abatedor	noun
abatedouro	noun
abater	verb
abati	noun
abatido	adj
abatimento	noun
abatimirim	noun
abatirá	adj,noun
abatiá	noun
abatocar	verb
abatumar	verb
abaulado	adj
abaular	verb
abavó	noun
abavô	noun
abavúnculo	noun
abaxi	adj,noun
abaxial	adj
abaxo	adv
abaya	noun
abaza	noun
abaçanado	adj
abaçanar	verb
abaçaí	noun
abaíra	noun
abbacial	adj
abbade	noun
abbadessa	noun
abbadia	noun
abc	abbrev,noun
abcaz	noun
abceder	verb
abcesso	noun
abcissa	noun
abcásia	noun
abcásio	adj,noun
abcázia	noun
abcázio	adj,noun
abdesto	noun
abdicar	verb
abdicação	noun
abditório	noun
abdome	noun
abdominal	adj,noun
abdominoplastia	noun
abdominoscopia	noun
abduzido	adj
abduzir	verb
abdução	noun
abdómen	noun
abdômen	noun
abeatar	verb
abeberar	verb
abebé	noun
abecar	verb
abecedariano	adj,noun
abecedário	noun
abecásia	noun
abecásio	noun
abecázio	noun
abecê	noun
abednego	noun
abegoaria	noun
abegão	adj,noun
abeirado	adj,noun
abeirar	verb
abeiro	noun
abel	noun
abelarda	noun
abelardo	noun
abelardo-luzense	adj,noun
abelense	adj,noun
abelha	noun
abelha-cachorro	noun
abelha-caga-fogo	noun
abelha-europa	noun
abelha-europeia	noun
abelha-européia	noun
abelha-macha	noun
abelha-mestra	noun
abelha-negra-alemã	noun
abelha-negra-europeia	noun
abelha-negra-européia	noun
abelhaca	noun
