word	form
a	
a-bê-cê	
a-da-gordense	
a-dos-cunhadense	
a-dos-franquense	
aabora	
aacheniano	
aal	
aalclim	
aalcuabe	
aalen	
aaleniano	
aalenianos	
aaleniense	
aalense	
aalénio	
aalênio	
aardvark	
aardwolf	
aari	
aaru	
aarão	
aarônida	
aavora	
ab	
ab-reação	
ab-rogamento	
ab-rogação	
aba	
ababa	
ababadados	
ababaia	
ababalho	
ababalhos	
ababaloalô	
ababangaí	
ababe	
ababás	
abacado	
abacados	
abacar	
abacatal	
abacate	
abacate-do-mato	
abacateira	
abacateiral	
abacateiro	
abacateiros	
abacaterana	
abacaxi	
abacaxi-branco	
abacaxi-de-tingir	
abacaxi-silvestre	
abacaxibirra	
abacaxicultor	
abacaxicultura	
abacaxizal	
abacaxizeiro	
abacelamento	
abacense	
abaci	
abacinamento	
abacinação	
abacisco	
abacista	
abacost	
abacote	
abacto	
abactor	
abacá	
abada	
abadado	
abade	
abadejo	
abadense	
abaderna	
abadessa	
abadessado	
abadessas	
abadia	
abadiense	
abadiânia	
abadá	
abadágio	
abaeteense	
abaetetuba	
abaetetubense	
abaeté	
abaetê	
abafadela	
abafador	
abafadouro	
abafadura	
abafalho	
abafamento	
abafar	
abafarete	
abafação	
abafo	
abafura	
abaiara	
abairense	
abairenses	
abairramento	
abaixa	
abaixa-luz	
abaixa-pálpebra	
abaixa-voz	
abaixadela	
abaixador	
abaixados	
abaixadura	
abaixamento	
abaixo-assinado	
abaju	
abajur	
abajá	
abalada	
abaladura	
abalamento	
abalaú	
abalhão	
abalo	
abalone	
abalroa	
abalroamento	
abaluaiê	
abalá	
abalão	
abampere	
abanador	
abancado	
abandalhamento	
abandonado	
abandonatário	
abandono	
abaneiro	
abanheenga	
abanico	
abano	
abantesma	
abanteu	
abanão	
abaporu	
abar	
abarca	
abarcamento	
abarcas	
abareense	
abareenses	
abaritano	
abarracamento	
abarrotamento	
abarticulação	
abará	
abaré	
abarém	
abasia	
abassi	
abassino	
abastamento	
abastança	
abastardamento	
abastecedor	
abastecedouro	
abastecimento	
abastimento	
abat-jour	
abate	
abatedoiro	
abatedor	
abatedouro	
abati	
abatimento	
abatimirim	
abatirá	
abatiá	
abavó	
abavô	
abavúnculo	
abaxi	
abaya	
abaza	
abaçaí	
abaíra	
abbade	
abbadessa	
abbadia	
abc	
abcaz	
abcesso	
abcissa	
abcásia	
abcásio	
abcázia	
abcázio	
abdesto	
abdicação	
abditório	
abdome	
abdominal	
abdominoplastia	
abdominoscopia	
abdução	
abdómen	
abdômen	
abebé	
abecedariano	
abecedário	
abecásia	
abecásio	
abecázio	
abecê	
abednego	
abegoaria	
abegão	
abeirado	
abeiro	
abel	
abelarda	
abelardo	
abelardo-luzense	
abelense	
abelha	
abelha-cachorro	
abelha-caga-fogo	
abelha-europa	
abelha-europeia	
abelha-européia	
abelha-macha	
abelha-mestra	
abelha-negra-alemã	
abelha-negra-europeia	
abelha-negra-européia	
abelhaca	
abelharice	
abelhariça	
abelharuco	
abelheirense	
abelheiro	
abelhuco	
abelhão	
abelissauro	
abelissauros	
abeloira	
abeloura	
abenaque	
abentão	
abençoador	
abençoamento	
aberração	
aberta	
abertoiras	
abertura	
aberém	
abesana	
abessi	
abessim	
abessino	
abessivo	
abessínio	
abestruz	
abetal	
abetarda-comum	
abeto	
abexi	
abexia	
abexim	
abexina	
abezó	
abgenro	
abibe	
abidjan	
abieiro	
abigail	
abigeato	
abigeatário	
abil	
abiliana	
abiliano	
abio	
abiofilia	
abiofisiologia	
abiogenista	
abiogénese	
abiogênese	
abiologia	
abiose	
abiquara	
abismamento	
abismo	
abisseiro	
abissim	
abissino	
abisso	
abissofobia	
abissínia	
abissínio	
abitureirense	
abiu	
abiulense	
abixeiro	
abiã	
abiônimo	
abjecção	
abjeto	
abjeção	
abjunção	
ablativo	
ablação	
ablegação	
ablepsifobia	
abliteiro	
ablução	
abnegação	
abner	
abneta	
abneto	
abnora	
