word	form
ab-rogar	ab-rogando
ab-rogar	ab-rogado
ab-rogar	ab-rogo
ab-rogar	ab-rogas
ab-rogar	ab-roga
ab-rogar	ab-rogamos
ab-rogar	ab-rogais
ab-rogar	ab-rogam
ab-rogar	ab-rogava
ab-rogar	ab-rogavas
ab-rogar	ab-rogávamos
ab-rogar	ab-rogáveis
ab-rogar	ab-rogavam
ab-rogar	ab-roguei
ab-rogar	ab-rogaste
ab-rogar	ab-rogou
ab-rogar	ab-rogámos
ab-rogar	ab-rogastes
ab-rogar	ab-rogaram
ab-rogar	ab-rogara
ab-rogar	ab-rogaras
ab-rogar	ab-rogáramos
ab-rogar	ab-rogáreis
ab-rogar	ab-rogarei
ab-rogar	ab-rogarás
ab-rogar	ab-rogará
ab-rogar	ab-rogaremos
ab-rogar	ab-rogareis
ab-rogar	ab-rogarão
ab-rogar	ab-rogaria
ab-rogar	ab-rogarias
ab-rogar	ab-rogaríamos
ab-rogar	ab-rogaríeis
ab-rogar	ab-rogariam
ab-rogar	ab-rogue
ab-rogar	ab-rogues
ab-rogar	ab-roguemos
ab-rogar	ab-rogueis
ab-rogar	ab-roguem
ab-rogar	ab-rogasse
ab-rogar	ab-rogasses
ab-rogar	ab-rogássemos
ab-rogar	ab-rogásseis
ab-rogar	ab-rogassem
ab-rogar	ab-rogares
ab-rogar	ab-rogarmos
ab-rogar	ab-rogardes
ab-rogar	ab-rogarem
ab-rogar	ab-rogai
ababadar	ababadando
ababadar	ababadado
ababadar	ababado
ababadar	ababadas
ababadar	ababada
ababadar	ababadamos
ababadar	ababadais
ababadar	ababadam
ababadar	ababadava
ababadar	ababadavas
ababadar	ababadávamos
ababadar	ababadáveis
ababadar	ababadavam
ababadar	ababadei
ababadar	ababadaste
ababadar	ababadou
ababadar	ababadámos
ababadar	ababadastes
ababadar	ababadaram
ababadar	ababadara
ababadar	ababadaras
ababadar	ababadáramos
ababadar	ababadáreis
ababadar	ababadarei
ababadar	ababadarás
ababadar	ababadará
ababadar	ababadaremos
ababadar	ababadareis
ababadar	ababadarão
ababadar	ababadaria
ababadar	ababadarias
ababadar	ababadaríamos
ababadar	ababadaríeis
ababadar	ababadariam
ababadar	ababade
ababadar	ababades
ababadar	ababademos
ababadar	ababadeis
ababadar	ababadem
ababadar	ababadasse
ababadar	ababadasses
ababadar	ababadássemos
ababadar	ababadásseis
ababadar	ababadassem
ababadar	ababadares
ababadar	ababadarmos
ababadar	ababadardes
ababadar	ababadarem
ababadar	ababadai
ababalhar	ababalhando
ababalhar	ababalhado
ababalhar	ababalho
ababalhar	ababalhas
ababalhar	ababalha
ababalhar	ababalhamos
ababalhar	ababalhais
ababalhar	ababalham
ababalhar	ababalhava
ababalhar	ababalhavas
ababalhar	ababalhávamos
ababalhar	ababalháveis
ababalhar	ababalhavam
ababalhar	ababalhei
ababalhar	ababalhaste
ababalhar	ababalhou
ababalhar	ababalhámos
ababalhar	ababalhastes
ababalhar	ababalharam
ababalhar	ababalhara
ababalhar	ababalharas
ababalhar	ababalháramos
ababalhar	ababalháreis
ababalhar	ababalharei
ababalhar	ababalharás
ababalhar	ababalhará
ababalhar	ababalharemos
ababalhar	ababalhareis
ababalhar	ababalharão
ababalhar	ababalharia
ababalhar	ababalharias
ababalhar	ababalharíamos
ababalhar	ababalharíeis
ababalhar	ababalhariam
ababalhar	ababalhe
ababalhar	ababalhes
ababalhar	ababalhemos
ababalhar	ababalheis
ababalhar	ababalhem
ababalhar	ababalhasse
ababalhar	ababalhasses
ababalhar	ababalhássemos
ababalhar	ababalhásseis
ababalhar	ababalhassem
ababalhar	ababalhares
ababalhar	ababalharmos
ababalhar	ababalhardes
ababalhar	ababalharem
ababalhar	ababalhai
ababelar	ababelando
ababelar	ababelado
ababelar	ababelo
