word	form
aalenian	aaleniană
aalenian	aalenieni
aalenian	aaleniene
abacterian	abacteriană
abacterian	abacterieni
abacterian	abacteriene
abacteriemic	abacteriemică
abacteriemic	abacteriemici
abacteriemic	abacteriemice
abandonabil	abandonabilă
abandonabil	abandonabili
abandonabil	abandonabile
abandonat	abandonată
abandonat	abandonați
abandonat	abandonate
abaxial	abaxială
abaxial	abaxiali
abaxial	abaxiale
abdominal	abdominală
abdominal	abdominali
abdominal	abdominale
abductor	abductoare
abductor	abductori
aberant	aberantă
aberant	aberanți
aberant	aberante
aberativ	aberativă
aberativ	aberativi
aberativ	aberative
abil	abilă
abil	abili
abil	abile
abiogen	abiogenă
abiogen	abiogeni
abiogen	abiogene
abiotic	abiotică
abiotic	abiotici
abiotic	abiotice
abiotrofic	abiotrofică
abiotrofic	abiotrofici
abiotrofic	abiotrofice
abisal	abisală
abisal	abisali
abisal	abisale
abisinian	abisiniană
abisinian	abisinieni
abisinian	abisiniene
abject	abjectă
abject	abjecți
abject	abjecte
abjurat	abjurată
abjurat	abjurați
abjurat	abjurate
abjurător	abjurătoare
abjurător	abjurători
abnorm	abnormă
abnorm	abnormi
abnorm	abnorme
abolit	abolită
abolit	aboliți
abolit	abolite
abominabil	abominabilă
abominabil	abominabili
abominabil	abominabile
abordabil	abordabilă
abordabil	abordabili
abordabil	abordabile
abracadabrant	abracadabrantă
abracadabrant	abracadabranți
abracadabrant	abracadabrante
abraziv	abrazivă
abraziv	abrazivi
abraziv	abrazive
abreviat	abreviată
abreviat	abreviați
abreviat	abreviate
abreviativ	abreviativă
abreviativ	abreviativi
abreviativ	abreviative
abrogat	abrogată
abrogat	abrogați
abrogat	abrogate
abrudean	abrudeană
abrudean	abrudeni
abrudean	abrudene
abrupt	abruptă
abrupt	abrupți
abrupt	abrupte
abrutizant	abrutizantă
abrutizant	abrutizanți
abrutizant	abrutizante
abrutizat	abrutizată
abrutizat	abrutizați
abrutizat	abrutizate
abscons	absconsă
abscons	absconși
abscons	absconse
absent	absentă
absent	absenți
absent	absente
absentat	absentată
absentat	absentați
absentat	absentate
absidial	absidială
absidial	absidiali
absidial	absidiale
absolut	absolută
absolut	absoluți
absolut	absolute
absolutist	absolutistă
absolutist	absolutiști
absolutist	absolutiste
absolvat	absolvată
absolvat	absolvați
absolvat	absolvate
absorbit	absorbită
absorbit	absorbiți
absorbit	absorbite
abstract	abstractă
abstract	abstracți
abstract	abstracte
abstractizant	abstractizantă
abstractizant	abstractizanți
abstractizant	abstractizante
abstras	abstrasă
abstras	abstrași
abstras	abstrase
abstrus	abstrusă
abstrus	abstruși
abstrus	abstruse
absurd	absurdă
absurd	absurzi
absurd	absurde
abundat	abundată
abundat	abundați
abundat	abundate
abundent	abundentă
abundent	abundenți
abundent	abundente
aburcat	aburcată
aburcat	aburcați
aburcat	aburcate
aburit	aburită
aburit	aburiți
aburit	aburite
aburitor	aburitoare
aburitor	aburitori
aburos	aburoasă
aburos	aburoși
aburos	aburoase
abuziv	abuzivă
abuziv	abuzivi
abuziv	abuzive
abătut	abătută
abătut	abătuți
abătut	abătute
abțiguit	abțiguită
abțiguit	abțiguiți
abțiguit	abțiguite
academic	academică
academic	academici
academic	academice
acaju	
acatalectic	acatalectică
acatalectic	acatalectici
acatalectic	acatalectice
accelerat	accelerată
accelerat	accelerați
accelerat	accelerate
accelerator	acceleratoare
accelerator	acceleratori
accentuat	accentuată
accentuat	accentuați
accentuat	accentuate
acceptabil	acceptabilă
acceptabil	acceptabili
acceptabil	acceptabile
acceptor	acceptoare
acceptor	acceptori
accesibil	accesibilă
accesibil	accesibili
accesibil	accesibile
accidental	accidentală
accidental	accidentali
accidental	accidentale
accidentat	accidentată
accidentat	accidentați
accidentat	accidentate
acefal	acefală
acefal	acefali
acefal	acefale
acerb	acerbă
acerb	acerbi
acerb	acerbe
acetic	acetică
acetic	acetici
acetic	acetice
acetilacetic	acetilacetică
acetilacetic	acetilacetici
acetilacetic	acetilacetice
acetilenic	acetilenică
acetilenic	acetilenici
acetilenic	acetilenice
acetilsalicilic	acetilsalicilică
acetilsalicilic	acetilsalicilici
acetilsalicilic	acetilsalicilice
acetos	acetoasă
acetos	acetoși
acetos	acetoase
acherontic	acherontică
acherontic	acherontici
acherontic	acherontice
acheuleean	acheuleeană
acheuleean	acheuleeni
acheuleean	acheuleene
achitat	achitată
achitat	achitați
achitat	achitate
achizitiv	achizitivă
achizitiv	achizitivi
achizitiv	achizitive
aciclic	aciclică
aciclic	aciclici
aciclic	aciclice
acicular	aciculară
acicular	aciculari
acicular	aciculare
acid	acidă
acid	acizi
acid	acide
acidificabil	acidificabilă
acidificabil	acidificabili
acidificabil	acidificabile
