word	pos_values
a	character,prep,verb
a-i	contraction
a-l	contraction
a-și	contraction
a-ți	contraction
aalboaiei	name
aalenian	adj,noun
aalexoaiei	name
aancuței	name
aanei	name
aanicăi	name
aanii	name
aaniței	name
aanuței	name
aaxiniei	name
ab	name
aba	intj,noun
ababei	name
abac	noun
abaclia	name
abacterian	adj
abacteriemic	adj
abacă	noun
abadan	name
abager	noun
abagerie	noun
abageriu	name
abageru	name
abagiu	name,noun
abagiubă	noun
abajur	noun
abakan	name
abandon	noun
abandona	verb
abandonabil	adj
abandonare	noun
abandonară	verb
abandonarăm	verb
abandonarăți	verb
abandonat	adj
abandonași	verb
abandonă	verb
abanos	noun
abataj	noun
abate	noun,verb
abatere	noun
abatesă	noun
abatiză	noun
abator	noun
abaxial	adj
abazie	noun
abație	noun
abces	noun
abdica	verb
abdicare	noun
abdicară	verb
abdicarăm	verb
abdicarăți	verb
abdicași	verb
abdică	verb
abdomen	noun
abdominal	adj
abdominalgie	noun
abdominocenteză	noun
abdominohisterectomie	noun
abductor	adj
abducție	noun
abdulah	name
abecedar	noun
abejenoaiei	name
abel	name
aberant	adj
aberanță	noun
aberară	verb
aberarăm	verb
aberarăți	verb
aberativ	adj
aberași	verb
aberație	noun
aberoscop	noun
aberă	verb
abhora	verb
abhorară	verb
abhorarăm	verb
abhorarăți	verb
abhorași	verb
abhoră	verb
abia	adv
abiculesei	name
abietacee	noun
abietinee	noun
abil	adj
abilita	verb
abilitare	noun
abilitară	verb
abilitarăm	verb
abilitarăți	verb
abilitate	noun
abilitași	verb
abilită	verb
abiogen	adj
abiogeneză	noun
abiologie	noun
abiotic	adj
abiotrofic	adj
abiotrofie	noun
abioză	noun
abis	noun
abisal	adj
abisinian	adj,noun
abitație	noun
abitir	adv
abject	adj
abjecție	noun
abjudeca	verb
abjudecare	noun
abjudecară	verb
abjudecarăm	verb
abjudecarăți	verb
abjudecași	verb
abjudecă	verb
abjura	verb
abjurare	noun
abjurară	verb
abjurarăm	verb
abjurarăți	verb
abjurat	adj
abjurași	verb
abjură	verb
abjurător	adj
ablacta	verb
ablactare	noun
ablactară	verb
ablactarăm	verb
ablactarăți	verb
ablactași	verb
ablactație	noun
ablactă	verb
ablativ	noun
ablaut	noun
ablație	noun
ablațiune	noun
ablefarie	noun
ablegat	noun
ablepsie	noun
abluțiune	noun
abnega	verb
abnegare	noun
abnegară	verb
abnegarăm	verb
abnegarăți	verb
abnegași	verb
abnegație	noun
abnegă	verb
abnorm	adj
abnormitate	noun
abogătoae	name
aboli	verb
abolii	verb
abolire	noun
aboliră	verb
abolirăm	verb
abolirăți	verb
abolit	adj
aboliși	verb
aboliție	noun
aboliționism	noun
aboliționist	noun
abolițiune	noun
abominabil	adj
abominațiune	noun
abona	verb
abonament	noun
abonare	noun
abonat	noun
aborda	verb
abordabil	adj
abordaj	noun
abordare	noun
aborigen	noun
abortiv	noun
abostănoae	name
abouriței	name
abracadabra	intj
abracadabrant	adj
abram	name
abramciuc	name
abramescu	name
abrazare	noun
abraziune	noun
abraziv	adj
abrazor	noun
abrașu	name
abrevia	verb
abreviare	noun
abreviat	adj
abreviativ	adj
abreviator	noun
abreviație	noun
abreviere	noun
abroga	verb
abrogare	noun
abrogat	adj
abrogație	noun
abrud	name
abrud-sat	name
abrudan	name
abrudanu	name
abrudean	adj,name,noun
abrudeana	name
abrudeanu	name
abrudian	name
abrupt	adj
abrutiza	verb
abrutizant	adj
abrutizare	noun
abrutizat	adj
abrămuț	name
abscisă	noun
abscizie	noun
absciziune	noun
abscons	adj
absent	adj
absenta	verb
absentare	noun
absentat	adj
absenteism	noun
absenteist	noun
absență	noun
absidial	adj
absidiolă	noun
absidă	noun
absint	noun
absintism	noun
absolut	adj,adv
absolutism	noun
absolutist	adj,noun
absolutiza	verb
absolutizare	noun
absolutizarăm	verb
absoluțiune	noun
absolvare	noun
absolvat	adj
absolvent	noun
absolvență	noun
absolvi	verb
absolvire	noun
absolvit	noun
absorbant	noun
absorbi	verb
absorbire	noun
absorbit	adj
absorbitor	noun
absorbție	noun
absorbțiometru	noun
abstenționism	noun
abstenționist	noun
abstențiune	noun
abstinent	noun
abstinență	noun
abstract	adj
abstractiza	verb
abstractizant	adj
abstractizare	noun
abstracție	noun
abstracționism	noun
abstracționist	noun
abstrage	verb
abstragere	noun
abstras	adj
abstrus	adj
absurd	adj
absurditate	noun
abucea	name
abucurei	name
abuhnoaiei	name
abulic	noun
abulie	noun
abumarkub	noun
abunda	verb
abundat	adj
abundent	adj
abundență	noun
abur	name,noun
aburca	verb
aburcare	noun
aburcat	adj
abureală	noun
aburel	name
aburi	verb
aburire	noun
aburit	adj
aburitor	adj
aburlăciței	name
aburos	adj
abutnăriței	name
abutoaiei	name
abuz	noun
abuza	verb
abuzare	noun
abuzat	noun
abuziv	adj
abuș	name
abușan	name
abușeanu	name
abătu	verb
abătui	verb
abătură	verb
abăturăm	verb
abăturăți	verb
abătut	adj
abătuși	verb
abțibild	noun
abțigui	verb
abțiguire	noun
abțiguit	adj
abține	verb
abținere	noun
ac	noun
acacia	noun
acadea	noun
academic	adj
academicește	adv
academician	noun
academie	noun
academism	noun
acadian	noun
acaju	adj,noun
acalmie	noun
acamenițoaei	name
acantacee	noun
acantocefal	noun
acantoză	noun
acantă	noun
acapara	verb
acaparare	noun
acaparat	noun
acaparator	noun
acar	noun
acaret	noun
acargea	name
acarian	noun
acaricid	noun
acarinată	noun
acarioză	noun
acarniță	noun
acaru	name
acasandrei	name
acasă	adv
acatafazie	noun
acatalectic	adj
acatalepsie	noun
acatinca	name
acatincei	name
acatincă	name
acatincăi	name
acatist	noun
acatister	noun
acatrinei	name
acatrini	name
acatrinii	name
acaustobiolit	noun
acaț	noun
acbași	name
accadân	name
accea	noun
accede	verb
accedere	noun
accelera	verb
accelerando	adv
accelerare	noun
accelerară	verb
accelerarăm	verb
accelerarăți	verb
accelerat	adj,noun
accelerator	adj
accelerași	verb
accelerație	noun
accelerograf	noun
accelerometru	noun
acceleră	verb
accent	noun
accentua	verb
accentuare	noun
accentuat	adj
accentuație	noun
accept	noun
accepta	verb
acceptabil	adj
acceptanță	noun
acceptare	noun
acceptat	noun
acceptație	noun
acceptor	adj,noun
accepție	noun
acces	noun
accesa	verb
accesibil	adj
accesibilitate	noun
accesit	noun
accesiune	noun
accesoriu	noun
accident	noun
accidenta	verb
accidental	adj
accidentare	noun
accidentat	adj
acciz	noun
accizar	noun
accizare	noun
acciză	noun
acefal	adj
acefalie	noun
acel	det
acela	det
același	det
aceracee	noun
acerb	adj
aceră	noun
acest	det
acesta	det,pron
acetaldehidă	noun
acetamidă	noun
acetat	noun
acetazolamidă	noun
acetic	adj
acetifica	verb
acetificare	noun
acetil	noun
acetilacetic	adj
acetilare	noun
acetilenic	adj
acetilenă	noun
acetilsalicilic	adj
acetilură	noun
acetobutirat	noun
acetofenonă	noun
acetonemie	noun
acetonurie	noun
acetonă	noun
acetos	adj
achelăriței	name
achenă	noun
acherontic	adj
achetrăriței	name
acheuleean	adj,noun
acheț	noun
achiesa	verb
achiesare	noun
achifoaiei	name
achilie	noun
achim	name
achimaș	name
achimescu	name
achimețești	name
achimuț	name
achimuță	name
achinezie	noun
achingiu	noun
achioriței	name
achipăroaiei	name
achirei	name
achiricesei	name
achiriloaiei	name
achiroaiei	name
achita	verb
achitare	noun
achitat	adj
achizitiv	adj
achizitor	noun
achiziție	noun
achiziționa	verb
achiziționare	noun
achiței	name
aci	adv
acianopsie	noun
aciclic	adj
acicul	noun
acicular	adj
acid	adj,noun
acidamină	noun
acidemie	noun
acidifica	verb
acidificabil	adj
acidificant	adj
acidificare	noun
acidificat	adj
acidimetrie	noun
acidimetru	noun
aciditate	noun
acidofil	adj
acidoză	noun
acidula	verb
acidulare	noun
acidulat	adj
acil	noun
aciliu	name
acinos	adj
acintuș	noun
acioaie	noun
acioală	noun
aciobăniței	name
aciocoiței	name
aciocîrlănoaiei	name
aciolat	adj
acipensericultură	noun
acipenserid	noun
acira	verb
aciu	name,noun
aciua	name,verb
aciuare	noun
aciuat	adj
aciuaș	noun
aciubotăriței	name
aciuiat	adj
aciuța	name
aclama	verb
aclamare	noun
aclamat	noun
aclamație	noun
aclimata	verb
aclimatare	noun
aclimatat	noun
aclimatație	noun
aclimatiza	verb
aclimatizare	noun
aclimatizat	adj
aclinic	adj
acm	adv
acmariu	name
acnee	noun
acneiform	adj
acoace	adv
acojocăriței	name
acoladă	noun
acolea	adv
acolie	noun
acolisi	verb
acolisit	adj
acolit	noun
acolitat	noun
acolo	adv
acomercial	adj
acomoda	verb
acomodabil	adj
acomodare	noun
acomodat	noun
acomodație	noun
acomodeală	noun
acompania	verb
acompaniament	noun
acompaniat	adj
acompaniator	noun
acompaniere	noun
acondroplazie	noun
aconit	noun
aconitină	noun
aconstantinesei	name
acont	noun
aconta	verb
acontare	noun
acoperi	verb
acoperire	noun
acoperit	adj
acoperitoare	noun
acoperitor	adj
acoperiș	noun
acoperământ	noun
acord	noun
acorda	verb
acordabil	adj
acordaj	noun
acordare	noun
acordat	adj
acordeon	noun
acordeonist	noun
acordor	noun
acorie	noun
acornicesei	name
acosta	verb
acostament	noun
acostantinesei	name
acostare	noun
acostat	noun
acostăchioae	name
acostăchioaiei	name
acotiledon	adj
acotiledonat	adj
acotiledonată	noun
acotiledonic	adj
acotunoaiei	name
acozmulesei	name
acpunar	name
acraniat	noun
acreală	name,noun
acredita	verb
acreditant	adj
acreditare	noun
acreditat	adj
acreditiv	noun
acrescent	adj
acrescământ	noun
acreței	name
acrețoaiei	name
acri	verb
acrială	name
acribie	noun
acribologie	noun
acricios	adj
acridină	noun
acrilat	noun
acrilic	adj
acrime	noun
acrimonie	noun
acrimonios	adj
acrire	noun
acristinei	name
acrit	adj
acritură	noun
acriu	adj
acriș	name,noun
acrișor	adj,name
acrobat	noun
acrobatic	adj
acrobatică	noun
acrobație	noun
acrocefal	adj
acrocefalie	noun
acrocianoză	noun
acrofobie	noun
acroleină	noun
acrolit	noun
acromanie	noun
acromat	adj,noun
acromatic	adj
acromatism	noun
acromatiza	verb
acromatizare	noun
acromatopsie	noun
acromegalie	noun
acromicrie	noun
acromie	noun
acromion	noun
acronic	adj
acronim	noun
acroparestezie	noun
acropolă	noun
acrospor	noun
acrostih	noun
acroteră	noun
acroșa	verb
acroșaj	noun
acroșare	noun
acru	adj,name
acrudoae	name
acruț	adj
acsenciuc	name
acsinciuc	name
acsinoiu	name
acsinteanu	name
act	noun
acta	noun
actant	noun
actarian	name
actinic	adj
actinid	noun
actinie	noun
actiniu	noun
actinograf	noun
actinografie	noun
actinometric	adj
actinometrie	noun
actinometru	noun
actinomicet	noun
actinomicoză	noun
actinomorf	adj
actinon	noun
actinopterigian	noun
actinot	noun
actinoterapie	noun
activ	adj,noun
activa	verb
activant	adj
activare	noun
activat	noun
activator	noun
activație	noun
activism	noun
activist	noun
activitate	noun
activiza	verb
activizare	noun
activizat	noun
actor	noun
actoricesc	adj
actorie	noun
actoriță	noun
actriță	noun
actual	adj
actualism	noun
actualitate	noun
actualiza	verb
actualizare	noun
actualizat	noun
actualmente	adv
actuar	noun
actuariat	noun
actă	noun
acu	adv
acuarelist	noun
acuarelă	noun
acui	name
acuitate	noun
acujboaiei	name
acul-doamnei	noun
aculeat	adj
aculeată	noun
aculeiform	adj
aculeol	noun
aculeu	noun
acultura	verb
aculturație	noun
acum	adv
acuma	adv
acumbet	adj
acumetrie	noun
acumetru	noun
acuminat	adj
acumula	verb
acumulare	noun
acumulat	adj
acumulativ	adj
acumulator	noun
acumulație	noun
acupla	verb
acuplaj	noun
acuplare	noun
acuplat	noun
acupresură	noun
acupunctor	noun
acupunctură	noun
acurat	adj
acuratețe	noun
acustic	adj
acustician	noun
acustică	noun
acut	adj
acutiza	verb
acuza	verb
acuzabil	adj
acuzare	noun
acuzat	adj,noun
acuzativ	noun
acuzator	noun
acuzație	noun
acuză	noun
acvacultură	noun
acvaforte	noun
acvafortist	noun
acvamarin	noun
acvanaut	noun
acvanautic	adj
acvaplan	noun
acvaplanare	noun
acvarist	noun
acvaristică	noun
acvariu	noun
acvatic	adj
acvatintă	noun
acvatubular	adj
acvifer	adj
acvilidă	noun
acvilin	adj
acvilon	noun
acvilă	noun
acvitanian	noun
acâș	name
acălfoae	name
acălinei	name
acăprăriței	name
acăriță	noun
acăsandrei	name
acătării	adj
acău	noun
acățari	name
acționa	verb
acționar	noun
acționare	noun
acționat	noun
acțiune	noun
ad-hoc	adv
adactilie	noun
adafinei	name
adagietto	adv
adagio	noun
adagiu	noun
adaliu	noun
adam	name
adamache	name
adamachi	name
adamantin	adj
adamantină	noun
adamciuc	name
adamclisi	name
adamescu	name
adameșteanu	name
adamic	adj
adamism	noun
adamit	noun
adamov	name
adamsită	noun
adaos	noun
adapta	verb
adaptabil	adj
adaptabilitate	noun
adaptare	noun
adaptat	adj
adaptație	noun
adaptiv	adj
adaptor	noun
adascaliței	name
adascălului	name
addenda	noun
adea	name
adeaconiței	name
adecvare	noun
adecvat	adj
ademeneală	noun
ademeni	verb
ademenire	noun
ademenit	adj
ademenitor	adj
adempțiune	noun
adenină	noun
adenită	noun
adenocarcinom	noun
adenofibrom	noun
adenohipofiză	noun
adenoid	adj
adenoidită	noun
adenom	noun
adenopatie	noun
adenotomie	noun
adept	noun
adera	verb
aderare	noun
aderat	noun
aderent	noun
aderență	noun
adermină	noun
aderă	verb
adesea	adv
adeseori	adv
adespei	name
adeveri	verb
adeverință	noun
adeverire	noun
adeverit	adj
adeveritor	adj
adevăr	name,noun
adevărat	adj
adeziune	noun
adeziv	noun
adezivitate	noun
adi	name
adia	verb
adiabatic	adj
adiabată	noun
adiacent	adj
adiaconiței	name
adictiv	adj
adică	adv
adicălea	adv
adicătelea	adv
adicție	noun
adidas	noun
adiere	noun
adinamie	noun
adineauri	adv
adins	adv
adinte	adv
adio	intj
adipic	adj
adipogeneză	noun
adipoliză	noun
adipopexie	noun
adipos	adj
adipozitate	noun
adipoză	noun
adipsie	noun
aditiv	noun
