word	form
a	
abandona	abandonează
abandona	abandonat
abandona	abandonând
abandona	abandonez
abandona	abandonezi
abandona	abandonăm
abandona	abandonați
abandona	abandonam
abandona	abandonai
abandona	abandonau
abandona	abandonași
abandona	abandonă
abandona	abandonarăm
abandona	abandonarăți
abandona	abandonară
abandona	abandonasem
abandona	abandonaseși
abandona	abandonase
abandona	abandonaserăm
abandona	abandonaserăți
abandona	abandonaseră
abandonară	
abandonarăm	
abandonarăți	
abandonași	
abandonă	
abate	abătut
abate	abată
abate	abătând
abate	abat
abate	abați
abate	abatem
abate	abateți
abate	abăteam
abate	abăteai
abate	abătea
abate	abăteați
abate	abăteau
abate	abătui
abate	abătuși
abate	abătu
abate	abăturăm
abate	abăturăți
abate	abătură
abate	abătusem
abate	abătuseși
abate	abătuse
abate	abătuserăm
abate	abătuserăți
abate	abătuseră
abdica	abdică
abdica	abdicat
abdica	abdice
abdica	abdicând
abdica	abdic
abdica	abdici
abdica	abdicăm
abdica	abdicați
abdica	abdicam
abdica	abdicai
abdica	abdicau
abdica	abdicași
abdica	abdicarăm
abdica	abdicarăți
abdica	abdicară
abdica	abdicasem
abdica	abdicaseși
abdica	abdicase
abdica	abdicaserăm
abdica	abdicaserăți
abdica	abdicaseră
abdicară	
abdicarăm	
abdicarăți	
abdicași	
abdică	
aberară	
aberarăm	
aberarăți	
aberași	
aberă	
abhora	abhorează
abhora	abhorat
abhora	abhorând
abhora	abhorez
abhora	abhorezi
abhora	abhorăm
abhora	abhorați
abhora	abhoram
abhora	abhorai
abhora	abhorau
abhora	abhorași
abhora	abhoră
abhora	abhorarăm
abhora	abhorarăți
abhora	abhorară
abhora	abhorasem
abhora	abhoraseși
abhora	abhorase
abhora	abhoraserăm
abhora	abhoraserăți
abhora	abhoraseră
abhorară	
abhorarăm	
abhorarăți	
abhorași	
abhoră	
abilita	abilitează
abilita	abilitat
abilita	abilitând
abilita	abilitez
abilita	abilitezi
abilita	abilităm
abilita	abilitați
abilita	abilitam
abilita	abilitai
abilita	abilitau
abilita	abilitași
abilita	abilită
abilita	abilitarăm
abilita	abilitarăți
abilita	abilitară
abilita	abilitasem
abilita	abilitaseși
abilita	abilitase
abilita	abilitaserăm
abilita	abilitaserăți
abilita	abilitaseră
abilitară	
abilitarăm	
abilitarăți	
abilitași	
abilită	
abjudeca	abjudecă
abjudeca	abjudecat
abjudeca	abjudecând
abjudeca	abjudec
abjudeca	abjudeci
abjudeca	abjudecăm
abjudeca	abjudecați
abjudeca	abjudecam
abjudeca	abjudecai
abjudeca	abjudecau
abjudeca	abjudecași
abjudeca	abjudecarăm
abjudeca	abjudecarăți
abjudeca	abjudecară
abjudeca	abjudecasem
abjudeca	abjudecaseși
abjudeca	abjudecase
abjudeca	abjudecaserăm
abjudeca	abjudecaserăți
abjudeca	abjudecaseră
abjudecară	
abjudecarăm	
abjudecarăți	
abjudecași	
