word	pos_values
а	conj,intj,noun,particle
а-а	intj
а-а-а	interj
а-а-а-а	interj
а-дато	noun
а-каприччио	adv
а-конто	noun
а-ля	prep
а-ля-карт	adv
а-мольный	adj
а-та-та	intj
а-форфе	noun
аа	abbrev,noun
ааа	interj
аав	noun
аазаз	noun
ааиса	noun
ааиша	noun
аак	noun
аал	noun
аален	noun
ааленец	noun
ааленский	adj
аалиев	name
аангич	noun
аанта	noun
аао	abbrev
аапели	noun
аапо	noun
ааргау	noun
аарне	noun
аарон	noun
ааронов	name,pron
аароновец	noun
ааронович	noun
аароновский	adj
аароновщина	noun
аарре	noun
аасср	abbrev
аатами	noun
аатто	noun
аату	noun
аах	noun
аахен	noun
аахенец	noun
аахенский	adj
аашари	noun
аб	abbrev
аба	noun
аба-ван	noun
абаас	noun
абаба	noun
абабай	noun
абабилов	name
абабков	unknown
абава	noun
абаг	noun
абага	noun
абагур	noun
абагурский	adj
абадан	noun
абаданец	noun
абаданка	noun
абаданский	adj
абадж	noun
абаджа	noun
абадзех	noun
абади	noun
абадим	noun
абаду	noun
абаец	noun
абажур	noun
абажурный	adj
абажуродержатель	noun
абажурчик	noun
абаз	noun
абаза	noun
абазай	noun
абазат	noun
абазбек	noun
абази	noun
абазиз	noun
абазин	noun
абазинец	noun
абазинка	noun
абазинский	adj
абазинско-русский	adj
абазия	noun
абазмирза	noun
абазопуло	name
абаим	noun
абаимов	name
абай	noun
абайкан	noun
абайя	noun
абак	noun
абака	noun
абакан	noun
абаканец	noun
абаканка	noun
абаканский	adj
абакар	noun
абакаргаджи	noun
абакаргаджияв	noun
абакиз	noun
абакиров	name
абаковый	adj
абакост	noun
абаксиальный	adj
абактериально	adv
абактериальный	adj
абакум	noun
абакумов	name
абакумыч	noun
абакус	noun
абакшин	name
абал-хаджи	noun
абал-хасан	noun
абал-хусейн	noun
абала	noun
абалай	noun
абалакин	name
абалаков	name
абалгар	noun
абалдуев	name
абали	noun
абалкин	name
абалон	noun
абалхан	noun
абамза	noun
абан	noun
абандон	noun
абанец	noun
абант	noun
абарогноз	noun
абарогнозия	noun
абас	noun
абасага	noun
абасг	noun
абасири	noun
абасмирза	noun
абасмирзе	noun
абастумани	noun
абасылах	noun
абатец	noun
абатмент	noun
абатский	adj,noun
абатур	noun
абатурин	name
абатуров	name
абатчанин	noun
абатчанка	noun
абах	noun
абахамис	noun
абаху	noun
абаци	noun
абацист	noun
абачара	noun
абаш	noun
абаша	noun
абашев	name
абашева	noun
абашец	noun
абашидзе	name
абашилав	noun
абашин	name
абашка	noun
абашкин	name
абашский	adj
абая	noun
абаяда	noun
абаянцев	name
абба	noun
аббаз	noun
аббас	noun
аббаси	noun
аббасид	noun
аббасов	name
аббат	noun
аббатиса	noun
аббатисса	noun
аббатов	pron
аббатский	adj
аббатство	noun
аббатствовав	verb
аббатствовавши	verb
аббатствовавший	verb
аббатствовать	verb
аббатствующий	verb
аббатствуя	verb
аббация	noun
абботтабад	noun
аббревиатура	noun
аббревиатурный	adj
аббревиация	noun
аббревиировав	verb
аббревиировавши	verb
аббревиировавшись	verb
аббревиировать	verb
аббревиироваться	verb
аббревиируя	verb
аббревиируясь	verb
абброморфема	noun
абвахта	noun
абвер	noun
абверовец	noun
абверовский	adj
абгагу	noun
абгаджа	noun
абгаз	noun
абгазный	adj
абгалдырь	noun
абгаль	noun
абгарян	name
абгенаша	noun
абгениа	noun
абгиагу	noun
абгианаш	noun
абд	noun
абдал	noun
абдала	noun
абдалазиз	noun
абдаласул	noun
абдалкадир	noun
абдалла	noun
абдалмалик	noun
абдалхан	noun
абдат	noun
абдаш	noun
абдел	noun
абдель	noun
абдельазиз	noun
абдельджаффар	noun
абделькарим	noun
абделькерим	noun
абдельмагид	noun
абдер	noun
абдерахман	noun
абдергальден	name
абдерит	noun
абдеры	noun
абджад	noun
абджадия	noun
абди	noun
абдикационный	adj
абдикация	noun
абдилав	noun
абдильдин	name
абдин	noun
абдич	name
абдомен	noun
абдоминалгия	noun
абдоминализация	noun
абдоминально	adv
абдоминальный	adj
абдоминизация	noun
абдоминоаортальный	adj
абдоминогистерэктомия	noun
абдоминомедиастинальный	adj
абдоминоперикардиостомия	noun
абдоминоперинеальный	adj
абдоминопластика	noun
абдон	noun
абдраба	noun
абдразаков	name
абдрахман	noun
абдрахманов	name
абдрахманово	noun
абдрашитово	noun
абдреево	noun
абду	noun
абду-салам	noun
абдуада	noun
абдубари	noun
абдувахоб	noun
абдугапур	noun
абдужалил	noun
абдузагир	noun
абдукадир	noun
абдукадыр	noun
абдукар	noun
абдукаримов	name
абдукафар	noun
абдукерим	noun
абдуктант	noun
абдуктор	noun
абдукторный	adj
абдукционный	adj
абдукция	noun
абдул	noun
абдул-азиз	noun
абдул-вахид	noun
абдул-вахит	noun
абдул-гамид	noun
абдул-джапар	noun
абдул-кадыр	noun
абдул-керим	noun
абдул-малик	noun
абдул-меджид	noun
абдул-муслим	noun
абдул-саламо	noun
абдул-салах	noun
абдул-хайдар	noun
абдул-халим	noun
абдул-хамид	noun
абдула	name
абдулаваша	noun
абдулага	noun
абдулагаджи	noun
абдулагай	noun
абдулази	noun
абдулазид	noun
абдулазиз	noun
абдулазим	noun
абдулаким	noun
абдулалим	noun
абдулариф	noun
абдулатип	noun
абдулатипов	name
абдулатиф	noun
абдулафис	noun
абдулах	noun
абдулахад	noun
абдулашим	noun
абдулбаки	noun
абдулбари	noun
абдулбасир	noun
абдулбасыр	noun
абдулбашир	noun
абдулбек	noun
абдулбутта	noun
абдулвагаб	noun
абдулвагап	noun
абдулвагид	noun
абдулварис	noun
абдулвахид	noun
абдулвели	noun
абдулгазы	noun
абдулгай	noun
абдулгалим	noun
абдулгамид	noun
абдулгани	noun
абдулгапар	noun
абдулгапур	noun
абдулгасан	noun
абдулгашим	noun
абдулгей	noun
абдулджалал	noun
абдулджалил	noun
абдулжабар	noun
абдулжалал	noun
абдулжалил	noun
абдулжамал	noun
абдулжами	noun
абдулжапар	noun
абдулзагир	noun
абдулин	name
абдулинец	noun
абдулино	noun
абдулинский	adj
абдулкадим	noun
абдулкадир	noun
абдулкадыр	noun
абдулкамал	noun
абдулкаримово	noun
абдулкасим	noun
абдулкасум	noun
абдулкасым	noun
абдулкафар	noun
абдулкахир	noun
абдулкебир	noun
абдулкерим	noun
абдулла	name
абдуллабек	noun
абдуллаев	name
абдуллатип	noun
абдуллах	noun
абдуллахи	name,noun
абдуллин	name
абдулло	noun
абдуллово	noun
абдуллох	noun
абдулмагомед	noun
абдулмажид	noun
абдулмажит	noun
абдулмалик	noun
абдулманап	noun
абдулманаф	noun
абдулманнан	noun
абдулмеджид	noun
абдулмежит	noun
абдулмукмин	noun
абдулмумин	noun
абдулмусин	noun
абдулмуслим	noun
абдулмуталиб	noun
абдулмуталип	noun
абдулнасир	noun
абдулнасыр	noun
абдулнетиф	noun
абдулов	name
абдулпатах	noun
абдулрахман	noun
абдулрашид	noun
абдулсаид	noun
абдулсамед	noun
абдулсатав	noun
абдулсемед	noun
абдултаджиб	noun
абдултаиб	noun
абдулфатах	noun
абдулфетях	noun
абдулхаир	noun
абдулхай	noun
абдулхак	noun
абдулхаким	noun
абдулхалик	noun
абдулхалим	noun
абдулхамид	noun
абдулхан	noun
абдульазиз	noun
абдульалим	noun
абдульбари	noun
абдульвахид	noun
абдулькадер	noun
абдулькадир	noun
абдулькарим	noun
абдулькахар	noun
абдульмаджид	noun
абдульмалик	noun
абдульфатах	noun
абдульхади	noun
абдульхак	noun
абдульхаким	noun
абдульхалик	noun
абдульхамид	noun
абдульчерим	noun
абдуляхай	noun
абдунасер	noun
абдунасир	noun
абдурагим	noun
абдураджаб	noun
абдураза	noun
абдуразак	noun
абдурауп	noun
абдурауф	noun
абдурахман	noun
абдурахмангаджи	noun
абдурашид	noun
абдурешид	noun
абдурзак	noun
абдуриза	noun
абдурраззак	noun
абдуррахим	noun
абдуррахман	noun
абдуррашид	noun
абдусалам	noun
абдусалям	noun
абдусамад	noun
абдусамед	noun
абдуселим	noun
абдусемед	noun
абдухаир	noun
абдях	noun
абевега	noun
абег	noun
абеди	noun
абедула	noun
абезьёль	noun
абейлия	noun
абел	noun
абелев	pron
абелевость	noun
абелино	noun
абелит	noun
абелсонит	noun
абель	noun
абельмош	noun
абеляр	name
абенакиит	noun
абенберг	noun
абенсберг	noun
абердин	noun
абердин-ангус	noun
абердин-ангусский	adj
абердинец	noun
абердинский	adj
абернатиит	noun
абернатит	noun
аберрантно	adv
аберрантный	adj
аберрационно	adv
аберрационный	adj
аберрация	noun
аберрировав	verb
аберрировавши	verb
аберрировавший	verb
аберрировавшийся	verb
аберрировавшись	verb
аберрировать	verb
аберрироваться	verb
аберрируемый	verb
аберрирующий	verb
аберрирующийся	verb
аберрируя	verb
аберрируясь	verb
аберрометр	noun
аберрометрически	adv
аберрометрический	adj
аберрометрия	noun
аберроскоп	noun
аберроскопически	adv
аберроскопический	adj
абес	noun
абесадзе	name
абессив	noun
абеталипопротеинемия	noun
абецедарий	noun
абзагир	noun
абзагу	noun
абзаево	noun
абзайдин	noun
абзал	noun
абзаново	noun
абзац	intj,noun
абзацный	adj
абзелил	noun
абзелиловец	noun
абзелиловка	noun
абзелиловский	adj
абзетцер	noun
абзим	noun
абзимология	noun
абзо	noun
абзу	noun
аби	noun
абибат	noun
абибуллаев	name
абибуллах	noun
абиг	noun
абигайль	noun
абигейл	noun
абид	noun
абидат	noun
абиджан	noun
абиджанец	noun
абиджанка	noun
абиджанский	adj
абиди	noun
абидин	noun
абидос	noun
абие	adv
абиентный	adj
абиетин	noun
абиетиновый	adj
абижа	noun
абизай	noun
абийбе	noun
абико	noun
абил	noun
абилин	noun
абилитационный	adj
абилитация	noun
абилферз	noun
абилфет	noun
абиль	noun
абин	noun
абингдон	noun
абинец	noun
абинка	noun
абинный	adj
абинск	noun
абинский	adj
абинчанин	noun
абиогенез	noun
абиогенетически	adv
абиогенетический	adj
абиогенно	adv
абиогенный	adj
абиоз	noun
абион	noun
