word	pos_values
a	character,conj,intj
a-dur	noun
aba	noun
abad	noun
abadžija	noun
abadžić	name
abaiti	verb
abaja	noun
abak	noun
abakus	noun
abaz	name
abažur	noun
abdal	noun
abdest	noun
abdesthana	noun
abdikant	noun
abdomen	noun
abdomenski	adj
abdominalan	adj
abdovina	noun
abel	name
aber	noun
abesinija	name
abesinski	adj
abhaski	adj
abhaz	noun
abhazija	name
abhažanka	noun
abidjan	name
abidjanski	adj
abidžan	name
abiturijent	noun
ablativ	noun
ablaut	noun
ablendati	verb
ablender	noun
abnormalan	adj
abnormalno	adv
abnormalnost	noun
abonent	noun
abonentkinja	noun
abonirati	verb
abonman	noun
abonos	noun
aboridžin	noun
aborigin	noun
abortirati	verb
abortus	noun
abramović	name
abrazija	noun
abraziv	noun
abrazivan	adj
abrogirati	verb
abundati	verb
ada	name,noun
adam	name
adamović	name
adaptirati	verb
adekvatan	adj
adekvatno	adv
adekvatnost	noun
adela	name
adelaide	name
adelaidski	adj
adem	name
ademović	name
aden	name
adenski	adj
adet	noun
adherent	noun
adijabatski	adj
adin	name
adio	intj
adis	name
adisa	name
adisabebski	adj
adjunkt	noun
adjustaža	noun
adjustirati	verb
administrativan	adj
administrativka	noun
administrator	noun
admir	name
admiral	noun
admiralitet	noun
admirativ	noun
adnan	name
adneks	noun
adonis	name
adoptiran	adj
adoptirati	verb
adorati	verb
adorirati	verb
adrenalin	noun
adrenalinski	adj
adresa	noun
adresant	noun
adresar	noun
adresat	noun
adresirati	verb
adresovati	verb
adriana	name
adrijanopolj	name
adsorbirati	verb
adut	noun
advent	noun
adventist	noun
adventistički	adj,adv
adventistkinja	noun
adverb	noun
adverban	adj
adverbijal	noun
adverbijalan	adj
advokat	noun
advokatski	adj,adv
advokatstvo	noun
advokatura	noun
adzuki	noun
adžuvan	noun
aeroban	adj
aerobik	noun
aerobika	noun
aerobiologija	noun
aerobički	adj
aerodinamika	noun
aerodinamičan	adj
aerodinamički	adj
aerodrom	noun
aerodromski	adj
aerogliser	noun
aerografija	noun
aerolit	noun
aerologija	noun
aeromehanika	noun
aeromehaničar	noun
aeronautika	noun
aeronautički	adj
aerosol	noun
aerostat	noun
aerostatika	noun
afarist	noun
afaristički	adj
afarski	adj,noun
afekt	noun
afektirati	verb
afel	noun
afera	noun
afereza	noun
aferim	intj
afgan	noun
afganistan	name
afganistanka	noun
afganistanski	adj
afganka	noun
afiks	noun
afinitet	noun
afirmativan	adj
afirmativno	adv
afirmirati	verb
aforist	noun
aforističar	noun
aforističarka	noun
aforistički	adj
aforizam	noun
afrika	name
afrikanist	noun
afrikanistika	noun
afrikanistkinja	noun
afrikanizam	noun
afrikanizirati	verb
afrikanizovati	verb
afrikans	noun
afrikanski	adj,noun
afrikata	noun
afrički	adj
afroamerikanka	noun
afroazijski	adj
afrodita	name
afrodizijak	noun
afrodizijački	adj,adv
aga	noun
agami	noun
aganbegović	name
agava	noun
agbaba	name
agda	noun
agent	noun
agentura	noun
agilan	adj
agilno	adv
agilnost	noun
agitator	noun
agitirati	verb
agitprop	noun
agić	name
aglomerat	noun
aglutinativan	adj
agneza	name
agnostik	noun
agnostičar	noun
agnostičarka	noun
agnostički	adj
agoge	noun
agogika	noun
agogičan	adj
agonija	noun
agoslav	name
agrar	noun
agrarni	adj
agregat	noun
agregatni	adj
agresija	noun
agresivan	adj
agresivno	adv
agresivnost	noun
agresor	noun
agresorski	adj
agrikultura	noun
agrobiologija	noun
agrologija	noun
agronom	noun
agronomija	noun
agronomski	adj,adv
agrostologija	noun
agrotehnika	noun
agrotehničar	noun
agrotehničarka	noun
agrotehnički	adj,adv
agroturizam	noun
agrumi	noun
ahat	noun
ahbab	noun
ahil	name
ahilej	name
ahiret	noun
ahmet	name
ahmetović	name
aida	name
ais	noun
ajanić	name
ajanović	name
ajatolah	noun
ajdin	name
ajkula	noun
ajme	intj
ajner	noun
ajnštajnij	noun
ajran	noun
ajvar	noun
ajša	name
akademija	noun
akademijski	adj
akademik	noun
akademičarski	adj,adv
akademski	adj,adv
akadski	adj,noun
akela	name
aker	noun
aklamirati	verb
aklimatiziranje	noun
aklimatizirati	verb
ako	conj
akobogda	phrase
akomodirati	verb
akontirati	verb
akonto	adv
akord	noun
akov	noun
akra	name,noun
akrapović	name
akreba	noun
akreditirati	verb
akreditiv	noun
akribija	noun
akrobat	noun
akrobata	noun
akrobatika	noun
akrobatski	adj,adv
akromegalija	noun
akronim	noun
akropola	noun
akrostih	noun
aksiologija	noun
aksiom	noun
aksioma	noun
akt	noun
akter	noun
aktinid	noun
aktinij	noun
aktinoid	noun
aktinologija	noun
aktiv	noun
aktiva	noun
aktivan	adj
aktivirati	verb
aktivist	noun
aktivistički	adj
aktivistkinja	noun
aktivizam	noun
aktivizirati	verb
aktivno	adv
aktivnost	noun
aktovka	noun
aktualan	adj
aktualitet	noun
aktualizam	noun
aktualizirati	verb
aktualnost	noun
aktuelan	adj
akumulator	noun
akumulatorski	adj
akumulirati	verb
akupresura	noun
akupunktura	noun
akupunkturist	noun
akupunkturistkinja	noun
akustika	noun
akustičan	adj
akustički	adj
akustičnost	noun
akutan	adj
akutnost	noun
akuzativ	noun
akvadukt	noun
akvakultura	noun
akvamarin	noun
akvanaut	noun
akvarel	noun
akvarelist	noun
akvarelistički	adj,adv
akvarelistkinja	noun
akvarij	noun
akvarijum	noun
akvarist	noun
akvaristkinja	noun
akvatinta	noun
akvedukt	noun
akviziter	noun
akče	noun
akšam	noun
ala	adj,adv,noun
alabama	name
alabastar	noun
alabaster	noun
alaburić	name
alagić	name
alah	name
alajbegović	name
alakati	verb
alakača	noun
alarm	noun
alarmantan	adj
alarmantno	adv
alarmirati	verb
alarmni	adj
alat	name,noun
alatka	noun
alatni	adj
alatničar	noun
alaun	noun
alavanja	name
alaša	noun
albanija	name
albanizirati	verb
albanka	noun
albanolog	noun
albanologija	noun
albanologijski	adj
albanološki	adj,adv
albanološkinja	noun
albanski	adj,adv,noun
albatros	noun
albin	noun
albinizam	noun
albino	noun
albit	noun
album	noun
aldin	name
aldov	noun
ale	conj
alegorija	noun
alegorik	noun
alegoričan	adj
aleja	noun
aleksandar	name
aleksandra	name
aleksandrija	name
aleksandropolj	name
aleksej	name
alem	noun
alem-kamen	noun
alen	name
alergija	noun
alergičan	adj
alergičar	noun
alergično	adv
alergičnost	noun
alergolog	noun
alergologija	noun
alergološki	adj,adv
aleutski	adj
alfa	noun
alfa-zraka	noun
alfabet	noun
alfabetizam	noun
alfabetski	adj
alga	noun
algebarski	adj,adv
algebra	noun
algologija	noun
algonkij	name
algonkijski	adj
algoritam	noun
alhamiado	noun
alhemija	noun
ali	conj
alibi	noun
aligator	noun
alija	name
alijagić	name
alijansa	noun
alineja	noun
alić	name
aljamiado	noun
aljaska	name
aljaski	adj
aljkav	adj
aljkavo	adv
aljkavost	noun
aljoša	name
alka	noun
alkalij	noun
alkaličan	adj
alkaloid	noun
alkar	noun
alkemija	noun
alkemičar	noun
alkemičarka	noun
alkemički	adj
alkinoj	name
alkohol	noun
alkoholija	noun
alkoholizam	noun
alkoholiziran	adj
alkoholizirati	verb
alkoholičar	noun
alkoholičarka	noun
alkoholni	adj
alkotest	noun
allah	name
alma	name
almaatski	adj
almanah	noun
almoštvo	noun
almuštvo	noun
alodij	noun
alofon	noun
alogičan	adj
aloja	noun
alojzija	name
alomorf	noun
alonim	noun
alotrop	noun
alpaka	noun
alpe	name
alpinist	noun
alpinistika	noun
alpinistički	adj
alpinizam	noun
alpinski	adj
alpski	adj
alrauna	noun
alt	noun
alt-saksofon	noun
alternativa	noun
alternativan	adj
alternirati	verb
altimetar	noun
altist	noun
altituda	noun
altokumulus	noun
altostratus	noun
altruist	noun
altruističan	adj
altruistički	adj,adv
altruizam	noun
aludirati	verb
alujević	name
aluminij	noun
aluminijski	adj
alunirati	verb
aluvij	noun
aluvija	noun
aluvijalan	adj
aluzija	noun
alva	noun
alveola	noun
alveolar	noun
alveolaran	adj
alzašanin	noun
alzašanka	noun
alzaški	adj,adv
alžir	name
alžirka	noun
alžirski	adj
ama	conj,intj
amajlija	noun
amal	name
amalgam	noun
aman	intj,noun
amanda	name
amandman	noun
amanet	noun
amanski	adj
amar	name
amater	noun
amaterizam	noun
amaterski	adj,adv
amaterstvo	noun
amazona	name
amazonka	noun
amazonski	adj,adv
ambalaža	noun
ambar	noun
ambasada	noun
ambasador	noun
ambasadorski	adj,adv
amber	noun
ambigvitet	noun
ambigvitetan	adj
ambijenat	noun
ambijent	noun
ambijentalan	adj
ambijentirati	verb
ambis	noun
ambivalentan	adj
ambivalentnost	noun
amblem	noun
amblematika	noun
ambra	noun
ambrela	noun
ambrozija	noun
ambrozije	name
ambulanta	noun
ambulantni	adj
ambulantski	adj
ameba	noun
amebni	adj
amel	name
amela	name
amerika	name
amerikanada	noun
amerikanijada	noun
amerikanist	noun
amerikanistika	noun
amerikanizam	noun
amerikanizirati	verb
amerikanski	adj,adv
američki	adj,adv
ametist	noun
amfibija	noun
amfibijski	adj
amfibrah	noun
amfipolj	name
amfiteatar	noun
amfiteatralan	adj
amfora	noun
amharski	adj,noun
amidžić	name
aminokiselina	noun
amir	name
amman	name
amnestija	noun
amnestirati	verb
amnezija	noun
amo	adv
amo-tamo	adv
amoder	adv
amok	noun
amonij	noun
amonijak	noun
amonijev	adj
amoralan	adj
amoralnost	noun
amorfan	adj
amorfno	adv
amorfnost	noun
amortizer	noun
amortizirati	verb
ampak	conj
amper	noun
ampermetar	noun
ampersat	noun
ampir	noun
amplituda	noun
ampula	noun
amputirati	verb
amra	name
amsterdam	name
amsterdamski	adj
amulet	noun
ana	name
anabaza	noun
anabolik	noun
anabolizam	noun
anadiploza	noun
anadolija	name
anaeroban	adj
anafora	noun
anagram	noun
anahronizam	noun
anakonda	noun
anakronističan	adj
anakronizam	noun
anakroničan	adj
anaktoropolj	name
analeptik	noun
analfabet	noun
analfabetizam	noun
analfabetski	adj,adv
analgetički	adj,adv
analgezija	noun
anali	noun
analitika	noun
analitičan	adj
analitičar	noun
analitički	adj,adv
analitičnost	noun
analiza	noun
analizator	noun
analizirati	verb
analni	adj
analogan	adj
analogija	noun
analogijski	adj
analogno	adv
analognost	noun
analoški	adj,adv
anamneza	noun
ananas	noun
anapest	noun
anarhija	noun
anarhist	noun
anarhistički	adj,adv
anarhistkinja	noun
anarhizam	noun
anarhičan	adj
anarhičnost	noun
anason	noun
anasonka	noun
anastrofa	noun
anatema	noun
anatemizirati	verb
anatom	noun
anatomija	noun
anatomski	adj,adv
anda	conj
andaluski	adj
andaluzija	name
andaluzijski	adj
ande	name
andivija	noun
andora	name
andorski	adj
andragogija	noun
andrea	name
andrej	name
andrija	name
andrijana	name
andrić	name
andro	name
androklo	name
andrologija	noun
andromaha	name
andromeda	name
anduz	noun
andzabeg	name
ane	name
anegdota	noun
anegdotalan	adj
anegdotalnost	noun
anegdotičan	adj
anegdotičnost	noun
anegdotski	adj,adv
aneks	noun
aneksija	noun
aneksijski	adj,adv
aneksioni	adj
aneksionist	noun
aneksionistički	adj,adv
anektirati	verb
anemija	noun
anemičan	adj
anemičar	noun
anemičarka	noun
anemičnost	noun
aneroid	noun
anestetik	noun
anestetičar	noun
anestetičarka	noun
anestezija	noun
anesteziolog	noun
anesteziologija	noun
anestezirati	verb
angažiran	adj
angažirati	verb
angažman	noun
angel	noun
angelologija	noun
angina	noun
angiologija	noun
angiom	noun
anglikan	noun
anglikanka	noun
anglikanski	adj
anglist	noun
anglistika	noun
anglistički	adj,adv
anglistkinja	noun
anglizam	noun
angloamerika	name
angloamerički	adj
anglofil	noun
anglofob	noun
anglosaksonka	noun
anglosaksonski	adj
anglosas	noun
anglosaski	adj
angola	name
angolka	noun
angolski	adj
anilin	noun
anilinski	adj
animalan	adj
animator	noun
animir-dama	noun
animirati	verb
animizam	noun
animozitet	noun
anion	noun
anis	noun
anita	name
anić	name
anka	name
ankara	name
anke	adv
anketa	noun
anketar	noun
anketiranje	noun
anketirati	verb
anketni	adj
anksioznost	noun
anlaser	noun
anoda	noun
anodni	adj
anomalija	noun
anomija	noun
anoniman	adj
anonimka	noun
anonimno	adv
anonimnost	noun
anonimus	noun
anorganski	adj
anortit	noun
anotirati	verb
ansambl	noun
antabus	noun
antagonizam	noun
antanta	noun
antarktika	name
ante	name
antedatirati	verb
antena	noun
antialkoholizam	noun
antialkoholičar	noun
antialkoholičarka	noun
antibiotik	noun
antidatirati	verb
antidržavni	adj
antifašist	noun
antifašistički	adj,adv
antifašistkinja	noun
antifašizam	noun
antifeminist	noun
antifeministkinja	noun
antifeminizam	noun
antifona	noun
antifriz	noun
antiheroj	noun
antiimperijalizam	noun
antika	noun
antiklinala	noun
antikni	adj
antikomunist	noun
antikomunistički	adj,adv
antikomunizam	noun
antikrist	name,noun
antikvar	noun
antikvaran	adj
antikvarijat	noun
antikvitet	noun
antilogaritam	noun
antilopa	noun
antimaterija	noun
antimetabola	noun
antimon	noun
antipatija	noun
antipatičan	adj
antipatično	adv
antipatičnost	noun
antipod	noun
antiraketni	adj
antireligiozan	adj
antisemit	noun
antisemitizam	noun
antisemitski	adj,adv
antiseptik	noun
antiseptičan	adj
antiseptički	adj,adv
antitelo	noun
antiteza	noun
antitijelo	noun
antituberkulozan	adj
antić	name
antički	adj
antologija	noun
antologičar	noun
antonela	name
antonim	noun
antonimija	noun
antonomazija	noun
antraks	noun
antre	noun
antropoidan	adj
antropolog	noun
antropologija	noun
antropološki	adj,adv
antropomorfan	adj
antropomorfizam	noun
antun	name
antverpen	name
anuitet	noun
anulirati	verb
ančić	name
anđa	name
anđel	noun
anđela	name
anđelak	noun
anđelić	name,noun
anđelski	adj
anđeo	noun
anđeoski	adj,adv
aorist	noun
aoristni	adj
aorta	noun
apanaža	noun
aparat	noun
aparatura	noun
aparatčik	noun
apartan	adj
aparthejd	noun
apartman	noun
apatija	noun
apatičan	adj
apatično	adv
apatičnost	noun
apatrid	noun
apel	noun
apelant	noun
apeliranje	noun
apelirati	verb
apelovati	verb
aperitiv	noun
aperkat	noun
apetit	noun
aplaudirati	verb
aplauz	noun
apodiktičan	adj
apodiktički	adv
apoen	noun
apokalipsa	name,noun
apokaliptičan	adj
apokrif	noun
apokrifan	adj
apolit	noun
apolitičan	adj
apolitički	adj,adv
apologet	noun
apologetika	noun
apologija	noun
apolon	name
apostol	noun
apostrof	noun
apostrofa	noun
apostrofirati	verb
apoteka	noun
apotekar	noun
apoteoza	noun
april	noun
aprilski	adj
aprioran	adj
aproksimativan	adj
aproksimativno	adv
aproksimirati	verb
apsida	noun
apsolut	noun
apsolutan	adj
apsolutizam	noun
apsolutizirati	verb
apsolutno	adv
apsolvirati	verb
apsorbirati	verb
apstinirati	verb
apstrahirati	verb
apstrakt	noun
apstraktan	adj
apstraktno	adv
apsurdan	adj
apsurdno	adv
apsurdnost	noun
ar	noun
arabeska	noun
arabija	name
arabijski	adj
arabljanin	noun
arabljanka	noun
aragonit	noun
arahnologija	noun
arak	noun
araluk	noun
aramejski	adj,noun
aranđel	name
aranđelović	name
aranžirati	verb
aranžman	noun
arapin	noun
arapkinja	noun
arapski	adj,noun
arbanasi	noun
arbanija	name
arbitar	noun
arbitraran	adj
arbitraža	noun
arbitražni	adj
arbun	noun
arej	name
arena	noun
areologija	noun
ares	name
argat	noun
argentina	name
argentinski	adj
argentit	noun
argo	noun
argon	noun
argument	noun
argumentirano	adv
arhaik	noun
arhaizam	noun
arhaizirati	verb
arhaičan	adj
arhaično	adv
arhanđel	name,noun
arhanđeo	noun
arheolog	noun
arheologija	noun
arheološki	adj
arheozoologija	noun
arhiepiskop	noun
arhipelag	noun
arhitekt	noun
arhitekta	noun
arhitektonski	adj
arhitektura	noun
arhitekturni	adj
arhiv	noun
arhivar	noun
arhivist	noun
arhiđakon	noun
arija	noun
arijka	noun
arijski	adj
arislav	name
aristokrat	noun
aristokratija	noun
aristokratkinja	noun
aristokratski	adj,adv
aristotel	name
aritmetika	noun
aritmetički	adj,adv
aritmija	noun
arkadiopolj	name
armatura	noun
armenija	name
armenka	noun
armenski	adj,noun
armija	noun
arnaut	noun
arnautin	name
arnautović	name
arogantan	adj
arogantno	adv
aroma	noun
aromatičan	adj
arondisman	noun
arpadžik	noun
arsen	name,noun
arsenal	noun
arsuz	adj,noun
arsuzluk	noun
artefakt	noun
arterija	noun
arterijski	adj
artikulirati	verb
artikulisati	verb
artiljerija	noun
artiljerijski	adj
artiljerski	adj,adv
artist	noun
artistički	adj,adv
artičoka	noun
artritis	noun
aruba	name
arzuhal	noun
aršin	noun
as	noun
asamski	adj
aseksualnost	noun
aseptičan	adj
aseptički	adj
asfalt	noun
asfaltirati	verb
asim	name
asimetrija	noun
asimetričan	adj
asimilirati	verb
asimilovati	verb
asirija	name
asirka	noun
asirologija	noun
asirski	adj
asistent	noun
asistirati	verb
asketizam	noun
askurđel	noun
asmir	name
asortiman	noun
aspekat	noun
aspekt	noun
aspirin	noun
aspra	noun
astat	noun
astenija	noun
astenosfera	noun
asteroid	noun
astma	noun
astmatičan	adj
astmatičar	noun
astralan	adj
astrid	name
astrobiologija	noun
astrofizika	noun
astrofizičar	noun
astrogeologija	noun
astrolog	noun
astrologija	noun
astrološki	adj,adv
astronaut	noun
astronautika	noun
astronim	noun
astronom	noun
astronomija	noun
astronomijski	adj
astronomski	adj
asturija	name
asturijka	noun
asturijski	adj,noun
asuan	name
at	noun
ataman	noun
atanasije	name
atar	noun
ataše	noun
ateist	noun
ateizam	noun
atelje	noun
atena	name
atentat	noun
atentator	noun
aterirati	verb
atina	name
atislav	name
atički	adj,noun
atlanta	name
atlantida	name
atlantik	name
atlantski	adj
atlas	noun
atlet	noun
atleta	noun
atletika	noun
atletičar	noun
atletičarka	noun
atletski	adj
atmosfera	noun
atom	noun
atomizirati	verb
atomski	adj
atonalan	adj
atraktivan	adj
atribut	noun
atrofija	noun
audiolog	noun
audiologija	noun
aufinger	noun
augmentativ	noun
august	noun
aureola	noun
auspuh	noun
australazija	name
australija	name
australijanka	noun
australijanski	adj
australijski	adj
australka	noun
australski	adj,adv
austrija	name
austrijanka	noun
austrijski	adj,adv
austro-ugarska	name
austrougarski	adj,adv
aut	noun
autarhija	noun
autarkija	noun
autekologija	noun
autentičan	adj
autentičnost	noun
autfit	noun
autizam	noun
auto	noun
autobiografija	noun
autobiografski	adj,adv
autobus	noun
autobusni	adj
autodidakt	noun
autohton	adj
autokefalan	adj
autokrat	noun
autokratija	noun
autokratizam	noun
automat	noun
automatski	adj,adv
automehaničar	noun
automobil	noun
automobilist	noun
automobilistički	adj,adv
automobilistkinja	noun
automobilizam	noun
automobilski	adj
automorfizam	noun
autonoman	adj
autonomaš	noun
autonomaški	adj,adv
autonomaštvo	noun
autonomija	noun
autonomist	noun
autonomistički	adj,adv
autoportret	noun
autopsija	noun
autoput	noun
autor	noun
autoritaran	adj
autoritarnost	noun
autoritativan	adj
autoritativno	adv
autoritativnost	noun
autoritet	noun
autorizirati	verb
autorizovati	verb
autorski	adj,adv
autorstvo	noun
autostop	noun
autostoper	noun
autostopirati	verb
autostopist	noun
autostrada	noun
autosugestija	noun
autsajder	noun
autsajderski	adj,adv
avangarda	noun
avangardni	adj
avans	noun
avantura	noun
avanturist	noun
avanturistički	adj,adv
avanzirati	verb
avarski	adj,noun
avatar	noun
avaz	noun
avdić	name
avdo	name
avenija	noun
averzija	noun
avestički	adj,noun
avet	noun
avganistan	name
avganistanski	adj
avgust	noun
avijatičar	noun
aviokompanija	noun
avion	noun
avionski	adj,adv
avioprevoznik	noun
avioprijevoznik	noun
avitaminoza	noun
avlija	noun
avokado	noun
avram	name
azarija	name
azbest	noun
azbestni	adj
azbuka	noun
azbučni	adj
azer	noun
azerbajdžan	name
azerbajdžanka	noun
azerbajdžanski	adj
azerbejdžanka	noun
azerbejdžanski	adj,noun
azerski	adj,noun
azija	name
azijat	noun
azijatkinja	noun
azijatski	adj,adv
azijka	noun
azijski	adj
azil	noun
azilant	noun
azilantski	adj,adv
azimut	noun
azorski	adj
azot	noun
azotni	adj
azra	name
aztek	noun
aztečki	adj
azuki	noun
aćim	name
aćimović	name
ađutant	noun
aš	conj
ašenbeher	noun
ašigdžija	noun
ašik	noun
ašiklija	noun
ašikluk	noun
ašikovati	verb
ašnbeher	noun
aščija	noun
aždaha	noun
aždaja	noun
aždava	noun
ažur	noun
ažuran	adj
ažuriranje	noun
ažurirati	verb
b	character
baba	noun
babaroga	noun
babilon	name
babilonija	name
babilonski	adj
babić	name
babo	name,noun
babun	noun
babuna	noun
badanj	noun
badava	adv
badem	noun
badnjak	noun
badža	noun
badžo	noun
bagdad	name
bagdadski	adj
bager	noun
bagrem	noun
bahami	name
bahat	adj
bahatiti	verb
bahato	adv
bahatost	noun
bahoriti	verb
bahrein	name
bahreinski	adj
baht	noun
bajagi	adv
bajam	noun
bajan	adj
bajat	adj
bajati	verb
bajbok	noun
bajbuk	noun
bajer	noun
bajić	name
bajka	noun
bajonet	noun
bajoslovan	adj
bajraktarević	name
bajram	name
bajramovati	verb
bajramović	name
bajt	noun
bajta	noun
bajunet	noun
baka	noun
bakalar	noun
bakalin	noun
bakar	name,noun
bakić	name
baklava	noun
baklja	noun
bakljada	noun
bakljonoša	noun
bakrač	noun
bakren	adj
bakrorez	noun
baksuz	noun
baktati	verb
bakterija	noun
bakteriolog	noun
bakteriologija	noun
bakteriološki	adj
baku	name
bakula	name
bakšiš	noun
bal	noun
bala	noun
balada	noun
balans	noun
balansirati	verb
balast	noun
balati	verb
balav	adj
balaviti	verb
baldo	name
balega	noun
balegati	verb
balerina	noun
balet	noun
baletan	noun
balija	noun
balistika	noun
balistički	adj,adv
baliti	verb
baljezgati	verb
balkan	name
balkanizirati	verb
balkanski	adj,adv
balkon	noun
balneologija	noun
balon	noun
balta	noun
baltik	name
baltić	name
baltički	adj
balugdžija	noun
balun	noun
balvan	noun
balvanović	name
balzam	noun
balzamirati	verb
balčak	noun
balša	name
balšić	name
bambus	noun
bambusov	adj
bamija	noun
ban	name,noun
banalan	adj
banalizirati	verb
banalno	adv
banalnost	noun
banana	noun
banda	noun
bandera	noun
bandit	noun
banditski	adj,adv
bandoglav	adj
bandoglavost	noun
bangkok	name
bangladeš	name
banj	noun
banja	noun
banjaluka	name
banjati	verb
banjska	name
banka	noun
bankar	noun
bankarski	adj
banket	noun
bankina	noun
banknota	noun
bankrot	noun
bankroter	noun
bankrotirati	verb
banović	name
banuti	verb
bančiti	verb
bar	adv,name,noun
bara	noun
baraba	noun
barabar	adj
baraka	noun
barakuda	noun
baran	noun
baraž	noun
barbados	name
barbadoski	adj
barban	name
barbar	noun
barbarizam	noun
barbarski	adj,adv
barbarstvo	noun
barbika	noun
barbulović	name
barel	noun
barem	adv
barij	noun
barijera	noun
barikada	noun
barilović	name
barit	noun
bariton	noun
baritona	noun
bariša	name
barišić	name
barjak	noun
barjaktar	noun
barjaktarević	name
barjaktariti	verb
barka	noun
barok	noun
barokni	adj
barometar	noun
baron	noun
barselona	name
barski	adj
bartol	name
barun	noun
barunović	name
barut	noun
barzilo	name
barzilović	name
baršun	noun
baršunast	adj
bas	noun
basamak	noun
bask	noun
baskijski	adj,adv,noun
basna	noun
basnoslovan	adj
bastion	noun
bat	noun
batak	noun
bataljun	noun
batalo	name
baterija	noun
batina	noun
batinati	verb
batinić	name
batisujem	verb
batišem	verb
batlija	noun
bauljati	verb
bavarska	name
bavarski	adj,adv,noun
baviti	verb
baza	noun
bazalt	noun
bazati	verb
bazdeti	verb
bazdjeti	verb
bazen	noun
bazga	noun
bazirati	verb
baća	noun
bačić	name
bačka	name
bački	adj
bačva	noun
bačvar	noun
bađav	adv
baš	adv,noun
baška	adv,name
baškom	adv
bašta	noun
baština	noun
baštinik	noun
baštiniti	verb
bašton	noun
bašča	noun
baščaršija	noun
baščovan	noun
baždar	noun
baždariti	verb
bdeti	verb
bdijenje	noun
bdjenje	noun
bdjeti	verb
bdp	noun
bdv	phrase
beba	noun
bebe	noun
bebrina	name
beda	noun
bedak	noun
bedan	adj
bedast	adj
bedastoća	noun
bedačiti	verb
bedekovčina	name
bedem	noun
bedinati	verb
bednik	noun
bednja	name
bedno	adv
bedro	noun
beduin	noun
befel	noun
beg	noun
begam	verb
beganović	name
begati	verb
begej	name
begić	name
bego	name
begović	name
begtašević	name
behandlati	verb
behar	noun
bejdžing	name
bejrut	name
bejzbol	noun
bekati	verb
beketati	verb
bekhend	noun
bekstvo	noun
bela	noun
beladona	noun
belaj	noun
belamarić	name
belanjak	noun
belančevina	noun
belasati	verb
belasnuti	verb
belavić	name
beleg	noun
beleti	verb
beletristika	noun
beleška	noun
beležiti	verb
belgija	name
belgijski	adj,adv
belihtati	verb
belilo	noun
belina	noun
beliti	verb
beliz	name
belize	name
belić	name
belič	noun
belišće	name
belkinja	noun
belorusija	name
beloruski	adj,adv,noun
belota	noun
ben	noun
bend	noun
benediktinski	adj
benevolentan	adj
bengal	name
bengalski	adj,adv,noun
benigan	adj
benigno	adv
benin	name
benzen	noun
benzin	noun
benčić	name
beo	adj
beograd	name
beogradski	adj
beograđanin	noun
beograđanski	adj
beotija	name
berač	noun
berba	noun
berber	noun
berberski	adj,noun
berek	name
beril	noun
berilij	noun
berilijum	noun
berislav	name
berkelij	noun
berlin	name
berlinski	adj
bern	name
bernard	name
berza	noun
bes	noun
besa	noun
besadržajan	adj
besadržajno	adv
besan	adj
besavesno	adv
besavestan	adj
besavjesno	adv
besavjestan	adj
beseda	noun
besediti	verb
besim	name
besiti	verb
besjeda	noun
beskamatni	adj
beskarakteran	adj
beskarakterno	adv
beskičmen	adj
besklasan	adj
beskompromisan	adj
beskompromisno	adv
beskonačan	adj
beskonačno	adv
beskonačnost	noun
beskorisno	adv
beskorisnost	noun
beskoristan	adj
beskraj	noun
beskrajan	adj
beskrajno	adv
beskrajnost	noun
beskrupulozan	adj
beskrupulozno	adv
beskućnik	noun
beskućnički	adj
besmisao	noun
besmislen	adj
besmisleno	adv
besmislenost	noun
besmrtan	adj
besmrtnik	noun
besmrtnički	adj,adv
besmrtnost	noun
besneti	verb
besnilo	noun
besnjeti	verb
besno	adv
besperspektivan	adj
besperspektivno	adv
besplatan	adj
besplatno	adv
besplodan	adj
besplodno	adv
bespogovoran	adj
bespogovorno	adv
bespolan	adj
bespolno	adv
bespomoćan	adj
bespomoćno	adv
bespomoćnost	noun
besposlen	adj
besposleno	adv
besposlenost	noun
besposličar	noun
besposličariti	verb
besposličarka	noun
besposličarski	adj,adv
besposličiti	verb
bespovratan	adj
bespovratno	adv
bespoštedan	adj
bespoštedno	adv
bespoštednost	noun
bespravan	adj
bespravlje	noun
bespravno	adv
bespredmetan	adj
bespredmetno	adv
besprekoran	adj
besprekorno	adv
besprijekoran	adj
besprijekorno	adv
besprimeran	adj
besprimerno	adv
besprimjeran	adj
besprimjerno	adv
besprizoran	adj
besputan	adj
bespuće	noun
besraman	adj
besramnik	noun
besramnički	adj,adv
besramno	adv
besramnost	noun
bestelesan	adj
bestidan	adj
bestidnički	adj,adv
bestidno	adv
bestidnost	noun
bestijalan	adj
bestijalno	adv
bestijalnost	noun
bestjelesan	adj
bestseler	noun
besvesno	adv
besvesnost	noun
besvest	noun
besvestan	adj
besvijest	noun
besvjesno	adv
besvjesnost	noun
besvjestan	adj
beta	noun
beteg	noun
betlehem	name
beton	noun
betonirati	verb
betonski	adj
betula	noun
bevanda	noun
bevandić	name
bez	noun,prep
bezakonit	adj
bezakonito	adv
