word	pos_values
a	character,conj
aba	noun
abaka	noun
abakus	noun
abakusový	adj
abatiša	noun
abažúr	noun
abažúrový	adj
abbé	noun
abcházsko	name
abcházština	noun
abdikácia	noun
abdiáš	name
abdominálny	adj
abdómen	noun
abeceda	noun
abecedník	noun
ablatív	noun
ableizmus	noun
ablácia	noun
abolicionizmus	noun
abolícia	noun
abrahám	name
abrakadabra	intj
abreviácia	noun
absolon	name
absolutizmus	noun
absolútny	adj
absorbovať	verb
absorpcia	noun
abstinentský	adj
abstrakcionizmus	noun
abuja	name
abája	noun
acehčina	noun
acetaldehyd	noun
acetylácia	noun
acetát	noun
adam	name
adamať	name
adamec	name
adamech	name
adamecová	name
adamiš	name
adamko	name
adamkovič	name
adamov	adj,name
adamovič	name
adamus	name
adamčo	name
adaptovať	verb
adaptácia	noun
adekvátny	adj
adela	name
adelka	name
aden	name
adhézia	noun
adjektívum	noun
administratíva	noun
administrovať	verb
administrácia	noun
ado	name
adolescencia	noun
adolescenčný	adj
adolf	name
adoptovať	verb
adorácia	noun
adrenalín	noun
adrenalínový	adj
adresa	noun
adresovať	verb
adresový	adj
adrián	name
adriána	name
adventizmus	noun
advokát	noun
adygejsko	name
adygejčina	noun
adámek	name
adámeková	name
aerodynamický	adj
aerolínia	noun
aeronautický	adj
aeronautika	noun
afarčina	noun
afatický	adj
afganistan	name
afixoid	noun
aforizmus	noun
africký	adj
afrika	name
afrikánec	noun
afrikánčina	noun
aggeus	name
aglomerácia	noun
agnesa	name
agnosticizmus	noun
agnostický	adj
agorafóbia	noun
agravácia	noun
agregácia	noun
agregát	noun
agresia	noun
agresívnosť	noun
agresívny	adj
agrobiológia	noun
agronómia	noun
agroturizmus	noun
agáta	name
agónia	noun
ahoj	intj
aids	noun
ainčina	noun
aj	adv
ajhľa	intj
ak	conj
akademický	adj
akančina	noun
akcelerácia	noun
akceptovať	verb
akcia	noun
akcidentálny	adj
akkadčina	noun
akkra	name
aklimatizovať	verb
aklimatizácia	noun
akné	noun
ako	conj
akomodácia	noun
akonáhle	conj
akordeón	noun
akordeónový	adj
akreditácia	noun
akrobatický	adj
akronym	noun
aktivizácia	noun
aktivovať	verb
aktivácia	noun
aktualita	noun
aktualizmus	noun
aktualizovaný	adj
aktualizovať	verb
aktualizácia	noun
aktuálny	adj
aktínium	noun
aktívum	noun
akumulovať	verb
akumulácia	noun
akupunktúra	noun
akurátnosť	noun
akustickosť	noun
akustický	adj
akuzatív	noun
akváriový	adj
akvárium	noun
aký	pron
akýkoľvek	pron
alabama	name
alah	name
alan	name
alandy	name
albert	name
alberta	noun
albinizmus	noun
albrecht	name
albánsko	name
albánsky	adj,adv
albánčina	noun
albín	name
albína	name
alchymický	adj
alchýmia	noun
alebo	conj
alegorický	adj
alegória	noun
alena	name
alergén	noun
aleutčina	noun
alexander	name
alexandra	name
alexej	name
aleš	name
alfabetizácia	noun
alfonz	name
alfréd	name
algebrický	adj
algoritmický	adj
algoritmizovať	verb
algoritmizácia	noun
algoritmus	noun
alibi	noun
alica	name
alienácia	noun
aliterácia	noun
aljaška	name
alka	noun
alkalizovať	verb
alkalizácia	noun
alkohol	noun
alkoholický	adj
alkoholik	noun
alkoholizmus	noun
alkoholizovať	verb
alkoholizácia	noun
alkoholový	adj
alkín	noun
allatív	noun
almanach	noun
alograf	noun
alografný	adj
alojz	name
alokovať	verb
alokácia	noun
alomorfa	noun
alpinizmus	noun
alpský	adj
alpy	name
altajčina	noun
alternátor	noun
alternátorový	adj
altman	name
altruista	noun
altruistický	adj
altruizmus	noun
altsaxofón	noun
altsaxofónový	adj
alžbeta	name
alžír	name
alžírsko	name
amalgamácia	noun
amalgám	noun
ambivalencia	noun
ambivalentný	adj
ambrož	name
ambruš	name
ambróz	name
amcha	name
americký	adj
amerikanizmus	noun
amerikanizovať	verb
amerikanizácia	noun
američan	noun
američanka	noun
amerícium	noun
ametyst	noun
amfora	noun
amharčina	noun
ammán	name
amnestia	noun
amnézia	noun
amortizovať	verb
amortizácia	noun
amos	name
amplitúda	noun
amputovať	verb
amputácia	noun
amrich	name
amsterdam	name
amália	name
amúzia	noun
anabaptizmus	noun
anabela	name
anachronický	adj
anachronizmus	noun
anafylaxia	noun
analfabetizmus	noun
analfabetka	noun
analytický	adj
analyzovať	verb
analógia	noun
anamnéza	noun
ananás	noun
ananásový	adj
anarchistický	adj
anarchizmus	noun
anarchopacifizmus	noun
anarchosyndikalizmus	noun
anastázia	name
anatomický	adj
anatómia	noun
anaxagoras	name
andorra	name
andoč	name
andrea	name
andreides	name
andrej	name
andrejco	name
andris	name
androcentrizmus	noun
andruch	name
andy	name
andó	name
anekdota	noun
anekdotický	adj
anemický	adj
anestézia	noun
anestéziológia	noun
aneta	name
anežka	name
angela	name
angelika	name
anglicizmus	noun
anglicko	name
anglický	adj
anglikanizmus	noun
angličtina	noun
angola	name
ani	conj
