word	pos_values
а	character,conj,intj
а-дур	noun
аба	noun
абажур	noun
абаити	verb
абак	noun
абакус	noun
абаја	noun
абаџија	noun
абдал	noun
абдест	noun
абдикант	noun
абдикација	noun
абдицирати	verb
абдовина	noun
абдомен	noun
абдоменски	adj
абдоминалан	adj
абел	name
абер	noun
абесинац	noun
абесинија	name
абесински	adj
абецеда	noun
абецедар	noun
абецедариј	noun
абецедирати	verb
абецедни	adj
абидјан	name
абидјански	adj
абиџан	name
аблатив	noun
аблаут	noun
аблација	noun
аблендер	noun
абнормалан	adj
абнормално	adv
абнормалност	noun
аболиција	noun
аболицијски	adj
абонент	noun
абонирати	verb
абонирац	noun
абонман	noun
абонос	noun
абориџиница	noun
абортирати	verb
абортус	noun
абразиван	adj
абразија	noun
абрамовић	name
абундати	verb
абхажанка	name
абхаз	name
абхазија	name
абхаски	adj
аваз	noun
авангарда	noun
авангардни	adj
аванзирати	verb
аванс	noun
авантура	noun
авантурист	noun
авантуристички	adj,adv
аварски	adj,noun
аватар	noun
авганистан	name
авганистански	adj
август	noun
авенија	noun
аверзија	noun
авестички	adj,noun
авет	noun
авиокомпанија	noun
авион	noun
авионски	adj,adv
авиопревозник	noun
авиопријевозник	noun
авитаминоза	noun
авијатичар	noun
авијација	noun
авлија	noun
авокадо	noun
аврам	name
ага	noun
агава	noun
агами	noun
агда	noun
агент	noun
агенција	noun
агилан	adj
агилно	adv
агилност	noun
агитатор	noun
агитација	noun
агитирати	verb
агломерат	noun
агломерација	noun
аглутинативан	adj
аглутинација	noun
агностик	noun
агностицизам	noun
агностичар	noun
агностичарка	noun
агностички	adj
агогичан	adj
агонија	noun
аграрни	adj
агрегатни	adj
агресиван	adj
агресивно	adv
агресивност	noun
агресија	noun
агресор	noun
агресорски	adj
агрикултура	noun
агробиологија	noun
агрологија	noun
агроном	noun
агрономија	noun
агрономски	adj,adv
агростологија	noun
агротехничар	noun
агротехнички	adj,adv
агротуризам	noun
ада	noun
адам	name
адаптација	noun
адаптирати	verb
адвент	noun
адвентист	noun
адвентистички	adj,adv
адвентисткиња	noun
адверб	noun
адвербан	adj
адвербијалан	adj
адвокат	noun
адвокатски	adj,adv
адекватан	adj
адекватно	adv
адекватност	noun
аделаидски	adj
адем	name
аден	name
аденски	adj
адет	noun
адио	intj
адисабебски	adj
адиција	noun
адијабатски	adj
административан	adj
административка	noun
администратор	noun
администрација	noun
адмирал	noun
адмиралитет	noun
адмитанција	noun
аднекс	noun
адолесцентица	noun
адолесценција	noun
адонис	name
адоптирати	verb
адорати	verb
адорирати	verb
адреналин	noun
адреналински	adj
адреса	noun
адресант	noun
адресар	noun
адресат	noun
адресирати	verb
адресовати	verb
адријанопољ	name
адсорпција	noun
адсорпцијски	adj
адут	noun
адхерент	noun
адјункт	noun
адјустажа	noun
адјустирати	verb
аеробан	adj
аеробик	noun
аеробика	noun
аеробиологија	noun
аеробички	adj
аерографија	noun
аеродинамика	noun
аеродинамичан	adj
аеродинамички	adj
аеродром	noun
аеродромски	adj
аеролит	noun
аерологија	noun
аеромеханика	noun
аеромеханичар	noun
аероплански	adv
аеросол	noun
аерофлот	name
аждаха	noun
аждаја	noun
ажур	noun
ажуран	adj
ажурирати	verb
ажурирање	noun
азбест	noun
азбука	noun
азбучни	adj
азербајџан	name
азербајџанац	name
азербејџански	adj,noun
азерски	adj,noun
азил	noun
азилант	noun
азилантски	adj,adv
