word	form
абаити	
абдицирати	абдицирајући
абдицирати	абдициравши
абдицирати	абдицирање
абецедирати	
абонирати	абонирајући
абонирати	абониравши
абонирати	абонирање
абортирати	абортирајући
абортирати	абортиравши
абортирати	абортирање
абундати	
аванзирати	аванзирајући
аванзирати	аванзиравши
аванзирати	аванзирање
агитирати	агитирајући
агитирати	агитиравши
агитирати	агитирање
адаптирати	адаптирајући
адаптирати	адаптиравши
адаптирати	адаптирање
адоптирати	адоптирајући
адоптирати	адоптиравши
адоптирати	адоптирање
адорати	
адорирати	адорирајући
адорирати	адориравши
адорирати	адорирање
адресирати	адресирајући
адресирати	адресиравши
адресирати	адресирање
адресовати	
адјустирати	адјустирајући
адјустирати	адјустиравши
адјустирати	адјустирање
ажурирати	ажурирајући
ажурирати	ажуриравши
ажурирати	ажурирање
аклиматизирати	аклиматизирајући
аклиматизирати	аклиматизиравши
аклиматизирати	аклиматизирање
акомодирати	акомодирајући
акомодирати	акомодиравши
акомодирати	акомодирање
аконтирати	аконтирајући
аконтирати	аконтиравши
аконтирати	аконтирање
активизирати	активизирајући
активизирати	активизиравши
активизирати	активизирање
активирати	активирајући
активирати	активиравши
активирати	активирање
актуализирати	актуализирајући
актуализирати	актуализиравши
актуализирати	актуализирање
акумулирати	акумулирајући
акумулирати	акумулиравши
акумулирати	акумулирање
акцентирати	акцентирајући
акцентирати	акцентиравши
акцентирати	акцентирање
албанизирати	албанизирајући
албанизирати	албанизиравши
албанизирати	албанизирање
алкохолизирати	алкохолизирајући
алкохолизирати	алкохолизиравши
алкохолизирати	алкохолизирање
алудирати	алудирајући
алудирати	алудиравши
алудирати	алудирање
американизирати	американизирајући
американизирати	американизиравши
американизирати	американизирање
амнестирати	амнестирајући
амнестирати	амнестиравши
амнестирати	амнестирање
ампутирати	ампутирајући
ампутирати	ампутиравши
ампутирати	ампутирање
анализирати	анализирајући
анализирати	анализиравши
анализирати	анализирање
анатемизирати	анатемизирајући
анатемизирати	анатемизиравши
анатемизирати	анатемизирање
ангажирати	ангажирајући
ангажирати	ангажиравши
ангажирати	ангажирање
анектирати	анектирајући
анектирати	анектиравши
анектирати	анектирање
анимирати	анимирајући
анимирати	анимиравши
анимирати	анимирање
анкетирати	анкетирајући
анкетирати	анкетиравши
анкетирати	анкетирање
анотирати	анотирајући
анотирати	анотиравши
анотирати	анотирање
антиципирати	антиципирајући
антиципирати	антиципиравши
антиципирати	антиципирање
анулирати	анулиравши
анулирати	анулирање
апелирати	апелирајући
апелирати	апелиравши
апелирати	апелирање
аплаудирати	аплаудирајући
аплаудирати	аплаудиравши
аплаудирати	аплаудирање
аплицирати	аплицирајући
аплицирати	аплициравши
аплицирати	аплицирање
апострофирати	апострофирајући
апострофирати	апострофиравши
апострофирати	апострофирање
апроксимирати	апроксимирајући
апроксимирати	апроксимиравши
апроксимирати	апроксимирање
апсолвирати	апсолвирајући
апсолвирати	апсолвиравши
апсолвирати	апсолвирање
апсолутизирати	апсолутизирајући
апсолутизирати	апсолутизиравши
апсолутизирати	апсолутизирање
апсорбирати	апсорбирајући
апсорбирати	апсорбиравши
апсорбирати	апсорбирање
апстинирати	апстинирајући
апстинирати	апстиниравши
апстинирати	апстинирање
апстрахирати	апстрахирајући
апстрахирати	апстрахиравши
апстрахирати	апстрахирање
аранжирати	аранжирајући
аранжирати	аранжиравши
аранжирати	аранжирање
артикулирати	
артикулисати	
архаизирати	архаизирајући
архаизирати	архаизиравши
архаизирати	архаизирање
асимилирати	
асимиловати	
асистирати	асистирајући
асистирати	асистирање
асоцирати	асоцирајући
асоцирати	асоциравши
асоцирати	асоцирање
