word	form
a	
abderitisk	abderitiskt
abderitisk	abderitiska
abderitisk	abderitiske
abdikerad	abdikerat
abdikerad	abdikerade
abdominal	abdominalt
abdominal	abdominala
abdominal	abdominale
abelsk	abelskt
abelsk	abelska
abelsk	abelske
abessinsk	abessinskt
abessinsk	abessinska
abessinsk	abessinske
abnorm	abnormt
abnorm	abnorma
abnorm	abnorme
aboensisk	aboensiskt
aboensisk	aboensiska
aboensisk	aboensiske
abonnerad	abonnerat
abonnerad	abonnerade
aborterad	aborterat
aborterad	aborterade
abortframkallande	
abrahamitisk	abrahamitiskt
abrahamitisk	abrahamitiska
abrahamitisk	abrahamitiske
abrupt	abrupta
abrupt	abrupte
absolut	absoluta
absolut	absolute
absolutistisk	absolutistiskt
absolutistisk	absolutistiska
absolutistisk	absolutistiske
absorberad	absorberat
absorberad	absorberade
absorberande	
abstraherad	abstraherat
abstraherad	abstraherade
abstrakt	abstraktare
abstrakt	abstraktast
abstrakt	abstrakta
abstrakt	abstrakte
abstrakt	abstraktaste
abstrus	abstrusare
abstrus	abstrusast
abstrus	abstrust
abstrus	abstrusa
abstrus	abstruse
abstrus	abstrusaste
absurd	absurdare
absurd	absurdast
absurd	absurt
absurd	absurda
absurd	absurde
absurd	absurdaste
accelererad	accelererat
accelererad	accelererade
accentuerad	accentuerat
accentuerad	accentuerade
acceptabel	acceptablare
acceptabel	acceptablast
acceptabel	acceptabelt
acceptabel	acceptabla
acceptabel	acceptable
acceptabel	acceptablaste
accepterad	accepterat
accepterad	accepterade
acklimatiserad	acklimatiserat
acklimatiserad	acklimatiserade
ackommoderad	ackommoderat
ackommoderad	ackommoderade
ackompanjerad	ackompanjerat
ackompanjerad	ackompanjerade
ackumulerad	ackumulerat
ackumulerad	ackumulerade
ackurat	ackurata
ackurat	ackurate
adderad	adderat
adderad	adderade
additiv	additivt
additiv	additiva
additiv	additive
adekvat	adekvatare
adekvat	adekvatast
adekvat	adekvata
adekvat	adekvate
adekvat	adekvataste
adiabatisk	adiabatiskt
adiabatisk	adiabatiska
adiabatisk	adiabatiske
adjektiv	adjektivt
adjektiv	adjektiva
adjektiv	adjektive
adjektivisk	
adjungerad	adjungerat
adjungerad	adjungerade
adlad	adlat
adlad	adlade
adlig	adligt
adlig	adliga
adlig	adlige
administrativ	administrativt
administrativ	administrativa
administrativ	administrative
administrerad	administrerat
administrerad	administrerade
adoptiv	adoptivt
adoptiv	adoptiva
adoptiv	adoptive
adresserad	adresserat
adresserad	adresserade
aerob	aerobt
aerob	aeroba
aerob	aerobe
aerobisk	aerobiskt
aerobisk	aerobiska
aerobisk	aerobiske
aerodynamisk	aerodynamiskt
aerodynamisk	aerodynamiska
aerodynamisk	aerodynamiske
afatisk	afatiskt
afatisk	afatiska
afatisk	afatiske
affektiv	affektivare
affektiv	affektivast
affin	affint
affin	affina
affin	affine
affärsmässig	affärsmässigare
affärsmässig	affärsmässigast
affärsmässig	affärsmässigt
affärsmässig	affärsmässiga
affärsmässig	affärsmässige
affärsmässig	affärsmässigaste
afghansk	afghanskt
afghansk	afghanska
afghansk	afghanske
aforistisk	aforistiskt
aforistisk	aforistiska
aforistisk	aforistiske
afrikansk	afrikanskt
afrikansk	afrikanska
afrikansk	afrikanske
afroamerikansk	afroamerikanskt
afroamerikansk	afroamerikanska
afroamerikansk	afroamerikanske
afroasiatisk	afroasiatiskt
afroasiatisk	afroasiatiska
afroasiatisk	afroasiatiske
afrosvensk	afrosvenskt
afrosvensk	afrosvenska
afrosvensk	afrosvenske
afterski	
agerande	
aggressiv	aggressivare
aggressiv	aggressivast
aggressiv	aggressivt
aggressiv	aggressiva
aggressiv	aggressive
aggressiv	aggressivaste
agitatorisk	agitatoriskt
agitatorisk	agitatoriska
agitatorisk	agitatoriske
agnostisk	agnostiskt
agnostisk	agnostiska
agnostisk	agnostiske
agrafisk	agrafiskt
agrafisk	agrafiska
agrafisk	agrafiske
agrar	agrart
agrar	agrara
agrar	agrare
ajour	
akademisk	akademiskt
akademisk	akademiska
akademisk	akademiske
akkadisk	akkadiskt
akkadisk	akkadiska
akkadisk	akkadiske
aktad	aktat
aktad	aktade
aktiv	aktivare
aktiv	aktivast
aktiv	aktivt
aktiv	aktiva
aktiv	aktive
aktiv	aktivaste
aktiverad	aktiverat
aktiverad	aktiverade
aktningsfull	aktningsfullt
aktningsfull	aktningsfulla
aktningsfull	aktningsfulle
aktningsvärd	aktningsvärt
aktningsvärd	aktningsvärda
aktningsvärd	aktningsvärde
aktsam	aktsammare
aktsam	aktsammast
aktsam	aktsamt
aktsam	aktsamma
aktsam	aktsamme
aktsam	aktsammaste
aktualiserad	aktualiserat
aktualiserad	aktualiserade
aktuell	aktuellare
aktuell	aktuellast
aktuell	aktuellt
aktuell	aktuella
aktuell	aktuelle
aktuell	aktuellaste
akustisk	akustiskt
akustisk	akustiska
akustisk	akustiske
akut	akutare
akut	akutast
akut	akuta
akut	akute
akut	akutaste
akvamarin	akvamarint
akvamarin	akvamarina
akvamarin	akvamarine
akvatisk	akvatiskt
akvatisk	akvatiskare
akvatisk	akvatiskast
akvatisk	akvatiska
akvatisk	akvatiske
akvatisk	akvatiskaste
alarmerad	alarmerat
alarmerad	alarmerade
alaskisk	alaskiskt
alaskisk	alaskiska
alaskisk	alaskiske
albansk	albanskt
albansk	albanska
albansk	albanske
albansk-ortodox	albansk-ortodoxt
albansk-ortodox	albansk-ortodoxa
albansk-ortodox	albansk-ortodoxe
albino	
alektisk	alektiskt
alektisk	alektiska
alektisk	alektiske
alert	alertare
alert	alertast
alert	alerta
alert	alerte
alert	alertaste
alexandrinsk	alexandrinskt
alexandrinsk	alexandrinska
alexandrinsk	alexandrinske
alfabetisk	alfabetiskt
