word	pos_values
a	adj,character,noun,prep,symbol
a-brunn	noun
a-dur	noun
a-kassa	noun
a-lagare	noun
a-moll	noun
a-traktor	noun
a-vitamin	noun
aachen	name
ab	noun
abakus	noun
abba	name
abbe	name
abbedissa	noun
abbeshult	name
abbonemang	noun
abbonnemang	noun
abborre	noun
abborrgrund	noun
abbot	noun
abc-bok	noun
abchazien	name
abchazier	noun
abchaziska	noun
abderit	noun
abderitisk	adj
abdikation	noun
abdikera	verb
abdikerad	adj
abdikering	noun
abdominal	adj
abdominalt	adv
abel	name
abelsk	adj
aber	noun
abessinien	name
abessinsk	adj
abf	name
abilitet	noun
abiogenes	noun
abiturient	noun
ablativ	noun
abnorm	adj
abnormitet	noun
aboensisk	adj
abolitionism	noun
abonemang	noun
abonnemang	noun
abonnemangsavgift	noun
abonnemangsvillkor	noun
abonnent	noun
abonnentförteckning	noun
abonnentnummer	noun
abonnera	verb
abonnerad	adj
aborigin	noun
aborre	noun
abort	noun
abortera	verb
aborterad	adj
abortering	noun
abortframkallande	adj
abortklinik	noun
abortlag	noun
abortmotstånd	noun
abortmotståndare	noun
abortpiller	noun
aborträtt	noun
abortör	noun
abraham	name
abrahamitisk	adj
abrahamsson	name
abrakadabra	intj,noun
abrupt	adj,adv
absalom	name
absalon	name
abscess	noun
absid	noun
absint	noun
abskissa	noun
absolut	adj,adv,intj
absolutbelopp	noun
absoluthet	noun
absolutism	noun
absolutist	noun
absolutistisk	adj
absolvera	verb
absorbera	verb
absorberad	adj
absorberande	adj
absorption	noun
absorptionsförmåga	noun
absorptionskylare	noun
absorptionslinje	noun
abstinens	noun
abstinensbesvär	noun
abstinenssymtom	noun
abstinenssyndrom	noun
abstrahera	verb
abstraherad	adj
abstrakt	adj,noun
abstraktion	noun
abstrus	adj
absurd	adj
absurditet	noun
ac	noun
acajounöt	noun
acajouträd	noun
accelerando	adv,noun
acceleration	noun
accelerator	noun
accelerera	verb
accelererad	adj
accent	noun
accentuera	verb
accentuerad	adj
accentuering	noun
accept	noun
acceptabel	adj
acceptans	noun
acceptant	noun
acceptera	verb
accepterad	adj
acceptpris	noun
accessionsfördrag	noun
accesskod	noun
accessoar	noun
accis	noun
