word	form
a	
a-brunn	
a-dur	
a-kassa	a-kassas
a-kassa	a-kassan
a-kassa	a-kassans
a-kassa	a-kassor
a-kassa	a-kassors
a-kassa	a-kassorna
a-kassa	a-kassornas
a-lagare	a-lagares
a-lagare	a-lagaren
a-lagare	a-lagarens
a-lagare	a-lagarna
a-lagare	a-lagarnas
a-moll	
a-traktor	a-traktors
a-traktor	a-traktorn
a-traktor	a-traktorns
a-traktor	a-traktorer
a-traktor	a-traktorers
a-traktor	a-traktorerna
a-traktor	a-traktorernas
a-vitamin	a-vitamins
a-vitamin	a-vitaminet
a-vitamin	a-vitaminets
ab	
abakus	
abbedissa	abbedissas
abbedissa	abbedissan
abbedissa	abbedissans
abbedissa	abbedissor
abbedissa	abbedissors
abbedissa	abbedissorna
abbedissa	abbedissornas
abbonemang	
abbonnemang	
abborre	
abborrgrund	abborrgrunds
abborrgrund	abborrgrundet
abborrgrund	abborrgrundets
abborrgrund	abborrgrunden
abborrgrund	abborrgrundens
abbot	
abc-bok	
abchazier	abchaziers
abchazier	abchaziern
abchazier	abchazierns
abchazier	abchazierna
abchazier	abchaziernas
abchaziska	
abderit	abderits
abderit	abderiten
abderit	abderitens
abderit	abderiter
abderit	abderiters
abderit	abderiterna
abderit	abderiternas
abdikation	abdikations
abdikation	abdikationen
abdikation	abdikationens
abdikation	abdikationer
abdikation	abdikationers
abdikation	abdikationerna
abdikation	abdikationernas
abdikering	
aber	
abilitet	
abiogenes	abiogenesen
abiogenes	abiogenesens
abiogenes	abiogeneser
abiogenes	abiogenesers
abiogenes	abiogeneserna
abiogenes	abiogenesernas
abiturient	abiturients
abiturient	abiturienten
abiturient	abiturientens
abiturient	abiturienter
abiturient	abiturienters
abiturient	abiturienterna
abiturient	abiturienternas
ablativ	ablativs
ablativ	ablativen
ablativ	ablativens
ablativ	ablativer
ablativ	ablativers
ablativ	ablativerna
ablativ	ablativernas
abnormitet	abnormitets
abnormitet	abnormiteten
abnormitet	abnormitetens
abnormitet	abnormiteter
abnormitet	abnormiteters
abnormitet	abnormiteterna
abnormitet	abnormiteternas
abolitionism	abolitionisms
abolitionism	abolitionismen
abolitionism	abolitionismens
abolitionism	abolitionismer
abolitionism	abolitionismers
abolitionism	abolitionismerna
abolitionism	abolitionismernas
abonemang	
abonnemang	abonnemangs
abonnemang	abonnemanget
abonnemang	abonnemangets
abonnemang	abonnemangen
abonnemang	abonnemangens
abonnemangsavgift	abonnemangsavgifts
abonnemangsavgift	abonnemangsavgiften
abonnemangsavgift	abonnemangsavgiftens
abonnemangsavgift	abonnemangsavgifter
abonnemangsavgift	abonnemangsavgifters
