word	form
abdikera	abdikerar
abdikera	abdikerade
abdikera	abdikerat
abdikera	abdikerande
abdikera	abdikerad
abonnera	abonnerar
abonnera	abonnerade
abonnera	abonnerat
abonnera	abonneras
abonnera	abonnerats
abonnera	abonnerades
abonnera	abonnerande
abonnera	abonnerad
abortera	aborterar
abortera	aborterade
abortera	aborterat
abortera	aborteras
abortera	aborterats
abortera	aborterades
abortera	aborterande
abortera	aborterad
absolvera	absolverar
absolvera	absolverade
absolvera	absolverat
absolvera	absolveras
absolvera	absolverats
absolvera	absolverades
absolvera	absolverande
absolvera	absolverad
absorbera	absorberar
absorbera	absorberade
absorbera	absorberat
absorbera	absorberas
absorbera	absorberats
absorbera	absorberades
absorbera	absorberande
absorbera	absorberad
abstrahera	abstraherar
abstrahera	abstraherade
abstrahera	abstraherat
abstrahera	abstraheras
abstrahera	abstraherats
abstrahera	abstraherades
abstrahera	abstraherande
abstrahera	abstraherad
accelerera	accelererar
accelerera	accelererade
accelerera	accelererat
accelerera	accelereras
accelerera	accelererats
accelerera	accelererades
accelerera	accelererande
accelerera	accelererad
accentuera	accentuerar
accentuera	accentuerade
accentuera	accentuerat
accentuera	accentueras
accentuera	accentuerats
accentuera	accentuerades
accentuera	accentuerande
accentuera	accentuerad
acceptera	accepterar
acceptera	accepterade
acceptera	accepterat
acceptera	accepteras
acceptera	accepterats
acceptera	accepterades
acceptera	accepterande
acceptera	accepterad
acklimatisera	acklimatiserar
acklimatisera	acklimatiserade
acklimatisera	acklimatiserat
acklimatisera	acklimatiseras
acklimatisera	acklimatiserats
acklimatisera	acklimatiserades
acklimatisera	acklimatiserande
acklimatisera	acklimatiserad
ackommodera	ackommoderar
ackommodera	ackommoderade
ackommodera	ackommoderat
ackommodera	ackommoderas
ackommodera	ackommoderats
ackommodera	ackommoderades
ackommodera	ackommoderande
ackommodera	ackommoderad
ackompanjera	ackompanjerar
ackompanjera	ackompanjerade
ackompanjera	ackompanjerat
ackompanjera	ackompanjeras
ackompanjera	ackompanjerats
ackompanjera	ackompanjerades
ackompanjera	ackompanjerande
ackompanjera	ackompanjerad
ackordera	ackorderar
ackordera	ackorderade
ackordera	ackorderat
ackordera	ackorderande
ackreditera	ackrediterar
ackreditera	ackrediterade
ackreditera	ackrediterat
ackreditera	ackrediteras
ackreditera	ackrediterats
ackreditera	ackrediterades
ackreditera	ackrediterande
ackreditera	ackrediterad
ackumelera	ackumelerar
ackumelera	ackumelerade
ackumelera	ackumelerat
ackumulera	ackumulerar
ackumulera	ackumulerade
ackumulera	ackumulerat
ackumulera	ackumuleras
ackumulera	ackumulerats
ackumulera	ackumulerades
ackumulera	ackumulerande
ackumulera	ackumulerad
addera	adderar
addera	adderade
addera	adderat
addera	adderas
addera	adderats
addera	adderades
addera	adderande
addera	adderad
adjungera	adjungerar
adjungera	adjungerade
adjungera	adjungerat
adjungera	adjungeras
adjungera	adjungerats
adjungera	adjungerades
adjungera	adjungerande
adjungera	adjungerad
adla	adlar
adla	adlade
adla	adlat
adla	adlas
adla	adlats
adla	adlades
adla	adlande
adla	adlad
administrera	administrerar
administrera	administrerade
administrera	administrerat
administrera	administreras
administrera	administrerats
administrera	administrerades
administrera	administrerande
administrera	administrerad
adoptera	adopterar
adoptera	adopterade
adoptera	adopterat
adoptera	adopteras
adoptera	adopterats
adoptera	adopterades
adoptera	adopterande
adoptera	adopterad
adressera	adresserar
adressera	adresserade
adressera	adresserat
adressera	adresseras
adressera	adresserats
adressera	adresserades
adressera	adresserande
adressera	adresserad
aducera	aducerar
aducera	aducerade
aducera	aducerat
aducera	aduceras
aducera	aducerats
aducera	aducerades
aducera	aducerande
aducera	aducerad
advocera	advocerar
advocera	advocerade
advocera	advocerat
advocera	advocerande
affirmera	affirmerar
affirmera	affirmerade
affirmera	affirmerat
affirmera	affirmeras
affirmera	affirmerats
affirmera	affirmerades
affirmera	affirmerande
affirmera	affirmerad
affischera	affischerar
affischera	affischerade
affischera	affischerat
affischera	affischeras
affischera	affischerats
affischera	affischerades
affischera	affischerande
affischera	affischerad
afrikanisera	afrikaniserar
afrikanisera	afrikaniserade
afrikanisera	afrikaniserat
afrikanisera	afrikaniseras
afrikanisera	afrikaniserats
afrikanisera	afrikaniserades
afrikanisera	afrikaniserande
afrikanisera	afrikaniserad
aga	agar
aga	agade
aga	agat
aga	agas
aga	agats
aga	agades
aga	agande
aga	agad
agera	agerar
agera	agerade
agera	agerat
agera	ageras
agera	agerats
agera	agerades
agera	agerande
agera	agerad
aggregera	aggregerar
aggregera	aggregerade
aggregera	aggregerat
aggregera	aggregeras
aggregera	aggregerats
aggregera	aggregerades
aggregera	aggregerande
aggregera	aggregerad
agitera	agiterar
agitera	agiterade
agitera	agiterat
agitera	agiteras
agitera	agiterats
agitera	agiterades
agitera	agiterande
agna	agnar
agna	agnade
agna	agnat
agna	agnas
agna	agnats
agna	agnades
agna	agnande
agna	agnad
ajournera	ajournerar
ajournera	ajournerade
ajournera	ajournerat
ajournera	ajourneras
ajournera	ajournerats
ajournera	ajournerades
ajournera	ajournerande
ajournera	ajournerad
akta	aktar
akta	aktade
akta	aktat
akta	aktas
akta	aktats
akta	aktades
akta	aktande
akta	aktad
aktivera	aktiverar
aktivera	aktiverade
aktivera	aktiverat
aktivera	aktiveras
aktivera	aktiverats
aktivera	aktiverades
aktivera	aktiverande
aktivera	aktiverad
aktualisera	aktualiserar
aktualisera	aktualiserade
aktualisera	aktualiserat
aktualisera	aktualiseras
aktualisera	aktualiserats
aktualisera	aktualiserades
aktualisera	aktualiserande
aktualisera	aktualiserad
akupunktera	akupunkterar
akupunktera	akupunkterade
akupunktera	akupunkterat
akupunktera	akupunkteras
akupunktera	akupunkterats
akupunktera	akupunkterades
akupunktera	akupunkterande
akupunktera	akupunkterad
alarmera	alarmerar
alarmera	alarmerade
alarmera	alarmerat
alarmera	alarmeras
alarmera	alarmerats
alarmera	alarmerades
alarmera	alarmerande
alarmera	alarmerad
alfabetisera	alfabetiserar
alfabetisera	alfabetiserade
alfabetisera	alfabetiserat
alfabetisera	alfabetiseras
alfabetisera	alfabetiserats
alfabetisera	alfabetiserades
alfabetisera	alfabetiserande
alfabetisera	alfabetiserad
alienera	alienerar
alienera	alienerade
alienera	alienerat
alienera	alieneras
alienera	alienerats
alienera	alienerades
alienera	alienerande
alienera	alienerad
allegorisera	allegoriserar
allegorisera	allegoriserade
allegorisera	allegoriserat
allegorisera	allegoriseras
allegorisera	allegoriserats
allegorisera	allegoriserades
allegorisera	allegoriserande
allegorisera	allegoriserad
alliera	allierar
alliera	allierade
alliera	allierat
alliera	allieras
alliera	allierats
alliera	allierades
alliera	allierande
alliera	allierad
allitterera	allittererar
allitterera	allittererade
allitterera	allittererat
allitterera	allittereras
allitterera	allittererats
allitterera	allittererades
allitterera	allittererande
allitterera	allittererad
allokera	allokerar
allokera	allokerade
allokera	allokerat
allokera	allokeras
allokera	allokerats
allokera	allokerades
allokera	allokerande
allokera	allokerad
alludera	alluderar
alludera	alluderade
alludera	alluderat
alludera	alluderas
alludera	alluderats
alludera	alluderades
alludera	alluderande
alstra	alstrar
alstra	alstrade
alstra	alstrat
alstra	alstras
alstra	alstrats
alstra	alstrades
alstra	alstrande
alstra	alstrad
alternera	alternerar
alternera	alternerade
alternera	alternerat
alternera	alternerande
alternera	alternerad
ambulera	ambulerar
ambulera	ambulerade
ambulera	ambulerat
ambulera	ambuleras
ambulera	ambulerats
ambulera	ambulerades
ambulera	ambulerande
amerikanisera	amerikaniserar
amerikanisera	amerikaniserade
amerikanisera	amerikaniserat
amerikanisera	amerikaniseras
amerikanisera	amerikaniserats
amerikanisera	amerikaniserades
amerikanisera	amerikaniserande
amerikanisera	amerikaniserad
amma	ammar
amma	ammade
amma	ammat
amma	ammas
amma	ammats
amma	ammades
amma	ammande
amma	ammad
amortera	amorterar
amortera	amorterade
amortera	amorterat
amortera	amorteras
amortera	amorterats
amortera	amorterades
amortera	amorterande
amortera	amorterad
amputera	amputerar
amputera	amputerade
amputera	amputerat
amputera	amputeras
