word	form
aali	
adhimu	
adili	
adimu	
afadhali	
ajabu	
ajwadi	
ake	
akhiyari	
ako	
akrama	
aminifu	
andamizi	
angalifu	
angavu	
angu	
ao	
asilia	
aste	
atomiki	
aushi	
awali	
azali	
badala	
bahili	
baki	
balistiki	
bandia	
barabara	
baridi	
batilifu	
baya	
bayana	
bichi	
binafsi	
bivu	
bluu	
bora	
bovu	
bunifu	
bure	
chache	
chafu	
chakavu	
chake	
chako	
changa	
changu	
chao	
chekundu	
chema	
chenu	
chenyewe	
chepechepe	
chepesi	
chetu	
cheupe	
cheusi	
chochote	
chonjo	
chote	
chukivu	
chungu	
danganyifu	
debwedebwe	
dhahabu	
dhahiri	
dhaifu	
dhalili	
dhalimu	
dogo	
dume	
duni	
ekundu	
elektroniki	
ema	
embamba	
endelevu	
enu	
enyewe	
epesi	
erevu	
etu	
eupe	
eusi	
fadhili	
fahari	
fani	
farisi	
fasaha	
fasihi	
feruzi	
fidhuli	
fifi	
finyu	
fisadi	
fu	
fufutende	
fukara	
fulani	
fulanifulani	
fupi	
furahifu	
furufu	
ganeti	
gani	
geni	
geuzi	
ghafi	
ghafla	
ghaibu	
ghali	
ghushi	
gofu	
goigoi	
gonjwa	
gumba	
gumu	
haba	
hadidi	
hafifu	
hai	
hakiri	
halali	
halisi	
hao	
hapa	
hapo	
haraka	
haramu	
hasi	
hawa	
haya	
hayo	
heshimiwa	
hicho	
hii	
hiki	
hili	
hilo	
hivi	
hivyo	
hiyo	
hiyohiyo	
hizi	
hizo	
hobela	
hodari	
hoi	
holanzi	
holela	
hudhurungi	
huko	
huku	
humo	
humu	
huo	
huohuo	
huru	
huu	
huyo	
huyu	
ijayo	nijaye
ijayo	tujao
ijayo	ujaye
ijayo	mjao
ile	
ileile	
iliyopita	niliyepita
iliyopita	tuliopita
iliyopita	uliyepita
iliyopita	mliopita
imara	
ingereza	
ingi	
ingine	
italiki	
jahili	
jana	
janja	
jasiri	
jekundu	
jema	
jeupe	
jeuri	
jeusi	
jinga	
jingi	
jingine	
jipya	
juu	
kabambe	
kachara	
kadhaa	
kahawia	
kaidi	
kaini	
kale	
kali	
kambo	
kame	
kamili	
kamilifu	
karimu	
kasidi	
kaskazini	
katili	
katoliki	
kavu	
kawaida	
ke	
kiafrika	
kiasili	
kibaya	
kibayometria	
kibepari	
kibiashara	
kibichi	
kibinadamu	
kibinafsi	
kibiolojia	
kichele	
kidemokrasia	
kidijitali	
kidini	
kidiplomasia	
kidogo	
kielektroniki	
kienyeji	
kifamilia	
kifashisti	
kifedha	
kifupi	
kigaidi	
kigeni	
kigumu	
kihafidhina	
kihistoria	
kiholanzi	
kiintelijensia	
