word	pos_values
a	particle
aali	adj
abadani	intj
abadi	adv
abakasi	noun
abdi	name
abee	intj
abiri	verb
abiria	noun
abjadi	noun
abrahamu	name
abtali	noun
abu	noun
abudu	verb
acha	verb
achali	noun
achama	verb
achilia	verb
ada	noun
adabu	noun
adamu	name
adapta	noun
adesi	noun
adha	noun
adhabu	noun
adhama	noun
adhana	noun
adharusi	noun
adhibu	verb
adhifari	noun
adhimisha	verb
adhimisho	noun
adhimu	adj
adhini	verb
adhuhuri	noun
adia	noun
adibu	verb
adili	adj,noun
adimu	adj
adinasi	noun
admeri	noun
admirali	noun
adrenalini	noun
adua	verb
adui	noun
adventi	noun
aerobiki	noun
afa	noun
afadhali	adj,adv
afande	noun
afiki	verb
afisa	noun
afrika	name
afriti	noun
afu	noun,verb
afua	noun
afueni	noun
afuganistani	name
afya	intj,noun
afyuni	noun
aga	verb
agana	verb
agano	noun
aghalabu	adv
agiza	verb
agizo	noun
ago	name
agoni	noun
agosti	name
agronomia	noun
agua	verb
aguzi	noun
ahadi	noun
ahali	noun
ahera	noun
aheri	noun
ahidi	verb
ahiri	verb
aibisha	verb
aibu	noun
aidha	adv
aikoni	noun
aili	verb
aina	noun
aini	verb
aisee	intj
aisha	name
aiskrimu	noun
ajabu	adj,noun,verb
ajali	noun
ajenda	noun
ajenti	noun
ajili	noun
ajinabi	noun
ajira	noun
ajiri	verb
ajizi	noun
ajmaina	adv
ajuza	noun
ajwadi	adj
aka	verb
akademi	noun
akademia	noun
akala	noun
akarabu	name
akari	noun
akaunti	noun
ake	adj
akhiyari	adj,noun
akiba	noun
akida	noun
akidi	noun,verb
akiki	noun
akili	noun
akina	noun
akiolojia	noun
akisami	noun
akisi	verb
ako	adj
akraba	noun
akrabu	noun
akrama	adj
akronimu	noun
akthari	noun
aktiki	name
ala	intj,noun
alama	noun
alamsiki	intj
alasiri	noun
albamu	noun
albino	noun
alfabeti	noun
alfafa	noun
alfajiri	noun
algeria	name
alh	name
alhaji	noun
alhamisi	name
ali	name
alifu	noun,verb
alika	verb
alimu	noun
alisi	name
alizeti	noun
aljebra	noun
alkali	noun
alkemi	noun
alkoholi	noun
alleluia	intj
almari	noun
almaria	noun
almasi	noun
aloi	noun
alpaka	noun
altaneta	noun
altare	noun
alumini	noun
aluminiamu	noun
alwatani	noun
ama	conj,intj
amali	noun
amana	noun
amani	name,noun
amara	noun
amari	noun
amba	pron,verb
ambacho	pron
ambalo	pron
ambari	noun
ambata	verb
ambavyo	pron
ambaye	pron
ambazo	pron
ambisha	verb
ambua	verb
ambukizi	noun
ambulensi	noun
amerika	name
amfibia	noun
ami	noun
amiba	noun
amikto	noun
amili	verb
amina	intj
amini	noun,verb
aminifu	adj
amiri	noun,verb
amka	verb
amkia	verb
amonia	noun
amosi	name
ampea	noun
amri	noun
amua	verb
amuru	verb
amwa	verb
anafora	noun
analojia	noun
anasa	noun
anatomia	noun
andaa	verb
andalio	noun
andama	verb
andamizi	adj
andazi	noun
andika	verb
andikiza	verb
andiko	noun
anemia	noun
anga	noun,verb
angahewa	noun
angalau	adv
angali	verb
angalia	verb
angaliana	verb
angalifu	adj
angamia	verb
angavu	adj
angaza	verb
angika	verb
angina	noun
angola	name
angu	adj
angua	verb
anguka	verb
anguko	noun
ania	verb
anika	verb
anjali	noun
ankara	noun
anodi	noun
antaktika	name
antena	noun
anthropolojia	noun
antibiotiki	noun
antijeni	noun
antonimu	noun
anwani	noun
anza	verb
ao	adj
aorta	noun
apa	verb
apostrofi	noun
apr	name
aprikoti	noun
aprili	name
aproni	noun
arabuni	noun
araka	noun
arbuni	noun
ardhi	noun
argentina	name
argo	name
