word	form
abakasi	
abiria	maabiria
abjadi	
abtali	
abu	
achali	
ada	
adabu	
adapta	
adesi	
adha	
adhabu	
adhama	
adhana	
adharusi	
adhifari	
adhimisho	maadhimisho
adhuhuri	
adia	
adili	maadili
adinasi	
admeri	
admirali	
adrenalini	
adui	x
adui	maadui
adventi	
aerobiki	
afa	maafa
afande	maafande
afisa	maafisa
afriti	mafriti
afu	mafu
afua	
afueni	
afya	
afyuni	
agano	maagano
agizo	maagizo
agizo	magizo
agoni	
agronomia	
aguzi	maaguzi
ahadi	
ahali	
ahera	
aheri	
aibu	
aikoni	
aina	
aiskrimu	
ajabu	maajabu
ajali	
ajenda	
ajenti	maajenti
ajili	
ajinabi	majinabi
ajira	
ajizi	
ajuza	
akademi	
akademia	
akala	
akari	
akaunti	
akhiyari	
akiba	
akida	maakida
akidi	
akiki	
akili	
akina	
akiolojia	
akisami	
akraba	
akrabu	
akronimu	
akthari	
ala	
alama	
alasiri	
albamu	
albino	maalbino
alfabeti	
alfafa	
alfajiri	
alhaji	
alifu	
alimu	
alizeti	
aljebra	
alkali	
alkemi	
alkoholi	
almari	
almaria	
almasi	
aloi	
alpaka	
altaneta	
altare	
alumini	
aluminiamu	
alwatani	
amali	
amana	
amani	
amara	
amari	
ambari	
ambukizi	maambukizi
ambulensi	
amfibia	
ami	
amiba	
amikto	
amini	
amiri	maamiri
amonia	
ampea	
amri	
anafora	
analojia	
anasa	
anatomia	
andalio	maandalio
andazi	maandazi
andiko	maandiko
anemia	
anga	
angahewa	
angina	
anguko	maanguko
anjali	
ankara	
anodi	
antena	
anthropolojia	
antibiotiki	
antijeni	
antonimu	
anwani	
aorta	
apostrofi	
aprikoti	maaprikoti
aproni	
arabuni	
araka	
arbuni	
ardhi	
ari	
arifa	
arudhi	
arufu	
asali	
asante	
asasi	
asbestosi	
asenia	
aseniki	
asherati	
ashiki	
asidi	
asili	
asilimia	
askari	x
askari	maaskari
askofu	maaskofu
aspirini	
astashahada	
asteroidi	
astronomia	
asubuhi	
asumini	
ateri	
athari	
athira	
atlasi	
atomi	
auladi	
aunsi	
aushi	
avata	
awali	
awamu	
aya	
ayali	
ayami	
ayari	
azima	
azimio	maazimio
azizi	
azma	
baa	mabaa
baadhi	
baba	x
babaenu	
babaetu	
babake	
babako	
babangu	
babara	
babaye	
babu	mababu
badala	
badili	mabadili
badiliko	mabadiliko
badilishano	mabadilishano
badiri	
bafa	
bafe	
bafu	mabafu
baghala	
bahari	
baharia	mabaharia
bahasha	mabahasha
bahati	
baiskeli	
baiti	
bajaji	
bajeti	
bajia	
baka	mabaka
bakari	
baki	mabaki
bakoli	
bakora	
bakshishi	
bakteria	
bakuli	mabakuli
balaa	
balagha	
balaghamu	
balasi	mabalasi
balbu	
bali	
balia	
balozi	mabalozi
balungi	mabalungi
baluni	
bamia	mabamia
bamvua	
banati	mabanati
banda	mabanda
bandari	
bandia	
bandiko	
bandu	mabandu
bangi	
bangili	
bango	mabango
baniani	mabaniani
banjo	
banki	mabanki
bano	mabano
bao	mabao
baobonye	
baptisti	
bara	mabara
barabara	
baradhuli	mabaradhuli
barafu	
baragumu	mabaragumu
baraka	
barakinya	
barakoa	
barasi	
baraza	mabaraza
barazahi	
baridi	
barua	
baruti	
basha	
bashasha	
basi	mabasi
basilika	
bastola	
basua	
bata	mabata
batalioni	
batela	
bati	mabati
batiki	
batini	
batuli	x
baunsa	mabaunsa
bawaba	
bawabu	mabawabu
bawasiri	
bayana	
bayani	
bayometria	
bazazi	mabazazi
beberu	mabeberu
bechi	
bedeni	mabedeni
bedui	mabedui
bega	mabega
begi	mabegi
behewa	mabehewa
bei	
beji	
beki	mabeki
beleko	mabeleko
beleshi	mabeleshi
benchi	
bendeji	
bendera	
bendi	
beneti	
benki	mabenki
benzini	
bepari	mabepari
beramu	
bereti	
bereu	
beri	
berili	
beseni	mabeseni
besi	
besiboli	
beti	mabeti
betri	
bia	
biashara	
bibi	mabibi
biblia	
bibo	mabibo
bidhaa	
bidii	
bigijii	
biharusi	mabiharusi
bikari	
bikini	
bikira	mabikira
biladi	
bilauri	
bili	
biliadi	
bilingani	mabilingani
bilionea	mabilionea
bilioni	mabilioni
bilula	
bima	
bimbashi	mabimbashi
bin	
binadamu	x
binamu	x
binamu	mabinamu
binda	mabinda
bingwa	mabingwa
binti	mabinti
biogesi	
biokemia	
biolojia	
biotini	
birika	mabirika
bishara	
bisi	
bisibisi	
biskuti	
bizari	
bizimu	
blanketi	
blausi	
blauzi	
blogu	
bobari	
bodaboda	
bodi	mabodi
boga	maboga
bohari	mabohari
boi	maboi
boksi	
bolti	
boma	maboma
bomba	mabomba
bombomu	
bombwe	mabombwe
bomu	mabomu
bonasi	
bonde	mabonde
bondia	mabondia
boneti	
bonge	mabonge
bongo	mabongo
boresho	maboresho
boriti	maboriti
boroni	
bosi	mabosi
botania	
boti	
boya	maboya
bradha	mabradha
braketi	
brandi	
breki	
breli	
brigedi	
brigedia	mabrigedia
brokoli	
bromini	
brosha	
bruda	mabruda
bua	mabua
buba	
bubu	mabubu
bubujiko	mabubujiko
bucha	
buda	mabuda
budhara	
budi	
bughudha	
buibui	
buku	mabuku
buldani	
buldoza	mabuldoza
buli	mabuli
bumbuazi	
bundi	
bunduki	
bunge	mabunge
buni	
bunilizi	
bunju	
bunzi	mabunzi
buraa	
