word	form
aab	
aak	
aalog-alog	
aanim	
aba	
abad	
abala	
abalang-abala	
abandonado	abandonada
abay	
abdominal	
abelyana	
abintestato	
abismal	
ablatibo	
abli	
abnegado	abnegada
abnormal	
abo	
abonado	abonada
abot	
abot-kaya	
abot-tanaw	
aboy	
aboy-aboy	
abrasiyete	
abrebyado	
abrigado	
abrogado	
absent	
absoluto	
absorbente	
abstrak	
abstrakto	
absuluto	
absurdista	
absurdo	
absuweltado	
absuwelto	
absweltado	
abswelto	
abuhin	
abulado	
abunada	
abunado	abunada
abundante	
abunkulokal	
aburido	
abusado	abusada
abusero	abusera
abusibo	
abutan	
abuy-aboy	
abyerta	
abyerto	
adamantino	
adaptable	
adaptado	
adbentista	
adberbiyal	
adberbyal	
adbertido	
adelantado	
adelanto	
adepto	
adhesibo	
adhetibal	
adik	
adikto	
adiposo	
adisiyunal	
adisyonal	
administrado	
administratibo	
admirable	
admitido	
adolesent	
adolesente	
adoptibo	adoptiba
adorable	
adrenal	
adulatoriyo	
adulatoryo	
adulterado	
adulto	
adwa	
aerado	
aereo	aerea
aerobyo	
aerodinamiko	
aerostatiko	
ag-ag	
agad	
agapay	
agaran	
agas	
agaw-buhay	
agaw-pansin	
aghimuin	
agilenyo	
agimatin	
agkap	
aglutinante	
aglutinatibo	
agnostiko	agnostika
agpang	
agrabante	
agrabyado	
agraryo	agrarya
agrasiyada	
agrasiyado	agrasiyada
agrasyado	agrasyada
agregado	
agresibo	
agridulse	
agrikultural	
agustino	agustina
agwado	
ahang	
ahit	
ahustado	
akademiko	akademika
akantilado	
akaparado	
akay	
akayin	
akba	
akbay	
akibat	
akit	
aklamado	
aklimatado	
akma	
akorasado	
akostumbrado	
akreditado	
akrobatiko	
akromatiko	
aksaya	
aksentwado	
aksesible	
aksidental	
aktiba	
aktibado	
aktibo	
akting	
aktuwal	
akumulado	
akumulatibo	
akusado	
akusatibo	
akustiko	
akwatika	
akwatiko	
akwoso	
alado	
alaga	
alahado	
alala	
alalay	
alam	
alangan	
alanganin	
alapaap	
alapap	
alarmado	
alas	
alasan	
alat	
alaws	
albanes	albanesa
alegoriko	alegorika
alegreto	
alegro	
alehandrino	alehandrina
alemaniko	alemanika
alerdyik	
alerto	alerta
alhebrayko	alhebrayka
alheryano	alheryana
alibugha	
alibutdan	
alibutod	
aligaga	
aligando	
aligid	
alikantino	
alimis	
alimuos	
alinlangan	
alinsunod	
alintana	
alipusta	
alisaga	
alisagsag	
alisto	
alisuas	
alkalinisado	
alkalino	alkalina
alkalisado	
alkampurado	
alkanse	
alkoholado	
alkoholiko	
alkoholisado	
alkontado	
almador	
almasenado	
almirolado	
alog	
alpabetiko	
alpabetisado	
alpino	
