word	pos_values
a	character,intj,noun
a-beynte	noun
a-disinuwebe	noun
a-disiotso	noun
a-disiseis	noun
a-disisiyete	noun
a-diyes	noun
a-dos	noun
a-dose	noun
a-dyes	noun
a-katorse	noun
a-kinse	noun
a-kuwatro	noun
a-kwatro	noun
a-nuwebe	noun
a-nwebe	noun
a-onse	noun
a-otso	noun
a-primero	noun
a-seis	noun
a-singko	noun
a-siyete	noun
a-syete	noun
a-tres	noun
a-trese	noun
a-treynta	noun
a-uno	noun
aaa	verb
aaaban	verb
aab	adj,noun
aaban	verb
aabisuhan	verb
aagaw	verb
aak	adj,noun
aakyat	verb
aalog-alog	adj,verb
aalpombrahin	noun,verb
aamin	verb
aaminin	verb
aamyendahan	verb
aanhin	verb
aanim	adj
aanulahin	verb
aap	noun
aarawan	verb
aaron	name
aasahan	verb
aawat	verb
aba	adj,intj,noun
abad	adj,name,noun
abadesa	noun
abadiano	name
abadilla	name
abadiya	noun
abadyato	noun
abahin	verb
abain	verb
abaka	noun
abakada	noun
abakahan	noun,verb
abako	noun
abakus	noun
abala	adj,noun
abalahin	verb
abalang-abala	adj
abaloni	noun
abaloryo	noun
abalos	name
abanderado	noun
abandona	noun
abandonado	adj
abandono	noun
abang	noun
abang-abang	noun
abangan	noun,verb
abaniko	noun
abanse	noun
abante	intj,noun
abarca	name
abarisya	noun
abarka	noun
abarkador	noun
abaro	noun
abaseria	noun
abaseriya	noun
abasero	noun
abastesedor	noun
abasto	noun
abat	noun
abatan	noun,verb
abate	noun
abay	adj,noun
abaya	name,noun
abayan	verb
abby	name
abdika	noun
abdikasyon	noun
abdominal	adj
abduksiyon	noun
abduksyon	noun
abdurahman	name
abe	name
abeha	noun
abeha-maestra	noun
abehera	noun
abehero	noun
abejuela	name
abel	name
abelgas	name
abella	name
abellano	name
abellera	name
abelyana	adj,noun
abelyano	noun
abenida	noun
abenojar	name
abentura	noun
abenturero	noun
aber	intj
aberasyon	noun
aberya	noun
abesamis	name
abese	noun
abesedaryo	noun
abeto	noun
abigail	name
abilidad	noun
abilo	noun
abing	name
abintestato	adj,noun
abisinya	name
abismal	adj
abismo	noun
abiso	noun
abisuhan	verb
abito	noun
abitsuwelas	noun
abiyohenesis	noun
abiyolohiya	noun
abla	noun
ablatibo	adj
ablepsiya	noun
ablepsya	noun
abli	adj,noun
ablog	name
ablusyon	noun
abnegado	adj,noun
abnegasyon	noun
abnormal	adj
abo	adj,noun
abog	noun
abogadilyo	noun
abogado	noun
abogasia	noun
abogasya	noun
abok	noun
abokado	noun
abolisyon	noun
abolisyonismo	noun
abolisyonista	noun
abonado	adj
abono	noun
aborlan	name
aborsiyon	noun
aborsiyonista	noun
aborsyon	noun
aborsyonista	noun
aborsyunista	noun
abortista	noun
aborto	noun
abot	adj,noun
abot-kaya	adj
abot-tanaw	adj,noun
aboy	adj,noun
aboy-aboy	adj
abr	name
abra	name,noun
abraham	name
abrakadabra	noun
abrasador	noun
abrasiyete	adj
abraso	noun
abrazado	name
