word	form
a	
a-beynte	
a-disinuwebe	
a-disiotso	
a-disiseis	
a-disisiyete	
a-diyes	
a-dos	
a-dose	
a-dyes	
a-katorse	
a-kinse	
a-kuwatro	
a-kwatro	
a-nuwebe	
a-nwebe	
a-onse	
a-otso	
a-primero	
a-seis	
a-singko	
a-siyete	
a-syete	
a-tres	
a-trese	
a-treynta	
a-uno	
aab	
aak	
aalpombrahin	
aap	
aba	
abad	
abadesa	
abadiya	
abadyato	
abaka	
abakada	
abakahan	
abako	
abakus	
abala	
abaloni	
abaloryo	
abanderado	abanderada
abandona	
abandono	
abang	
abang-abang	
abangan	
abaniko	
abanse	
abante	
abarisya	
abarka	
abarkador	
abaro	
abaseria	
abaseriya	
abasero	
abastesedor	
abasto	
abat	
abatan	
abate	
abay	
abaya	
abdika	
abdikasyon	
abduksiyon	
abduksyon	
abeha	
abeha-maestra	
abehera	
abehero	
abelyana	
abelyano	
abenida	
abentura	
abenturero	abenturera
aberasyon	
aberya	
abese	
abesedaryo	
abeto	
abilidad	
abilo	
abintestato	
abismo	
abiso	
abito	
abitsuwelas	
abiyohenesis	
abiyolohiya	
abla	
ablepsiya	
ablepsya	
abli	
ablusyon	
abnegado	
abnegasyon	
abo	
abog	
abogadilyo	
abogado	abogada
abogasia	
abogasya	
abok	
abokado	
abolisyon	
abolisyonismo	
abolisyonista	
abono	
aborsiyon	
aborsiyonista	
aborsyon	
aborsyonista	
aborsyunista	
abortista	
aborto	
abot	
abot-tanaw	
aboy	
abra	
abrakadabra	
abrasador	
abraso	
abre	
abrebyasyon	
abrebyatura	
abrelata	
abretapa	
abridor	
abrigana	
abrigo	
abrodista	
abroga	
abrogasyon	
abrotano	
absentismo	
abseso	
absic	
absintiyo	
absintyo	
absisa	
absisyon	
absolbe	
absolusyon	
absolutismo	
absolutista	
absorpsyon	
absorsiyon	
absorsyon	
abstensiyon	
abstensyon	
abstinensiya	
abstinensya	
abstrak	
abstraksiyon	
abstraksyon	
abstrakto	
absulusyon	
absurdismo	
absurdista	
absuwelto	
abswelto	
abuab	
abubilya	
abubot	
abuhan	
abuhin	
abukanin	
abukay	
abulon	
abuloy	
abuluyan	
abundansiya	
abundansya	
aburan	
aburido	
abursyon	
abusero	abusera
abusibo	
abuso	
abusyon	
abutan	
abutra	
abuwela	abuwelo
abuwelo	abuwela
abyad	
abyador	
abyasyon	
abyerta	
abyog	
ada	
adahiyo	
adahyo	
adapsiyon	
adapsyon	
adaptador	
adaptasiyon	
adaptasyon	
adarga	
adargilya	
adbentista	
adberbiyo	
adberbyo	
adbersaryo	
adbersidad	
adbertaiser	
adbertayser	
adbertensiya	
adbertensya	
adberti	
adbertisment	
adbiyento	
adbokasi	
adbokasiya	
adbyento	
adelantado	
adelanto	
adelpa	
adenitis	
adenoma	
adepto	
adereso	
adhan	
adhesyon	
adhetibo	
adhika	
adhikain	
adhudika	
adhudikasyon	
adibina	
adibinador	
adibino	adibina
adidas	
adik	
adiksiyon	
adiksyon	
adikto	
ading	
adiposidad	
adiposis	
adisiyon	
adisyon	
aditibo	
adkisisyon	
adlaw	
administra	
administrador	administradora
administrasiyon	
administrasyon	
admirador	
admiral	
admirasiyon	
admirasyon	
admisiyon	
admisyon	
admiti	
adobado	
adobe	
adobo	
adokin	
adolesens	
adolesensiya	
adolesensya	
adolesent	
adolesente	
adonis	
adopsiyon	
adopsyon	
adopta	
adoptador	
adora	
adorador	
adorasiyon	
adorasyon	
adoratris	
adormidera	
adornador	
adorno	
adosilog	
adrenalina	
adres	
adresi	
adula	
adulador	
adulasyon	
adulterante	
adulterasiyon	
adulterasyon	
adultero	adultera
adulteryo	
adulto	
aduwana	
adwa	
adwana	
adwanero	
adya	
adyenda	
adyo	
aerasyon	
aerobika	
aerodinamika	
aerodromo	
aerograma	
aeronauta	
aeronautika	
aeronawta	
aeronawtika	
aeropobya	
aeropuwerto	
aerostatika	
aerotekniya	
aeroteknya	
afam	
ag-ag	
aga	
agaas	
agahan	
agahas	
agalya	
agam	
agam-agam	
agamahan	
agap	
agapay	
agape	
agar-agar	
agaradera	
agaran	
agariko	
agas	
agat-at	
agata	
agatsona	
agaw	
agaw-buhay	
agaw-lihi	
agay-ay	
agbarog	
agbarugan	
agham	
agham-lindol	
agham-lipunan	
agham-tao	
agham-wika	
aghambuhay	
aghimo	
aghimuan	
agihap	
agihon	
agila	
agimat	
agimatan	
aginaldo	
aging-ing	
agingay	
agipo	
agiw	
agkap	
aglahi	
aglipay	
aglutinasiyon	
aglutinasyon	
aglutinin	
agnas	
agnos	
agnostiko	agnostika
agnostisismo	
agong	
agos	
agos-putik	
agoy	
agpang	
agrabyo	
agrasiyada	
agrasiyado	agrasiyada
agrasyado	agrasyada
agregado	
agregasyon	
agreman	
agresiyon	
agresor	
agresyon	
agribisnes	
agridulse	
agrikultor	
agrikultura	
agrikulturalista	
agrikulturista	
agrimensor	
agrimensura	
agronomia	
agronomista	
agronomiya	
agronomo	
agsikap	
agsikapan	
agta	
agubak	
agudo	
aguha	
aguheta	
aguhilya	
aguho	
aguhon	
aguihap	
agulo	
agunias	
agunyas	
agustino	agustina
agustinyanismo	
agutaynen	
aguwador	
aguwaras	
aguwardiyente	
aguwasa	
aguwasil	
aguwatiyempo	
aguwela	aguwelo
aguwelo	aguwela
agwa	
agwa-asahar	
agwa-bendita	
agwa-borikada	
agwa-burikada	
agwa-de-kal	
agwa-kanangga	
agwa-kolonya	
agwa-oksihenada	
agwa-penikada	
agwa-plorida	
agwa-poso	
agwa-puwerte	
agwa-pwerte	
agwa-rehiya	
agwadero	
agwador	
agwahas	
agwahe	
agwalbuhay	
agwamadre	
agwamarina	
agwamiyel	
agwanta	
agwaras	
agwardiyente	
agwardyente	
agwarosas	
agwas	
agwasa	
agwasero	
agwaspotable	
agwat	
agwatiyempo	
agwero	
agwika	
ahang	
ahas	
ahas-bahay	
ahas-na-tulog	
ahas-tubig	
ahedresan	
ahedresista	
ahenda	
ahenho	
ahensiya	
ahensya	
ahente	
ahete	
ahilidad	
ahit	
ahitador	
ahitasyon	
ahito	
ahiya	
aho	
ahon	
ahonholi	
ahustador	
ahuste	
aikido	
aising	
aisla	
aislado	
aislador	
aislamyento	
akademiko	
akademisyan	
akademya	
akala	
akapara	
akaparador	
akapulko	
akarolohiya	
akasiya	
akasya	
akata	
akaunt	
akauntan	
akauntant	
akaunting	
akawnt	
akawntant	
akawnting	
akay	
akba	
akbay	
akda	
akdang-guro	
akdang-sining	
akibat	
akig	
akit	
aklab	
aklaha	
aklama	
aklamasyon	
aklas	
aklat	
aklat-dasalan	
aklat-katitikan	
aklat-pampaaralan	
aklat-sanayan	
aklat-tuosan	
aklat-tuusan	
aklatan	
akle	
aklimata	
aklimatasyon	
akma	
akme	
akne	
ako	
akolada	
akolito	
akom	
akomoda	
akomodador	
akomodasyon	
akompanista	
akompaniya	
akompaniyamiyento	
akompaniyante	
akompaniyente	
akompanya	
akompanyador	
akompanyamiento	
akompanyamiyento	
akompanyamyento	
akompanyante	
akonito	
akontabilidad	
akorasado	
akordada	
akorde	
akordeon	
akordeonista	
akordyon	
akordyonista	
akoro	
akotasyon	
akre	
akredita	
akreditasyon	
akreedor	
akriliko	
akrobasiya	
akrobasya	
akrobat	
akrobata	
akrobatika	
akromatisa	
akromatismo	
akromegalya	
akronim	
akronimo	
akropobya	
akropolis	
akrostik	
akrostiko	
aksaya	
aksentwasyon	
akses	
aksesibilidad	
aksesit	
akseso	
aksesoriya	
aksesorya	
aksesoryo	
aksibal	
aksidente	
aksis	
aksiyom	
aksiyon	
aksiyonista	
aksyom	
aksyon	
aksyonista	
aksyunista	
akta	
aktiba	
aktibasyon	
aktibidad	
aktibidades	
aktibismo	
aktibista	
akting	
aktingan	
aktinyum	
aktitud	
akto	
aktor	
aktris	
aktuwalidad	
aktuwaryo	
aktuwasyon	
aktwal	
aktwalidad	
aktwaryo	
aktwasyon	
akulturasyon	
akumen	
akumula	
akumulador	
akumulasyon	
akunyador	
akurdyon	
akurdyonista	
akusa	
akusado	
akusador	
akusasiyon	
akusasyon	
akusatibo	
akustika	
akustiks	
akuwariyum	
akwakultura	
akwarela	
akwarelista	
akwaryo	
akwaryum	
akwedukto	
akwerdo	
akwosidad	
akyat	
akyat-bahay	
akyatan	
ala-una	
alaala	
alab	
alabado	
alabansa	
alabastro	
alabok	
alabwab	
alaga	
alagad	
alagaw	
alaguwa	
alagwa	
alahas	
alahasan	
alaheriya	
alahero	alahera
alahilyos	
alak	
alak-alakan	
alakdan	
alakeka	
alakos	
alalago	
alalahanin	
alalawa	
alalay	
alam	
alaman	
alamang	
alamat	
alambike	
alambrada	
alambre	
alambrera	
alambrilyo	
alambrilyong-gubat	
alamid	
alampay	
alandahaw	
alang-alang	
alang-ang	
alangaang	
alangilan	
alap	
alapaap	
alapap	
alapaw	
alarakas	
alarma	
alarmista	
alas	
alas-diyes	
alas-dos	
alas-dose	
alas-kuwatro	
alas-nuwebe	
alas-onse	
alas-otso	
alas-seis	
alas-singko	
alas-siyete	
alas-tres	
alasan	
alaskero	
alasuwerte	
alat	
alatiit	
alatuwat	
alawans	
alay	
alba	
albahaka	
albakora	
albanes	albanesa
albardilya	
albarikoke	
albasea	
albatros	
albay	
albayalde	
albeolo	
albino	
albiyolar	
alboroto	
albularyo	
album	
albumen	
albumina	
albundigas	
albur	
alburnos	
albyolar	
albyolo	
aldaba	
aldabis	
aldea	
aldehido	
aldonisis	
aldyibra	
ale	
alebosya	
alegasyon	
alegato	
alegoria	
alegorisa	
alegorista	
alegorya	
alegreto	
alegriya	
alegro	
alehandrino	
alehilyos	
aleli	
aleluya	
aleman	alemana
alerdyi	
alerhia	
alerhiya	
alero	
alerta	
alerto	
aleta	
alga	
algaroba	
algudon	
alguwasil	
algwasil	
alhebra	
alheryano	alheryana
alhibe	
alibadbad	
alibangbang	
alibasoy	
alibata	
alibay	
alibutod	
aligandero	
aligasin	
aligi	
aligid	
alikabok	
alikantino	
alikmata	
aliktiya	
aliktya	
alila	
alilis	
alilisan	
alim	
alimango	
alimasag	
alimbukay	
alimpayawan	
alimpungat	
alimpuyo	
alimuom	
alimura	
alimuranin	
alimusom	
alimuwang	
alinagnag	
alindog	
alingasaw	
alingasngas	
alingawngaw	
alinlangan	
alinsangan	
alintana	
alintataw	
alipato	
alipin	
alipinin	inalipin
alipinin	inaalipin
alipinin	aalipinin
alipores	
alipunga	
alipunya	
alipusta	
alis	
alis-is	
alisan	
alisangsang	
alit	
alitan	
alitangya	
alitaptap	
aliterasiyon	
aliterasyon	
alituntunin	
aliw	
aliwalas	
alkabala	
alkabalero	
alkabus	
alkabusero	
alkahuwete	
alkahwete	
alkaide	
alkalde	alkaldesa
alkaldia	
alkaldiya	
alkaldya	
alkali	
alkalimetro	
alkalinidad	
alkalinisasyon	
alkalisasyon	
alkaloyd	
alkaloyde	
alkampor	
alkampurado	
alkansiya	
alkansya	
alkantarilya	
alkantarilyado	
alkapara	
alkarabea	
alkasar	
alkatsopas	
alkayde	
alkayseriya	
alkiler	
alkimista	
alkimiya	
alkitara	
alkitran	
alkoba	
alkohol	
alkoholiko	
alkoholimetro	
alkoholisa	
alkoholismo	
alkohometro	
alma	
almagre	
almanake	
almaryo	
almasen	
almasena	
almasenahe	
almasenero	
almasiga	
almeha	
almendras	
almendrilya	
almendrilyas	
almirantasgo	
almirante	
almires	
almirol	
almiskle	
almohadon	
almohasa	
almon	
almondigas	
almondigilya	
almoneda	
almoranas	
almoseda	
almowada	
almowadilya	
almud	
almundigas	
almusal	
almusalan	
almwada	
almwadilya	
almwadon	
almwasa	
almwerso	
alo	
alod	
alog	
alok	
alokasyon	
alomorp	
alomorpo	
alon	
along-bani	
along-radyo	
aloy	
alpa	
alpabetisa	
alpabetisasyon	
alpabeto	
alpahol	
alpaka	
alpalpa	
alpanghe	
alpargatas	
alpas	
alpasote	
alpay-bato	
alperes	
alperesiya	
alpil	
alpiler	
