word	form
aaa	
aaaban	
aaban	inaaban
aaban	inaaaban
aaban	aaaban
aaban	aabin
aaban	inaaab
aaban	pag-aaban
aaban	pinapag-aaban
aaban	pinag-aaaban
aaban	ipag-aab
aaban	ipinapag-aab
aaban	ipaaab
aaban	ipinaaaab
aaban	ipinapaaab
aaban	ipagpaaab
aaban	ipinagpapaaab
aaban	ipinapagpaaab
aaban	ikapagpaaab
aaban	ikinapagpapaaab
aaban	ikinakapagpaaab
aaban	maaab
aaban	naaaab
aaban	maaaban
aaban	naaaaban
aaban	maipag-aab
aaban	naipag-aaab
aaban	naipapag-aab
aaban	naiipag-aab
aaban	maikapag-aab
aaban	naikapag-aaab
aaban	naikapapag-aab
aaban	naiikapag-aab
aaban	mapag-aaban
aaban	napag-aaaban
aaban	napapag-aaban
aaban	maipaaab
aaban	naipaaaab
aaban	naipapaaab
aaban	naiipaaab
aaban	maipagpaaab
aaban	naipagpapaaab
aaban	naipapagpaaab
aaban	naiipagpaaab
aaban	maikapagpaaab
aaban	naikapagpapaaab
aaban	naikakapagpaaab
aaban	naiikapagpaaab
aaban	mapagpaaaban
aaban	napagpapaaaaban
aaban	napapagpaaaban
aaban	mapapag-aaban
aaban	napapapag-aaban
aaban	makipag-aab
aaban	nakikipag-aab
aaban	makiaab
aaban	nakikiaab
aaban	makipagpaaab
aaban	nakikipagpaaab
aabisuhan	
aagaw	
aakyat	
aalog-alog	
aalpombrahin	
aamin	
aaminin	
aamyendahan	
aanhin	
aanulahin	
aarawan	
aasahan	
aawat	
abahin	inaaba
abain	inaaba
abakahan	inaabakahan
abakahan	inabakahan
abakahan	aabakahan
abakahan	pag-abakahan
abakahan	pinapag-abakahan
abakahan	pinag-aabakahan
abakahan	ipag-abaka
abakahan	ipinapag-abaka
abakahan	ipagpaabaka
abakahan	ipinagpapaabaka
abakahan	ipinapagpaabaka
abakahan	ikapagpaabaka
abakahan	ikinapagpapaabaka
abakahan	ikinakapagpaabaka
abakahan	maipag-abaka
abakahan	naipag-aabaka
abakahan	naipapag-abaka
abakahan	naiipag-abaka
abakahan	maikapag-abaka
abakahan	naikapag-aabaka
abakahan	naikapapag-abaka
abakahan	naiikapag-abaka
abakahan	mapag-abakaan
abakahan	napag-aabakaan
abakahan	napapag-abakaan
abakahan	maipagpaabaka
abakahan	naipagpapaabaka
abakahan	naipapagpaabaka
abakahan	naiipagpaabaka
abakahan	maikapagpaabaka
abakahan	naikapagpapaabaka
abakahan	naikakapagpaabaka
abakahan	naiikapagpaabaka
abakahan	mapagpaabakahan
abakahan	napagpapaaabakahan
abakahan	napapagpaabakahan
abakahan	mapapag-abakahan
abakahan	napapapag-abakahan
abakahan	makipag-abaka
abakahan	nakikipag-abaka
abakahan	makiabaka
abakahan	nakikiabaka
abakahan	makipagpaabaka
abakahan	nakikipagpaabaka
