word	pos_values
a	abbrev,character,intj
aabk	abbrev
aam	abbrev
aasmus	noun
ab	noun
aba	adj,name,noun
abab	noun
ababa	noun
ababiyet	noun
abacı	adj,name,noun
abacılar	name
abacılık	noun
abacıoğlu	name
abadan	adj,name
abadanlık	noun
abadiye	name
abaju	noun
abajur	noun
abajurcu	noun
abajurculuk	noun
abajurlu	adj
abajursuz	adj
abak	name,noun
abaka	name,noun
abakan	name
abakay	name
abakolu	name
abaks	noun
abaksiyal	noun
abaküs	noun
abakıymış	name
abala	name
abalaklı	name
abalar	name
abalet	noun
abalon	noun
abalı	adj,name
abalıoğlu	name
abamper	noun
abana	name
abanabilmek	verb
abandone	noun
abandırabilmek	verb
abandırmak	verb
abandırıvermek	verb
abandırıvermenizin	noun
abani	adj,noun
abaniden	noun
abanili	adj
abanimden	noun
abanimin	noun
abanin	noun
abaninden	noun
abaninin	noun
abanmak	verb
abanoz	adj,noun
abanozgiller	noun
abanozlaşma	noun
abanozlaşmada	noun
abanozlaşmadan	noun
abanozlaşmak	verb
abanozlaşmalar	noun
abanozlaşmalara	noun
abanozlaşmalarda	noun
abanozlaşmalardan	noun
abanozlaşmaları	noun
abanozlaşmalarım	noun
abanozlaşmalarıma	noun
abanozlaşmalarımda	noun
abanozlaşmalarımdan	noun
abanozlaşmalarımı	noun
abanozlaşmalarımın	noun
abanozlaşmalarımız	noun
abanozlaşmalarımıza	noun
abanozlaşmalarımızda	noun
abanozlaşmalarımızdan	noun
abanozlaşmalarımızı	noun
abanozlaşmalarımızın	noun
abanozlaşmaların	noun
abanozlaşmalarına	noun
abanozlaşmalarında	noun
abanozlaşmalarından	noun
abanozlaşmalarını	noun
abanozlaşmalarının	noun
abanozlaşmalarınız	noun
abanozlaşmalarınıza	noun
abanozlaşmalarınızda	noun
abanozlaşmalarınızdan	noun
abanozlaşmalarınızı	noun
abanozlaşmalarınızın	noun
abanozlaşmam	noun
abanozlaşmama	noun
abanozlaşmamda	noun
abanozlaşmamdan	noun
abanozlaşmamı	noun
abanozlaşmamın	noun
abanozlaşmamız	noun
abanozlaşmamıza	noun
abanozlaşmamızda	noun
abanozlaşmamızdan	noun
abanozlaşmamızı	noun
abanozlaşmamızın	noun
abanozlaşman	noun
abanozlaşmana	noun
abanozlaşmanda	noun
abanozlaşmandan	noun
abanozlaşmanı	noun
abanozlaşmanın	noun
abanozlaşmanız	noun
abanozlaşmanıza	noun
abanozlaşmanızda	noun
abanozlaşmanızdan	noun
abanozlaşmanızı	noun
abanozlaşmanızın	noun
abanozlaşması	noun
abanozlaşmasına	noun
abanozlaşmasında	noun
abanozlaşmasından	noun
abanozlaşmasını	noun
abanozlaşmasının	noun
abanozlaşmaya	noun
abanozlaşmayı	noun
abanozlaştırabilme	noun
abanozlaştırabilmede	noun
abanozlaştırabilmeden	noun
abanozlaştırabilmek	verb
abanozlaştırabilmeler	noun
abanozlaştırabilmelerde	noun
abanozlaştırabilmelerden	noun
abanozlaştırabilmelere	noun
abanozlaştırabilmeleri	noun
abanozlaştırabilmelerim	noun
abanozlaştırabilmelerimde	noun
abanozlaştırabilmelerimden	noun
abanozlaştırabilmelerime	noun
abanozlaştırabilmelerimi	noun
abanozlaştırabilmelerimin	noun
abanozlaştırabilmelerimiz	noun
abanozlaştırabilmelerimizde	noun
abanozlaştırabilmelerimizden	noun
abanozlaştırabilmelerimize	noun
abanozlaştırabilmelerimizi	noun
abanozlaştırabilmelerimizin	noun
abanozlaştırabilmelerin	noun
