word	pos_values
а	character,conj,intj,particle
ааре	name
аарон	name
аарґау	name
аахен	name
аахенський	adj
аб'юдикація	noun
аб'юрація	noun
аба	name
абадан	name
абажур	noun
абажурний	adj
абаз	noun
абазин	noun
абазинець	noun
абазинка	noun
абазинський	adj
абазія	noun
абак	noun
абака	noun
абакан	name
абакум	name
абандон	noun
абат	noun
абатиса	noun
абатство	noun
абатський	adj
абаїанг	name
абвер	name
абдикаційний	adj
абдомінопластика	noun
абелів	adj
аберація	noun
абетка	noun
абеткування	noun
абзац	noun
аби	conj
абиде	adv
абиколи	adv
абикуди	adv
абихто	pron
абищо	noun,pron
абияк	adv
абиякий	adj
аблактування	noun
абластика	noun
аблатив	noun
аблятив	noun
абляція	noun
або	conj
аболіціонізм	noun
аболіціоніст	noun
аболіціоністський	adj
абонемент	noun
абонент	noun
абонентський	adj
абонування	noun
абордаж	noun
абориген	noun
аборигенка	noun
аборт	noun
абортувати	verb
абразив	noun
абразивність	noun
абразія	noun
абрам	name
абревіатура	noun
абревіація	noun
абревіятура	noun
абрек	noun
абрикос	noun
абрикоса	noun
абрикосник	noun
абрикосовий	adj
абрикосівка	noun
абрикотин	noun
абрис	noun
аброгація	noun
абруптив	noun
абруццо	name
абсанс	noun
абсент	noun
абсентеїзм	noun
абсида	noun
абсолют	noun
абсолютизація	noun
абсолютизм	noun
абсолютизування	noun
абсолютист	noun
абсолютний	adj
абсолютно	adv
абсолютність	noun
абсолюція	noun
абсорбент	noun
абсорбер	noun
абсорбувати	verb
абсорбціометр	noun
абсорбція	noun
абстинент	noun
абстиненція	noun
абстрагованість	noun
абстрагування	noun
абстракт	noun
абстрактний	adj
абстрактність	noun
абстракціонізм	noun
абстракціоніст	noun
абстракціоністка	noun
абстракція	noun
абсурд	noun
абсурдизм	noun
абсурдист	noun
абсурдний	adj
абсурдно	adv
абсурдність	noun
абсцес	noun
абсциса	noun
абу-дабі	name
абуджа	name
абулія	noun
абхаз	noun
абхазець	noun
абхазка	noun
абхазія	name
абіогенез	noun
абісаль	noun
абіссінець	noun
абіссінка	noun
абіссінський	adj
ава	noun
аваль	noun
аваліст	noun
авангард	noun
авангардизм	noun
авангардист	noun
авангардистський	adj
аванзал	noun
аванкамера	noun
аванложа	noun
аванпорт	noun
аванпост	noun
аванс	noun
авансований	adj
авансодавець	noun
авансом	adv
авансотримач	noun
авансоутримувач	noun
авансування	noun
авансувати	verb
авансцена	noun
авантитул	noun
авантюра	noun
авантюризм	noun
авантюрин	noun
авантюрист	noun
авантюристичний	adj
авантюристка	noun
авантюристський	adj
авантюрник	noun
авантюрницький	adj
авантюрність	noun
аванґард	noun
авар	noun
аварець	noun
аварка	noun
аварійний	adj
аварійник	noun
аварійність	noun
аварія	noun
аватар	noun
авгур	noun
август	noun
августа	name
августів	name
августівський	adj
авгіт	noun
авгіїв	adj
авдит	noun
авдитор	noun
авдиторський	adj
авдиторія	noun
авдій	name
авдіо	noun
авдіофайл	noun
авдіївка	name
авдіївський	adj
авеню	noun
аверс	noun
авжеж	particle
авкціон	noun
авлос	noun
аво	noun
авокадо	noun
аврал	noun
аврам	name
авраменко	name
авран	noun
аврикула	noun
аврора	noun
аврорин	adj
австралопітек	noun
австралоїд	noun
австралійський	adj
австралія	name
австро-угорський	adj
австро-угорщина	name
австромарксист	noun
австрофіл	noun
австрійський	adj
австрія	name
автаркізм	noun
автаркія	noun
автентика	noun
автентифікація	noun
автентичний	adj
автентичність	noun
автоаерозапчастина	noun
автоаматор	noun
автоаматорка	noun
автоамфібія	noun
автоапологія	noun
автобаза	noun
автобальзам	noun
автобан	noun
автобатальйон	noun
автобензовоз	noun
автобензоцистерна	noun
автобетономішалка	noun
автоблокування	noun
автобудування	noun
автобудівник	noun
автобус	noun
автобусний	adj
автобіограф	noun
автобіографічний	adj
автобіографічність	noun
автобіографія	noun
автовага	noun
автовагон	noun
автовакцина	noun
автовантажник	noun
автовеломотогонки	noun
автовиробник	noun
автовласник	noun
автоводоцистерна	noun
автоводій	noun
автовокзал	noun
автовідповідач	noun
автовізок	noun
автогальмо	noun
автогараж	noun
автогемотерапія	noun
автоген	noun
автогенез	noun
автогенник	noun
автогол	noun
автокатастрофа	noun
автокефальний	adj
автократ	noun
автократичний	adj
автократія	noun
автомагістраль	noun
автомайдан	name
автомат	noun
автоматизація	noun
автоматизм	noun
автоматизований	adj
автоматизувати	verb
автоматичний	adj
автоматично	adv
автоматник	noun
автомашина	noun
автомобіль	noun
автомобільний	adj
автомобіліст	noun
автономний	adj
автономія	noun
автопортрет	noun
автопсія	noun
автор	noun
автореференція	noun
авторизувати	verb
авторитаризм	noun
авторитарний	adj
авторитет	noun
авторитетний	adj
авторство	noun
авторський	adj
автостанція	noun
автостоянка	noun
автошкола	noun
автівка	noun
авул	noun
авіабаза	noun
авіабензин	noun
авіабомба	noun
авіабудування	noun
авіабудівник	noun
авіабудівництво	noun
авіавдар	noun
авіавиставка	noun
авіагармата	noun
авіагоризонт	noun
авіагосподарство	noun
авіадвигун	noun
авіадесант	noun
авіадесантник	noun
авіадесантування	noun
авіадивізія	noun
авіадиспетчер	noun
авіаекспрес	noun
авіаескадрилья	noun
авіазавод	noun
авіазагін	noun
авіазасіб	noun
авіазв'язок	noun
авіакаса	noun
авіакатастрофа	noun
авіаквиток	noun
авіаклуб	noun
авіаколедж	noun
авіакомпанія	noun
авіакомплекс	noun
авіаконструктор	noun
авіаконструювання	noun
авіалайнер	noun
авіаль	noun
авіалінія	noun
авіамайстерня	noun
авіаматка	noun
авіамаяк	noun
авіаметеослужба	noun
авіаметеостанція	noun
авіамеханік	noun
авіамодель	noun
авіамоделізм	noun
авіамоделіст	noun
авіамотор	noun
авіамоторобудування	noun
авіаносець	noun
авіаобприскування	noun
авіаобприскувач	noun
авіаобробка	noun
авіапарк	noun
авіапасажир	noun
авіапатруль	noun
авіапатрулювання	noun
авіаперевезення	noun
авіаперевізник	noun
авіапереліт	noun
авіаподорож	noun
авіаполк	noun
авіаполіт	noun
авіапорт	noun
авіапошта	noun
авіапромисловість	noun
авіапідживлення	noun
авіаракетобудування	noun
авіарейд	noun
авіарейс	noun
авіарозвідка	noun
авіарозвідування	noun
авіасалон	noun
авіасекстант	noun
авіасервіс	noun
авіасполучення	noun
авіаспорт	noun
авіатехнік	noun
авіатехніка	noun
авіатика	noun
авіатор	noun
авіаторпеда	noun
авіатравма	noun
авіатранспорт	noun
авіатраса	noun
авіаудар	noun
авіаучилище	noun
авіафауна	noun
авіафахівець	noun
авіахім	noun
авіахімовець	noun
авіаційний	adj
авіаційник	noun
авіація	noun
авіачастина	noun
авіашкола	noun
авіашоу	noun
авіз	noun
авізо	noun
авізування	noun
авіобаза	noun
авіобудування	noun
авіозв'язок	noun
авіокатастрофа	noun
авіоквиток	noun
авіокомпанія	noun
авіолінія	noun
авіоносець	noun
авіопатруля	noun
авіополіт	noun
авіопошта	noun
авіорейс	noun
авіотехнік	noun
авіотраса	noun
авіоудар	noun
авіста	noun
авітаміноз	noun
авіфауна	noun
авіяція	noun
авіяціяний	adj
агава	noun
агат	noun
агафія	name
агенство	noun
агент	noun
агентство	noun
агентський	adj
агенція	noun
агломерація	noun
агнеса	name
агностик	noun
агностицизм	noun
агностичний	adj
агонія	noun
аграрний	adj
агресивний	adj
агресивно	adv
агресивність	noun
агресор	noun
агресія	noun
агри	name
агролісівництво	noun
агроном	noun
агрономія	noun
агіографія	noun
агітація	noun
агітувати	verb
ад'ювантний	adj
ад'ютант	noun
адам	name
адаменко	name
адамович	name
адамчук	name
адамівна	name
адана	name
адаптація	noun
адаптер	noun
адаптувати	verb
адаптуватися	verb
адвентизм	noun
адвокат	noun
адвокатура	noun
аддис-абеба	name
адекватний	adj
адекватність	noun
аден	name
адендум	noun
аденозин	noun
адепт	noun
аджарський	adj
аджарія	name
адже	adv,conj
аджика	noun
адикція	noun
адияман	name
адмінцентр	noun
адміністративний	adj
адміністратор	noun
адміністрація	noun
адмініструвати	verb
адмірал	noun
адоніс	noun
адреналін	noun
адрес	noun
адреса	noun
адресант	noun
адресат	noun
адресний	adj
адресувати	verb
адріан	name
адріанович	name
адріанівна	name
аеродинаміка	noun
аеродинамічний	adj
аеродром	noun
аероліт	noun
аероплян	noun
аеропорт	noun
аероскопія	noun
аерофлот	name
аес	noun
аж	adv
ажур	noun
ажурний	adj
азавад	name
азарт	noun
азартний	adj
азбест	noun
азербайджан	name
азербайджанець	noun
азербайджанський	adj
азов	name
азовець	noun
азовський	adj
азот	noun
азотний	adj
азіатський	adj
азійський	adj
азія	name
азіятський	adj
айва	noun
айвовий	adj
айдаго	name
айдахо	name
айова	name
айпі	noun
айран	noun
айсберг	noun
айстра	noun
айтівець	noun
айфон	noun
академмістечко	name
академік	noun
академічний	adj
академія	noun
акати	verb
акатист	noun
акафіст	noun
акація	noun
аквакультура	noun
аквамарин	noun
аквамариновий	adj
акварель	noun
аквареля	noun
акваріум	noun
акваріюм	noun
акваторія	noun
акведук	noun
аккра	name
акне	noun
акордеон	noun
акпп	noun
акредитувати	verb
акриловий	adj
акробат	noun
акробатика	noun
