word	form
аб'юдикація	аб'юдикації
аб'юдикація	аб'юдикацій
аб'юдикація	аб'юдикаціям
аб'юдикація	аб'юдикацію
аб'юдикація	аб'юдикаціями
аб'юдикація	аб'юдикаціях
аб'юрація	аб'юрації
аб'юрація	аб'юрацію
абажур	абажура
абажур	абажури
абажур	абажурів
абажур	абажурний
абажур	абажурчик
абажур	абажурові
абажур	абажуру
абажур	абажурам
абажур	абажуром
абажур	абажурами
абажур	абажурі
абажур	абажурах
абажур	абажуре
абаз	абаза
абаз	абази
абаз	абазів
абаз	абазові
абаз	абазу
абаз	абазам
абаз	абазом
абаз	абазами
абаз	абазі
абаз	абазах
абаз	абазе
абазин	абазина
абазин	абазини
абазин	абазинів
абазин	абазинка
абазин	абазинові
абазин	абазину
абазин	абазинам
абазин	абазином
абазин	абазинами
абазин	абазині
абазин	абазинах
абазин	абазине
абазинець	абазинця
абазинець	абазинці
абазинець	абазинців
абазинець	абазинка
абазинець	абазинцеві
абазинець	абазинцю
абазинець	абазинцям
абазинець	абазинцем
абазинець	абазинцями
абазинець	абазинцях
абазинка	абазинки
абазинка	абазинок
абазинка	абазинець
абазинка	абазинці
абазинка	абазинкам
абазинка	абазинку
абазинка	абазинкою
абазинка	абазинками
абазинка	абазинках
абазинка	абазинко
абазія	абазії
абазія	абазію
абак	абака
абак	абаки
абак	абаків
абак	абакові
абак	абаку
абак	абакам
абак	абаком
абак	абаками
абак	абаках
абака	абаки
абака	абак
абака	абаці
абака	абакам
абака	абаку
абака	абакою
абака	абаками
абака	абаках
абака	абако
абандон	абандону
абандон	абандони
абандон	абандонів
абандон	абандонові
абандон	абандонам
абандон	абандоном
абандон	абандонами
абандон	абандоні
абандон	абандонах
абандон	абандоне
абат	абата
абат	абати
абат	абатів
абат	абатиса
абат	абатський
абат	абатові
абат	абату
абат	абатам
абат	абатом
абат	абатами
абат	абаті
абат	абатах
абат	абате
абатиса	абатиси
абатиса	абатис
абатиса	абат
абатиса	абатисі
абатиса	абатисам
абатиса	абатису
абатиса	абатисою
абатиса	абатисами
абатиса	абатисах
абатиса	абатисо
абатство	абатства
абатство	абатств
абатство	абатству
абатство	абатствам
абатство	абатством
абатство	абатствами
абатство	абатстві
абатство	абатствах
абдомінопластика	абдомінопластики
абдомінопластика	абдомінопластиці
абдомінопластика	абдомінопластику
абдомінопластика	абдомінопластикою
абдомінопластика	абдомінопластико
аберація	аберації
аберація	аберацій
аберація	абераціям
аберація	аберацію
аберація	абераціями
аберація	абераціях
абетка	абетки
абетка	абеток
абетка	абетковий
абетка	абеточка
абетка	абетці
абетка	абеткам
абетка	абетку
абетка	абеткою
абетка	абетками
абетка	абетках
абетка	абетко
абеткування	абеткуванню
абеткування	абеткуванням
абеткування	абеткуванні
абзац	абзацу
абзац	абзаци
абзац	абзаців
абзац	абзацний
абзац	абзацові
абзац	абзацам
абзац	абзацом
абзац	абзацами
абзац	абзаці
абзац	абзацах
абзац	абзаце
абищо	абичого
абищо	абичому
абищо	абичим
абищо	абичім
аблактування	аблактуванню
аблактування	аблактуванням
аблактування	аблактуванні
абластика	абластики
абластика	абластиці
абластика	абластику
абластика	абластикою
абластика	абластико
аблатив	аблатива
аблатив	аблативові
аблатив	аблативу
аблатив	аблативом
аблатив	аблативі
аблатив	аблативе
аблятив	аблятива
аблятив	аблятивний
аблятив	аблятивові
аблятив	аблятиву
аблятив	аблятивом
аблятив	аблятиві
аблятив	аблятиве
абляція	абляції
абляція	абляцій
абляція	абляціям
абляція	абляцію
абляція	абляціями
абляція	абляціях
аболіціонізм	аболіціонізму
аболіціонізм	аболіціонізмові
аболіціонізм	аболіціонізмом
аболіціонізм	аболіціонізмі
аболіціонізм	аболіціонізме
аболіціоніст	аболіціоніста
аболіціоніст	аболіціоністи
аболіціоніст	аболіціоністів
аболіціоніст	аболіціоністка
аболіціоніст	аболіціоністський
аболіціоніст	аболіціоністові
аболіціоніст	аболіціоністу
аболіціоніст	аболіціоністам
аболіціоніст	аболіціоністом
аболіціоніст	аболіціоністами
аболіціоніст	аболіціоністі
аболіціоніст	аболіціоністах
аболіціоніст	аболіціоністе
абонемент	абонемента
абонемент	абонементи
абонемент	абонементів
абонемент	абонементові
абонемент	абонементу
абонемент	абонементам
абонемент	абонементом
абонемент	абонементами
абонемент	абонементі
абонемент	абонементах
абонемент	абонементе
абонент	абонента
абонент	абоненти
абонент	абонентів
абонент	абонентка
абонент	абонентський
абонент	абонентові
абонент	абоненту
абонент	абонентам
абонент	абонентом
абонент	абонентами
абонент	абоненті
абонент	абонентах
абонент	абоненте
абонування	абонуванню
абонування	абонуванням
абонування	абонуванні
абордаж	абордажу
абордаж	абордажеві
абордаж	абордажем
абордаж	абордажі
абордаж	абордаже
абориген	аборигена
абориген	аборигени
абориген	аборигенів
абориген	аборигенові
абориген	аборигену
абориген	аборигенам
абориген	аборигеном
абориген	аборигенами
абориген	аборигені
абориген	аборигенах
абориген	аборигене
аборигенка	аборигенки
аборигенка	аборигенок
аборигенка	аборигенці
аборигенка	аборигенкам
аборигенка	аборигенку
аборигенка	аборигенкою
аборигенка	аборигенками
аборигенка	аборигенках
аборигенка	аборигенко
аборт	аборту
аборт	аборти
аборт	абортів
аборт	абортові
аборт	абортам
аборт	абортом
аборт	абортами
аборт	аборті
аборт	абортах
аборт	аборте
